2025-05-27 15:40:58.023309
345" REYEZ="0.67442" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53344" FPOGY="0.28953" FPOGS="7368.25684" FPOGD="0.19336" FPOGID="17477" FPOGV="1" LPOGX="0.67979" LPOGY="0.32049" LPOGV="1" RPOGX="0.41059" RPOGY="0.28245" RPOGV="1" BPOGX="0.54519" BPOGY="0.30147" BPOGV="1" LPCX="0.24913" LPCY="0.56974" LPD="25.15932" LPS="1.05843" LPV="1" RPCX="0.47805" RPCY="0.55870" RPD="23.16805" RPS="1.05843" RPV="1" LEYEX="-0.07416" LEYEY="-0.01807" LEYEZ="0.76958" LPUPILD="0.00543" LPUPILV="1" REYEX="-0.00566" REYEY="-0.01345" REYEZ="0.67442" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.40725" FPOGY="0.26535" FPOGS="7369.30322" FPOGD="0.05811" FPOGID="17481" FPOGV="1" LPOGX="0.52210" LPOGY="0.28633" LPOGV="1" RPOGX="0.26595" RPOGY="0.30850" RPOGV="1" BPOGX="0.39403" BPOGY="0.29741" BPOGV="1" LPCX="0.25211" LPCY="0.53241" LPD="25.82381" LPS="1.05229" LPV="1" RPCX="0.48275" RPCY="0.53747" RPD="24.80420" RPS="1.05229" RPV="1" LEYEX="-0.06221" LEYEY="-0.00781" LEYEZ="0.65901" LPUPILD="0.00569" LPUPILV="1" REYEX="-0.00399" REYEY="-0.00911" REYEZ="0.68243" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.40625" FPOGY="0.26612" FPOGS="7369.30322" FPOGD="0.06494" FPOGID="17481" FPOGV="1" LPOGX="0.48971" LPOGY="0.27391" LPOGV="1" RPOGX="0.30475" RPOGY="0.27226" RPOGV="1" BPOGX="0.39723" BPOGY="0.27309" BPOGV="1" LPCX="0.25246" LPCY="0.53185" LPD="25.83510" LPS="1.04439" LPV="1" RPCX="0.48304" RPCY="0.53718" RPD="24.67939" RPS="1.04439" RPV="1" LEYEX="-0.06221" LEYEY="-0.00781" LEYEZ="0.65901" LPUPILD="0.00573" LPUPILV="1" REYEX="-0.00399" REYEY="-0.00911" REYEZ="0.68243" RPUPILD="0.00546" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.40512" FPOGY="0.26404" FPOGS="7369.30322" FPOGD="0.07129" FPOGID="17481" FPOGV="1" LPOGX="0.49807" LPOGY="0.23678" LPOGV="1" RPOGX="0.28955" RPOGY="0.24971" RPOGV="1" BPOGX="0.39381" BPOGY="0.24325" BPOGV="1" LPCX="0.25257" LPCY="0.53151" LPD="25.92410" LPS="1.05141" LPV="1" RPCX="0.48333" RPCY="0.53702" RPD="24.74134" RPS="1.05141" RPV="1" LEYEX="-0.06221" LEYEY="-0.00781" LEYEZ="0.65901" LPUPILD="0.00569" LPUPILV="1" REYEX="-0.00399" REYEY="-0.00911" REYEZ="0.68243" RPUPILD="0.00544" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.40404" FPOGY="0.26160" FPOGS="7369.30322" FPOGD="0.07812" FPOGID="17481" FPOGV="1" LPOGX="0.49560" LPOGY="0.22537" LPOGV="1" RPOGX="0.28865" RPOGY="0.24414" RPOGV="1" BPOGX="0.39213" BPOGY="0.23476" BPOGV="1" LPCX="0.25270" LPCY="0.53141" LPD="25.95046" LPS="1.06634" LPV="1" RPCX="0.48339" RPCY="0.53686" RPD="24.86185" RPS="1.05825" RPV="1" LEYEX="-0.06426" LEYEY="-0.00788" LEYEZ="0.68228" LPUPILD="0.00573" LPUPILV="1" REYEX="-0.00373" REYEY="-0.00881" REYEZ="0.66329" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.40451" FPOGY="0.26481" FPOGS="7369.30322" FPOGD="0.08496" FPOGID="17481" FPOGV="1" LPOGX="0.52837" LPOGY="0.27785" LPOGV="1" RPOGX="0.29202" RPOGY="0.32881" RPOGV="1" BPOGX="0.41020" BPOGY="0.30333" BPOGV="1" LPCX="0.25300" LPCY="0.53098" LPD="25.96503" LPS="1.06616" LPV="1" RPCX="0.48377" RPCY="0.53660" RPD="24.82991" RPS="1.05807" RPV="1" LEYEX="-0.06426" LEYEY="-0.00788" LEYEZ="0.68228" LPUPILD="0.00570" LPUPILV="1" REYEX="-0.00373" REYEY="-0.00881" REYEZ="0.66329" RPUPILD="0.00546" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.40465" FPOGY="0.26558" FPOGS="7369.30322" FPOGD="0.09131" FPOGID="17481" FPOGV="1" LPOGX="0.50258" LPOGY="0.24642" LPOGV="1" RPOGX="0.31045" RPOGY="0.30471" RPOGV="1" BPOGX="0.40652" BPOGY="0.27556" BPOGV="1" LPCX="0.25307" LPCY="0.53081" LPD="26.11199" LPS="1.06597" LPV="1" RPCX="0.48396" RPCY="0.53657" RPD="24.90647" RPS="1.05789" RPV="1" LEYEX="-0.06426" LEYEY="-0.00788" LEYEZ="0.68228" LPUPILD="0.00569" LPUPILV="1" REYEX="-0.00373" REYEY="-0.00881" REYEZ="0.66329" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.40492" FPOGY="0.26700" FPOGS="7369.30322" FPOGD="0.09814" FPOGID="17481" FPOGV="1" LPOGX="0.50499" LPOGY="0.25771" LPOGV="1" RPOGX="0.31216" RPOGY="0.31611" RPOGV="1" BPOGX="0.40857" BPOGY="0.28691" BPOGV="1" LPCX="0.25316" LPCY="0.53071" LPD="25.95328" LPS="1.05086" LPV="1" RPCX="0.48405" RPCY="0.53653" RPD="24.88489" RPS="1.04277" RPV="1" LEYEX="-0.05933" LEYEY="-0.00710" LEYEZ="0.63100" LPUPILD="0.00571" LPUPILV="1" REYEX="-0.00350" REYEY="-0.00859" REYEZ="0.65811" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.40415" FPOGY="0.26901" FPOGS="7369.30322" FPOGD="0.10498" FPOGID="17481" FPOGV="1" LPOGX="0.50575" LPOGY="0.28902" LPOGV="1" RPOGX="0.27970" RPOGY="0.30922" RPOGV="1" BPOGX="0.39273" BPOGY="0.29912" BPOGV="1" LPCX="0.25339" LPCY="0.53034" LPD="26.06798" LPS="1.02784" LPV="1" RPCX="0.48441" RPCY="0.53638" RPD="25.04730" RPS="1.02784" RPV="1" LEYEX="-0.05933" LEYEY="-0.00710" LEYEZ="0.63100" LPUPILD="0.00571" LPUPILV="1" REYEX="-0.00350" REYEY="-0.00859" REYEZ="0.65811" RPUPILD="0.00547" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
