2025-05-28 11:00:39.152180
Z="0.61122" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.54733" FPOGY="0.24674" FPOGS="2838.22852" FPOGD="0.68311" FPOGID="7256" FPOGV="1" LPOGX="0.67941" LPOGY="0.22931" LPOGV="1" RPOGX="0.41042" RPOGY="0.27440" RPOGV="1" BPOGX="0.54491" BPOGY="0.25186" BPOGV="1" LPCX="0.32481" LPCY="0.32257" LPD="23.71857" LPS="0.85082" LPV="1" RPCX="0.58223" RPCY="0.32122" RPD="21.55035" RPS="0.85082" RPV="1" LEYEX="-0.18089" LEYEY="0.14199" LEYEZ="2.74372" LPUPILD="0.00491" LPUPILV="0" REYEX="0.01934" REYEY="0.03195" REYEZ="0.61122" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54111" FPOGY="0.28327" FPOGS="2839.04590" FPOGD="0.77686" FPOGID="7257" FPOGV="1" LPOGX="0.67275" LPOGY="0.33134" LPOGV="1" RPOGX="0.41740" RPOGY="0.33228" RPOGV="1" BPOGX="0.54507" BPOGY="0.33181" BPOGV="1" LPCX="0.32320" LPCY="0.32342" LPD="23.95108" LPS="0.82428" LPV="1" RPCX="0.58030" RPCY="0.32232" RPD="21.63967" RPS="0.82428" RPV="1" LEYEX="-0.04013" LEYEY="0.03061" LEYEZ="0.59149" LPUPILD="0.00483" LPUPILV="1" REYEX="0.01867" REYEY="0.03124" REYEZ="0.60010" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.54098" FPOGY="0.28439" FPOGS="2839.04590" FPOGD="0.78467" FPOGID="7257" FPOGV="1" LPOGX="0.67271" LPOGY="0.32714" LPOGV="1" RPOGX="0.41718" RPOGY="0.32313" RPOGV="1" BPOGX="0.54494" BPOGY="0.32514" BPOGV="1" LPCX="0.32306" LPCY="0.32350" LPD="23.82896" LPS="0.82893" LPV="1" RPCX="0.58027" RPCY="0.32234" RPD="21.33922" RPS="0.83417" RPV="1" LEYEX="-0.04045" LEYEY="0.03079" LEYEZ="0.59491" LPUPILD="0.00488" LPUPILV="1" REYEX="0.01888" REYEY="0.03165" REYEZ="0.60810" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.54073" FPOGY="0.28548" FPOGS="2839.04590" FPOGD="0.79028" FPOGID="7257" FPOGV="1" LPOGX="0.65869" LPOGY="0.32516" LPOGV="1" RPOGX="0.40087" RPOGY="0.32042" RPOGV="1" BPOGX="0.52978" BPOGY="0.32279" BPOGV="1" LPCX="0.32302" LPCY="0.32355" LPD="24.07888" LPS="0.83417" LPV="1" RPCX="0.58022" RPCY="0.32242" RPD="21.66201" RPS="0.83941" RPV="1" LEYEX="-0.04045" LEYEY="0.03079" LEYEZ="0.59491" LPUPILD="0.00480" LPUPILV="1" REYEX="0.01888" REYEY="0.03165" REYEZ="0.60810" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.54044" FPOGY="0.28657" FPOGS="2839.04590" FPOGD="0.79688" FPOGID="7257" FPOGV="1" LPOGX="0.64984" LPOGY="0.32934" LPOGV="1" RPOGX="0.39407" RPOGY="0.30458" RPOGV="1" BPOGX="0.52195" BPOGY="0.31696" BPOGV="1" LPCX="0.32295" LPCY="0.32362" LPD="23.85503" LPS="0.83941" LPV="1" RPCX="0.58019" RPCY="0.32238" RPD="21.61444" RPS="0.84465" RPV="1" LEYEX="-0.04045" LEYEY="0.03079" LEYEZ="0.59491" LPUPILD="0.00480" LPUPILV="1" REYEX="0.01888" REYEY="0.03165" REYEZ="0.60810" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.54014" FPOGY="0.28750" FPOGS="2839.04590" FPOGD="0.80322" FPOGID="7257" FPOGV="1" LPOGX="0.64981" LPOGY="0.32883" LPOGV="1" RPOGX="0.39429" RPOGY="0.30894" RPOGV="1" BPOGX="0.52205" BPOGY="0.31888" BPOGV="1" LPCX="0.32292" LPCY="0.32366" LPD="23.72656" LPS="0.84000" LPV="1" RPCX="0.58011" RPCY="0.32234" RPD="21.55733" RPS="0.84000" RPV="1" LEYEX="-0.03935" LEYEY="0.02983" LEYEZ="0.57805" LPUPILD="0.00481" LPUPILV="1" REYEX="0.01833" REYEY="0.03077" REYEZ="0.59201" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.53687" FPOGY="0.31377" FPOGS="2839.04590" FPOGD="0.80322" FPOGID="7257" FPOGV="0" LPOGX="0.66578" LPOGY="0.29974" LPOGV="1" RPOGX="0.43631" RPOGY="0.29241" RPOGV="1" BPOGX="0.55105" BPOGY="0.29608" BPOGV="1" LPCX="0.32264" LPCY="0.32365" LPD="23.71047" LPS="0.83534" LPV="1" RPCX="0.57993" RPCY="0.32262" RPD="22.24837" RPS="0.83010" RPV="1" LEYEX="-0.03935" LEYEY="0.02983" LEYEZ="0.57805" LPUPILD="0.00482" LPUPILV="1" REYEX="0.01833" REYEY="0.03077" REYEZ="0.59201" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.54187" FPOGY="0.29492" FPOGS="2839.04590" FPOGD="0.80322" FPOGID="7257" FPOGV="0" LPOGX="0.66334" LPOGY="0.26253" LPOGV="1" RPOGX="0.43040" RPOGY="0.28962" RPOGV="1" BPOGX="0.54687" BPOGY="0.27607" BPOGV="1" LPCX="0.32252" LPCY="0.32369" LPD="23.69670" LPS="0.82545" LPV="1" RPCX="0.57974" RPCY="0.32270" RPD="22.04426" RPS="0.82021" RPV="1" LEYEX="-0.03935" LEYEY="0.02983" LEYEZ="0.57805" LPUPILD="0.00481" LPUPILV="1" REYEX="0.01833" REYEY="0.03077" REYEZ="0.59201" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.54355" FPOGY="0.28949" FPOGS="2839.04590" FPOGD="0.80322" FPOGID="7257" FPOGV="0" LPOGX="0.66345" LPOGY="0.26767" LPOGV="1" RPOGX="0.43040" RPOGY="0.28962" RPOGV="1" BPOGX="0.54693" BPOGY="0.27864" BPOGV="1" LPCX="0.32252" LPCY="0.32374" LPD="23.73661" LPS="0.82021" LPV="1" RPCX="0.57962" RPCY="0.32277" RPD="22.02987" RPS="0.82021" RPV="1" LEYEX="-0.04010" LEYEY="0.03032" LEYEZ="0.58838" LPUPILD="0.00481" LPUPILV="1" REYEX="0.01859" REYEY="0.03134" REYEZ="0.60482" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
