2025-05-29 10:38:05.506875
EZ="0.65067" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.52122" FPOGY="0.31388" FPOGS="2036.25378" FPOGD="0.46240" FPOGID="4732" FPOGV="1" LPOGX="0.62301" LPOGY="0.30053" LPOGV="1" RPOGX="0.38674" RPOGY="0.35137" RPOGV="1" BPOGX="0.50487" BPOGY="0.32595" BPOGV="1" LPCX="0.33916" LPCY="0.45902" LPD="27.69496" LPS="0.91990" LPV="1" RPCX="0.58570" RPCY="0.45607" RPD="27.84067" RPS="0.91990" RPV="1" LEYEX="-0.03759" LEYEY="0.00637" LEYEZ="0.61146" LPUPILD="0.00561" LPUPILV="1" REYEX="0.02109" REYEY="0.00719" REYEZ="0.63919" RPUPILD="0.00560" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.61847" LPOGY="0.68934" LPOGV="0" RPOGX="0.40800" RPOGY="1.10289" RPOGV="0" BPOGX="0.40800" BPOGY="1.10289" BPOGV="0" LPCX="0.32164" LPCY="0.46096" LPD="19.39987" LPS="0.91990" LPV="0" RPCX="0.56742" RPCY="0.45799" RPD="14.62794" RPS="0.91990" RPV="0" LEYEX="-0.18363" LEYEY="0.03125" LEYEZ="2.74164" LPUPILD="0.00594" LPUPILV="0" REYEX="0.01688" REYEY="0.00811" REYEZ="0.64332" RPUPILD="0.00512" RPUPILV="1" BKID="379" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.32488" FPOGY="0.24483" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.64976" LPOGY="0.48966" LPOGV="1" RPOGX="0.40800" RPOGY="1.10289" RPOGV="0" BPOGX="0.64976" BPOGY="0.48966" BPOGV="1" LPCX="0.56145" LPCY="0.45800" LPD="26.44854" LPS="0.91990" LPV="1" RPCX="0.56742" RPCY="0.45799" RPD="14.62794" RPS="0.91990" RPV="0" LEYEX="-0.18363" LEYEY="0.03125" LEYEZ="2.74164" LPUPILD="0.00598" LPUPILV="0" REYEX="0.01688" REYEY="0.00811" REYEZ="0.64332" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.07750" BKPMIN="21" />
<REC FPOGX="0.64967" FPOGY="0.48787" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.64957" LPOGY="0.48608" LPOGV="1" RPOGX="0.40800" RPOGY="1.10289" RPOGV="0" BPOGX="0.64957" BPOGY="0.48608" BPOGV="1" LPCX="0.56128" LPCY="0.45798" LPD="26.78100" LPS="0.92556" LPV="1" RPCX="0.56742" RPCY="0.45799" RPD="14.62794" RPS="0.92556" RPV="0" LEYEX="0.01474" LEYEY="0.00707" LEYEZ="0.62819" LPUPILD="0.00600" LPUPILV="1" REYEX="0.01688" REYEY="0.00811" REYEZ="0.64332" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.58392" FPOGY="0.49826" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.59730" LPOGY="0.51000" LPOGV="1" RPOGX="0.43903" RPOGY="0.50731" RPOGV="1" BPOGX="0.51816" BPOGY="0.50866" BPOGV="1" LPCX="0.31119" LPCY="0.46703" LPD="26.52358" LPS="0.93121" LPV="1" RPCX="0.56046" RPCY="0.45747" RPD="28.57629" RPS="0.93121" RPV="1" LEYEX="0.01474" LEYEY="0.00707" LEYEZ="0.62819" LPUPILD="0.00610" LPUPILV="1" REYEX="0.01688" REYEY="0.00811" REYEZ="0.64332" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.56040" FPOGY="0.47200" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.60559" LPOGY="0.44228" LPOGV="1" RPOGX="0.42117" RPOGY="0.39664" RPOGV="1" BPOGX="0.51338" BPOGY="0.41946" BPOGV="1" LPCX="0.31072" LPCY="0.46713" LPD="27.00584" LPS="0.93687" LPV="1" RPCX="0.56007" RPCY="0.45789" RPD="27.65733" RPS="0.93687" RPV="1" LEYEX="0.01474" LEYEY="0.00707" LEYEZ="0.62819" LPUPILD="0.00601" LPUPILV="1" REYEX="0.01688" REYEY="0.00811" REYEZ="0.64332" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.51499" FPOGY="0.44999" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.60559" LPOGY="0.44228" LPOGV="1" RPOGX="0.42127" RPOGY="0.40143" RPOGV="1" BPOGX="0.51343" BPOGY="0.42185" BPOGV="1" LPCX="0.31046" LPCY="0.46713" LPD="27.25069" LPS="0.93687" LPV="1" RPCX="0.55978" RPCY="0.45784" RPD="27.80126" RPS="0.93044" RPV="1" LEYEX="-0.04450" LEYEY="0.00505" LEYEZ="0.61188" LPUPILD="0.00609" LPUPILV="1" REYEX="0.01428" REYEY="0.00698" REYEZ="0.62459" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.51662" FPOGY="0.43885" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.62230" LPOGY="0.45029" LPOGV="1" RPOGX="0.41419" RPOGY="0.40514" RPOGV="1" BPOGX="0.51824" BPOGY="0.42772" BPOGV="1" LPCX="0.30946" LPCY="0.46758" LPD="27.51550" LPS="0.92478" LPV="1" RPCX="0.55908" RPCY="0.45769" RPD="28.28127" RPS="0.91835" RPV="1" LEYEX="-0.04450" LEYEY="0.00505" LEYEZ="0.61188" LPUPILD="0.00609" LPUPILV="1" REYEX="0.01428" REYEY="0.00698" REYEZ="0.62459" RPUPILD="0.00590" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.51326" FPOGY="0.42604" FPOGS="2037.27209" FPOGD="0.22131" FPOGID="4735" FPOGV="0" LPOGX="0.60438" LPOGY="0.43342" LPOGV="1" RPOGX="0.40871" RPOGY="0.36740" RPOGV="1" BPOGX="0.50655" BPOGY="0.40041" BPOGV="1" LPCX="0.30904" LPCY="0.46738" LPD="28.24691" LPS="0.91269" LPV="1" RPCX="0.55869" RPCY="0.45739" RPD="28.82485" RPS="0.90626" RPV="1" LEYEX="-0.04450" LEYEY="0.00505" LEYEZ="0.61188" LPUPILD="0.00605" LPUPILV="1" REYEX="0.01428" REYEY="0.00698" REYEZ="0.62459" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
