2025-05-28 15:00:37.460074
1" REYEZ="0.69639" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60154" FPOGY="0.32834" FPOGS="3697.10376" FPOGD="0.10010" FPOGID="7547" FPOGV="1" LPOGX="0.69034" LPOGY="0.40032" LPOGV="1" RPOGX="0.52076" RPOGY="0.22541" RPOGV="1" BPOGX="0.60555" BPOGY="0.31287" BPOGV="1" LPCX="0.23092" LPCY="0.69097" LPD="23.47437" LPS="0.99734" LPV="1" RPCX="0.49539" RPCY="0.69656" RPD="22.20148" RPS="1.01262" RPV="1" LEYEX="-0.06628" LEYEY="-0.03878" LEYEZ="0.64151" LPUPILD="0.00468" LPUPILV="1" REYEX="-0.00157" REYEY="-0.04351" REYEZ="0.69639" RPUPILD="0.00450" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59866" FPOGY="0.36353" FPOGS="3698.06128" FPOGD="0.05981" FPOGID="7550" FPOGV="1" LPOGX="0.65329" LPOGY="0.38797" LPOGV="1" RPOGX="0.52993" RPOGY="0.34005" RPOGV="1" BPOGX="0.59161" BPOGY="0.36401" BPOGV="1" LPCX="0.23054" LPCY="0.69188" LPD="24.41021" LPS="0.98835" LPV="1" RPCX="0.49483" RPCY="0.69757" RPD="24.03506" RPS="0.98116" RPV="1" LEYEX="-0.06630" LEYEY="-0.03893" LEYEZ="0.64080" LPUPILD="0.00488" LPUPILV="1" REYEX="-0.00155" REYEY="-0.04033" REYEZ="0.64473" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.59884" FPOGY="0.36507" FPOGS="3698.06128" FPOGD="0.06665" FPOGID="7550" FPOGV="1" LPOGX="0.68134" LPOGY="0.40816" LPOGV="1" RPOGX="0.52001" RPOGY="0.35275" RPOGV="1" BPOGX="0.60068" BPOGY="0.38046" BPOGV="1" LPCX="0.23048" LPCY="0.69188" LPD="24.31685" LPS="0.98116" LPV="1" RPCX="0.49473" RPCY="0.69758" RPD="24.09698" RPS="0.97397" RPV="1" LEYEX="-0.06630" LEYEY="-0.03893" LEYEZ="0.64080" LPUPILD="0.00488" LPUPILV="1" REYEX="-0.00155" REYEY="-0.04033" REYEZ="0.64473" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.59900" FPOGY="0.36636" FPOGS="3698.06128" FPOGD="0.07324" FPOGID="7550" FPOGV="1" LPOGX="0.68134" LPOGY="0.40827" LPOGV="1" RPOGX="0.52000" RPOGY="0.35287" RPOGV="1" BPOGX="0.60067" BPOGY="0.38057" BPOGV="1" LPCX="0.23044" LPCY="0.69191" LPD="24.43147" LPS="0.98100" LPV="1" RPCX="0.49473" RPCY="0.69750" RPD="24.16170" RPS="0.97381" RPV="1" LEYEX="-0.06826" LEYEY="-0.04005" LEYEZ="0.65924" LPUPILD="0.00487" LPUPILV="1" REYEX="-0.00155" REYEY="-0.04033" REYEZ="0.64473" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.59934" FPOGY="0.36595" FPOGS="3698.06128" FPOGD="0.08057" FPOGID="7550" FPOGV="1" LPOGX="0.69458" LPOGY="0.39570" LPOGV="1" RPOGX="0.51247" RPOGY="0.32626" RPOGV="1" BPOGX="0.60353" BPOGY="0.36098" BPOGV="1" LPCX="0.23032" LPCY="0.69190" LPD="24.43265" LPS="0.98084" LPV="1" RPCX="0.49465" RPCY="0.69749" RPD="24.28085" RPS="0.98084" RPV="1" LEYEX="-0.06826" LEYEY="-0.04005" LEYEZ="0.65924" LPUPILD="0.00489" LPUPILV="1" REYEX="-0.00155" REYEY="-0.04033" REYEZ="0.64473" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60052" FPOGY="0.36517" FPOGS="3698.06128" FPOGD="0.08667" FPOGID="7550" FPOGV="1" LPOGX="0.69315" LPOGY="0.39978" LPOGV="1" RPOGX="0.53857" RPOGY="0.31036" RPOGV="1" BPOGX="0.61586" BPOGY="0.35507" BPOGV="1" LPCX="0.23024" LPCY="0.69191" LPD="24.51896" LPS="0.98786" LPV="1" RPCX="0.49459" RPCY="0.69749" RPD="24.15165" RPS="0.98786" RPV="1" LEYEX="-0.06826" LEYEY="-0.04005" LEYEZ="0.65924" LPUPILD="0.00487" LPUPILV="1" REYEX="-0.00155" REYEY="-0.04033" REYEZ="0.64473" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60157" FPOGY="0.36431" FPOGS="3698.06128" FPOGD="0.09351" FPOGID="7550" FPOGV="1" LPOGX="0.69315" LPOGY="0.39978" LPOGV="1" RPOGX="0.53927" RPOGY="0.30472" RPOGV="1" BPOGX="0.61621" BPOGY="0.35225" BPOGV="1" LPCX="0.23023" LPCY="0.69192" LPD="24.45101" LPS="0.98786" LPV="1" RPCX="0.49460" RPCY="0.69742" RPD="23.95406" RPS="0.99505" RPV="1" LEYEX="-0.06591" LEYEY="-0.03864" LEYEZ="0.63604" LPUPILD="0.00488" LPUPILV="1" REYEX="-0.00164" REYEY="-0.04136" REYEZ="0.66116" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60148" FPOGY="0.36417" FPOGS="3698.06128" FPOGD="0.10034" FPOGID="7550" FPOGV="1" LPOGX="0.67950" LPOGY="0.40362" LPOGV="1" RPOGX="0.52062" RPOGY="0.32068" RPOGV="1" BPOGX="0.60006" BPOGY="0.36215" BPOGV="1" LPCX="0.23008" LPCY="0.69200" LPD="24.16658" LPS="0.98802" LPV="1" RPCX="0.49432" RPCY="0.69732" RPD="24.28646" RPS="0.99521" RPV="1" LEYEX="-0.06591" LEYEY="-0.03864" LEYEZ="0.63604" LPUPILD="0.00488" LPUPILV="1" REYEX="-0.00164" REYEY="-0.04136" REYEZ="0.66116" RPUPILD="0.00456" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.60059" FPOGY="0.36330" FPOGS="3698.06128" FPOGD="0.10620" FPOGID="7550" FPOGV="1" LPOGX="0.66362" LPOGY="0.39905" LPOGV="1" RPOGX="0.50908" RPOGY="0.29974" RPOGV="1" BPOGX="0.58635" BPOGY="0.34940" BPOGV="1" LPCX="0.22992" LPCY="0.69191" LPD="24.38588" LPS="0.98819" LPV="1" RPCX="0.49430" RPCY="0.69731" RPD="24.31578" RPS="0.99538" RPV="1" LEYEX="-0.06591" LEYEY="-0.03864" LEYEZ="0.63604" LPUPILD="0.00491" LPUPILV="1" REYEX="-0.00164" REYEY="-0.04136" REYEZ="0.66116" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
