2025-05-28 15:02:17.800555
 REYEZ="0.62180" RPUPILD="0.00513" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="1.43606" FPOGY="0.96309" FPOGS="3797.45874" FPOGD="0.06787" FPOGID="7785" FPOGV="1" LPOGX="1.42255" LPOGY="0.94691" LPOGV="1" RPOGX="1.75613" RPOGY="0.51574" RPOGV="0" BPOGX="1.42255" BPOGY="0.94691" BPOGV="1" LPCX="0.33729" LPCY="0.73524" LPD="20.02566" LPS="0.87017" LPV="1" RPCX="0.58449" RPCY="0.73292" RPD="20.92259" RPS="0.87017" RPV="1" LEYEX="-0.17656" LEYEY="-0.19858" LEYEZ="2.71563" LPUPILD="0.00496" LPUPILV="0" REYEX="0.01571" REYEY="-0.04458" REYEZ="0.62180" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.69151" FPOGY="0.37888" FPOGS="3798.36938" FPOGD="0.08740" FPOGID="7788" FPOGV="1" LPOGX="0.72143" LPOGY="0.39706" LPOGV="1" RPOGX="0.54119" RPOGY="0.29727" RPOGV="1" BPOGX="0.63131" BPOGY="0.34717" BPOGV="1" LPCX="0.32905" LPCY="0.72565" LPD="22.56660" LPS="1.08767" LPV="1" RPCX="0.57856" RPCY="0.71653" RPD="21.63853" RPS="1.08767" RPV="1" LEYEX="-0.04494" LEYEY="-0.04843" LEYEZ="0.68264" LPUPILD="0.00475" LPUPILV="1" REYEX="0.02014" REYEY="-0.04672" REYEZ="0.68158" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.68458" FPOGY="0.37575" FPOGS="3798.36938" FPOGD="0.09424" FPOGID="7788" FPOGV="1" LPOGX="0.66578" LPOGY="0.41322" LPOGV="1" RPOGX="0.50949" RPOGY="0.25085" RPOGV="1" BPOGX="0.58764" BPOGY="0.33204" BPOGV="1" LPCX="0.32902" LPCY="0.72544" LPD="22.38237" LPS="1.08767" LPV="1" RPCX="0.57820" RPCY="0.71648" RPD="22.18290" RPS="1.08767" RPV="1" LEYEX="-0.04494" LEYEY="-0.04843" LEYEZ="0.68264" LPUPILD="0.00477" LPUPILV="1" REYEX="0.02014" REYEY="-0.04672" REYEZ="0.68158" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.67852" FPOGY="0.37302" FPOGS="3798.36938" FPOGD="0.10083" FPOGID="7788" FPOGV="1" LPOGX="0.66578" LPOGY="0.41322" LPOGV="1" RPOGX="0.50949" RPOGY="0.25085" RPOGV="1" BPOGX="0.58764" BPOGY="0.33204" BPOGV="1" LPCX="0.32884" LPCY="0.72535" LPD="22.53855" LPS="1.08767" LPV="1" RPCX="0.57795" RPCY="0.71607" RPD="22.16970" RPS="1.08767" RPV="1" LEYEX="-0.04533" LEYEY="-0.04896" LEYEZ="0.69006" LPUPILD="0.00473" LPUPILV="1" REYEX="0.02014" REYEY="-0.04662" REYEZ="0.68158" RPUPILD="0.00470" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.67460" FPOGY="0.37066" FPOGS="3798.36938" FPOGD="0.10693" FPOGID="7788" FPOGV="1" LPOGX="0.70782" LPOGY="0.39143" LPOGV="1" RPOGX="0.51577" RPOGY="0.27427" RPOGV="1" BPOGX="0.61179" BPOGY="0.33285" BPOGV="1" LPCX="0.32908" LPCY="0.72556" LPD="22.42917" LPS="1.08767" LPV="1" RPCX="0.57843" RPCY="0.71630" RPD="22.20868" RPS="1.08767" RPV="1" LEYEX="-0.04533" LEYEY="-0.04896" LEYEZ="0.69006" LPUPILD="0.00470" LPUPILV="1" REYEX="0.02014" REYEY="-0.04662" REYEZ="0.68158" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.67067" FPOGY="0.36883" FPOGS="3798.36938" FPOGD="0.11426" FPOGID="7788" FPOGV="1" LPOGX="0.69502" LPOGY="0.41185" LPOGV="1" RPOGX="0.51256" RPOGY="0.26368" RPOGV="1" BPOGX="0.60379" BPOGY="0.33777" BPOGV="1" LPCX="0.32936" LPCY="0.72561" LPD="22.66915" LPS="1.08767" LPV="1" RPCX="0.57874" RPCY="0.71644" RPD="22.10296" RPS="1.08767" RPV="1" LEYEX="-0.04533" LEYEY="-0.04896" LEYEZ="0.69006" LPUPILD="0.00476" LPUPILV="1" REYEX="0.02014" REYEY="-0.04662" REYEZ="0.68158" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.66713" FPOGY="0.36736" FPOGS="3798.36938" FPOGD="0.12061" FPOGID="7788" FPOGV="1" LPOGX="0.69502" LPOGY="0.41185" LPOGV="1" RPOGX="0.51203" RPOGY="0.26980" RPOGV="1" BPOGX="0.60353" BPOGY="0.34083" BPOGV="1" LPCX="0.32946" LPCY="0.72564" LPD="22.63512" LPS="1.08767" LPV="1" RPCX="0.57888" RPCY="0.71656" RPD="22.70114" RPS="1.07958" RPV="1" LEYEX="-0.04435" LEYEY="-0.04801" LEYEZ="0.67670" LPUPILD="0.00475" LPUPILV="1" REYEX="0.01957" REYEY="-0.04474" REYEZ="0.65407" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.66456" FPOGY="0.36494" FPOGS="3798.36938" FPOGD="0.12720" FPOGID="7788" FPOGV="1" LPOGX="0.69080" LPOGY="0.35782" LPOGV="1" RPOGX="0.54043" RPOGY="0.28042" RPOGV="1" BPOGX="0.61562" BPOGY="0.31912" BPOGV="1" LPCX="0.32981" LPCY="0.72579" LPD="22.69353" LPS="1.07958" LPV="1" RPCX="0.57931" RPCY="0.71644" RPD="22.63294" RPS="1.07149" RPV="1" LEYEX="-0.04435" LEYEY="-0.04801" LEYEZ="0.67670" LPUPILD="0.00480" LPUPILV="1" REYEX="0.01957" REYEY="-0.04474" REYEZ="0.65407" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.63414" FPOGY="0.35180" FPOGS="3798.36938" FPOGD="0.12720" FPOGID="7788" FPOGV="0" LPOGX="0.68310" LPOGY="0.37557" LPOGV="1" RPOGX="0.52054" RPOGY="0.30485" RPOGV="1" BPOGX="0.60182" BPOGY="0.34021" BPOGV="1" LPCX="0.33001" LPCY="0.72586" LPD="22.59569" LPS="1.07149" LPV="1" RPCX="0.57968" RPCY="0.71663" RPD="22.41692" RPS="1.06340" RPV="1" LEYEX="-0.04435" LEYEY="-0.04801" LEYEZ="0.67670" LPUPILD="0.00474" LPUPILV="1" REYEX="0.01957" REYEY="-0.04474" REYEZ="0.65407" RPUPILD="0.00474" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
