2025-06-03 15:56:49.907793
"0.67094" RPUPILD="0.00495" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54948" FPOGY="0.14328" FPOGS="39.45998" FPOGD="0.15395" FPOGID="135" FPOGV="1" LPOGX="0.56871" LPOGY="0.17519" LPOGV="1" RPOGX="0.51464" RPOGY="-0.00087" RPOGV="1" BPOGX="0.54167" BPOGY="0.08716" BPOGV="1" LPCX="0.33868" LPCY="0.72692" LPD="21.25409" LPS="1.04731" LPV="1" RPCX="0.58968" RPCY="0.72524" RPD="23.84809" RPS="1.04731" RPV="1" LEYEX="-0.04116" LEYEY="-0.04831" LEYEZ="0.67103" LPUPILD="0.00456" LPUPILV="1" REYEX="0.02279" REYEY="-0.04811" REYEZ="0.67094" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55226" FPOGY="0.18071" FPOGS="40.14964" FPOGD="0.36877" FPOGID="138" FPOGV="1" LPOGX="0.55619" LPOGY="0.19536" LPOGV="1" RPOGX="0.53501" RPOGY="0.10369" RPOGV="1" BPOGX="0.54560" BPOGY="0.14953" BPOGV="1" LPCX="0.32928" LPCY="0.72742" LPD="21.06521" LPS="1.04084" LPV="1" RPCX="0.58057" RPCY="0.72406" RPD="23.40191" RPS="1.04803" RPV="1" LEYEX="-0.04487" LEYEY="-0.04986" LEYEZ="0.69106" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02012" REYEY="-0.04721" REYEZ="0.66266" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55221" FPOGY="0.18045" FPOGS="40.14964" FPOGD="0.37569" FPOGID="138" FPOGV="1" LPOGX="0.55627" LPOGY="0.19595" LPOGV="1" RPOGX="0.53494" RPOGY="0.10436" RPOGV="1" BPOGX="0.54561" BPOGY="0.15015" BPOGV="1" LPCX="0.32916" LPCY="0.72746" LPD="21.09244" LPS="1.04012" LPV="1" RPCX="0.58052" RPCY="0.72407" RPD="23.32740" RPS="1.04731" RPV="1" LEYEX="-0.04267" LEYEY="-0.04736" LEYEZ="0.65643" LPUPILD="0.00456" LPUPILV="1" REYEX="0.01986" REYEY="-0.04665" REYEZ="0.65398" RPUPILD="0.00479" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55184" FPOGY="0.18030" FPOGS="40.14964" FPOGD="0.38205" FPOGID="138" FPOGV="1" LPOGX="0.55284" LPOGY="0.19693" LPOGV="1" RPOGX="0.52068" RPOGY="0.11783" RPOGV="1" BPOGX="0.53676" BPOGY="0.15738" BPOGV="1" LPCX="0.32916" LPCY="0.72730" LPD="20.56931" LPS="1.03941" LPV="1" RPCX="0.58051" RPCY="0.72410" RPD="23.32221" RPS="1.03941" RPV="1" LEYEX="-0.04267" LEYEY="-0.04736" LEYEZ="0.65643" LPUPILD="0.00451" LPUPILV="1" REYEX="0.01986" REYEY="-0.04665" REYEZ="0.65398" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55150" FPOGY="0.18016" FPOGS="40.14964" FPOGD="0.38887" FPOGID="138" FPOGV="1" LPOGX="0.54442" LPOGY="0.19477" LPOGV="1" RPOGX="0.52196" RPOGY="0.11348" RPOGV="1" BPOGX="0.53319" BPOGY="0.15412" BPOGV="1" LPCX="0.32908" LPCY="0.72730" LPD="20.68557" LPS="1.03150" LPV="1" RPCX="0.58049" RPCY="0.72398" RPD="23.32249" RPS="1.03150" RPV="1" LEYEX="-0.04267" LEYEY="-0.04736" LEYEZ="0.65643" LPUPILD="0.00451" LPUPILV="1" REYEX="0.01986" REYEY="-0.04665" REYEZ="0.65398" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55114" FPOGY="0.18009" FPOGS="40.14964" FPOGD="0.39541" FPOGID="138" FPOGV="1" LPOGX="0.54542" LPOGY="0.20132" LPOGV="1" RPOGX="0.52134" RPOGY="0.12092" RPOGV="1" BPOGX="0.53338" BPOGY="0.16112" BPOGV="1" LPCX="0.32906" LPCY="0.72728" LPD="20.68861" LPS="1.02360" LPV="1" RPCX="0.58049" RPCY="0.72408" RPD="23.31331" RPS="1.02360" RPV="1" LEYEX="-0.04267" LEYEY="-0.04736" LEYEZ="0.65643" LPUPILD="0.00451" LPUPILV="1" REYEX="0.02012" REYEY="-0.04731" REYEZ="0.66266" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55102" FPOGY="0.18035" FPOGS="40.14964" FPOGD="0.40240" FPOGID="138" FPOGV="1" LPOGX="0.57472" LPOGY="0.22360" LPOGV="1" RPOGX="0.51261" RPOGY="0.12865" RPOGV="1" BPOGX="0.54366" BPOGY="0.17613" BPOGV="1" LPCX="0.32881" LPCY="0.72748" LPD="20.82171" LPS="1.02360" LPV="1" RPCX="0.58043" RPCY="0.72402" RPD="23.43256" RPS="1.02360" RPV="1" LEYEX="-0.04267" LEYEY="-0.04736" LEYEZ="0.65643" LPUPILD="0.00445" LPUPILV="1" REYEX="0.02012" REYEY="-0.04731" REYEZ="0.66266" RPUPILD="0.00476" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55105" FPOGY="0.18059" FPOGS="40.14964" FPOGD="0.40925" FPOGID="138" FPOGV="1" LPOGX="0.56796" LPOGY="0.21503" LPOGV="1" RPOGX="0.53597" RPOGY="0.12200" RPOGV="1" BPOGX="0.55197" BPOGY="0.16851" BPOGV="1" LPCX="0.32884" LPCY="0.72736" LPD="20.62495" LPS="1.02360" LPV="1" RPCX="0.58018" RPCY="0.72409" RPD="23.46816" RPS="1.02360" RPV="1" LEYEX="-0.04267" LEYEY="-0.04736" LEYEZ="0.65643" LPUPILD="0.00444" LPUPILV="1" REYEX="0.02012" REYEY="-0.04731" REYEZ="0.66266" RPUPILD="0.00481" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.55107" FPOGY="0.18095" FPOGS="40.14964" FPOGD="0.41550" FPOGID="138" FPOGV="1" LPOGX="0.56870" LPOGY="0.22078" LPOGV="1" RPOGX="0.53468" RPOGY="0.13535" RPOGV="1" BPOGX="0.55169" BPOGY="0.17807" BPOGV="1" LPCX="0.32879" LPCY="0.72735" LPD="20.74292" LPS="1.01657" LPV="1" RPCX="0.58027" RPCY="0.72396" RPD="22.90112" RPS="1.00938" RPV="1" LEYEX="-0.04190" LEYEY="-0.04645" LEYEZ="0.64375" LPUPILD="0.00443" LPUPILV="1" REYEX="0.01944" REYEY="-0.04578" REYEZ="0.64189" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
