2025-06-03 16:03:25.123529
REYEZ="0.68408" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54920" FPOGY="0.09784" FPOGS="434.33041" FPOGD="0.49921" FPOGID="1484" FPOGV="1" LPOGX="0.58415" LPOGY="0.23090" LPOGV="1" RPOGX="0.55413" RPOGY="-0.04253" RPOGV="1" BPOGX="0.56914" BPOGY="0.09419" BPOGV="1" LPCX="0.27240" LPCY="0.72600" LPD="20.85184" LPS="1.07178" LPV="1" RPCX="0.51383" RPCY="0.71099" RPD="23.86532" RPS="1.07987" RPV="1" LEYEX="-0.05875" LEYEY="-0.04841" LEYEZ="0.67661" LPUPILD="0.00465" LPUPILV="1" REYEX="0.00328" REYEY="-0.04618" REYEZ="0.68408" RPUPILD="0.00530" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56153" FPOGY="0.10607" FPOGS="435.36539" FPOGD="0.37482" FPOGID="1486" FPOGV="1" LPOGX="0.53618" LPOGY="0.27037" LPOGV="1" RPOGX="0.53673" RPOGY="0.05752" RPOGV="1" BPOGX="0.53646" BPOGY="0.16395" BPOGV="1" LPCX="0.27905" LPCY="0.72741" LPD="21.23140" LPS="1.08796" LPV="1" RPCX="0.52039" RPCY="0.71287" RPD="24.96465" RPS="1.09713" RPV="1" LEYEX="-0.05695" LEYEY="-0.04855" LEYEZ="0.67575" LPUPILD="0.00474" LPUPILV="1" REYEX="0.00515" REYEY="-0.04802" REYEZ="0.70753" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56145" FPOGY="0.10813" FPOGS="435.36539" FPOGD="0.38165" FPOGID="1486" FPOGV="1" LPOGX="0.56350" LPOGY="0.28196" LPOGV="1" RPOGX="0.53194" RPOGY="0.04177" RPOGV="1" BPOGX="0.54772" BPOGY="0.16186" BPOGV="1" LPCX="0.27903" LPCY="0.72742" LPD="21.33160" LPS="1.09713" LPV="1" RPCX="0.52031" RPCY="0.71275" RPD="24.95331" RPS="1.10629" RPV="1" LEYEX="-0.05695" LEYEY="-0.04855" LEYEZ="0.67575" LPUPILD="0.00474" LPUPILV="1" REYEX="0.00515" REYEY="-0.04802" REYEZ="0.70753" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56142" FPOGY="0.10927" FPOGS="435.36539" FPOGD="0.38815" FPOGID="1486" FPOGV="1" LPOGX="0.55827" LPOGY="0.26799" LPOGV="1" RPOGX="0.56196" RPOGY="0.02481" RPOGV="1" BPOGX="0.56012" BPOGY="0.14640" BPOGV="1" LPCX="0.27896" LPCY="0.72728" LPD="21.04500" LPS="1.10629" LPV="1" RPCX="0.52026" RPCY="0.71278" RPD="25.10598" RPS="1.11546" RPV="1" LEYEX="-0.05695" LEYEY="-0.04855" LEYEZ="0.67575" LPUPILD="0.00471" LPUPILV="1" REYEX="0.00515" REYEY="-0.04802" REYEZ="0.70753" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56136" FPOGY="0.11026" FPOGS="435.36539" FPOGD="0.39554" FPOGID="1486" FPOGV="1" LPOGX="0.55730" LPOGY="0.26148" LPOGV="1" RPOGX="0.56112" RPOGY="0.03246" RPOGV="1" BPOGX="0.55921" BPOGY="0.14697" BPOGV="1" LPCX="0.27891" LPCY="0.72729" LPD="21.42448" LPS="1.11546" LPV="1" RPCX="0.52031" RPCY="0.71275" RPD="24.75903" RPS="1.10737" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00468" LPUPILV="1" REYEX="0.00466" REYEY="-0.04438" REYEZ="0.65462" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56199" FPOGY="0.11085" FPOGS="435.36539" FPOGD="0.40198" FPOGID="1486" FPOGV="1" LPOGX="0.58067" LPOGY="0.25210" LPOGV="1" RPOGX="0.58104" RPOGY="0.03729" RPOGV="1" BPOGX="0.58086" BPOGY="0.14469" BPOGV="1" LPCX="0.27863" LPCY="0.72722" LPD="21.15684" LPS="1.10737" LPV="1" RPCX="0.52024" RPCY="0.71258" RPD="24.87567" RPS="1.09012" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00467" LPUPILV="1" REYEX="0.00466" REYEY="-0.04438" REYEZ="0.65462" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56238" FPOGY="0.11121" FPOGS="435.36539" FPOGD="0.40833" FPOGID="1486" FPOGV="1" LPOGX="0.57275" LPOGY="0.21732" LPOGV="1" RPOGX="0.58652" RPOGY="0.04825" RPOGV="1" BPOGX="0.57964" BPOGY="0.13278" BPOGV="1" LPCX="0.27863" LPCY="0.72717" LPD="21.23254" LPS="1.09012" LPV="1" RPCX="0.52013" RPCY="0.71258" RPD="24.87528" RPS="1.07286" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00468" LPUPILV="1" REYEX="0.00466" REYEY="-0.04438" REYEZ="0.65462" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.56278" FPOGY="0.11180" FPOGS="435.36539" FPOGD="0.41577" FPOGID="1486" FPOGV="1" LPOGX="0.57438" LPOGY="0.23058" LPOGV="1" RPOGX="0.58533" RPOGY="0.05705" RPOGV="1" BPOGX="0.57986" BPOGY="0.14381" BPOGV="1" LPCX="0.27859" LPCY="0.72717" LPD="21.32504" LPS="1.07286" LPV="1" RPCX="0.52014" RPCY="0.71256" RPD="24.82579" RPS="1.06369" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00475" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00538" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55830" FPOGY="0.13760" FPOGS="435.36539" FPOGD="0.41577" FPOGID="1486" FPOGV="0" LPOGX="0.56712" LPOGY="0.25440" LPOGV="1" RPOGX="0.56887" RPOGY="0.02800" RPOGV="1" BPOGX="0.56799" BPOGY="0.14120" BPOGV="1" LPCX="0.27859" LPCY="0.72708" LPD="21.30648" LPS="1.06369" LPV="1" RPCX="0.51997" RPCY="0.71246" RPD="24.89485" RPS="1.07178" RPV="1" LEYEX="-0.05730" LEYEY="-0.04877" LEYEZ="0.67872" LPUPILD="0.00474" LPUPILV="1" REYEX="0.00473" REYEY="-0.04551" REYEZ="0.67126" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
