2025-06-04 15:50:05.129328
" REYEZ="0.72823" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.55330" FPOGY="0.12464" FPOGS="6226.04639" FPOGD="0.25342" FPOGID="13081" FPOGV="0" LPOGX="0.59277" LPOGY="0.25694" LPOGV="1" RPOGX="0.51527" RPOGY="0.01843" RPOGV="1" BPOGX="0.55402" BPOGY="0.13769" BPOGV="1" LPCX="0.34490" LPCY="0.60495" LPD="20.38243" LPS="1.20259" LPV="1" RPCX="0.58132" RPCY="0.60725" RPD="22.54475" RPS="1.19212" RPV="1" LEYEX="-0.04168" LEYEY="-0.02421" LEYEZ="0.70625" LPUPILD="0.00476" LPUPILV="1" REYEX="0.02145" REYEY="-0.02444" REYEZ="0.69616" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54567" FPOGY="0.17044" FPOGS="6227.02393" FPOGD="0.20068" FPOGID="13083" FPOGV="1" LPOGX="0.58488" LPOGY="0.24866" LPOGV="1" RPOGX="0.52271" RPOGY="0.08851" RPOGV="1" BPOGX="0.55379" BPOGY="0.16859" BPOGV="1" LPCX="0.34723" LPCY="0.60526" LPD="22.51638" LPS="1.13361" LPV="1" RPCX="0.58363" RPCY="0.60801" RPD="25.38307" RPS="1.12444" RPV="1" LEYEX="-0.03911" LEYEY="-0.02304" LEYEZ="0.67215" LPUPILD="0.00512" LPUPILV="1" REYEX="0.02173" REYEY="-0.02419" REYEZ="0.68346" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54609" FPOGY="0.17111" FPOGS="6227.02393" FPOGD="0.20752" FPOGID="13083" FPOGV="1" LPOGX="0.59219" LPOGY="0.26771" LPOGV="1" RPOGX="0.52649" RPOGY="0.11628" RPOGV="1" BPOGX="0.55934" BPOGY="0.19199" BPOGV="1" LPCX="0.34725" LPCY="0.60532" LPD="22.48570" LPS="1.11548" LPV="1" RPCX="0.58370" RPCY="0.60814" RPD="25.43206" RPS="1.10632" RPV="1" LEYEX="-0.03911" LEYEY="-0.02304" LEYEZ="0.67215" LPUPILD="0.00514" LPUPILV="1" REYEX="0.02173" REYEY="-0.02419" REYEZ="0.68346" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54651" FPOGY="0.17184" FPOGS="6227.02393" FPOGD="0.21436" FPOGID="13083" FPOGV="1" LPOGX="0.59289" LPOGY="0.27423" LPOGV="1" RPOGX="0.52649" RPOGY="0.11628" RPOGV="1" BPOGX="0.55969" BPOGY="0.19525" BPOGV="1" LPCX="0.34733" LPCY="0.60534" LPD="22.64488" LPS="1.10632" LPV="1" RPCX="0.58373" RPCY="0.60817" RPD="25.46392" RPS="1.10632" RPV="1" LEYEX="-0.04045" LEYEY="-0.02391" LEYEZ="0.69611" LPUPILD="0.00507" LPUPILV="1" REYEX="0.02221" REYEY="-0.02467" REYEZ="0.69682" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54749" FPOGY="0.17212" FPOGS="6227.02393" FPOGD="0.22021" FPOGID="13083" FPOGV="1" LPOGX="0.60818" LPOGY="0.26776" LPOGV="1" RPOGX="0.55150" RPOGY="0.09507" RPOGV="1" BPOGX="0.57984" BPOGY="0.18141" BPOGV="1" LPCX="0.34744" LPCY="0.60531" LPD="22.73241" LPS="1.11527" LPV="1" RPCX="0.58388" RPCY="0.60817" RPD="25.37527" RPS="1.12444" RPV="1" LEYEX="-0.04045" LEYEY="-0.02391" LEYEZ="0.69611" LPUPILD="0.00510" LPUPILV="1" REYEX="0.02221" REYEY="-0.02467" REYEZ="0.69682" RPUPILD="0.00537" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54767" FPOGY="0.17172" FPOGS="6227.02393" FPOGD="0.22754" FPOGID="13083" FPOGV="1" LPOGX="0.55734" LPOGY="0.24038" LPOGV="1" RPOGX="0.55053" RPOGY="0.07593" RPOGV="1" BPOGX="0.55394" BPOGY="0.15815" BPOGV="1" LPCX="0.34746" LPCY="0.60530" LPD="22.75590" LPS="1.13340" LPV="1" RPCX="0.58390" RPCY="0.60824" RPD="25.47442" RPS="1.14257" RPV="1" LEYEX="-0.04045" LEYEY="-0.02391" LEYEZ="0.69611" LPUPILD="0.00509" LPUPILV="1" REYEX="0.02221" REYEY="-0.02467" REYEZ="0.69682" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54783" FPOGY="0.17083" FPOGS="6227.02393" FPOGD="0.23486" FPOGID="13083" FPOGV="1" LPOGX="0.55440" LPOGY="0.22007" LPOGV="1" RPOGX="0.55231" RPOGY="0.05904" RPOGV="1" BPOGX="0.55336" BPOGY="0.13955" BPOGV="1" LPCX="0.34749" LPCY="0.60532" LPD="22.60858" LPS="1.16176" LPV="1" RPCX="0.58389" RPCY="0.60821" RPD="25.46531" RPS="1.16176" RPV="1" LEYEX="-0.04239" LEYEY="-0.02514" LEYEZ="0.73035" LPUPILD="0.00516" LPUPILV="1" REYEX="0.02162" REYEY="-0.02395" REYEZ="0.67669" RPUPILD="0.00542" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54745" FPOGY="0.16987" FPOGS="6227.02393" FPOGD="0.24072" FPOGID="13083" FPOGV="1" LPOGX="0.57099" LPOGY="0.19963" LPOGV="1" RPOGX="0.49666" RPOGY="0.07125" RPOGV="1" BPOGX="0.53382" BPOGY="0.13544" BPOGV="1" LPCX="0.34747" LPCY="0.60531" LPD="22.68243" LPS="1.17200" LPV="1" RPCX="0.58407" RPCY="0.60822" RPD="25.46418" RPS="1.16283" RPV="1" LEYEX="-0.04239" LEYEY="-0.02514" LEYEZ="0.73035" LPUPILD="0.00509" LPUPILV="1" REYEX="0.02162" REYEY="-0.02395" REYEZ="0.67669" RPUPILD="0.00537" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.54686" FPOGY="0.16867" FPOGS="6227.02393" FPOGD="0.24707" FPOGID="13083" FPOGV="1" LPOGX="0.55402" LPOGY="0.18970" LPOGV="1" RPOGX="0.49610" RPOGY="0.05879" RPOGV="1" BPOGX="0.52506" BPOGY="0.12425" BPOGV="1" LPCX="0.34793" LPCY="0.60564" LPD="23.71215" LPS="1.17307" LPV="1" RPCX="0.58407" RPCY="0.60819" RPD="25.43811" RPS="1.16391" RPV="1" LEYEX="-0.04239" LEYEY="-0.02514" LEYEZ="0.73035" LPUPILD="0.00509" LPUPILV="1" REYEX="0.02162" REYEY="-0.02395" REYEZ="0.67669" RPUPILD="0.00543" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
