2025-06-04 15:51:12.303699
REYEZ="0.71933" RPUPILD="0.00576" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<REC FPOGX="0.53888" FPOGY="0.01760" FPOGS="6293.33789" FPOGD="0.14746" FPOGID="13303" FPOGV="1" LPOGX="0.57647" LPOGY="0.09356" LPOGV="1" RPOGX="0.51132" RPOGY="-0.12999" RPOGV="1" BPOGX="0.54390" BPOGY="-0.01821" BPOGV="1" LPCX="0.34924" LPCY="0.57764" LPD="22.03037" LPS="1.24367" LPV="1" RPCX="0.57543" RPCY="0.57400" RPD="24.82182" RPS="1.24367" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00533" LPUPILV="0" REYEX="0.02028" REYEY="-0.01867" REYEZ="0.71933" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="2" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55150" FPOGY="0.11276" FPOGS="6294.31592" FPOGD="0.09375" FPOGID="13306" FPOGV="1" LPOGX="0.58602" LPOGY="0.19462" LPOGV="1" RPOGX="0.50550" RPOGY="0.07811" RPOGV="1" BPOGX="0.54576" BPOGY="0.13636" BPOGV="1" LPCX="0.35690" LPCY="0.56993" LPD="24.27553" LPS="1.18256" LPV="1" RPCX="0.58603" RPCY="0.56852" RPD="24.55374" RPS="1.18256" RPV="1" LEYEX="-0.04040" LEYEY="-0.01711" LEYEZ="0.73812" LPUPILD="0.00535" LPUPILV="1" REYEX="0.02279" REYEY="-0.01611" REYEZ="0.70204" RPUPILD="0.00581" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55113" FPOGY="0.11329" FPOGS="6294.31592" FPOGD="0.10059" FPOGID="13306" FPOGV="1" LPOGX="0.58456" LPOGY="0.18062" LPOGV="1" RPOGX="0.50655" RPOGY="0.06175" RPOGV="1" BPOGX="0.54555" BPOGY="0.12119" BPOGV="1" LPCX="0.35672" LPCY="0.57013" LPD="23.38754" LPS="1.20176" LPV="1" RPCX="0.58599" RPCY="0.56926" RPD="25.19945" RPS="1.20176" RPV="1" LEYEX="-0.03967" LEYEY="-0.01738" LEYEZ="0.72878" LPUPILD="0.00543" LPUPILV="1" REYEX="0.02306" REYEY="-0.01681" REYEZ="0.70685" RPUPILD="0.00570" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54991" FPOGY="0.11354" FPOGS="6294.31592" FPOGD="0.10742" FPOGID="13306" FPOGV="1" LPOGX="0.52577" LPOGY="0.19298" LPOGV="1" RPOGX="0.53498" RPOGY="0.04201" RPOGV="1" BPOGX="0.53037" BPOGY="0.11750" BPOGV="1" LPCX="0.35666" LPCY="0.57129" LPD="22.97369" LPS="1.20176" LPV="1" RPCX="0.58607" RPCY="0.57099" RPD="25.43799" RPS="1.20176" RPV="1" LEYEX="-0.03967" LEYEY="-0.01738" LEYEZ="0.72878" LPUPILD="0.00540" LPUPILV="1" REYEX="0.02306" REYEY="-0.01681" REYEZ="0.70685" RPUPILD="0.00579" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54951" FPOGY="0.11241" FPOGS="6294.31592" FPOGD="0.11377" FPOGID="13306" FPOGV="1" LPOGX="0.56131" LPOGY="0.14471" LPOGV="1" RPOGX="0.52440" RPOGY="0.04190" RPOGV="1" BPOGX="0.54285" BPOGY="0.09330" BPOGV="1" LPCX="0.35721" LPCY="0.57223" LPD="24.15070" LPS="1.20176" LPV="1" RPCX="0.58631" RPCY="0.57157" RPD="25.19801" RPS="1.20176" RPV="1" LEYEX="-0.03967" LEYEY="-0.01738" LEYEZ="0.72878" LPUPILD="0.00538" LPUPILV="1" REYEX="0.02306" REYEY="-0.01681" REYEZ="0.70685" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54919" FPOGY="0.11160" FPOGS="6294.31592" FPOGD="0.12012" FPOGID="13306" FPOGV="1" LPOGX="0.56227" LPOGY="0.15243" LPOGV="1" RPOGX="0.52442" RPOGY="0.04169" RPOGV="1" BPOGX="0.54335" BPOGY="0.09706" BPOGV="1" LPCX="0.35700" LPCY="0.57227" LPD="22.73158" LPS="1.19152" LPV="1" RPCX="0.58668" RPCY="0.57172" RPD="24.93461" RPS="1.20200" RPV="1" LEYEX="-0.03794" LEYEY="-0.01706" LEYEZ="0.69786" LPUPILD="0.00540" LPUPILV="1" REYEX="0.02381" REYEY="-0.01784" REYEZ="0.72502" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54922" FPOGY="0.11120" FPOGS="6294.31592" FPOGD="0.12695" FPOGID="13306" FPOGV="1" LPOGX="0.57809" LPOGY="0.21410" LPOGV="1" RPOGX="0.52153" RPOGY="-0.00697" RPOGV="1" BPOGX="0.54981" BPOGY="0.10357" BPOGV="1" LPCX="0.35728" LPCY="0.57341" LPD="23.26143" LPS="1.19176" LPV="1" RPCX="0.58665" RPCY="0.57350" RPD="25.34707" RPS="1.20224" RPV="1" LEYEX="-0.03794" LEYEY="-0.01706" LEYEZ="0.69786" LPUPILD="0.00545" LPUPILV="1" REYEX="0.02381" REYEY="-0.01784" REYEZ="0.72502" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54934" FPOGY="0.10874" FPOGS="6294.31592" FPOGD="0.13379" FPOGID="13306" FPOGV="1" LPOGX="0.57606" LPOGY="0.14271" LPOGV="1" RPOGX="0.52744" RPOGY="-0.02377" RPOGV="1" BPOGX="0.55175" BPOGY="0.05947" BPOGV="1" LPCX="0.35756" LPCY="0.57424" LPD="24.06514" LPS="1.19200" LPV="1" RPCX="0.58676" RPCY="0.57414" RPD="25.35362" RPS="1.20248" RPV="1" LEYEX="-0.03794" LEYEY="-0.01706" LEYEZ="0.69786" LPUPILD="0.00543" LPUPILV="1" REYEX="0.02381" REYEY="-0.01784" REYEZ="0.72502" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.54943" FPOGY="0.10632" FPOGS="6294.31592" FPOGD="0.14062" FPOGID="13306" FPOGV="1" LPOGX="0.57518" LPOGY="0.13471" LPOGV="1" RPOGX="0.52744" RPOGY="-0.02377" RPOGV="1" BPOGX="0.55131" BPOGY="0.05547" BPOGV="1" LPCX="0.35733" LPCY="0.57428" LPD="22.95922" LPS="1.20248" LPV="1" RPCX="0.58713" RPCY="0.57437" RPD="24.96997" RPS="1.20248" RPV="1" LEYEX="-0.03973" LEYEY="-0.01833" LEYEZ="0.73185" LPUPILD="0.00544" LPUPILV="1" REYEX="0.02337" REYEY="-0.01786" REYEZ="0.70660" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
