2025-07-15 10:12:39.192271
8929" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50031" FPOGY="0.17601" FPOGS="48.08059" FPOGD="0.91034" FPOGID="139" FPOGV="1" LPOGX="0.50967" LPOGY="0.11438" LPOGV="1" RPOGX="0.48067" RPOGY="0.27009" RPOGV="1" BPOGX="0.49517" BPOGY="0.19223" BPOGV="1" LPCX="0.33366" LPCY="0.45759" LPD="23.96647" LPS="0.81905" LPV="1" RPCX="0.61879" RPCY="0.45254" RPD="20.15579" RPS="0.81429" RPV="1" LEYEX="-0.03715" LEYEY="0.00585" LEYEZ="0.59060" LPUPILD="0.00445" LPUPILV="1" REYEX="0.02677" REYEY="0.00698" REYEZ="0.58929" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.50015" FPOGY="0.17655" FPOGS="48.08059" FPOGD="0.91779" FPOGID="139" FPOGV="1" LPOGX="0.50960" LPOGY="0.11398" LPOGV="1" RPOGX="0.48120" RPOGY="0.25967" RPOGV="1" BPOGX="0.49540" BPOGY="0.18682" BPOGV="1" LPCX="0.33334" LPCY="0.45771" LPD="24.45035" LPS="0.81941" LPV="1" RPCX="0.61845" RPCY="0.45272" RPD="20.44421" RPS="0.82464" RPV="1" LEYEX="-0.03799" LEYEY="0.00596" LEYEZ="0.60180" LPUPILD="0.00442" LPUPILV="1" REYEX="0.02781" REYEY="0.00732" REYEZ="0.61417" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52117" FPOGY="0.18140" FPOGS="49.60044" FPOGD="0.30898" FPOGID="141" FPOGV="1" LPOGX="0.53272" LPOGY="0.04049" LPOGV="1" RPOGX="0.49984" RPOGY="0.27254" RPOGV="1" BPOGX="0.51628" BPOGY="0.15652" BPOGV="1" LPCX="0.33980" LPCY="0.45589" LPD="25.04606" LPS="0.87000" LPV="1" RPCX="0.62600" RPCY="0.45159" RPD="20.90201" RPS="0.87000" RPV="1" LEYEX="-0.03693" LEYEY="0.00634" LEYEZ="0.60813" LPUPILD="0.00462" LPUPILV="1" REYEX="0.02924" REYEY="0.00754" REYEZ="0.60931" RPUPILD="0.00465" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.52101" FPOGY="0.18106" FPOGS="49.60044" FPOGD="0.31557" FPOGID="141" FPOGV="1" LPOGX="0.53279" LPOGY="0.05183" LPOGV="1" RPOGX="0.49375" RPOGY="0.27837" RPOGV="1" BPOGX="0.51327" BPOGY="0.16510" BPOGV="1" LPCX="0.33977" LPCY="0.45608" LPD="25.12542" LPS="0.87000" LPV="1" RPCX="0.62588" RPCY="0.45165" RPD="20.94121" RPS="0.87000" RPV="1" LEYEX="-0.03693" LEYEY="0.00634" LEYEZ="0.60813" LPUPILD="0.00461" LPUPILV="1" REYEX="0.02924" REYEY="0.00754" REYEZ="0.60931" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.52084" FPOGY="0.18028" FPOGS="49.60044" FPOGD="0.32207" FPOGID="141" FPOGV="1" LPOGX="0.53361" LPOGY="0.05765" LPOGV="1" RPOGX="0.49281" RPOGY="0.29244" RPOGV="1" BPOGX="0.51321" BPOGY="0.17505" BPOGV="1" LPCX="0.33986" LPCY="0.45615" LPD="24.96229" LPS="0.86488" LPV="1" RPCX="0.62582" RPCY="0.45173" RPD="21.02658" RPS="0.85488" RPV="1" LEYEX="-0.03622" LEYEY="0.00617" LEYEZ="0.59573" LPUPILD="0.00457" LPUPILV="1" REYEX="0.02748" REYEY="0.00711" REYEZ="0.57452" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.52103" FPOGY="0.17979" FPOGS="49.60044" FPOGD="0.32906" FPOGID="141" FPOGV="1" LPOGX="0.55870" LPOGY="0.10351" LPOGV="1" RPOGX="0.51218" RPOGY="0.28485" RPOGV="1" BPOGX="0.53544" BPOGY="0.19418" BPOGV="1" LPCX="0.33960" LPCY="0.45653" LPD="25.62850" LPS="0.84976" LPV="1" RPCX="0.62580" RPCY="0.45195" RPD="21.04272" RPS="0.83976" RPV="1" LEYEX="-0.03622" LEYEY="0.00617" LEYEZ="0.59573" LPUPILD="0.00457" LPUPILV="1" REYEX="0.02748" REYEY="0.00711" REYEZ="0.57452" RPUPILD="0.00466" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.52112" FPOGY="0.18007" FPOGS="49.60044" FPOGD="0.33586" FPOGID="141" FPOGV="1" LPOGX="0.54810" LPOGY="0.14105" LPOGV="1" RPOGX="0.50950" RPOGY="0.32110" RPOGV="1" BPOGX="0.52880" BPOGY="0.23108" BPOGV="1" LPCX="0.33946" LPCY="0.45663" LPD="25.64857" LPS="0.83464" LPV="1" RPCX="0.62585" RPCY="0.45201" RPD="21.16946" RPS="0.82464" RPV="1" LEYEX="-0.03622" LEYEY="0.00617" LEYEZ="0.59573" LPUPILD="0.00454" LPUPILV="1" REYEX="0.02748" REYEY="0.00711" REYEZ="0.57452" RPUPILD="0.00460" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.52122" FPOGY="0.18068" FPOGS="49.60044" FPOGD="0.34166" FPOGID="141" FPOGV="1" LPOGX="0.54961" LPOGY="0.15191" LPOGV="1" RPOGX="0.50906" RPOGY="0.32597" RPOGV="1" BPOGX="0.52933" BPOGY="0.23894" BPOGV="1" LPCX="0.33952" LPCY="0.45641" LPD="24.83233" LPS="0.82464" LPV="1" RPCX="0.62576" RPCY="0.45230" RPD="21.22144" RPS="0.81941" RPV="1" LEYEX="-0.03679" LEYEY="0.00626" LEYEZ="0.60437" LPUPILD="0.00460" LPUPILV="1" REYEX="0.02841" REYEY="0.00732" REYEZ="0.59483" RPUPILD="0.00459" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.52165" FPOGY="0.18115" FPOGS="49.60044" FPOGD="0.34833" FPOGID="141" FPOGV="1" LPOGX="0.54211" LPOGY="0.11078" LPOGV="1" RPOGX="0.52504" RPOGY="0.33210" RPOGV="1" BPOGX="0.53358" BPOGY="0.22144" BPOGV="1" LPCX="0.33936" LPCY="0.45679" LPD="25.62185" LPS="0.82453" LPV="1" RPCX="0.62552" RPCY="0.45228" RPD="21.10095" RPS="0.82929" RPV="1" LEYEX="-0.03679" LEYEY="0.00626" LEYEZ="0.60437" LPUPILD="0.00459" LPUPILV="1" REYEX="0.02841" REYEY="0.00732" REYEZ="0.59483" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
