2025-07-15 10:19:06.135180
"0.58816" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.42726" FPOGY="0.17638" FPOGS="435.67929" FPOGD="0.26981" FPOGID="1562" FPOGV="1" LPOGX="0.43690" LPOGY="0.11034" LPOGV="1" RPOGX="0.41804" RPOGY="0.24477" RPOGV="1" BPOGX="0.42747" BPOGY="0.17756" BPOGV="1" LPCX="0.42459" LPCY="0.47439" LPD="22.36501" LPS="0.83369" LPV="1" RPCX="0.71446" RPCY="0.46607" RPD="20.86703" RPS="0.83369" RPV="1" LEYEX="-0.01621" LEYEY="0.00278" LEYEZ="0.58906" LPUPILD="0.00419" LPUPILV="1" REYEX="0.04846" REYEY="0.00459" REYEZ="0.58816" RPUPILD="0.00434" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52838" FPOGY="0.22896" FPOGS="436.63272" FPOGD="0.21347" FPOGID="1564" FPOGV="1" LPOGX="0.51597" LPOGY="0.12759" LPOGV="1" RPOGX="0.51948" RPOGY="0.31599" RPOGV="1" BPOGX="0.51772" BPOGY="0.22179" BPOGV="1" LPCX="0.43001" LPCY="0.47364" LPD="22.95580" LPS="0.83476" LPV="1" RPCX="0.72075" RPCY="0.46570" RPD="20.56430" RPS="0.83953" RPV="1" LEYEX="-0.01584" LEYEY="0.00311" LEYEZ="0.61060" LPUPILD="0.00422" LPUPILV="1" REYEX="0.05029" REYEY="0.00479" REYEZ="0.59729" RPUPILD="0.00446" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52841" FPOGY="0.22879" FPOGS="436.63272" FPOGD="0.22098" FPOGID="1564" FPOGV="1" LPOGX="0.54092" LPOGY="0.13571" LPOGV="1" RPOGX="0.51781" RPOGY="0.31068" RPOGV="1" BPOGX="0.52936" BPOGY="0.22320" BPOGV="1" LPCX="0.43001" LPCY="0.47356" LPD="22.81889" LPS="0.83953" LPV="1" RPCX="0.72077" RPCY="0.46570" RPD="20.60877" RPS="0.84429" RPV="1" LEYEX="-0.01584" LEYEY="0.00311" LEYEZ="0.61060" LPUPILD="0.00421" LPUPILV="1" REYEX="0.05029" REYEY="0.00479" REYEZ="0.59729" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52844" FPOGY="0.22864" FPOGS="436.63272" FPOGD="0.22769" FPOGID="1564" FPOGV="1" LPOGX="0.54097" LPOGY="0.13609" LPOGV="1" RPOGX="0.51778" RPOGY="0.31101" RPOGV="1" BPOGX="0.52938" BPOGY="0.22355" BPOGV="1" LPCX="0.43005" LPCY="0.47369" LPD="22.97334" LPS="0.83917" LPV="1" RPCX="0.72074" RPCY="0.46564" RPD="20.39851" RPS="0.84393" RPV="1" LEYEX="-0.01553" LEYEY="0.00305" LEYEZ="0.59713" LPUPILD="0.00423" LPUPILV="1" REYEX="0.05029" REYEY="0.00479" REYEZ="0.59729" RPUPILD="0.00447" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52913" FPOGY="0.22839" FPOGS="436.63272" FPOGD="0.23441" FPOGID="1564" FPOGV="1" LPOGX="0.53646" LPOGY="0.12830" LPOGV="1" RPOGX="0.56997" RPOGY="0.31095" RPOGV="1" BPOGX="0.55321" BPOGY="0.21962" BPOGV="1" LPCX="0.42999" LPCY="0.47368" LPD="22.83781" LPS="0.83881" LPV="1" RPCX="0.72067" RPCY="0.46560" RPD="20.32994" RPS="0.83881" RPV="1" LEYEX="-0.01553" LEYEY="0.00305" LEYEZ="0.59713" LPUPILD="0.00423" LPUPILV="1" REYEX="0.05029" REYEY="0.00479" REYEZ="0.59729" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.52972" FPOGY="0.22849" FPOGS="436.63272" FPOGD="0.24097" FPOGID="1564" FPOGV="1" LPOGX="0.53143" LPOGY="0.14666" LPOGV="1" RPOGX="0.57092" RPOGY="0.31784" RPOGV="1" BPOGX="0.55118" BPOGY="0.23225" BPOGV="1" LPCX="0.42991" LPCY="0.47365" LPD="22.90271" LPS="0.83369" LPV="1" RPCX="0.72066" RPCY="0.46551" RPD="20.28630" RPS="0.83369" RPV="1" LEYEX="-0.01553" LEYEY="0.00305" LEYEZ="0.59713" LPUPILD="0.00421" LPUPILV="1" REYEX="0.05029" REYEY="0.00479" REYEZ="0.59729" RPUPILD="0.00444" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53030" FPOGY="0.22866" FPOGS="436.63272" FPOGD="0.24835" FPOGID="1564" FPOGV="1" LPOGX="0.53230" LPOGY="0.15217" LPOGV="1" RPOGX="0.57094" RPOGY="0.31773" RPOGV="1" BPOGX="0.55162" BPOGY="0.23495" BPOGV="1" LPCX="0.42988" LPCY="0.47372" LPD="22.85759" LPS="0.82857" LPV="1" RPCX="0.72058" RPCY="0.46559" RPD="20.62382" RPS="0.83381" RPV="1" LEYEX="-0.01548" LEYEY="0.00299" LEYEZ="0.59490" LPUPILD="0.00420" LPUPILV="1" REYEX="0.05292" REYEY="0.00505" REYEZ="0.62901" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53076" FPOGY="0.22880" FPOGS="436.63272" FPOGD="0.25516" FPOGID="1564" FPOGV="1" LPOGX="0.52965" LPOGY="0.14959" LPOGV="1" RPOGX="0.56668" RPOGY="0.31867" RPOGV="1" BPOGX="0.54817" BPOGY="0.23413" BPOGV="1" LPCX="0.42983" LPCY="0.47376" LPD="22.91821" LPS="0.83381" LPV="1" RPCX="0.72058" RPCY="0.46559" RPD="20.62382" RPS="0.83905" RPV="1" LEYEX="-0.01548" LEYEY="0.00299" LEYEZ="0.59490" LPUPILD="0.00418" LPUPILV="1" REYEX="0.05292" REYEY="0.00505" REYEZ="0.62901" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.53108" FPOGY="0.22865" FPOGS="436.63272" FPOGD="0.26117" FPOGID="1564" FPOGV="1" LPOGX="0.52920" LPOGY="0.15488" LPOGV="1" RPOGX="0.55829" RPOGY="0.29077" RPOGV="1" BPOGX="0.54374" BPOGY="0.22282" BPOGV="1" LPCX="0.42980" LPCY="0.47380" LPD="22.63062" LPS="0.83905" LPV="1" RPCX="0.72057" RPCY="0.46561" RPD="20.55069" RPS="0.84429" RPV="1" LEYEX="-0.01548" LEYEY="0.00299" LEYEZ="0.59490" LPUPILD="0.00421" LPUPILV="1" REYEX="0.05292" REYEY="0.00505" REYEZ="0.62901" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
