2025-06-03 11:11:12.887438
YEZ="0.68037" RPUPILD="0.00513" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.48898" FPOGY="0.29789" FPOGS="539.60596" FPOGD="0.70306" FPOGID="1565" FPOGV="1" LPOGX="0.58336" LPOGY="0.37072" LPOGV="1" RPOGX="0.41018" RPOGY="0.26758" RPOGV="1" BPOGX="0.49677" BPOGY="0.31915" BPOGV="1" LPCX="0.28303" LPCY="0.69134" LPD="26.45355" LPS="1.08850" LPV="1" RPCX="0.55077" RPCY="0.67411" RPD="26.95708" RPS="1.08850" RPV="1" LEYEX="-0.05603" LEYEY="-0.04084" LEYEZ="0.67562" LPUPILD="0.00493" LPUPILV="1" REYEX="0.01337" REYEY="-0.03766" REYEZ="0.68037" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.42232" FPOGY="0.32269" FPOGS="541.07312" FPOGD="0.14764" FPOGID="1568" FPOGV="1" LPOGX="0.50675" LPOGY="0.35917" LPOGV="1" RPOGX="0.33424" RPOGY="0.34742" RPOGV="1" BPOGX="0.42050" BPOGY="0.35330" BPOGV="1" LPCX="0.28067" LPCY="0.69130" LPD="26.28837" LPS="1.08850" LPV="1" RPCX="0.54844" RPCY="0.67367" RPD="27.21192" RPS="1.08850" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00486" LPUPILV="1" REYEX="0.01299" REYEY="-0.03734" REYEZ="0.67653" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.42225" FPOGY="0.32396" FPOGS="541.07312" FPOGD="0.15399" FPOGID="1568" FPOGV="1" LPOGX="0.50675" LPOGY="0.35917" LPOGV="1" RPOGX="0.33424" RPOGY="0.34742" RPOGV="1" BPOGX="0.42050" BPOGY="0.35330" BPOGV="1" LPCX="0.28062" LPCY="0.69130" LPD="26.41801" LPS="1.08850" LPV="1" RPCX="0.54836" RPCY="0.67371" RPD="27.14904" RPS="1.08850" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00487" LPUPILV="1" REYEX="0.01285" REYEY="-0.03719" REYEZ="0.67465" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.42185" FPOGY="0.32492" FPOGS="541.07312" FPOGD="0.16064" FPOGID="1568" FPOGV="1" LPOGX="0.49948" LPOGY="0.35069" LPOGV="1" RPOGX="0.32520" RPOGY="0.34494" RPOGV="1" BPOGX="0.41234" BPOGY="0.34781" BPOGV="1" LPCX="0.28053" LPCY="0.69128" LPD="26.33081" LPS="1.08850" LPV="1" RPCX="0.54828" RPCY="0.67367" RPD="27.05213" RPS="1.08850" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00488" LPUPILV="1" REYEX="0.01285" REYEY="-0.03719" REYEZ="0.67465" RPUPILD="0.00515" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.42130" FPOGY="0.32584" FPOGS="541.07312" FPOGD="0.16730" FPOGID="1568" FPOGV="1" LPOGX="0.49686" LPOGY="0.35425" LPOGV="1" RPOGX="0.31809" RPOGY="0.34357" RPOGV="1" BPOGX="0.40747" BPOGY="0.34891" BPOGV="1" LPCX="0.28048" LPCY="0.69133" LPD="26.46574" LPS="1.08850" LPV="1" RPCX="0.54827" RPCY="0.67371" RPD="27.15623" RPS="1.08850" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00489" LPUPILV="1" REYEX="0.01285" REYEY="-0.03719" REYEZ="0.67465" RPUPILD="0.00513" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.42077" FPOGY="0.32658" FPOGS="541.07312" FPOGD="0.17407" FPOGID="1568" FPOGV="1" LPOGX="0.49686" LPOGY="0.35425" LPOGV="1" RPOGX="0.31714" RPOGY="0.33718" RPOGV="1" BPOGX="0.40700" BPOGY="0.34572" BPOGV="1" LPCX="0.28049" LPCY="0.69130" LPD="26.35620" LPS="1.08850" LPV="1" RPCX="0.54823" RPCY="0.67367" RPD="27.11354" RPS="1.09766" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00489" LPUPILV="1" REYEX="0.01326" REYEY="-0.03847" REYEZ="0.69883" RPUPILD="0.00513" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.42014" FPOGY="0.32690" FPOGS="541.07312" FPOGD="0.18079" FPOGID="1568" FPOGV="1" LPOGX="0.49394" LPOGY="0.34936" LPOGV="1" RPOGX="0.31220" RPOGY="0.32179" RPOGV="1" BPOGX="0.40307" BPOGY="0.33557" BPOGV="1" LPCX="0.28051" LPCY="0.69133" LPD="26.38953" LPS="1.09766" LPV="1" RPCX="0.54819" RPCY="0.67360" RPD="27.04831" RPS="1.10683" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00489" LPUPILV="1" REYEX="0.01326" REYEY="-0.03847" REYEZ="0.69883" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.41953" FPOGY="0.32718" FPOGS="541.07312" FPOGD="0.18750" FPOGID="1568" FPOGV="1" LPOGX="0.48877" LPOGY="0.34236" LPOGV="1" RPOGX="0.31655" RPOGY="0.32767" RPOGV="1" BPOGX="0.40266" BPOGY="0.33502" BPOGV="1" LPCX="0.28047" LPCY="0.69130" LPD="26.45152" LPS="1.10683" LPV="1" RPCX="0.54816" RPCY="0.67367" RPD="27.19218" RPS="1.11600" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00488" LPUPILV="1" REYEX="0.01326" REYEY="-0.03847" REYEZ="0.69883" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
<REC FPOGX="0.41889" FPOGY="0.32704" FPOGS="541.07312" FPOGD="0.19403" FPOGID="1568" FPOGV="1" LPOGX="0.48575" LPOGY="0.33088" LPOGV="1" RPOGX="0.31470" RPOGY="0.31509" RPOGV="1" BPOGX="0.40023" BPOGY="0.32298" BPOGV="1" LPCX="0.28047" LPCY="0.69130" LPD="26.45152" LPS="1.12496" LPV="1" RPCX="0.54814" RPCY="0.67367" RPD="27.26156" RPS="1.13412" RPV="1" LEYEX="-0.05663" LEYEY="-0.04094" LEYEZ="0.67802" LPUPILD="0.00488" LPUPILV="1" REYEX="0.01326" REYEY="-0.03847" REYEZ="0.69883" RPUPILD="0.00511" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="0" />
