2025-05-22 11:32:55.981684
EZ="0.68135" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="1.02340" FPOGY="0.55482" FPOGS="1632.75195" FPOGD="0.36768" FPOGID="2384" FPOGV="1" LPOGX="1.05754" LPOGY="0.59397" LPOGV="1" RPOGX="0.98938" RPOGY="0.48340" RPOGV="1" BPOGX="1.02346" BPOGY="0.53868" BPOGV="1" LPCX="0.39369" LPCY="0.45900" LPD="30.81798" LPS="1.04818" LPV="1" RPCX="0.64173" RPCY="0.47022" RPD="27.38958" RPS="1.05627" RPV="1" LEYEX="-0.02875" LEYEY="0.00772" LEYEZ="0.67754" LPUPILD="0.00643" LPUPILV="1" REYEX="0.03546" REYEY="0.00531" REYEZ="0.68135" RPUPILD="0.00582" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.51046" FPOGY="0.44061" FPOGS="1635.32385" FPOGD="0.73047" FPOGID="2389" FPOGV="1" LPOGX="0.53521" LPOGY="0.42357" LPOGV="1" RPOGX="0.48417" RPOGY="0.47816" RPOGV="1" BPOGX="0.50969" BPOGY="0.45087" BPOGV="1" LPCX="0.37337" LPCY="0.45896" LPD="29.27226" LPS="1.08826" LPV="1" RPCX="0.62148" RPCY="0.46718" RPD="27.81305" RPS="1.08826" RPV="1" LEYEX="-0.03255" LEYEY="0.00751" LEYEZ="0.67614" LPUPILD="0.00615" LPUPILV="1" REYEX="0.03168" REYEY="0.00591" REYEZ="0.67935" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.51047" FPOGY="0.44119" FPOGS="1635.32385" FPOGD="0.73706" FPOGID="2389" FPOGV="1" LPOGX="0.56220" LPOGY="0.43752" LPOGV="1" RPOGX="0.47537" RPOGY="0.47966" RPOGV="1" BPOGX="0.51879" BPOGY="0.45859" BPOGV="1" LPCX="0.37327" LPCY="0.45898" LPD="29.28427" LPS="1.08826" LPV="1" RPCX="0.62146" RPCY="0.46722" RPD="27.70069" RPS="1.08826" RPV="1" LEYEX="-0.03255" LEYEY="0.00751" LEYEZ="0.67614" LPUPILD="0.00615" LPUPILV="1" REYEX="0.03168" REYEY="0.00591" REYEZ="0.67935" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.51048" FPOGY="0.44165" FPOGS="1635.32385" FPOGD="0.74353" FPOGID="2389" FPOGV="1" LPOGX="0.56220" LPOGY="0.43752" LPOGV="1" RPOGX="0.47537" RPOGY="0.47966" RPOGV="1" BPOGX="0.51879" BPOGY="0.45859" BPOGV="1" LPCX="0.37327" LPCY="0.45897" LPD="29.29926" LPS="1.08826" LPV="1" RPCX="0.62146" RPCY="0.46722" RPD="27.70069" RPS="1.08826" RPV="1" LEYEX="-0.03255" LEYEY="0.00751" LEYEZ="0.67614" LPUPILD="0.00615" LPUPILV="1" REYEX="0.03194" REYEY="0.00593" REYEZ="0.68703" RPUPILD="0.00568" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.51073" FPOGY="0.44187" FPOGS="1635.32385" FPOGD="0.75037" FPOGID="2389" FPOGV="1" LPOGX="0.58060" LPOGY="0.43819" LPOGV="1" RPOGX="0.46342" RPOGY="0.47431" RPOGV="1" BPOGX="0.52201" BPOGY="0.45625" BPOGV="1" LPCX="0.37318" LPCY="0.45901" LPD="29.31347" LPS="1.08826" LPV="1" RPCX="0.62135" RPCY="0.46718" RPD="27.59281" RPS="1.08826" RPV="1" LEYEX="-0.03255" LEYEY="0.00751" LEYEZ="0.67614" LPUPILD="0.00613" LPUPILV="1" REYEX="0.03194" REYEY="0.00593" REYEZ="0.68703" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.51061" FPOGY="0.44213" FPOGS="1635.32385" FPOGD="0.75769" FPOGID="2389" FPOGV="1" LPOGX="0.57996" LPOGY="0.43889" LPOGV="1" RPOGX="0.45583" RPOGY="0.46115" RPOGV="1" BPOGX="0.51790" BPOGY="0.45002" BPOGV="1" LPCX="0.37312" LPCY="0.45900" LPD="29.35326" LPS="1.08826" LPV="1" RPCX="0.62121" RPCY="0.46716" RPD="27.71330" RPS="1.08826" RPV="1" LEYEX="-0.03255" LEYEY="0.00751" LEYEZ="0.67614" LPUPILD="0.00609" LPUPILV="1" REYEX="0.03194" REYEY="0.00593" REYEZ="0.68703" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.51050" FPOGY="0.44243" FPOGS="1635.32385" FPOGD="0.76392" FPOGID="2389" FPOGV="1" LPOGX="0.57996" LPOGY="0.43889" LPOGV="1" RPOGX="0.45599" RPOGY="0.45584" RPOGV="1" BPOGX="0.51797" BPOGY="0.44736" BPOGV="1" LPCX="0.37310" LPCY="0.45902" LPD="29.33220" LPS="1.08826" LPV="1" RPCX="0.62116" RPCY="0.46717" RPD="27.71682" RPS="1.09743" RPV="1" LEYEX="-0.03318" LEYEY="0.00763" LEYEZ="0.68703" LPUPILD="0.00611" LPUPILV="1" REYEX="0.03283" REYEY="0.00615" REYEZ="0.70734" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.51076" FPOGY="0.44249" FPOGS="1635.32385" FPOGD="0.77051" FPOGID="2389" FPOGV="1" LPOGX="0.56534" LPOGY="0.43213" LPOGV="1" RPOGX="0.48630" RPOGY="0.44971" RPOGV="1" BPOGX="0.52582" BPOGY="0.44092" BPOGV="1" LPCX="0.37295" LPCY="0.45908" LPD="29.48003" LPS="1.09743" LPV="1" RPCX="0.62109" RPCY="0.46716" RPD="27.74197" RPS="1.10659" RPV="1" LEYEX="-0.03318" LEYEY="0.00763" LEYEZ="0.68703" LPUPILD="0.00614" LPUPILV="1" REYEX="0.03283" REYEY="0.00615" REYEZ="0.70734" RPUPILD="0.00570" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.51113" FPOGY="0.44257" FPOGS="1635.32385" FPOGD="0.77759" FPOGID="2389" FPOGV="1" LPOGX="0.56105" LPOGY="0.43359" LPOGV="1" RPOGX="0.47965" RPOGY="0.44862" RPOGV="1" BPOGX="0.52035" BPOGY="0.44110" BPOGV="1" LPCX="0.37292" LPCY="0.45909" LPD="29.51820" LPS="1.10659" LPV="1" RPCX="0.62105" RPCY="0.46706" RPD="27.67607" RPS="1.11576" RPV="1" LEYEX="-0.03318" LEYEY="0.00763" LEYEZ="0.68703" LPUPILD="0.00612" LPUPILV="1" REYEX="0.03283" REYEY="0.00615" REYEZ="0.70734" RPUPILD="0.00570" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
