2025-05-29 12:07:44.799785
EYEZ="0.65936" RPUPILD="0.00635" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.75541" FPOGY="0.42932" FPOGS="7415.63379" FPOGD="0.10742" FPOGID="19987" FPOGV="1" LPOGX="0.80627" LPOGY="0.42929" LPOGV="1" RPOGX="0.71280" RPOGY="0.43598" RPOGV="1" BPOGX="0.75953" BPOGY="0.43263" BPOGV="1" LPCX="0.34763" LPCY="0.40310" LPD="33.32755" LPS="0.99983" LPV="1" RPCX="0.60354" RPCY="0.43684" RPD="33.01271" RPS="0.99983" RPV="1" LEYEX="-0.03770" LEYEY="0.01799" LEYEZ="0.63810" LPUPILD="0.00673" LPUPILV="1" REYEX="0.02536" REYEY="0.01177" REYEZ="0.65936" RPUPILD="0.00635" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54142" FPOGY="0.44785" FPOGS="7415.83545" FPOGD="0.81689" FPOGID="19988" FPOGV="0" LPOGX="0.55938" LPOGY="0.43158" LPOGV="1" RPOGX="0.52735" RPOGY="0.45282" RPOGV="1" BPOGX="0.54336" BPOGY="0.44220" BPOGV="1" LPCX="0.33916" LPCY="0.40393" LPD="32.78741" LPS="1.01601" LPV="1" RPCX="0.59508" RPCY="0.43747" RPD="33.80322" RPS="1.02409" RPV="1" LEYEX="-0.03967" LEYEY="0.01805" LEYEZ="0.64684" LPUPILD="0.00658" LPUPILV="1" REYEX="0.02473" REYEY="0.01206" REYEZ="0.68429" RPUPILD="0.00671" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.54179" FPOGY="0.44581" FPOGS="7416.65869" FPOGD="0.02051" FPOGID="19989" FPOGV="1" LPOGX="0.55844" LPOGY="0.42659" LPOGV="1" RPOGX="0.52735" RPOGY="0.45282" RPOGV="1" BPOGX="0.54290" BPOGY="0.43970" BPOGV="1" LPCX="0.33919" LPCY="0.40393" LPD="32.80053" LPS="1.02409" LPV="1" RPCX="0.59508" RPCY="0.43747" RPD="33.80322" RPS="1.02409" RPV="1" LEYEX="-0.03967" LEYEY="0.01805" LEYEZ="0.64684" LPUPILD="0.00658" LPUPILV="1" REYEX="0.02398" REYEY="0.01167" REYEZ="0.66226" RPUPILD="0.00671" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.53886" FPOGY="0.44646" FPOGS="7416.65869" FPOGD="0.02734" FPOGID="19989" FPOGV="1" LPOGX="0.56083" LPOGY="0.42826" LPOGV="1" RPOGX="0.49341" RPOGY="0.46987" RPOGV="1" BPOGX="0.52712" BPOGY="0.44906" BPOGV="1" LPCX="0.33925" LPCY="0.40398" LPD="32.87869" LPS="1.02409" LPV="1" RPCX="0.59511" RPCY="0.43751" RPD="33.91404" RPS="1.01601" RPV="1" LEYEX="-0.03967" LEYEY="0.01805" LEYEZ="0.64684" LPUPILD="0.00657" LPUPILV="1" REYEX="0.02398" REYEY="0.01167" REYEZ="0.66226" RPUPILD="0.00670" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.53767" FPOGY="0.44794" FPOGS="7416.65869" FPOGD="0.03418" FPOGID="19989" FPOGV="1" LPOGX="0.56554" LPOGY="0.43401" LPOGV="1" RPOGX="0.49798" RPOGY="0.47666" RPOGV="1" BPOGX="0.53176" BPOGY="0.45534" BPOGV="1" LPCX="0.33925" LPCY="0.40399" LPD="32.84385" LPS="1.01601" LPV="1" RPCX="0.59514" RPCY="0.43752" RPD="33.97693" RPS="1.00792" RPV="1" LEYEX="-0.03967" LEYEY="0.01805" LEYEZ="0.64684" LPUPILD="0.00658" LPUPILV="1" REYEX="0.02398" REYEY="0.01167" REYEZ="0.66226" RPUPILD="0.00669" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.53683" FPOGY="0.45002" FPOGS="7416.65869" FPOGD="0.04004" FPOGID="19989" FPOGV="1" LPOGX="0.56643" LPOGY="0.43900" LPOGV="1" RPOGX="0.49709" RPOGY="0.48594" RPOGV="1" BPOGX="0.53176" BPOGY="0.46247" BPOGV="1" LPCX="0.33923" LPCY="0.40399" LPD="32.88440" LPS="1.00792" LPV="1" RPCX="0.59514" RPCY="0.43752" RPD="33.97693" RPS="0.99264" RPV="1" LEYEX="-0.03967" LEYEY="0.01805" LEYEZ="0.64684" LPUPILD="0.00656" LPUPILV="1" REYEX="0.02451" REYEY="0.01190" REYEZ="0.67539" RPUPILD="0.00669" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.53652" FPOGY="0.45272" FPOGS="7416.65869" FPOGD="0.04639" FPOGID="19989" FPOGV="1" LPOGX="0.56829" LPOGY="0.44960" LPOGV="1" RPOGX="0.50037" RPOGY="0.49361" RPOGV="1" BPOGX="0.53433" BPOGY="0.47161" BPOGV="1" LPCX="0.33930" LPCY="0.40397" LPD="32.86772" LPS="0.99264" LPV="1" RPCX="0.59518" RPCY="0.43758" RPD="33.98923" RPS="0.98545" RPV="1" LEYEX="-0.03967" LEYEY="0.01805" LEYEZ="0.64684" LPUPILD="0.00658" LPUPILV="1" REYEX="0.02451" REYEY="0.01190" REYEZ="0.67539" RPUPILD="0.00668" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.53636" FPOGY="0.45522" FPOGS="7416.65869" FPOGD="0.05322" FPOGID="19989" FPOGV="1" LPOGX="0.57263" LPOGY="0.45567" LPOGV="1" RPOGX="0.49765" RPOGY="0.49491" RPOGV="1" BPOGX="0.53514" BPOGY="0.47529" BPOGV="1" LPCX="0.33937" LPCY="0.40397" LPD="32.85536" LPS="0.98545" LPV="1" RPCX="0.59518" RPCY="0.43756" RPD="33.95815" RPS="0.97826" RPV="1" LEYEX="-0.03967" LEYEY="0.01805" LEYEZ="0.64684" LPUPILD="0.00660" LPUPILV="1" REYEX="0.02451" REYEY="0.01190" REYEZ="0.67539" RPUPILD="0.00668" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
<REC FPOGX="0.53624" FPOGY="0.45724" FPOGS="7416.65869" FPOGD="0.06006" FPOGID="19989" FPOGV="1" LPOGX="0.57265" LPOGY="0.45577" LPOGV="1" RPOGX="0.49764" RPOGY="0.49501" RPOGV="1" BPOGX="0.53514" BPOGY="0.47539" BPOGV="1" LPCX="0.33938" LPCY="0.40398" LPD="32.86879" LPS="0.98529" LPV="1" RPCX="0.59519" RPCY="0.43754" RPD="33.84805" RPS="0.97810" RPV="1" LEYEX="-0.04071" LEYEY="0.01854" LEYEZ="0.66462" LPUPILD="0.00659" LPUPILV="1" REYEX="0.02451" REYEY="0.01190" REYEZ="0.67539" RPUPILD="0.00668" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="22" />
