2025-06-03 14:32:22.621081
EZ="0.68038" RPUPILD="0.00593" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.53743" FPOGY="0.45396" FPOGS="1665.13013" FPOGD="0.14746" FPOGID="2419" FPOGV="1" LPOGX="0.59660" LPOGY="0.42771" LPOGV="1" RPOGX="0.50023" RPOGY="0.38264" RPOGV="1" BPOGX="0.54842" BPOGY="0.40518" BPOGV="1" LPCX="0.29431" LPCY="0.47954" LPD="32.81879" LPS="1.01221" LPV="1" RPCX="0.55183" RPCY="0.49363" RPD="30.54879" RPS="1.02029" RPV="1" LEYEX="-0.05055" LEYEY="0.00309" LEYEZ="0.64332" LPUPILD="0.00650" LPUPILV="1" REYEX="0.01337" REYEY="0.00031" REYEZ="0.68038" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52875" FPOGY="0.43823" FPOGS="1665.65259" FPOGD="0.54248" FPOGID="2421" FPOGV="1" LPOGX="0.56512" LPOGY="0.44095" LPOGV="1" RPOGX="0.46662" RPOGY="0.46989" RPOGV="1" BPOGX="0.51587" BPOGY="0.45542" BPOGV="1" LPCX="0.29468" LPCY="0.47913" LPD="32.33935" LPS="0.98884" LPV="1" RPCX="0.55188" RPCY="0.49353" RPD="30.35241" RPS="0.98165" RPV="1" LEYEX="-0.04944" LEYEY="0.00303" LEYEZ="0.63155" LPUPILD="0.00642" LPUPILV="1" REYEX="0.01257" REYEY="0.00029" REYEZ="0.63489" RPUPILD="0.00602" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.52863" FPOGY="0.43814" FPOGS="1665.65259" FPOGD="0.54919" FPOGID="2421" FPOGV="1" LPOGX="0.59374" LPOGY="0.44809" LPOGV="1" RPOGX="0.46055" RPOGY="0.46526" RPOGV="1" BPOGX="0.52715" BPOGY="0.45667" BPOGV="1" LPCX="0.29458" LPCY="0.47906" LPD="32.46638" LPS="0.98165" LPV="1" RPCX="0.55179" RPCY="0.49354" RPD="30.26420" RPS="0.97446" RPV="1" LEYEX="-0.04944" LEYEY="0.00303" LEYEZ="0.63155" LPUPILD="0.00642" LPUPILV="1" REYEX="0.01257" REYEY="0.00029" REYEZ="0.63489" RPUPILD="0.00603" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.52851" FPOGY="0.43799" FPOGS="1665.65259" FPOGD="0.55603" FPOGID="2421" FPOGV="1" LPOGX="0.59376" LPOGY="0.44819" LPOGV="1" RPOGX="0.46072" RPOGY="0.46075" RPOGV="1" BPOGX="0.52724" BPOGY="0.45447" BPOGV="1" LPCX="0.29461" LPCY="0.47905" LPD="32.48138" LPS="0.98149" LPV="1" RPCX="0.55178" RPCY="0.49348" RPD="30.38555" RPS="0.98149" RPV="1" LEYEX="-0.05143" LEYEY="0.00325" LEYEZ="0.65634" LPUPILD="0.00640" LPUPILV="1" REYEX="0.01303" REYEY="0.00030" REYEZ="0.66066" RPUPILD="0.00604" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.52864" FPOGY="0.43791" FPOGS="1665.65259" FPOGD="0.56262" FPOGID="2421" FPOGV="1" LPOGX="0.57872" LPOGY="0.43261" LPOGV="1" RPOGX="0.48901" RPOGY="0.45238" RPOGV="1" BPOGX="0.53387" BPOGY="0.44249" BPOGV="1" LPCX="0.29453" LPCY="0.47897" LPD="32.42788" LPS="0.98852" LPV="1" RPCX="0.55168" RPCY="0.49339" RPD="30.54844" RPS="0.99571" RPV="1" LEYEX="-0.05143" LEYEY="0.00325" LEYEZ="0.65634" LPUPILD="0.00644" LPUPILV="1" REYEX="0.01303" REYEY="0.00030" REYEZ="0.66066" RPUPILD="0.00603" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.52852" FPOGY="0.43782" FPOGS="1665.65259" FPOGD="0.56934" FPOGID="2421" FPOGV="1" LPOGX="0.57035" LPOGY="0.47009" LPOGV="1" RPOGX="0.47747" RPOGY="0.42778" RPOGV="1" BPOGX="0.52391" BPOGY="0.44894" BPOGV="1" LPCX="0.29441" LPCY="0.47897" LPD="32.57163" LPS="1.00273" LPV="1" RPCX="0.55161" RPCY="0.49335" RPD="30.50517" RPS="1.00992" RPV="1" LEYEX="-0.05143" LEYEY="0.00325" LEYEZ="0.65634" LPUPILD="0.00639" LPUPILV="1" REYEX="0.01303" REYEY="0.00030" REYEZ="0.66066" RPUPILD="0.00604" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.52838" FPOGY="0.43754" FPOGS="1665.65259" FPOGD="0.57715" FPOGID="2421" FPOGV="1" LPOGX="0.56883" LPOGY="0.46172" LPOGV="1" RPOGX="0.47802" RPOGY="0.41846" RPOGV="1" BPOGX="0.52343" BPOGY="0.44009" BPOGV="1" LPCX="0.29440" LPCY="0.47897" LPD="32.52326" LPS="1.01695" LPV="1" RPCX="0.55161" RPCY="0.49335" RPD="30.50517" RPS="1.02414" RPV="1" LEYEX="-0.05168" LEYEY="0.00326" LEYEZ="0.65828" LPUPILD="0.00639" LPUPILV="1" REYEX="0.01292" REYEY="0.00030" REYEZ="0.66043" RPUPILD="0.00604" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.52810" FPOGY="0.43689" FPOGS="1665.65259" FPOGD="0.58264" FPOGID="2421" FPOGV="1" LPOGX="0.58417" LPOGY="0.45289" LPOGV="1" RPOGX="0.46904" RPOGY="0.41137" RPOGV="1" BPOGX="0.52661" BPOGY="0.43213" BPOGV="1" LPCX="0.29422" LPCY="0.47885" LPD="32.32473" LPS="1.02414" LPV="1" RPCX="0.55147" RPCY="0.49327" RPD="30.48079" RPS="1.02414" RPV="1" LEYEX="-0.05168" LEYEY="0.00326" LEYEZ="0.65828" LPUPILD="0.00643" LPUPILV="1" REYEX="0.01292" REYEY="0.00030" REYEZ="0.66043" RPUPILD="0.00599" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.52823" FPOGY="0.43599" FPOGS="1665.65259" FPOGD="0.58936" FPOGID="2421" FPOGV="1" LPOGX="0.58246" LPOGY="0.45179" LPOGV="1" RPOGX="0.50092" RPOGY="0.40600" RPOGV="1" BPOGX="0.54169" BPOGY="0.42890" BPOGV="1" LPCX="0.29416" LPCY="0.47885" LPD="32.36571" LPS="1.02414" LPV="1" RPCX="0.55136" RPCY="0.49320" RPD="30.50636" RPS="1.02414" RPV="1" LEYEX="-0.05168" LEYEY="0.00326" LEYEZ="0.65828" LPUPILD="0.00641" LPUPILV="1" REYEX="0.01292" REYEY="0.00030" REYEZ="0.66043" RPUPILD="0.00602" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
