2025-06-09 11:30:06.066320
60628" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.84342" FPOGY="0.36774" FPOGS="123.27126" FPOGD="0.02051" FPOGID="443" FPOGV="1" LPOGX="0.84150" LPOGY="0.33429" LPOGV="1" RPOGX="0.61953" RPOGY="0.95181" RPOGV="0" BPOGX="0.84150" BPOGY="0.33429" BPOGV="1" LPCX="0.73071" LPCY="0.37637" LPD="29.20277" LPS="0.87000" LPV="1" RPCX="0.73215" RPCY="0.38052" RPD="16.09252" RPS="0.87000" RPV="0" LEYEX="0.05351" LEYEY="0.02187" LEYEZ="0.60998" LPUPILD="0.00537" LPUPILV="1" REYEX="0.05336" REYEY="0.02183" REYEZ="0.60628" RPUPILD="0.00448" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59907" FPOGY="0.27092" FPOGS="124.10204" FPOGD="0.10715" FPOGID="448" FPOGV="1" LPOGX="0.57504" LPOGY="0.27640" LPOGV="1" RPOGX="0.59226" RPOGY="0.28433" RPOGV="1" BPOGX="0.58365" BPOGY="0.28037" BPOGV="1" LPCX="0.44985" LPCY="0.37090" LPD="24.45781" LPS="0.87000" LPV="1" RPCX="0.73326" RPCY="0.37848" RPD="28.84029" RPS="0.87000" RPV="1" LEYEX="-0.01128" LEYEY="0.02258" LEYEZ="0.60691" LPUPILD="0.00460" LPUPILV="1" REYEX="0.05348" REYEY="0.02110" REYEZ="0.60247" RPUPILD="0.00527" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.59893" FPOGY="0.27139" FPOGS="124.10204" FPOGD="0.11396" FPOGID="448" FPOGV="1" LPOGX="0.57178" LPOGY="0.27256" LPOGV="1" RPOGX="0.62134" RPOGY="0.28634" RPOGV="1" BPOGX="0.59656" BPOGY="0.27945" BPOGV="1" LPCX="0.44986" LPCY="0.37089" LPD="24.46882" LPS="0.87000" LPV="1" RPCX="0.73329" RPCY="0.37850" RPD="28.79249" RPS="0.87000" RPV="1" LEYEX="-0.01128" LEYEY="0.02258" LEYEZ="0.60691" LPUPILD="0.00459" LPUPILV="1" REYEX="0.05348" REYEY="0.02110" REYEZ="0.60247" RPUPILD="0.00528" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.59879" FPOGY="0.27206" FPOGS="124.10204" FPOGD="0.12109" FPOGID="448" FPOGV="1" LPOGX="0.57239" LPOGY="0.27717" LPOGV="1" RPOGX="0.62031" RPOGY="0.29100" RPOGV="1" BPOGX="0.59635" BPOGY="0.28409" BPOGV="1" LPCX="0.44987" LPCY="0.37093" LPD="24.60445" LPS="0.86488" LPV="1" RPCX="0.73328" RPCY="0.37853" RPD="28.74813" RPS="0.86488" RPV="1" LEYEX="-0.01127" LEYEY="0.02251" LEYEZ="0.60383" LPUPILD="0.00458" LPUPILV="1" REYEX="0.05348" REYEY="0.02110" REYEZ="0.60247" RPUPILD="0.00527" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.59776" FPOGY="0.27375" FPOGS="124.10204" FPOGD="0.12761" FPOGID="448" FPOGV="1" LPOGX="0.55174" LPOGY="0.32433" LPOGV="1" RPOGX="0.60450" RPOGY="0.28737" RPOGV="1" BPOGX="0.57812" BPOGY="0.30585" BPOGV="1" LPCX="0.44991" LPCY="0.37080" LPD="24.38452" LPS="0.85976" LPV="1" RPCX="0.73340" RPCY="0.37839" RPD="28.81589" RPS="0.85976" RPV="1" LEYEX="-0.01127" LEYEY="0.02251" LEYEZ="0.60383" LPUPILD="0.00459" LPUPILV="1" REYEX="0.05348" REYEY="0.02110" REYEZ="0.60247" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.59708" FPOGY="0.27516" FPOGS="124.10204" FPOGD="0.13375" FPOGID="448" FPOGV="1" LPOGX="0.56031" LPOGY="0.31760" LPOGV="1" RPOGX="0.60642" RPOGY="0.28929" RPOGV="1" BPOGX="0.58337" BPOGY="0.30345" BPOGV="1" LPCX="0.44996" LPCY="0.37079" LPD="24.33712" LPS="0.85465" LPV="1" RPCX="0.73342" RPCY="0.37844" RPD="28.70549" RPS="0.85465" RPV="1" LEYEX="-0.01127" LEYEY="0.02251" LEYEZ="0.60383" LPUPILD="0.00458" LPUPILV="1" REYEX="0.05348" REYEY="0.02110" REYEZ="0.60247" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.59643" FPOGY="0.27656" FPOGS="124.10204" FPOGD="0.14024" FPOGID="448" FPOGV="1" LPOGX="0.56031" LPOGY="0.31760" LPOGV="1" RPOGX="0.60544" RPOGY="0.29414" RPOGV="1" BPOGX="0.58287" BPOGY="0.30587" BPOGV="1" LPCX="0.44993" LPCY="0.37068" LPD="24.31813" LPS="0.85465" LPV="1" RPCX="0.73344" RPCY="0.37836" RPD="28.77265" RPS="0.84941" RPV="1" LEYEX="-0.01128" LEYEY="0.02261" LEYEZ="0.60665" LPUPILD="0.00457" LPUPILV="1" REYEX="0.05282" REYEY="0.02083" REYEZ="0.59458" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.59550" FPOGY="0.27829" FPOGS="124.10204" FPOGD="0.14691" FPOGID="448" FPOGV="1" LPOGX="0.54932" LPOGY="0.32640" LPOGV="1" RPOGX="0.60056" RPOGY="0.30618" RPOGV="1" BPOGX="0.57494" BPOGY="0.31629" BPOGV="1" LPCX="0.44991" LPCY="0.37070" LPD="24.31123" LPS="0.85453" LPV="1" RPCX="0.73339" RPCY="0.37846" RPD="28.66063" RPS="0.84929" RPV="1" LEYEX="-0.01128" LEYEY="0.02261" LEYEZ="0.60665" LPUPILD="0.00457" LPUPILV="1" REYEX="0.05282" REYEY="0.02083" REYEZ="0.59458" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.59514" FPOGY="0.27984" FPOGS="124.10204" FPOGD="0.15384" FPOGID="448" FPOGV="1" LPOGX="0.57678" LPOGY="0.32268" LPOGV="1" RPOGX="0.59736" RPOGY="0.30847" RPOGV="1" BPOGX="0.58707" BPOGY="0.31558" BPOGV="1" LPCX="0.44991" LPCY="0.37076" LPD="24.20271" LPS="0.85441" LPV="1" RPCX="0.73340" RPCY="0.37842" RPD="28.66561" RPS="0.84917" RPV="1" LEYEX="-0.01128" LEYEY="0.02261" LEYEZ="0.60665" LPUPILD="0.00458" LPUPILV="1" REYEX="0.05282" REYEY="0.02083" REYEZ="0.59458" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
