2025-06-09 11:33:26.293033
="0.64036" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="37" />
<REC FPOGX="0.75397" FPOGY="0.29298" FPOGS="323.48172" FPOGD="0.03339" FPOGID="1182" FPOGV="1" LPOGX="0.74950" LPOGY="0.33825" LPOGV="1" RPOGX="0.76437" RPOGY="0.22496" RPOGV="1" BPOGX="0.75694" BPOGY="0.28160" BPOGV="1" LPCX="0.45058" LPCY="0.45326" LPD="21.91938" LPS="0.99485" LPV="1" RPCX="0.71920" RPCY="0.45681" RPD="24.77321" RPS="0.99485" RPV="1" LEYEX="-0.01270" LEYEY="0.00811" LEYEZ="0.65903" LPUPILD="0.00442" LPUPILV="1" REYEX="0.05301" REYEY="0.00720" REYEZ="0.64036" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="37" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.93808" FPOGY="0.29424" FPOGS="324.18494" FPOGD="0.11108" FPOGID="1185" FPOGV="0" LPOGX="0.93577" LPOGY="0.27400" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.93577" BPOGY="0.27400" BPOGV="1" LPCX="0.70916" LPCY="0.45400" LPD="25.25339" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.04976" LEYEY="0.00752" LEYEZ="0.63082" LPUPILD="0.00489" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.93731" FPOGY="0.28749" FPOGS="324.18494" FPOGD="0.11108" FPOGID="1185" FPOGV="0" LPOGX="0.93577" LPOGY="0.27400" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.93577" BPOGY="0.27400" BPOGV="1" LPCX="0.70916" LPCY="0.45414" LPD="25.34936" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.04976" LEYEY="0.00752" LEYEZ="0.63082" LPUPILD="0.00483" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.93515" FPOGY="0.28661" FPOGS="324.41931" FPOGD="0.01965" FPOGID="1186" FPOGV="1" LPOGX="0.92869" LPOGY="0.28397" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.92869" BPOGY="0.28397" BPOGV="1" LPCX="0.70909" LPCY="0.45419" LPD="25.38724" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.04976" LEYEY="0.00752" LEYEZ="0.63082" LPUPILD="0.00484" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.93469" FPOGY="0.28451" FPOGS="324.41931" FPOGD="0.02698" FPOGID="1186" FPOGV="1" LPOGX="0.93282" LPOGY="0.27609" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.93282" BPOGY="0.27609" BPOGV="1" LPCX="0.70917" LPCY="0.45420" LPD="25.44042" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.04976" LEYEY="0.00752" LEYEZ="0.63082" LPUPILD="0.00482" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.93438" FPOGY="0.28311" FPOGS="324.41931" FPOGD="0.03336" FPOGID="1186" FPOGV="1" LPOGX="0.93282" LPOGY="0.27609" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.93282" BPOGY="0.27609" BPOGV="1" LPCX="0.70916" LPCY="0.45424" LPD="25.34689" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.04976" LEYEY="0.00752" LEYEZ="0.63082" LPUPILD="0.00483" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.93405" FPOGY="0.28605" FPOGS="324.41931" FPOGD="0.04025" FPOGID="1186" FPOGV="1" LPOGX="0.93213" LPOGY="0.30372" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.93213" BPOGY="0.30372" BPOGV="1" LPCX="0.70916" LPCY="0.45432" LPD="25.20064" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.04976" LEYEY="0.00752" LEYEZ="0.63082" LPUPILD="0.00486" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.93368" FPOGY="0.28768" FPOGS="324.41931" FPOGD="0.04706" FPOGID="1186" FPOGV="1" LPOGX="0.93103" LPOGY="0.29907" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.93103" BPOGY="0.29907" BPOGV="1" LPCX="0.70916" LPCY="0.45432" LPD="25.20064" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.04976" LEYEY="0.00752" LEYEZ="0.63082" LPUPILD="0.00486" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
<REC FPOGX="0.93338" FPOGY="0.28894" FPOGS="324.41931" FPOGD="0.05380" FPOGID="1186" FPOGV="1" LPOGX="0.93103" LPOGY="0.29907" LPOGV="1" RPOGX="1.16222" RPOGY="0.99460" RPOGV="0" BPOGX="0.93103" BPOGY="0.29907" BPOGV="1" LPCX="0.70917" LPCY="0.45439" LPD="25.09009" LPS="0.96674" LPV="1" RPCX="0.71632" RPCY="0.45982" RPD="7.36772" RPS="0.96674" RPV="0" LEYEX="0.05078" LEYEY="0.00763" LEYEZ="0.64377" LPUPILD="0.00487" LPUPILV="1" REYEX="0.05046" REYEY="0.00754" REYEZ="0.63250" RPUPILD="0.00191" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="38" />
