2025-06-09 11:32:29.853573
0.65742" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.55894" FPOGY="0.21681" FPOGS="266.88675" FPOGD="0.19394" FPOGID="956" FPOGV="1" LPOGX="0.54397" LPOGY="0.20980" LPOGV="1" RPOGX="0.57360" RPOGY="0.19723" RPOGV="1" BPOGX="0.55878" BPOGY="0.20352" BPOGV="1" LPCX="0.42934" LPCY="0.48297" LPD="21.46124" LPS="0.98830" LPV="1" RPCX="0.69587" RPCY="0.48291" RPD="24.30004" RPS="0.99549" RPV="1" LEYEX="-0.01719" LEYEY="0.00186" LEYEZ="0.65124" LPUPILD="0.00448" LPUPILV="1" REYEX="0.04895" REYEY="0.00197" REYEZ="0.65742" RPUPILD="0.00494" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.61295" FPOGY="0.80359" FPOGS="267.96454" FPOGD="0.02725" FPOGID="959" FPOGV="1" LPOGX="0.59725" LPOGY="0.79211" LPOGV="1" RPOGX="0.60070" RPOGY="0.80958" RPOGV="1" BPOGX="0.59897" BPOGY="0.80084" BPOGV="1" LPCX="0.42958" LPCY="0.49268" LPD="24.38664" LPS="1.02360" LPV="1" RPCX="0.69434" RPCY="0.49204" RPD="27.50037" RPS="1.02360" RPV="1" LEYEX="-0.01754" LEYEY="0.00103" LEYEZ="0.65527" LPUPILD="0.00458" LPUPILV="1" REYEX="0.04876" REYEY="0.00119" REYEZ="0.66025" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.61071" FPOGY="0.80167" FPOGS="267.96454" FPOGD="0.03403" FPOGID="959" FPOGV="1" LPOGX="0.59379" LPOGY="0.77830" LPOGV="1" RPOGX="0.60518" RPOGY="0.80586" RPOGV="1" BPOGX="0.59948" BPOGY="0.79208" BPOGV="1" LPCX="0.42954" LPCY="0.49268" LPD="24.44400" LPS="1.02360" LPV="1" RPCX="0.69435" RPCY="0.49201" RPD="27.49077" RPS="1.02360" RPV="1" LEYEX="-0.01754" LEYEY="0.00103" LEYEZ="0.65527" LPUPILD="0.00460" LPUPILV="1" REYEX="0.04876" REYEY="0.00119" REYEZ="0.66025" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.60906" FPOGY="0.80059" FPOGS="267.96454" FPOGD="0.04074" FPOGID="959" FPOGV="1" LPOGX="0.59438" LPOGY="0.78031" LPOGV="1" RPOGX="0.60404" RPOGY="0.80780" RPOGV="1" BPOGX="0.59921" BPOGY="0.79405" BPOGV="1" LPCX="0.42954" LPCY="0.49265" LPD="24.54113" LPS="1.01657" LPV="1" RPCX="0.69441" RPCY="0.49206" RPD="27.36238" RPS="1.01657" RPV="1" LEYEX="-0.01704" LEYEY="0.00105" LEYEZ="0.63835" LPUPILD="0.00460" LPUPILV="1" REYEX="0.04876" REYEY="0.00119" REYEZ="0.66025" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.60842" FPOGY="0.80119" FPOGS="267.96454" FPOGD="0.04709" FPOGID="959" FPOGV="1" LPOGX="0.60177" LPOGY="0.79976" LPOGV="1" RPOGX="0.60601" RPOGY="0.81103" RPOGV="1" BPOGX="0.60389" BPOGY="0.80539" BPOGV="1" LPCX="0.42953" LPCY="0.49265" LPD="24.51432" LPS="1.00955" LPV="1" RPCX="0.69441" RPCY="0.49194" RPD="27.60424" RPS="1.00955" RPV="1" LEYEX="-0.01704" LEYEY="0.00105" LEYEZ="0.63835" LPUPILD="0.00461" LPUPILV="1" REYEX="0.04876" REYEY="0.00119" REYEZ="0.66025" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.60771" FPOGY="0.80182" FPOGS="267.96454" FPOGD="0.05377" FPOGID="959" FPOGV="1" LPOGX="0.59840" LPOGY="0.81144" LPOGV="1" RPOGX="0.60574" RPOGY="0.80240" RPOGV="1" BPOGX="0.60207" BPOGY="0.80692" BPOGV="1" LPCX="0.42950" LPCY="0.49281" LPD="23.88928" LPS="1.00252" LPV="1" RPCX="0.69450" RPCY="0.49193" RPD="27.51061" RPS="1.00252" RPV="1" LEYEX="-0.01704" LEYEY="0.00105" LEYEZ="0.63835" LPUPILD="0.00464" LPUPILV="1" REYEX="0.04876" REYEY="0.00119" REYEZ="0.66025" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.60715" FPOGY="0.80233" FPOGS="267.96454" FPOGD="0.06003" FPOGID="959" FPOGV="1" LPOGX="0.59840" LPOGY="0.81144" LPOGV="1" RPOGX="0.60574" RPOGY="0.80240" RPOGV="1" BPOGX="0.60207" BPOGY="0.80692" BPOGV="1" LPCX="0.42946" LPCY="0.49289" LPD="23.85244" LPS="1.00252" LPV="1" RPCX="0.69455" RPCY="0.49187" RPD="27.43928" RPS="1.00252" RPV="1" LEYEX="-0.01704" LEYEY="0.00105" LEYEZ="0.63835" LPUPILD="0.00469" LPUPILV="1" REYEX="0.04882" REYEY="0.00119" REYEZ="0.65969" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.60722" FPOGY="0.80179" FPOGS="267.96454" FPOGD="0.06696" FPOGID="959" FPOGV="1" LPOGX="0.59052" LPOGY="0.80251" LPOGV="1" RPOGX="0.62534" RPOGY="0.79020" RPOGV="1" BPOGX="0.60793" BPOGY="0.79635" BPOGV="1" LPCX="0.42943" LPCY="0.49287" LPD="23.86679" LPS="1.00955" LPV="1" RPCX="0.69460" RPCY="0.49192" RPD="27.56548" RPS="1.00955" RPV="1" LEYEX="-0.01704" LEYEY="0.00105" LEYEZ="0.63835" LPUPILD="0.00470" LPUPILV="1" REYEX="0.04882" REYEY="0.00119" REYEZ="0.65969" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
<REC FPOGX="0.60784" FPOGY="0.80105" FPOGS="267.96454" FPOGD="0.07394" FPOGID="959" FPOGV="1" LPOGX="0.59724" LPOGY="0.80020" LPOGV="1" RPOGX="0.63215" RPOGY="0.78574" RPOGV="1" BPOGX="0.61470" BPOGY="0.79297" BPOGV="1" LPCX="0.42945" LPCY="0.49291" LPD="23.69877" LPS="1.01657" LPV="1" RPCX="0.69463" RPCY="0.49197" RPD="27.67300" RPS="1.01657" RPV="1" LEYEX="-0.01704" LEYEY="0.00105" LEYEZ="0.63835" LPUPILD="0.00470" LPUPILV="1" REYEX="0.04882" REYEY="0.00119" REYEZ="0.65969" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="34" />
