2025-06-09 11:35:56.725499
="0.57623" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53634" FPOGY="0.91410" FPOGS="473.67380" FPOGD="0.20111" FPOGID="1792" FPOGV="0" LPOGX="0.59535" LPOGY="0.65410" LPOGV="0" RPOGX="0.53198" RPOGY="0.91355" RPOGV="0" BPOGX="0.53198" BPOGY="0.91355" BPOGV="0" LPCX="0.46317" LPCY="0.36025" LPD="14.77229" LPS="0.80965" LPV="0" RPCX="0.75648" RPCY="0.36108" RPD="14.96804" RPS="0.80965" RPV="0" LEYEX="-0.00779" LEYEY="0.02457" LEYEZ="0.58720" LPUPILD="0.00424" LPUPILV="1" REYEX="0.05651" REYEY="0.02420" REYEZ="0.57623" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50554" FPOGY="0.44946" FPOGS="474.79248" FPOGD="0.06717" FPOGID="1798" FPOGV="1" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.50554" FPOGY="0.44946" FPOGS="474.79248" FPOGD="0.07507" FPOGID="1798" FPOGV="1" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.50008" FPOGY="0.46693" FPOGS="474.79248" FPOGD="0.07507" FPOGID="1798" FPOGV="0" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.50008" FPOGY="0.46693" FPOGS="474.79248" FPOGD="0.07507" FPOGID="1798" FPOGV="0" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.50008" FPOGY="0.46693" FPOGS="474.79248" FPOGD="0.07507" FPOGID="1798" FPOGV="0" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="474.79248" FPOGD="0.07507" FPOGID="1798" FPOGV="0" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="474.79248" FPOGD="0.07507" FPOGID="1798" FPOGV="0" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="474.79248" FPOGD="0.07507" FPOGID="1798" FPOGV="0" LPOGX="0.48620" LPOGY="0.53748" LPOGV="0" RPOGX="0.51531" RPOGY="0.70515" RPOGV="0" BPOGX="0.51531" BPOGY="0.70515" BPOGV="0" LPCX="0.46657" LPCY="0.35875" LPD="18.06228" LPS="0.79104" LPV="0" RPCX="0.76190" RPCY="0.36089" RPD="20.49767" RPS="0.79104" RPV="0" LEYEX="-0.00671" LEYEY="0.02405" LEYEZ="0.57375" LPUPILD="0.00447" LPUPILV="1" REYEX="0.05754" REYEY="0.02396" REYEZ="0.57447" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
