2025-06-20 10:13:40.456586
EYEZ="0.63866" RPUPILD="0.00337" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55682" FPOGY="0.41729" FPOGS="529.01123" FPOGD="0.10052" FPOGID="1769" FPOGV="1" LPOGX="0.55783" LPOGY="0.44553" LPOGV="1" RPOGX="0.55056" RPOGY="0.41917" RPOGV="1" BPOGX="0.55419" BPOGY="0.43235" BPOGV="1" LPCX="0.37558" LPCY="0.76048" LPD="15.80778" LPS="0.99475" LPV="1" RPCX="0.61681" RPCY="0.75314" RPD="14.97003" RPS="0.99475" RPV="1" LEYEX="-0.03098" LEYEY="-0.05390" LEYEZ="0.65688" LPUPILD="0.00339" LPUPILV="1" REYEX="0.02835" REYEY="-0.05106" REYEZ="0.63866" RPUPILD="0.00344" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55565" FPOGY="0.37512" FPOGS="529.54706" FPOGD="0.47540" FPOGID="1771" FPOGV="1" LPOGX="0.57401" LPOGY="0.37428" LPOGV="1" RPOGX="0.55165" RPOGY="0.32509" RPOGV="1" BPOGX="0.56283" BPOGY="0.34968" BPOGV="1" LPCX="0.37488" LPCY="0.76197" LPD="15.60450" LPS="1.02637" LPV="1" RPCX="0.61667" RPCY="0.75474" RPD="15.31430" RPS="1.02637" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00328" LPUPILV="0" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00331" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55561" FPOGY="0.37529" FPOGS="529.54706" FPOGD="0.48151" FPOGID="1771" FPOGV="1" LPOGX="0.57481" LPOGY="0.37956" LPOGV="1" RPOGX="0.55081" RPOGY="0.33093" RPOGV="1" BPOGX="0.56281" BPOGY="0.35525" BPOGV="1" LPCX="0.37489" LPCY="0.76170" LPD="15.24310" LPS="1.01846" LPV="1" RPCX="0.61664" RPCY="0.75469" RPD="15.64071" RPS="1.01846" RPV="1" LEYEX="-0.03209" LEYEY="-0.05568" LEYEZ="0.67617" LPUPILD="0.00341" LPUPILV="1" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55550" FPOGY="0.37541" FPOGS="529.54706" FPOGD="0.48822" FPOGID="1771" FPOGV="1" LPOGX="0.58308" LPOGY="0.38214" LPOGV="1" RPOGX="0.54252" RPOGY="0.36298" RPOGV="1" BPOGX="0.56280" BPOGY="0.37256" BPOGV="1" LPCX="0.37485" LPCY="0.76167" LPD="15.45098" LPS="1.01056" LPV="1" RPCX="0.61663" RPCY="0.75466" RPD="15.57589" RPS="1.01056" RPV="1" LEYEX="-0.03209" LEYEY="-0.05568" LEYEZ="0.67617" LPUPILD="0.00333" LPUPILV="1" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55520" FPOGY="0.37619" FPOGS="529.54706" FPOGD="0.49573" FPOGID="1771" FPOGV="1" LPOGX="0.57693" LPOGY="0.38457" LPOGV="1" RPOGX="0.54677" RPOGY="0.39716" RPOGV="1" BPOGX="0.56185" BPOGY="0.39087" BPOGV="1" LPCX="0.37491" LPCY="0.76164" LPD="15.10252" LPS="1.00266" LPV="1" RPCX="0.61664" RPCY="0.75481" RPD="15.48794" RPS="1.00266" RPV="1" LEYEX="-0.03209" LEYEY="-0.05568" LEYEZ="0.67617" LPUPILD="0.00343" LPUPILV="1" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55489" FPOGY="0.37675" FPOGS="529.54706" FPOGD="0.50183" FPOGID="1771" FPOGV="1" LPOGX="0.57693" LPOGY="0.38457" LPOGV="1" RPOGX="0.54677" RPOGY="0.39716" RPOGV="1" BPOGX="0.56185" BPOGY="0.39087" BPOGV="1" LPCX="0.37490" LPCY="0.76162" LPD="15.18561" LPS="1.00266" LPV="1" RPCX="0.61665" RPCY="0.75479" RPD="15.72723" RPS="1.00266" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00333" LPUPILV="0" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00340" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55512" FPOGY="0.37598" FPOGS="529.54706" FPOGD="0.50854" FPOGID="1771" FPOGV="1" LPOGX="0.58962" LPOGY="0.34691" LPOGV="1" RPOGX="0.56783" RPOGY="0.37212" RPOGV="1" BPOGX="0.57873" BPOGY="0.35951" BPOGV="1" LPCX="0.37496" LPCY="0.76173" LPD="14.88204" LPS="1.01056" LPV="1" RPCX="0.61640" RPCY="0.75436" RPD="14.31126" RPS="1.01056" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00340" LPUPILV="0" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55460" FPOGY="0.37563" FPOGS="529.54706" FPOGD="0.51532" FPOGID="1771" FPOGV="1" LPOGX="0.54890" LPOGY="0.36237" LPOGV="1" RPOGX="0.55384" RPOGY="0.34993" RPOGV="1" BPOGX="0.55137" BPOGY="0.35615" BPOGV="1" LPCX="0.37499" LPCY="0.76173" LPD="15.05574" LPS="1.01846" LPV="1" RPCX="0.61654" RPCY="0.75466" RPD="15.21007" RPS="1.01846" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00343" LPUPILV="0" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.55409" FPOGY="0.37516" FPOGS="529.54706" FPOGD="0.52197" FPOGID="1771" FPOGV="1" LPOGX="0.54791" LPOGY="0.35699" LPOGV="1" RPOGX="0.55470" RPOGY="0.34423" RPOGV="1" BPOGX="0.55131" BPOGY="0.35061" BPOGV="1" LPCX="0.37491" LPCY="0.76185" LPD="15.32048" LPS="1.02637" LPV="1" RPCX="0.61677" RPCY="0.75444" RPD="15.41719" RPS="1.02637" RPV="1" LEYEX="0.00000" LEYEY="0.00000" LEYEZ="0.00000" LPUPILD="0.00332" LPUPILV="0" REYEX="0.02813" REYEY="-0.05120" REYEZ="0.63798" RPUPILD="0.00323" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
