2025-06-04 14:58:18.353764
EYEZ="0.54349" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.52376" FPOGY="0.35981" FPOGS="3119.42871" FPOGD="0.10767" FPOGID="6267" FPOGV="1" LPOGX="0.61883" LPOGY="0.46016" LPOGV="1" RPOGX="0.43370" RPOGY="0.28783" RPOGV="1" BPOGX="0.52627" BPOGY="0.37399" BPOGV="1" LPCX="0.18611" LPCY="0.43393" LPD="34.43541" LPS="0.67258" LPV="1" RPCX="0.49739" RPCY="0.46096" RPD="29.38733" RPS="0.67596" RPV="1" LEYEX="-0.06295" LEYEY="0.00932" LEYEZ="0.52452" LPUPILD="0.00576" LPUPILV="1" REYEX="-0.00053" REYEY="0.00481" REYEZ="0.54349" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54500" FPOGY="0.39016" FPOGS="3119.42871" FPOGD="1.02515" FPOGID="6267" FPOGV="1" LPOGX="0.62649" LPOGY="0.44361" LPOGV="1" RPOGX="0.47031" RPOGY="0.35205" RPOGV="1" BPOGX="0.54840" BPOGY="0.39783" BPOGV="1" LPCX="0.19990" LPCY="0.43541" LPD="38.19333" LPS="0.65952" LPV="1" RPCX="0.51500" RPCY="0.47006" RPD="34.78050" RPS="0.65952" RPV="1" LEYEX="-0.06121" LEYEY="0.00923" LEYEZ="0.53300" LPUPILD="0.00621" LPUPILV="1" REYEX="0.00305" REYEY="0.00341" REYEZ="0.53478" RPUPILD="0.00563" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54472" FPOGY="0.39010" FPOGS="3119.42871" FPOGD="1.03174" FPOGID="6267" FPOGV="1" LPOGX="0.63922" LPOGY="0.45864" LPOGV="1" RPOGX="0.43758" RPOGY="0.31995" RPOGV="1" BPOGX="0.53840" BPOGY="0.38930" BPOGV="1" LPCX="0.20006" LPCY="0.43551" LPD="38.21072" LPS="0.66258" LPV="1" RPCX="0.51508" RPCY="0.47015" RPD="34.85042" RPS="0.66258" RPV="1" LEYEX="-0.06121" LEYEY="0.00923" LEYEZ="0.53300" LPUPILD="0.00621" LPUPILV="1" REYEX="0.00305" REYEY="0.00341" REYEZ="0.53478" RPUPILD="0.00562" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54494" FPOGY="0.39041" FPOGS="3119.42871" FPOGD="1.03857" FPOGID="6267" FPOGV="1" LPOGX="0.64081" LPOGY="0.46352" LPOGV="1" RPOGX="0.44338" RPOGY="0.33106" RPOGV="1" BPOGX="0.54210" BPOGY="0.39729" BPOGV="1" LPCX="0.20006" LPCY="0.43554" LPD="38.21043" LPS="0.66564" LPV="1" RPCX="0.51514" RPCY="0.47020" RPD="34.89844" RPS="0.66564" RPV="1" LEYEX="-0.06121" LEYEY="0.00923" LEYEZ="0.53300" LPUPILD="0.00622" LPUPILV="1" REYEX="0.00305" REYEY="0.00341" REYEZ="0.53478" RPUPILD="0.00560" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54516" FPOGY="0.39056" FPOGS="3119.42871" FPOGD="1.04565" FPOGID="6267" FPOGV="1" LPOGX="0.64063" LPOGY="0.46072" LPOGV="1" RPOGX="0.44338" RPOGY="0.33114" RPOGV="1" BPOGX="0.54201" BPOGY="0.39593" BPOGV="1" LPCX="0.20014" LPCY="0.43564" LPD="38.40099" LPS="0.66870" LPV="1" RPCX="0.51524" RPCY="0.47034" RPD="34.71326" RPS="0.66557" RPV="1" LEYEX="-0.06121" LEYEY="0.00923" LEYEZ="0.53300" LPUPILD="0.00621" LPUPILV="1" REYEX="0.00300" REYEY="0.00327" REYEZ="0.51908" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54527" FPOGY="0.39043" FPOGS="3119.42871" FPOGD="1.05200" FPOGID="6267" FPOGV="1" LPOGX="0.64761" LPOGY="0.43720" LPOGV="1" RPOGX="0.44885" RPOGY="0.33984" RPOGV="1" BPOGX="0.54823" BPOGY="0.38852" BPOGV="1" LPCX="0.20015" LPCY="0.43578" LPD="38.37586" LPS="0.66557" LPV="1" RPCX="0.51525" RPCY="0.47044" RPD="34.76821" RPS="0.66244" RPV="1" LEYEX="-0.06121" LEYEY="0.00923" LEYEZ="0.53300" LPUPILD="0.00622" LPUPILV="1" REYEX="0.00300" REYEY="0.00327" REYEZ="0.51908" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54523" FPOGY="0.39044" FPOGS="3119.42871" FPOGD="1.05835" FPOGID="6267" FPOGV="1" LPOGX="0.65396" LPOGY="0.44795" LPOGV="1" RPOGX="0.45363" RPOGY="0.34599" RPOGV="1" BPOGX="0.55379" BPOGY="0.39697" BPOGV="1" LPCX="0.20022" LPCY="0.43589" LPD="38.22131" LPS="0.66244" LPV="1" RPCX="0.51530" RPCY="0.47048" RPD="34.88683" RPS="0.65930" RPV="1" LEYEX="-0.06121" LEYEY="0.00923" LEYEZ="0.53300" LPUPILD="0.00623" LPUPILV="1" REYEX="0.00300" REYEY="0.00327" REYEZ="0.51908" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54520" FPOGY="0.39065" FPOGS="3119.42871" FPOGD="1.06519" FPOGID="6267" FPOGV="1" LPOGX="0.65433" LPOGY="0.45648" LPOGV="1" RPOGX="0.45348" RPOGY="0.35267" RPOGV="1" BPOGX="0.55390" BPOGY="0.40458" BPOGV="1" LPCX="0.20024" LPCY="0.43597" LPD="38.23620" LPS="0.65340" LPV="1" RPCX="0.51543" RPCY="0.47075" RPD="34.85756" RPS="0.65340" RPV="1" LEYEX="-0.05915" LEYEY="0.00886" LEYEZ="0.51574" LPUPILD="0.00624" LPUPILV="1" REYEX="0.00310" REYEY="0.00326" REYEZ="0.52991" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54543" FPOGY="0.39067" FPOGS="3119.42871" FPOGD="1.07202" FPOGID="6267" FPOGV="1" LPOGX="0.65119" LPOGY="0.44554" LPOGV="1" RPOGX="0.45444" RPOGY="0.33606" RPOGV="1" BPOGX="0.55281" BPOGY="0.39080" BPOGV="1" LPCX="0.20025" LPCY="0.43606" LPD="38.47519" LPS="0.64749" LPV="1" RPCX="0.51543" RPCY="0.47081" RPD="34.94099" RPS="0.65062" RPV="1" LEYEX="-0.05915" LEYEY="0.00886" LEYEZ="0.51574" LPUPILD="0.00623" LPUPILV="1" REYEX="0.00310" REYEY="0.00326" REYEZ="0.52991" RPUPILD="0.00566" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
