2025-06-12 10:26:33.019538
REYEZ="0.60997" RPUPILD="0.00458" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54531" FPOGY="0.36128" FPOGS="1309.19360" FPOGD="0.64270" FPOGID="3390" FPOGV="1" LPOGX="0.63143" LPOGY="0.44847" LPOGV="1" RPOGX="0.44564" RPOGY="0.31093" RPOGV="1" BPOGX="0.53853" BPOGY="0.37970" BPOGV="1" LPCX="0.24016" LPCY="0.56817" LPD="28.53818" LPS="0.85979" LPV="1" RPCX="0.51369" RPCY="0.59232" RPD="24.24356" RPS="0.85979" RPV="1" LEYEX="-0.06004" LEYEY="-0.01379" LEYEZ="0.60299" LPUPILD="0.00536" LPUPILV="1" REYEX="0.00320" REYEY="-0.01867" REYEZ="0.60997" RPUPILD="0.00462" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54503" FPOGY="0.37742" FPOGS="1310.29224" FPOGD="0.45532" FPOGID="3391" FPOGV="1" LPOGX="0.64782" LPOGY="0.41003" LPOGV="1" RPOGX="0.44576" RPOGY="0.34059" RPOGV="1" BPOGX="0.54679" BPOGY="0.37531" BPOGV="1" LPCX="0.23789" LPCY="0.56296" LPD="32.14314" LPS="0.87003" LPV="1" RPCX="0.51139" RPCY="0.58986" RPD="27.49844" RPS="0.87003" RPV="1" LEYEX="-0.06213" LEYEY="-0.01310" LEYEZ="0.61929" LPUPILD="0.00602" LPUPILV="1" REYEX="0.00265" REYEY="-0.01817" REYEZ="0.60872" RPUPILD="0.00515" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54526" FPOGY="0.37737" FPOGS="1310.29224" FPOGD="0.46191" FPOGID="3391" FPOGV="1" LPOGX="0.64782" LPOGY="0.41003" LPOGV="1" RPOGX="0.44576" RPOGY="0.34059" RPOGV="1" BPOGX="0.54679" BPOGY="0.37531" BPOGV="1" LPCX="0.23788" LPCY="0.56296" LPD="32.09826" LPS="0.87003" LPV="1" RPCX="0.51142" RPCY="0.58981" RPD="27.54120" RPS="0.87003" RPV="1" LEYEX="-0.06077" LEYEY="-0.01279" LEYEZ="0.60483" LPUPILD="0.00603" LPUPILV="1" REYEX="0.00265" REYEY="-0.01812" REYEZ="0.61008" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54536" FPOGY="0.37749" FPOGS="1310.29224" FPOGD="0.46899" FPOGID="3391" FPOGV="1" LPOGX="0.64280" LPOGY="0.45049" LPOGV="1" RPOGX="0.44421" RPOGY="0.31969" RPOGV="1" BPOGX="0.54350" BPOGY="0.38509" BPOGV="1" LPCX="0.23780" LPCY="0.56286" LPD="32.08524" LPS="0.87003" LPV="1" RPCX="0.51130" RPCY="0.58957" RPD="27.64333" RPS="0.87003" RPV="1" LEYEX="-0.06077" LEYEY="-0.01279" LEYEZ="0.60483" LPUPILD="0.00604" LPUPILV="1" REYEX="0.00265" REYEY="-0.01812" REYEZ="0.61008" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54579" FPOGY="0.37758" FPOGS="1310.29224" FPOGD="0.47546" FPOGID="3391" FPOGV="1" LPOGX="0.63627" LPOGY="0.45263" LPOGV="1" RPOGX="0.46946" RPOGY="0.30931" RPOGV="1" BPOGX="0.55286" BPOGY="0.38097" BPOGV="1" LPCX="0.23779" LPCY="0.56286" LPD="32.05011" LPS="0.87003" LPV="1" RPCX="0.51130" RPCY="0.58952" RPD="27.58964" RPS="0.87003" RPV="1" LEYEX="-0.06077" LEYEY="-0.01279" LEYEZ="0.60483" LPUPILD="0.00605" LPUPILV="1" REYEX="0.00265" REYEY="-0.01812" REYEZ="0.61008" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54623" FPOGY="0.37773" FPOGS="1310.29224" FPOGD="0.48230" FPOGID="3391" FPOGV="1" LPOGX="0.63627" LPOGY="0.45263" LPOGV="1" RPOGX="0.46946" RPOGY="0.30931" RPOGV="1" BPOGX="0.55286" BPOGY="0.38097" BPOGV="1" LPCX="0.23773" LPCY="0.56287" LPD="32.12197" LPS="0.87003" LPV="1" RPCX="0.51125" RPCY="0.58945" RPD="27.54700" RPS="0.87003" RPV="1" LEYEX="-0.06073" LEYEY="-0.01277" LEYEZ="0.60359" LPUPILD="0.00606" LPUPILV="1" REYEX="0.00263" REYEY="-0.01789" REYEZ="0.60373" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54619" FPOGY="0.37850" FPOGS="1310.29224" FPOGD="0.48901" FPOGID="3391" FPOGV="1" LPOGX="0.62524" LPOGY="0.45502" LPOGV="1" RPOGX="0.46424" RPOGY="0.33303" RPOGV="1" BPOGX="0.54474" BPOGY="0.39403" BPOGV="1" LPCX="0.23758" LPCY="0.56287" LPD="32.27863" LPS="0.87003" LPV="1" RPCX="0.51121" RPCY="0.58927" RPD="27.64924" RPS="0.87003" RPV="1" LEYEX="-0.06073" LEYEY="-0.01277" LEYEZ="0.60359" LPUPILD="0.00606" LPUPILV="1" REYEX="0.00263" REYEY="-0.01789" REYEZ="0.60373" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54618" FPOGY="0.37852" FPOGS="1310.29224" FPOGD="0.49573" FPOGID="3391" FPOGV="1" LPOGX="0.61935" LPOGY="0.44948" LPOGV="1" RPOGX="0.46557" RPOGY="0.31512" RPOGV="1" BPOGX="0.54246" BPOGY="0.38230" BPOGV="1" LPCX="0.23752" LPCY="0.56289" LPD="32.33973" LPS="0.87003" LPV="1" RPCX="0.51115" RPCY="0.58914" RPD="27.70660" RPS="0.87003" RPV="1" LEYEX="-0.06073" LEYEY="-0.01277" LEYEZ="0.60359" LPUPILD="0.00606" LPUPILV="1" REYEX="0.00263" REYEY="-0.01789" REYEZ="0.60373" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.54617" FPOGY="0.37858" FPOGS="1310.29224" FPOGD="0.50244" FPOGID="3391" FPOGV="1" LPOGX="0.61935" LPOGY="0.44948" LPOGV="1" RPOGX="0.46557" RPOGY="0.31512" RPOGV="1" BPOGX="0.54246" BPOGY="0.38230" BPOGV="1" LPCX="0.23750" LPCY="0.56292" LPD="32.35109" LPS="0.87003" LPV="1" RPCX="0.51117" RPCY="0.58902" RPD="27.59283" RPS="0.87003" RPV="1" LEYEX="-0.06073" LEYEY="-0.01277" LEYEZ="0.60359" LPUPILD="0.00606" LPUPILV="1" REYEX="0.00257" REYEY="-0.01805" REYEZ="0.61095" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
