2025-06-12 10:25:55.381783
REYEZ="0.60989" RPUPILD="0.00477" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53978" FPOGY="0.37416" FPOGS="1272.15771" FPOGD="0.03394" FPOGID="3303" FPOGV="1" LPOGX="0.63824" LPOGY="0.39739" LPOGV="1" RPOGX="0.42413" RPOGY="0.33621" RPOGV="1" BPOGX="0.53119" BPOGY="0.36680" BPOGV="1" LPCX="0.24873" LPCY="0.57463" LPD="29.39074" LPS="0.87003" LPV="1" RPCX="0.52203" RPCY="0.59705" RPD="24.83674" RPS="0.87003" RPV="1" LEYEX="-0.05780" LEYEY="-0.01486" LEYEZ="0.60041" LPUPILD="0.00554" LPUPILV="1" REYEX="0.00512" REYEY="-0.01958" REYEZ="0.60989" RPUPILD="0.00480" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53216" FPOGY="0.37446" FPOGS="1273.03589" FPOGD="0.05981" FPOGID="3305" FPOGV="1" LPOGX="0.65217" LPOGY="0.47181" LPOGV="1" RPOGX="0.43269" RPOGY="0.27411" RPOGV="1" BPOGX="0.54243" BPOGY="0.37296" BPOGV="1" LPCX="0.24655" LPCY="0.57314" LPD="31.16856" LPS="0.85467" LPV="1" RPCX="0.52010" RPCY="0.59489" RPD="26.02312" RPS="0.85467" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00586" LPUPILV="1" REYEX="0.00474" REYEY="-0.01909" REYEZ="0.60751" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53275" FPOGY="0.37552" FPOGS="1273.03589" FPOGD="0.06616" FPOGID="3305" FPOGV="1" LPOGX="0.64832" LPOGY="0.45454" LPOGV="1" RPOGX="0.42901" RPOGY="0.31769" RPOGV="1" BPOGX="0.53866" BPOGY="0.38612" BPOGV="1" LPCX="0.24651" LPCY="0.57310" LPD="31.11974" LPS="0.85979" LPV="1" RPCX="0.52010" RPCY="0.59489" RPD="26.02312" RPS="0.85979" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00587" LPUPILV="1" REYEX="0.00474" REYEY="-0.01909" REYEZ="0.60751" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53325" FPOGY="0.37630" FPOGS="1273.03589" FPOGD="0.07275" FPOGID="3305" FPOGV="1" LPOGX="0.64535" LPOGY="0.45503" LPOGV="1" RPOGX="0.43206" RPOGY="0.31459" RPOGV="1" BPOGX="0.53870" BPOGY="0.38481" BPOGV="1" LPCX="0.24651" LPCY="0.57312" LPD="31.03532" LPS="0.86491" LPV="1" RPCX="0.52009" RPCY="0.59486" RPD="26.01645" RPS="0.86491" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00587" LPUPILV="1" REYEX="0.00474" REYEY="-0.01909" REYEZ="0.60751" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53366" FPOGY="0.37663" FPOGS="1273.03589" FPOGD="0.07996" FPOGID="3305" FPOGV="1" LPOGX="0.64515" LPOGY="0.45138" LPOGV="1" RPOGX="0.43203" RPOGY="0.30998" RPOGV="1" BPOGX="0.53859" BPOGY="0.38068" BPOGV="1" LPCX="0.24652" LPCY="0.57313" LPD="31.08307" LPS="0.87003" LPV="1" RPCX="0.52011" RPCY="0.59490" RPD="26.03320" RPS="0.87003" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00587" LPUPILV="1" REYEX="0.00474" REYEY="-0.01914" REYEZ="0.60751" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53380" FPOGY="0.37676" FPOGS="1273.03589" FPOGD="0.08630" FPOGID="3305" FPOGV="1" LPOGX="0.64284" LPOGY="0.44877" LPOGV="1" RPOGX="0.42847" RPOGY="0.30810" RPOGV="1" BPOGX="0.53565" BPOGY="0.37843" BPOGV="1" LPCX="0.24645" LPCY="0.57314" LPD="31.12611" LPS="0.87003" LPV="1" RPCX="0.52005" RPCY="0.59487" RPD="25.94407" RPS="0.87003" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00586" LPUPILV="1" REYEX="0.00474" REYEY="-0.01914" REYEZ="0.60751" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53397" FPOGY="0.37675" FPOGS="1273.03589" FPOGD="0.09338" FPOGID="3305" FPOGV="1" LPOGX="0.64660" LPOGY="0.44664" LPOGV="1" RPOGX="0.42598" RPOGY="0.30649" RPOGV="1" BPOGX="0.53629" BPOGY="0.37657" BPOGV="1" LPCX="0.24644" LPCY="0.57313" LPD="31.17571" LPS="0.87003" LPV="1" RPCX="0.52006" RPCY="0.59487" RPD="25.98018" RPS="0.87003" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00583" LPUPILV="1" REYEX="0.00474" REYEY="-0.01914" REYEZ="0.60751" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53411" FPOGY="0.37674" FPOGS="1273.03589" FPOGD="0.09998" FPOGID="3305" FPOGV="1" LPOGX="0.64660" LPOGY="0.44664" LPOGV="1" RPOGX="0.42598" RPOGY="0.30649" RPOGV="1" BPOGX="0.53629" BPOGY="0.37657" BPOGV="1" LPCX="0.24647" LPCY="0.57310" LPD="31.19550" LPS="0.87003" LPV="1" RPCX="0.52005" RPCY="0.59486" RPD="25.91881" RPS="0.87003" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00583" LPUPILV="1" REYEX="0.00474" REYEY="-0.01914" REYEZ="0.60751" RPUPILD="0.00506" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53406" FPOGY="0.37675" FPOGS="1273.03589" FPOGD="0.10706" FPOGID="3305" FPOGV="1" LPOGX="0.64284" LPOGY="0.44877" LPOGV="1" RPOGX="0.42350" RPOGY="0.30526" RPOGV="1" BPOGX="0.53317" BPOGY="0.37702" BPOGV="1" LPCX="0.24647" LPCY="0.57306" LPD="31.21260" LPS="0.87003" LPV="1" RPCX="0.52001" RPCY="0.59488" RPD="25.93471" RPS="0.87003" RPV="1" LEYEX="-0.05916" LEYEY="-0.01477" LEYEZ="0.60795" LPUPILD="0.00586" LPUPILV="1" REYEX="0.00474" REYEY="-0.01914" REYEZ="0.60751" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
