2025-06-09 11:46:30.409319
Z="0.61621" RPUPILD="0.00559" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55538" FPOGY="0.38491" FPOGS="1107.24573" FPOGD="0.38879" FPOGID="3737" FPOGV="1" LPOGX="0.63233" LPOGY="0.36193" LPOGV="1" RPOGX="0.46922" RPOGY="0.35526" RPOGV="1" BPOGX="0.55077" BPOGY="0.35860" BPOGV="1" LPCX="0.34588" LPCY="0.44043" LPD="28.50207" LPS="0.94771" LPV="1" RPCX="0.59366" RPCY="0.47029" RPD="27.38021" RPS="0.94127" RPV="1" LEYEX="-0.03770" LEYEY="0.01043" LEYEZ="0.63810" LPUPILD="0.00583" LPUPILV="1" REYEX="0.02213" REYEY="0.00439" REYEZ="0.61621" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55925" FPOGY="0.36703" FPOGS="1107.64758" FPOGD="0.89734" FPOGID="3738" FPOGV="1" LPOGX="0.66248" LPOGY="0.44899" LPOGV="1" RPOGX="0.47588" RPOGY="0.35785" RPOGV="1" BPOGX="0.56918" BPOGY="0.40342" BPOGV="1" LPCX="0.34784" LPCY="0.44008" LPD="28.86968" LPS="0.91801" LPV="1" RPCX="0.59527" RPCY="0.47034" RPD="27.61791" RPS="0.92445" RPV="1" LEYEX="-0.03537" LEYEY="0.01010" LEYEZ="0.60644" LPUPILD="0.00596" LPUPILV="1" REYEX="0.02363" REYEY="0.00472" REYEZ="0.64851" RPUPILD="0.00558" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.55989" FPOGY="0.39757" FPOGS="1107.64758" FPOGD="0.89734" FPOGID="3738" FPOGV="0" LPOGX="0.66248" LPOGY="0.44889" LPOGV="1" RPOGX="0.47589" RPOGY="0.35773" RPOGV="1" BPOGX="0.56918" BPOGY="0.40331" BPOGV="1" LPCX="0.34785" LPCY="0.44013" LPD="28.99700" LPS="0.91816" LPV="1" RPCX="0.59531" RPCY="0.47038" RPD="27.73900" RPS="0.92459" RPV="1" LEYEX="-0.03743" LEYEY="0.01070" LEYEZ="0.64250" LPUPILD="0.00596" LPUPILV="1" REYEX="0.02363" REYEY="0.00462" REYEZ="0.64851" RPUPILD="0.00558" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56802" FPOGY="0.40597" FPOGS="1107.64758" FPOGD="0.89734" FPOGID="3738" FPOGV="0" LPOGX="0.66901" LPOGY="0.45749" LPOGV="1" RPOGX="0.48330" RPOGY="0.37125" RPOGV="1" BPOGX="0.57616" BPOGY="0.41437" BPOGV="1" LPCX="0.34785" LPCY="0.44018" LPD="29.10676" LPS="0.93025" LPV="1" RPCX="0.59531" RPCY="0.47044" RPD="27.74832" RPS="0.93025" RPV="1" LEYEX="-0.03743" LEYEY="0.01070" LEYEZ="0.64250" LPUPILD="0.00595" LPUPILV="1" REYEX="0.02363" REYEY="0.00462" REYEZ="0.64851" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.57194" FPOGY="0.39867" FPOGS="1107.64758" FPOGD="0.89734" FPOGID="3738" FPOGV="0" LPOGX="0.67250" LPOGY="0.45650" LPOGV="1" RPOGX="0.48705" RPOGY="0.31160" RPOGV="1" BPOGX="0.57977" BPOGY="0.38405" BPOGV="1" LPCX="0.34793" LPCY="0.44025" LPD="29.11425" LPS="0.93591" LPV="1" RPCX="0.59534" RPCY="0.47044" RPD="27.75458" RPS="0.93591" RPV="1" LEYEX="-0.03743" LEYEY="0.01070" LEYEZ="0.64250" LPUPILD="0.00598" LPUPILV="1" REYEX="0.02363" REYEY="0.00462" REYEZ="0.64851" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.57396" FPOGY="0.39279" FPOGS="1108.55176" FPOGD="0.01978" FPOGID="3739" FPOGV="1" LPOGX="0.67239" LPOGY="0.44861" LPOGV="1" RPOGX="0.48766" RPOGY="0.30168" RPOGV="1" BPOGX="0.58002" BPOGY="0.37515" BPOGV="1" LPCX="0.34798" LPCY="0.44029" LPD="28.88559" LPS="0.94785" LPV="1" RPCX="0.59539" RPCY="0.47050" RPD="27.70394" RPS="0.94785" RPV="1" LEYEX="-0.03771" LEYEY="0.01074" LEYEZ="0.64820" LPUPILD="0.00598" LPUPILV="1" REYEX="0.02341" REYEY="0.00451" REYEZ="0.63977" RPUPILD="0.00561" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.57541" FPOGY="0.38551" FPOGS="1108.55176" FPOGD="0.02698" FPOGID="3739" FPOGV="1" LPOGX="0.67459" LPOGY="0.40243" LPOGV="1" RPOGX="0.48789" RPOGY="0.31036" RPOGV="1" BPOGX="0.58124" BPOGY="0.35640" BPOGV="1" LPCX="0.34804" LPCY="0.44037" LPD="28.95693" LPS="0.95414" LPV="1" RPCX="0.59543" RPCY="0.47061" RPD="27.59985" RPS="0.95414" RPV="1" LEYEX="-0.03771" LEYEY="0.01074" LEYEZ="0.64820" LPUPILD="0.00599" LPUPILV="1" REYEX="0.02341" REYEY="0.00451" REYEZ="0.63977" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.57656" FPOGY="0.37609" FPOGS="1108.55176" FPOGD="0.03357" FPOGID="3739" FPOGV="1" LPOGX="0.67643" LPOGY="0.34998" LPOGV="1" RPOGX="0.48817" RPOGY="0.30798" RPOGV="1" BPOGX="0.58230" BPOGY="0.32898" BPOGV="1" LPCX="0.34805" LPCY="0.44034" LPD="28.87478" LPS="0.96042" LPV="1" RPCX="0.59543" RPCY="0.47059" RPD="27.56766" RPS="0.96042" RPV="1" LEYEX="-0.03771" LEYEY="0.01074" LEYEZ="0.64820" LPUPILD="0.00597" LPUPILV="1" REYEX="0.02341" REYEY="0.00451" REYEZ="0.63977" RPUPILD="0.00564" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.57740" FPOGY="0.36865" FPOGS="1108.55176" FPOGD="0.04004" FPOGID="3739" FPOGV="1" LPOGX="0.67640" LPOGY="0.34523" LPOGV="1" RPOGX="0.48849" RPOGY="0.30287" RPOGV="1" BPOGX="0.58245" BPOGY="0.32405" BPOGV="1" LPCX="0.34808" LPCY="0.44039" LPD="28.95363" LPS="0.96671" LPV="1" RPCX="0.59548" RPCY="0.47062" RPD="27.67471" RPS="0.96671" RPV="1" LEYEX="-0.03718" LEYEY="0.01054" LEYEZ="0.63900" LPUPILD="0.00599" LPUPILV="1" REYEX="0.02341" REYEY="0.00451" REYEZ="0.63977" RPUPILD="0.00563" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
