2025-06-20 11:34:18.252358
"0.63823" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<REC FPOGX="0.61151" FPOGY="0.13801" FPOGS="607.64990" FPOGD="0.33447" FPOGID="2174" FPOGV="1" LPOGX="0.63649" LPOGY="0.23711" LPOGV="1" RPOGX="0.56476" RPOGY="0.16944" RPOGV="1" BPOGX="0.60063" BPOGY="0.20327" BPOGV="1" LPCX="0.49558" LPCY="0.32299" LPD="24.27332" LPS="0.96746" LPV="1" RPCX="0.72693" RPCY="0.36068" RPD="21.59393" RPS="0.96746" RPV="1" LEYEX="-0.00097" LEYEY="0.03352" LEYEZ="0.64406" LPUPILD="0.00546" LPUPILV="1" REYEX="0.05522" REYEY="0.02575" REYEZ="0.63823" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="8" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.61598" FPOGY="0.17266" FPOGS="608.86816" FPOGD="0.03314" FPOGID="2178" FPOGV="1" LPOGX="0.66237" LPOGY="0.15020" LPOGV="1" RPOGX="0.56103" RPOGY="0.16807" RPOGV="1" BPOGX="0.61170" BPOGY="0.15914" BPOGV="1" LPCX="0.49661" LPCY="0.31966" LPD="25.51783" LPS="0.98151" LPV="1" RPCX="0.72973" RPCY="0.35647" RPD="22.71658" RPS="0.98151" RPV="1" LEYEX="-0.00078" LEYEY="0.03452" LEYEZ="0.65094" LPUPILD="0.00561" LPUPILV="1" REYEX="0.05636" REYEY="0.02693" REYEZ="0.64468" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.61327" FPOGY="0.17165" FPOGS="608.86816" FPOGD="0.04028" FPOGID="2178" FPOGV="1" LPOGX="0.63674" LPOGY="0.16721" LPOGV="1" RPOGX="0.55736" RPOGY="0.16395" RPOGV="1" BPOGX="0.59705" BPOGY="0.16558" BPOGV="1" LPCX="0.49663" LPCY="0.31967" LPD="25.47055" LPS="0.97449" LPV="1" RPCX="0.72976" RPCY="0.35647" RPD="22.73806" RPS="0.97449" RPV="1" LEYEX="-0.00078" LEYEY="0.03452" LEYEZ="0.65094" LPUPILD="0.00563" LPUPILV="1" REYEX="0.05636" REYEY="0.02693" REYEZ="0.64468" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.61122" FPOGY="0.17171" FPOGS="608.86816" FPOGD="0.04730" FPOGID="2178" FPOGV="1" LPOGX="0.63705" LPOGY="0.17370" LPOGV="1" RPOGX="0.55655" RPOGY="0.17057" RPOGV="1" BPOGX="0.59680" BPOGY="0.17213" BPOGV="1" LPCX="0.49665" LPCY="0.31970" LPD="25.58736" LPS="0.96746" LPV="1" RPCX="0.72976" RPCY="0.35647" RPD="22.73806" RPS="0.96746" RPV="1" LEYEX="-0.00078" LEYEY="0.03447" LEYEZ="0.65094" LPUPILD="0.00563" LPUPILV="1" REYEX="0.05636" REYEY="0.02693" REYEZ="0.64468" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60948" FPOGY="0.17175" FPOGS="608.86816" FPOGD="0.05353" FPOGID="2178" FPOGV="1" LPOGX="0.64173" LPOGY="0.17131" LPOGV="1" RPOGX="0.54942" RPOGY="0.17279" RPOGV="1" BPOGX="0.59558" BPOGY="0.17205" BPOGV="1" LPCX="0.49668" LPCY="0.31978" LPD="25.56709" LPS="0.96746" LPV="1" RPCX="0.72974" RPCY="0.35663" RPD="23.08773" RPS="0.96746" RPV="1" LEYEX="-0.00078" LEYEY="0.03447" LEYEZ="0.65094" LPUPILD="0.00563" LPUPILV="1" REYEX="0.05636" REYEY="0.02693" REYEZ="0.64468" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60865" FPOGY="0.17214" FPOGS="608.86816" FPOGD="0.06024" FPOGID="2178" FPOGV="1" LPOGX="0.63220" LPOGY="0.17857" LPOGV="1" RPOGX="0.57020" RPOGY="0.17286" RPOGV="1" BPOGX="0.60120" BPOGY="0.17572" BPOGV="1" LPCX="0.49668" LPCY="0.31978" LPD="25.56709" LPS="0.96746" LPV="1" RPCX="0.72976" RPCY="0.35662" RPD="23.10453" RPS="0.96746" RPV="1" LEYEX="-0.00078" LEYEY="0.03447" LEYEZ="0.65094" LPUPILD="0.00563" LPUPILV="1" REYEX="0.05636" REYEY="0.02693" REYEZ="0.64468" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60809" FPOGY="0.17122" FPOGS="608.86816" FPOGD="0.06763" FPOGID="2178" FPOGV="1" LPOGX="0.63186" LPOGY="0.17212" LPOGV="1" RPOGX="0.57308" RPOGY="0.15194" RPOGV="1" BPOGX="0.60247" BPOGY="0.16203" BPOGV="1" LPCX="0.49670" LPCY="0.31979" LPD="25.57858" LPS="0.97449" LPV="1" RPCX="0.72977" RPCY="0.35661" RPD="22.97220" RPS="0.98976" RPV="1" LEYEX="-0.00073" LEYEY="0.03457" LEYEZ="0.65288" LPUPILD="0.00562" LPUPILV="1" REYEX="0.06011" REYEY="0.02867" REYEZ="0.68633" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60763" FPOGY="0.16983" FPOGS="608.86816" FPOGD="0.07422" FPOGID="2178" FPOGV="1" LPOGX="0.63483" LPOGY="0.15721" LPOGV="1" RPOGX="0.57034" RPOGY="0.15173" RPOGV="1" BPOGX="0.60259" BPOGY="0.15447" BPOGV="1" LPCX="0.49671" LPCY="0.31992" LPD="25.75060" LPS="0.99679" LPV="1" RPCX="0.72983" RPCY="0.35651" RPD="22.85993" RPS="1.01207" RPV="1" LEYEX="-0.00073" LEYEY="0.03457" LEYEZ="0.65288" LPUPILD="0.00561" LPUPILV="1" REYEX="0.06011" REYEY="0.02867" REYEZ="0.68633" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60734" FPOGY="0.16713" FPOGS="608.86816" FPOGD="0.08087" FPOGID="2178" FPOGV="1" LPOGX="0.63441" LPOGY="0.14194" LPOGV="1" RPOGX="0.57334" RPOGY="0.12746" RPOGV="1" BPOGX="0.60387" BPOGY="0.13470" BPOGV="1" LPCX="0.49674" LPCY="0.31994" LPD="25.75142" LPS="1.01909" LPV="1" RPCX="0.72983" RPCY="0.35651" RPD="22.85610" RPS="1.03437" RPV="1" LEYEX="-0.00073" LEYEY="0.03457" LEYEZ="0.65288" LPUPILD="0.00563" LPUPILV="1" REYEX="0.06011" REYEY="0.02867" REYEZ="0.68633" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
