2025-06-26 11:42:15.865047
EZ="0.60792" RPUPILD="0.00463" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<REC FPOGX="0.54919" FPOGY="0.13213" FPOGS="149.30324" FPOGD="0.60138" FPOGID="469" FPOGV="1" LPOGX="0.59374" LPOGY="0.14090" LPOGV="1" RPOGX="0.51013" RPOGY="0.13598" RPOGV="1" BPOGX="0.55194" BPOGY="0.13844" BPOGV="1" LPCX="0.35062" LPCY="0.68788" LPD="25.83997" LPS="0.85948" LPV="1" RPCX="0.60560" RPCY="0.71317" RPD="22.73139" RPS="0.86472" RPV="1" LEYEX="-0.03508" LEYEY="-0.03741" LEYEZ="0.61734" LPUPILD="0.00542" LPUPILV="1" REYEX="0.02443" REYEY="-0.04158" REYEZ="0.60792" RPUPILD="0.00461" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="12" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54155" FPOGY="0.12730" FPOGS="149.30324" FPOGD="1.51900" FPOGID="469" FPOGV="1" LPOGX="0.59117" LPOGY="0.12778" LPOGV="1" RPOGX="0.50790" RPOGY="0.11169" RPOGV="1" BPOGX="0.54953" BPOGY="0.11973" BPOGV="1" LPCX="0.34917" LPCY="0.68812" LPD="27.24031" LPS="0.86472" LPV="1" RPCX="0.60454" RPCY="0.71390" RPD="23.73329" RPS="0.85948" RPV="1" LEYEX="-0.03515" LEYEY="-0.03709" LEYEZ="0.61197" LPUPILD="0.00554" LPUPILV="1" REYEX="0.02362" REYEY="-0.04082" REYEZ="0.59544" RPUPILD="0.00489" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54211" FPOGY="0.12699" FPOGS="149.30324" FPOGD="1.52576" FPOGID="469" FPOGV="1" LPOGX="0.58797" LPOGY="0.13275" LPOGV="1" RPOGX="0.53529" RPOGY="0.11240" RPOGV="1" BPOGX="0.56163" BPOGY="0.12257" BPOGV="1" LPCX="0.34915" LPCY="0.68808" LPD="27.32382" LPS="0.85948" LPV="1" RPCX="0.60446" RPCY="0.71344" RPD="23.06240" RPS="0.85424" RPV="1" LEYEX="-0.03515" LEYEY="-0.03709" LEYEZ="0.61197" LPUPILD="0.00556" LPUPILV="1" REYEX="0.02362" REYEY="-0.04082" REYEZ="0.59544" RPUPILD="0.00490" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54267" FPOGY="0.12679" FPOGS="149.30324" FPOGD="1.53305" FPOGID="469" FPOGV="1" LPOGX="0.58851" LPOGY="0.13838" LPOGV="1" RPOGX="0.53473" RPOGY="0.11835" RPOGV="1" BPOGX="0.56162" BPOGY="0.12837" BPOGV="1" LPCX="0.34904" LPCY="0.68794" LPD="27.19067" LPS="0.85424" LPV="1" RPCX="0.60449" RPCY="0.71376" RPD="23.51967" RPS="0.84900" RPV="1" LEYEX="-0.03515" LEYEY="-0.03699" LEYEZ="0.61197" LPUPILD="0.00560" LPUPILV="1" REYEX="0.02362" REYEY="-0.04082" REYEZ="0.59544" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54332" FPOGY="0.12620" FPOGS="149.30324" FPOGD="1.53917" FPOGID="469" FPOGV="1" LPOGX="0.60563" LPOGY="0.12347" LPOGV="1" RPOGX="0.52688" RPOGY="0.09881" RPOGV="1" BPOGX="0.56625" BPOGY="0.11114" BPOGV="1" LPCX="0.34898" LPCY="0.68797" LPD="27.10149" LPS="0.84900" LPV="1" RPCX="0.60438" RPCY="0.71365" RPD="23.80378" RPS="0.84900" RPV="1" LEYEX="-0.03515" LEYEY="-0.03699" LEYEZ="0.61197" LPUPILD="0.00560" LPUPILV="1" REYEX="0.02362" REYEY="-0.04082" REYEZ="0.59544" RPUPILD="0.00493" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54395" FPOGY="0.12615" FPOGS="149.30324" FPOGD="1.54593" FPOGID="469" FPOGV="1" LPOGX="0.60208" LPOGY="0.18131" LPOGV="1" RPOGX="0.52490" RPOGY="0.10266" RPOGV="1" BPOGX="0.56349" BPOGY="0.14198" BPOGV="1" LPCX="0.34895" LPCY="0.68796" LPD="27.05148" LPS="0.84900" LPV="1" RPCX="0.60438" RPCY="0.71365" RPD="23.85140" RPS="0.84900" RPV="1" LEYEX="-0.03515" LEYEY="-0.03699" LEYEZ="0.61197" LPUPILD="0.00561" LPUPILV="1" REYEX="0.02362" REYEY="-0.04082" REYEZ="0.59544" RPUPILD="0.00492" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54458" FPOGY="0.12632" FPOGS="149.30324" FPOGD="1.55223" FPOGID="469" FPOGV="1" LPOGX="0.60295" LPOGY="0.19143" LPOGV="1" RPOGX="0.52446" RPOGY="0.10790" RPOGV="1" BPOGX="0.56370" BPOGY="0.14967" BPOGV="1" LPCX="0.34892" LPCY="0.68796" LPD="27.05259" LPS="0.83923" LPV="1" RPCX="0.60438" RPCY="0.71361" RPD="23.84743" RPS="0.84447" RPV="1" LEYEX="-0.03333" LEYEY="-0.03499" LEYEZ="0.57878" LPUPILD="0.00560" LPUPILV="1" REYEX="0.02397" REYEY="-0.04146" REYEZ="0.60541" RPUPILD="0.00487" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54500" FPOGY="0.12692" FPOGS="149.30324" FPOGD="1.55919" FPOGID="469" FPOGV="1" LPOGX="0.59347" LPOGY="0.19453" LPOGV="1" RPOGX="0.51413" RPOGY="0.15582" RPOGV="1" BPOGX="0.55380" BPOGY="0.17518" BPOGV="1" LPCX="0.34877" LPCY="0.68788" LPD="27.17145" LPS="0.83470" LPV="1" RPCX="0.60418" RPCY="0.71315" RPD="23.23185" RPS="0.83994" RPV="1" LEYEX="-0.03333" LEYEY="-0.03499" LEYEZ="0.57878" LPUPILD="0.00559" LPUPILV="1" REYEX="0.02397" REYEY="-0.04146" REYEZ="0.60541" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54561" FPOGY="0.12734" FPOGS="149.30324" FPOGD="1.56593" FPOGID="469" FPOGV="1" LPOGX="0.58542" LPOGY="0.17915" LPOGV="1" RPOGX="0.50997" RPOGY="0.14173" RPOGV="1" BPOGX="0.54769" BPOGY="0.16044" BPOGV="1" LPCX="0.34873" LPCY="0.68781" LPD="27.19492" LPS="0.83016" LPV="1" RPCX="0.60412" RPCY="0.71315" RPD="23.47211" RPS="0.83540" RPV="1" LEYEX="-0.03333" LEYEY="-0.03499" LEYEZ="0.57878" LPUPILD="0.00560" LPUPILV="1" REYEX="0.02397" REYEY="-0.04146" REYEZ="0.60541" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
