2025-07-14 11:14:37.743991
EZ="0.65666" RPUPILD="0.00443" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52170" FPOGY="0.11108" FPOGS="288.38593" FPOGD="0.06747" FPOGID="920" FPOGV="1" LPOGX="0.55233" LPOGY="0.17918" LPOGV="1" RPOGX="0.51537" RPOGY="0.07472" RPOGV="1" BPOGX="0.53385" BPOGY="0.12695" BPOGV="1" LPCX="0.28947" LPCY="0.86557" LPD="23.06557" LPS="0.97390" LPV="1" RPCX="0.52598" RPCY="0.88633" RPD="20.50617" RPS="0.98109" RPV="1" LEYEX="-0.05038" LEYEY="-0.07219" LEYEZ="0.62912" LPUPILD="0.00525" LPUPILV="1" REYEX="0.00635" REYEY="-0.07969" REYEZ="0.65666" RPUPILD="0.00442" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52510" FPOGY="0.10928" FPOGS="288.38593" FPOGD="0.97534" FPOGID="920" FPOGV="1" LPOGX="0.54478" LPOGY="0.15005" LPOGV="1" RPOGX="0.50999" RPOGY="0.06863" RPOGV="1" BPOGX="0.52739" BPOGY="0.10934" BPOGV="1" LPCX="0.28569" LPCY="0.86418" LPD="24.24710" LPS="1.02357" LPV="1" RPCX="0.52229" RPCY="0.88430" RPD="20.85511" RPS="1.02357" RPV="1" LEYEX="-0.05357" LEYEY="-0.07513" LEYEZ="0.65731" LPUPILD="0.00548" LPUPILV="1" REYEX="0.00545" REYEY="-0.07904" REYEZ="0.65458" RPUPILD="0.00457" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52539" FPOGY="0.10904" FPOGS="288.38593" FPOGD="0.98404" FPOGID="920" FPOGV="1" LPOGX="0.54039" LPOGY="0.14442" LPOGV="1" RPOGX="0.50587" RPOGY="0.06720" RPOGV="1" BPOGX="0.52313" BPOGY="0.10581" BPOGV="1" LPCX="0.28563" LPCY="0.86413" LPD="24.07566" LPS="1.02357" LPV="1" RPCX="0.52215" RPCY="0.88422" RPD="20.86877" RPS="1.02357" RPV="1" LEYEX="-0.05357" LEYEY="-0.07513" LEYEZ="0.65731" LPUPILD="0.00548" LPUPILV="1" REYEX="0.00545" REYEY="-0.07904" REYEZ="0.65458" RPUPILD="0.00452" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52569" FPOGY="0.10923" FPOGS="288.38593" FPOGD="0.99033" FPOGID="920" FPOGV="1" LPOGX="0.54131" LPOGY="0.15061" LPOGV="1" RPOGX="0.50497" RPOGY="0.08135" RPOGV="1" BPOGX="0.52314" BPOGY="0.11598" BPOGV="1" LPCX="0.28564" LPCY="0.86417" LPD="24.24437" LPS="1.01655" LPV="1" RPCX="0.52223" RPCY="0.88429" RPD="20.87718" RPS="1.00936" RPV="1" LEYEX="-0.05237" LEYEY="-0.07343" LEYEZ="0.64200" LPUPILD="0.00549" LPUPILV="1" REYEX="0.00525" REYEY="-0.07684" REYEZ="0.63635" RPUPILD="0.00454" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52592" FPOGY="0.11013" FPOGS="288.38593" FPOGD="0.99393" FPOGID="920" FPOGV="1" LPOGX="0.53405" LPOGY="0.18084" LPOGV="1" RPOGX="0.49835" RPOGY="0.08622" RPOGV="1" BPOGX="0.51620" BPOGY="0.13353" BPOGV="1" LPCX="0.28552" LPCY="0.86421" LPD="24.13504" LPS="1.00233" LPV="1" RPCX="0.52216" RPCY="0.88425" RPD="20.83002" RPS="0.99514" RPV="1" LEYEX="-0.05237" LEYEY="-0.07343" LEYEZ="0.64200" LPUPILD="0.00551" LPUPILV="1" REYEX="0.00525" REYEY="-0.07684" REYEZ="0.63635" RPUPILD="0.00453" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52591" FPOGY="0.11136" FPOGS="288.38593" FPOGD="0.99881" FPOGID="920" FPOGV="1" LPOGX="0.54213" LPOGY="0.19707" LPOGV="1" RPOGX="0.50059" RPOGY="0.11086" RPOGV="1" BPOGX="0.52136" BPOGY="0.15396" BPOGV="1" LPCX="0.28551" LPCY="0.86425" LPD="24.08702" LPS="0.98812" LPV="1" RPCX="0.52218" RPCY="0.88426" RPD="20.78634" RPS="0.98093" RPV="1" LEYEX="-0.05237" LEYEY="-0.07343" LEYEZ="0.64200" LPUPILD="0.00549" LPUPILV="1" REYEX="0.00525" REYEY="-0.07684" REYEZ="0.63635" RPUPILD="0.00454" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52593" FPOGY="0.11301" FPOGS="288.38593" FPOGD="1.00537" FPOGID="920" FPOGV="1" LPOGX="0.54403" LPOGY="0.20932" LPOGV="1" RPOGX="0.50016" RPOGY="0.11785" RPOGV="1" BPOGX="0.52209" BPOGY="0.16358" BPOGV="1" LPCX="0.28552" LPCY="0.86424" LPD="24.26354" LPS="0.97390" LPV="1" RPCX="0.52219" RPCY="0.88425" RPD="20.89282" RPS="0.97390" RPV="1" LEYEX="-0.05237" LEYEY="-0.07343" LEYEZ="0.64200" LPUPILD="0.00548" LPUPILV="1" REYEX="0.00536" REYEY="-0.07917" REYEZ="0.65564" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52554" FPOGY="0.11428" FPOGS="288.38593" FPOGD="1.01239" FPOGID="920" FPOGV="1" LPOGX="0.53611" LPOGY="0.19672" LPOGV="1" RPOGX="0.49018" RPOGY="0.11413" RPOGV="1" BPOGX="0.51315" BPOGY="0.15543" BPOGV="1" LPCX="0.28550" LPCY="0.86423" LPD="24.16966" LPS="0.97390" LPV="1" RPCX="0.52210" RPCY="0.88429" RPD="20.81557" RPS="0.98109" RPV="1" LEYEX="-0.05237" LEYEY="-0.07343" LEYEZ="0.64200" LPUPILD="0.00548" LPUPILV="1" REYEX="0.00536" REYEY="-0.07917" REYEZ="0.65564" RPUPILD="0.00460" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52544" FPOGY="0.11522" FPOGS="288.38593" FPOGD="1.01843" FPOGID="920" FPOGV="1" LPOGX="0.53314" LPOGY="0.19308" LPOGV="1" RPOGX="0.48832" RPOGY="0.09444" RPOGV="1" BPOGX="0.51073" BPOGY="0.14376" BPOGV="1" LPCX="0.28550" LPCY="0.86418" LPD="24.10661" LPS="0.98109" LPV="1" RPCX="0.52209" RPCY="0.88454" RPD="21.13012" RPS="0.98828" RPV="1" LEYEX="-0.05237" LEYEY="-0.07343" LEYEZ="0.64200" LPUPILD="0.00553" LPUPILV="1" REYEX="0.00536" REYEY="-0.07917" REYEZ="0.65564" RPUPILD="0.00455" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
