2025-07-14 11:18:19.903516
 REYEZ="0.65113" RPUPILD="0.00445" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.51121" FPOGY="0.10097" FPOGS="510.41324" FPOGD="0.20111" FPOGID="1739" FPOGV="1" LPOGX="0.53339" LPOGY="0.15974" LPOGV="1" RPOGX="0.49166" RPOGY="0.04348" RPOGV="1" BPOGX="0.51253" BPOGY="0.10161" BPOGV="1" LPCX="0.22327" LPCY="0.93514" LPD="22.82776" LPS="1.03315" LPV="1" RPCX="0.45660" RPCY="0.92649" RPD="19.65300" RPS="1.02506" RPV="1" LEYEX="-0.06842" LEYEY="-0.08839" LEYEZ="0.65043" LPUPILD="0.00523" LPUPILV="1" REYEX="-0.01079" REYEY="-0.08698" REYEZ="0.65113" RPUPILD="0.00441" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50648" FPOGY="0.11046" FPOGS="511.39151" FPOGD="0.13312" FPOGID="1741" FPOGV="1" LPOGX="0.50414" LPOGY="0.14563" LPOGV="1" RPOGX="0.49113" RPOGY="0.06044" RPOGV="1" BPOGX="0.49763" BPOGY="0.10303" BPOGV="1" LPCX="0.22123" LPCY="0.94108" LPD="24.66166" LPS="1.06371" LPV="1" RPCX="0.45219" RPCY="0.92565" RPD="20.17605" RPS="1.06371" RPV="1" LEYEX="-0.07118" LEYEY="-0.09201" LEYEZ="0.66852" LPUPILD="0.00550" LPUPILV="1" REYEX="-0.01276" REYEY="-0.09069" REYEZ="0.68086" RPUPILD="0.00483" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.50749" FPOGY="0.11056" FPOGS="511.39151" FPOGD="0.14008" FPOGID="1741" FPOGV="1" LPOGX="0.53026" LPOGY="0.17751" LPOGV="1" RPOGX="0.52717" RPOGY="0.04769" RPOGV="1" BPOGX="0.52872" BPOGY="0.11260" BPOGV="1" LPCX="0.22043" LPCY="0.94082" LPD="24.00983" LPS="1.06371" LPV="1" RPCX="0.45148" RPCY="0.92503" RPD="20.03212" RPS="1.07180" RPV="1" LEYEX="-0.07118" LEYEY="-0.09201" LEYEZ="0.66852" LPUPILD="0.00550" LPUPILV="1" REYEX="-0.01276" REYEY="-0.09069" REYEZ="0.68086" RPUPILD="0.00467" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.50750" FPOGY="0.10966" FPOGS="511.39151" FPOGD="0.14709" FPOGID="1741" FPOGV="1" LPOGX="0.52737" LPOGY="0.15986" LPOGV="1" RPOGX="0.48795" RPOGY="0.02011" RPOGV="1" BPOGX="0.50766" BPOGY="0.08998" BPOGV="1" LPCX="0.22011" LPCY="0.94088" LPD="23.86189" LPS="1.07180" LPV="1" RPCX="0.45097" RPCY="0.92517" RPD="20.48549" RPS="1.07988" RPV="1" LEYEX="-0.07118" LEYEY="-0.09201" LEYEZ="0.66852" LPUPILD="0.00558" LPUPILV="1" REYEX="-0.01276" REYEY="-0.09069" REYEZ="0.68086" RPUPILD="0.00464" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.50749" FPOGY="0.10900" FPOGS="511.39151" FPOGD="0.15488" FPOGID="1741" FPOGV="1" LPOGX="0.52735" LPOGY="0.15971" LPOGV="1" RPOGX="0.48760" RPOGY="0.02792" RPOGV="1" BPOGX="0.50747" BPOGY="0.09382" BPOGV="1" LPCX="0.21981" LPCY="0.94081" LPD="23.93438" LPS="1.07198" LPV="1" RPCX="0.45090" RPCY="0.92563" RPD="20.71198" RPS="1.07198" RPV="1" LEYEX="-0.06769" LEYEY="-0.08716" LEYEZ="0.63262" LPUPILD="0.00557" LPUPILV="1" REYEX="-0.01298" REYEY="-0.08971" REYEZ="0.67348" RPUPILD="0.00478" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.50746" FPOGY="0.10915" FPOGS="511.39151" FPOGD="0.16040" FPOGID="1741" FPOGV="1" LPOGX="0.52419" LPOGY="0.18934" LPOGV="1" RPOGX="0.48935" RPOGY="0.03630" RPOGV="1" BPOGX="0.50677" BPOGY="0.11282" BPOGV="1" LPCX="0.21917" LPCY="0.94116" LPD="24.10244" LPS="1.06408" LPV="1" RPCX="0.45025" RPCY="0.92510" RPD="20.66511" RPS="1.05599" RPV="1" LEYEX="-0.06769" LEYEY="-0.08716" LEYEZ="0.63262" LPUPILD="0.00555" LPUPILV="1" REYEX="-0.01298" REYEY="-0.08971" REYEZ="0.67348" RPUPILD="0.00468" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.50769" FPOGY="0.10973" FPOGS="511.39151" FPOGD="0.16718" FPOGID="1741" FPOGV="1" LPOGX="0.53100" LPOGY="0.16949" LPOGV="1" RPOGX="0.49582" RPOGY="0.07854" RPOGV="1" BPOGX="0.51341" BPOGY="0.12402" BPOGV="1" LPCX="0.21889" LPCY="0.94126" LPD="24.22047" LPS="1.04808" LPV="1" RPCX="0.45003" RPCY="0.92505" RPD="20.10216" RPS="1.03999" RPV="1" LEYEX="-0.06769" LEYEY="-0.08716" LEYEZ="0.63262" LPUPILD="0.00551" LPUPILV="1" REYEX="-0.01298" REYEY="-0.08971" REYEZ="0.67348" RPUPILD="0.00473" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.50793" FPOGY="0.11038" FPOGS="511.39151" FPOGD="0.17377" FPOGID="1741" FPOGV="1" LPOGX="0.53210" LPOGY="0.17625" LPOGV="1" RPOGX="0.49582" RPOGY="0.07854" RPOGV="1" BPOGX="0.51396" BPOGY="0.12740" BPOGV="1" LPCX="0.21867" LPCY="0.94132" LPD="24.42381" LPS="1.03999" LPV="1" RPCX="0.44997" RPCY="0.92533" RPD="20.23635" RPS="1.03999" RPV="1" LEYEX="-0.07298" LEYEY="-0.09370" LEYEZ="0.67970" LPUPILD="0.00552" LPUPILV="1" REYEX="-0.01343" REYEY="-0.09104" REYEZ="0.68345" RPUPILD="0.00486" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.50709" FPOGY="0.11036" FPOGS="511.39151" FPOGD="0.18024" FPOGID="1741" FPOGV="1" LPOGX="0.49228" LPOGY="0.19081" LPOGV="1" RPOGX="0.47673" RPOGY="0.02863" RPOGV="1" BPOGX="0.48451" BPOGY="0.10972" BPOGV="1" LPCX="0.21809" LPCY="0.94137" LPD="24.25760" LPS="1.04790" LPV="1" RPCX="0.44926" RPCY="0.92512" RPD="20.89258" RPS="1.05599" RPV="1" LEYEX="-0.07298" LEYEY="-0.09370" LEYEZ="0.67970" LPUPILD="0.00552" LPUPILV="1" REYEX="-0.01343" REYEY="-0.09104" REYEZ="0.68345" RPUPILD="0.00471" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
