2025-07-14 11:18:38.723841
"-0.09196" LEYEZ="0.67335" LPUPILD="0.00241" LPUPILV="1" REYEX="-0.01017" REYEY="-0.08893" REYEZ="0.65511" RPUPILD="0.00359" RPUPILV="1" BKID="106" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="529.00842" FPOGD="0.28772" FPOGID="1826" FPOGV="0" LPOGX="0.56945" LPOGY="0.84302" LPOGV="0" RPOGX="0.48366" RPOGY="0.40539" RPOGV="0" BPOGX="0.52655" BPOGY="0.62420" BPOGV="0" LPCX="0.22715" LPCY="0.94162" LPD="6.40089" LPS="1.05567" LPV="0" RPCX="0.45957" RPCY="0.93548" RPD="13.69957" RPS="1.05567" RPV="0" LEYEX="-0.07028" LEYEY="-0.09196" LEYEZ="0.67335" LPUPILD="0.00241" LPUPILV="1" REYEX="-0.01017" REYEY="-0.08893" REYEZ="0.65511" RPUPILD="0.00359" RPUPILV="1" BKID="106" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52015" FPOGY="0.12824" FPOGS="530.14020" FPOGD="0.20752" FPOGID="1829" FPOGV="1" LPOGX="0.54437" LPOGY="0.19752" LPOGV="1" RPOGX="0.49678" RPOGY="0.13136" RPOGV="1" BPOGX="0.52058" BPOGY="0.16444" BPOGV="1" LPCX="0.22712" LPCY="0.92999" LPD="21.09661" LPS="1.02405" LPV="1" RPCX="0.45947" RPCY="0.94336" RPD="18.69325" RPS="1.02405" RPV="1" LEYEX="-0.06810" LEYEY="-0.08806" LEYEZ="0.65481" LPUPILD="0.00504" LPUPILV="1" REYEX="-0.01049" REYEY="-0.09204" REYEZ="0.66332" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.52016" FPOGY="0.12901" FPOGS="530.14020" FPOGD="0.21460" FPOGID="1829" FPOGV="1" LPOGX="0.54337" LPOGY="0.19095" LPOGV="1" RPOGX="0.49766" RPOGY="0.11643" RPOGV="1" BPOGX="0.52051" BPOGY="0.15369" BPOGV="1" LPCX="0.22712" LPCY="0.93006" LPD="21.35629" LPS="1.03196" LPV="1" RPCX="0.45931" RPCY="0.94355" RPD="19.31938" RPS="1.04005" RPV="1" LEYEX="-0.07037" LEYEY="-0.09093" LEYEZ="0.67615" LPUPILD="0.00500" LPUPILV="1" REYEX="-0.01078" REYEY="-0.09414" REYEZ="0.67815" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51986" FPOGY="0.12848" FPOGS="530.14020" FPOGD="0.22180" FPOGID="1829" FPOGV="1" LPOGX="0.52674" LPOGY="0.12078" LPOGV="1" RPOGX="0.49324" RPOGY="0.10101" RPOGV="1" BPOGX="0.50999" BPOGY="0.11089" BPOGV="1" LPCX="0.22687" LPCY="0.93021" LPD="21.81345" LPS="1.04795" LPV="1" RPCX="0.45910" RPCY="0.94357" RPD="18.89743" RPS="1.05604" RPV="1" LEYEX="-0.07037" LEYEY="-0.09093" LEYEZ="0.67615" LPUPILD="0.00501" LPUPILV="1" REYEX="-0.01078" REYEY="-0.09414" REYEZ="0.67815" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51962" FPOGY="0.12785" FPOGS="530.14020" FPOGD="0.22876" FPOGID="1829" FPOGV="1" LPOGX="0.50920" LPOGY="0.12665" LPOGV="1" RPOGX="0.51368" RPOGY="0.08590" RPOGV="1" BPOGX="0.51144" BPOGY="0.10627" BPOGV="1" LPCX="0.22678" LPCY="0.93011" LPD="21.36146" LPS="1.06394" LPV="1" RPCX="0.45896" RPCY="0.94350" RPD="18.99035" RPS="1.07203" RPV="1" LEYEX="-0.07037" LEYEY="-0.09093" LEYEZ="0.67615" LPUPILD="0.00507" LPUPILV="1" REYEX="-0.01078" REYEY="-0.09414" REYEZ="0.67815" RPUPILD="0.00416" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51938" FPOGY="0.12733" FPOGS="530.14020" FPOGD="0.23474" FPOGID="1829" FPOGV="1" LPOGX="0.50903" LPOGY="0.12574" LPOGV="1" RPOGX="0.51320" RPOGY="0.09245" RPOGV="1" BPOGX="0.51112" BPOGY="0.10910" BPOGV="1" LPCX="0.22675" LPCY="0.93006" LPD="21.37712" LPS="1.06501" LPV="1" RPCX="0.45884" RPCY="0.94350" RPD="18.73714" RPS="1.06501" RPV="1" LEYEX="-0.06714" LEYEY="-0.08663" LEYEZ="0.64420" LPUPILD="0.00506" LPUPILV="1" REYEX="-0.01049" REYEY="-0.09035" REYEZ="0.65083" RPUPILD="0.00421" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51972" FPOGY="0.12752" FPOGS="530.14020" FPOGD="0.24152" FPOGID="1829" FPOGV="1" LPOGX="0.55221" LPOGY="0.14634" LPOGV="1" RPOGX="0.51202" RPOGY="0.12247" RPOGV="1" BPOGX="0.53211" BPOGY="0.13440" BPOGV="1" LPCX="0.22648" LPCY="0.93021" LPD="21.20841" LPS="1.05008" LPV="1" RPCX="0.45863" RPCY="0.94360" RPD="18.80251" RPS="1.04199" RPV="1" LEYEX="-0.06714" LEYEY="-0.08663" LEYEZ="0.64420" LPUPILD="0.00507" LPUPILV="1" REYEX="-0.01049" REYEY="-0.09035" REYEZ="0.65083" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51973" FPOGY="0.12857" FPOGS="530.14020" FPOGD="0.24811" FPOGID="1829" FPOGV="1" LPOGX="0.54595" LPOGY="0.16112" LPOGV="1" RPOGX="0.49393" RPOGY="0.17378" RPOGV="1" BPOGX="0.51994" BPOGY="0.16745" BPOGV="1" LPCX="0.22641" LPCY="0.93023" LPD="21.27694" LPS="1.02706" LPV="1" RPCX="0.45859" RPCY="0.94359" RPD="19.07349" RPS="1.01897" RPV="1" LEYEX="-0.06714" LEYEY="-0.08663" LEYEZ="0.64420" LPUPILD="0.00504" LPUPILV="1" REYEX="-0.01049" REYEY="-0.09035" REYEZ="0.65083" RPUPILD="0.00423" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.51975" FPOGY="0.12965" FPOGS="530.14020" FPOGD="0.25476" FPOGID="1829" FPOGV="1" LPOGX="0.54696" LPOGY="0.16810" LPOGV="1" RPOGX="0.49393" RPOGY="0.17378" RPOGV="1" BPOGX="0.52045" BPOGY="0.17094" BPOGV="1" LPCX="0.22641" LPCY="0.93020" LPD="21.08514" LPS="1.01897" LPV="1" RPCX="0.45848" RPCY="0.94376" RPD="18.92688" RPS="1.01897" RPV="1" LEYEX="-0.07257" LEYEY="-0.09355" LEYEZ="0.69530" LPUPILD="0.00513" LPUPILV="1" REYEX="-0.01107" REYEY="-0.09490" REYEZ="0.68325" RPUPILD="0.00422" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
