2025-06-26 13:25:48.290366
EYEZ="0.63893" RPUPILD="0.00372" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.61390" FPOGY="0.73089" FPOGS="739.84863" FPOGD="0.07977" FPOGID="1499" FPOGV="1" LPOGX="0.70644" LPOGY="0.71952" LPOGV="1" RPOGX="0.53080" RPOGY="0.79129" RPOGV="1" BPOGX="0.61862" BPOGY="0.75541" BPOGV="1" LPCX="0.20809" LPCY="0.80709" LPD="21.54546" LPS="0.95472" LPV="1" RPCX="0.50336" RPCY="0.82312" RPD="20.26279" RPS="0.95472" RPV="1" LEYEX="-0.07169" LEYEY="-0.06097" LEYEZ="0.63910" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00048" REYEY="-0.06397" REYEZ="0.63893" RPUPILD="0.00370" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59225" FPOGY="0.44724" FPOGS="740.77954" FPOGD="0.06683" FPOGID="1502" FPOGV="1" LPOGX="0.65124" LPOGY="0.42637" LPOGV="1" RPOGX="0.52055" RPOGY="0.49615" RPOGV="1" BPOGX="0.58589" BPOGY="0.46126" BPOGV="1" LPCX="0.20959" LPCY="0.80214" LPD="20.73077" LPS="0.91091" LPV="1" RPCX="0.50704" RPCY="0.81939" RPD="20.17922" RPS="0.91734" RPV="1" LEYEX="-0.06677" LEYEY="-0.05674" LEYEZ="0.59854" LPUPILD="0.00374" LPUPILV="1" REYEX="0.00143" REYEY="-0.06341" REYEZ="0.63570" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59312" FPOGY="0.44836" FPOGS="740.77954" FPOGD="0.07343" FPOGID="1502" FPOGV="1" LPOGX="0.67376" LPOGY="0.42649" LPOGV="1" RPOGX="0.53164" RPOGY="0.49484" RPOGV="1" BPOGX="0.60270" BPOGY="0.46067" BPOGV="1" LPCX="0.20976" LPCY="0.80206" LPD="20.79637" LPS="0.91168" LPV="1" RPCX="0.50726" RPCY="0.81939" RPD="19.95840" RPS="0.91812" RPV="1" LEYEX="-0.06677" LEYEY="-0.05674" LEYEZ="0.59854" LPUPILD="0.00370" LPUPILV="1" REYEX="0.00143" REYEY="-0.06341" REYEZ="0.63570" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59386" FPOGY="0.44913" FPOGS="740.77954" FPOGD="0.08099" FPOGID="1502" FPOGV="1" LPOGX="0.67371" LPOGY="0.42191" LPOGV="1" RPOGX="0.53164" RPOGY="0.49484" RPOGV="1" BPOGX="0.60267" BPOGY="0.45838" BPOGV="1" LPCX="0.20956" LPCY="0.80229" LPD="20.78403" LPS="0.91812" LPV="1" RPCX="0.50737" RPCY="0.81932" RPD="20.13837" RPS="0.91812" RPV="1" LEYEX="-0.06776" LEYEY="-0.05770" LEYEZ="0.60861" LPUPILD="0.00384" LPUPILV="1" REYEX="0.00155" REYEY="-0.06235" REYEZ="0.62505" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59397" FPOGY="0.44814" FPOGS="740.77954" FPOGD="0.08698" FPOGID="1502" FPOGV="1" LPOGX="0.66436" LPOGY="0.40025" LPOGV="1" RPOGX="0.52667" RPOGY="0.47015" RPOGV="1" BPOGX="0.59552" BPOGY="0.43520" BPOGV="1" LPCX="0.20995" LPCY="0.80188" LPD="21.23216" LPS="0.92377" LPV="1" RPCX="0.50765" RPCY="0.81926" RPD="19.55450" RPS="0.91734" RPV="1" LEYEX="-0.06776" LEYEY="-0.05770" LEYEZ="0.60861" LPUPILD="0.00365" LPUPILV="1" REYEX="0.00155" REYEY="-0.06235" REYEZ="0.62505" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59244" FPOGY="0.44696" FPOGS="740.77954" FPOGD="0.09375" FPOGID="1502" FPOGV="1" LPOGX="0.63675" LPOGY="0.38748" LPOGV="1" RPOGX="0.50512" RPOGY="0.47363" RPOGV="1" BPOGX="0.57094" BPOGY="0.43056" BPOGV="1" LPCX="0.21028" LPCY="0.80176" LPD="21.08615" LPS="0.92300" LPV="1" RPCX="0.50765" RPCY="0.81915" RPD="19.71966" RPS="0.91657" RPV="1" LEYEX="-0.06776" LEYEY="-0.05770" LEYEZ="0.60861" LPUPILD="0.00359" LPUPILV="1" REYEX="0.00155" REYEY="-0.06235" REYEZ="0.62505" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59110" FPOGY="0.44609" FPOGS="740.77954" FPOGD="0.10065" FPOGID="1502" FPOGV="1" LPOGX="0.63705" LPOGY="0.39224" LPOGV="1" RPOGX="0.50512" RPOGY="0.47363" RPOGV="1" BPOGX="0.57108" BPOGY="0.43293" BPOGV="1" LPCX="0.20989" LPCY="0.80201" LPD="20.95280" LPS="0.91657" LPV="1" RPCX="0.50770" RPCY="0.81901" RPD="19.97302" RPS="0.91657" RPV="1" LEYEX="-0.06764" LEYEY="-0.05754" LEYEZ="0.60791" LPUPILD="0.00385" LPUPILV="1" REYEX="0.00163" REYEY="-0.06395" REYEZ="0.64113" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59093" FPOGY="0.44484" FPOGS="740.77954" FPOGD="0.10748" FPOGID="1502" FPOGV="1" LPOGX="0.65921" LPOGY="0.39176" LPOGV="1" RPOGX="0.51697" RPOGY="0.45815" RPOGV="1" BPOGX="0.58809" BPOGY="0.42496" BPOGV="1" LPCX="0.21037" LPCY="0.80176" LPD="21.13810" LPS="0.91091" LPV="1" RPCX="0.50786" RPCY="0.81919" RPD="20.03469" RPS="0.91734" RPV="1" LEYEX="-0.06764" LEYEY="-0.05754" LEYEZ="0.60791" LPUPILD="0.00371" LPUPILV="1" REYEX="0.00163" REYEY="-0.06395" REYEZ="0.64113" RPUPILD="0.00362" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59144" FPOGY="0.44351" FPOGS="740.77954" FPOGD="0.11401" FPOGID="1502" FPOGV="1" LPOGX="0.66198" LPOGY="0.38672" LPOGV="1" RPOGX="0.53849" RPOGY="0.45482" RPOGV="1" BPOGX="0.60023" BPOGY="0.42077" BPOGV="1" LPCX="0.21046" LPCY="0.80171" LPD="20.98539" LPS="0.91168" LPV="1" RPCX="0.50790" RPCY="0.81916" RPD="20.05764" RPS="0.91812" RPV="1" LEYEX="-0.06764" LEYEY="-0.05754" LEYEZ="0.60791" LPUPILD="0.00370" LPUPILV="1" REYEX="0.00163" REYEY="-0.06395" REYEZ="0.64113" RPUPILD="0.00363" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
