2025-07-01 13:32:03.518295
"0.67994" RPUPILD="0.00347" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57987" FPOGY="0.46365" FPOGS="46.12216" FPOGD="0.34119" FPOGID="107" FPOGV="1" LPOGX="0.65273" LPOGY="0.37160" LPOGV="1" RPOGX="0.48612" RPOGY="0.42092" RPOGV="1" BPOGX="0.56943" BPOGY="0.39626" BPOGV="1" LPCX="0.38522" LPCY="0.82120" LPD="20.75932" LPS="1.05591" LPV="1" RPCX="0.66338" RPCY="0.83032" RPD="17.81515" RPS="1.05591" RPV="1" LEYEX="-0.02890" LEYEY="-0.06574" LEYEZ="0.65654" LPUPILD="0.00382" LPUPILV="1" REYEX="0.04242" REYEY="-0.07007" REYEZ="0.67994" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57464" FPOGY="0.42859" FPOGS="47.10140" FPOGD="0.27330" FPOGID="112" FPOGV="1" LPOGX="0.64927" LPOGY="0.45070" LPOGV="1" RPOGX="0.48290" RPOGY="0.45110" RPOGV="1" BPOGX="0.56608" BPOGY="0.45090" BPOGV="1" LPCX="0.38881" LPCY="0.82469" LPD="20.51942" LPS="1.06345" LPV="1" RPCX="0.66644" RPCY="0.83427" RPD="17.49793" RPS="1.07154" RPV="1" LEYEX="-0.02905" LEYEY="-0.06905" LEYEZ="0.68200" LPUPILD="0.00374" LPUPILV="1" REYEX="0.04858" REYEY="-0.07965" REYEZ="0.76402" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57444" FPOGY="0.42889" FPOGS="47.10140" FPOGD="0.27984" FPOGID="112" FPOGV="1" LPOGX="0.64880" LPOGY="0.44135" LPOGV="1" RPOGX="0.48355" RPOGY="0.44157" RPOGV="1" BPOGX="0.56618" BPOGY="0.44146" BPOGV="1" LPCX="0.38881" LPCY="0.82471" LPD="20.44870" LPS="1.07944" LPV="1" RPCX="0.66638" RPCY="0.83429" RPD="17.61487" RPS="1.08753" RPV="1" LEYEX="-0.02905" LEYEY="-0.06905" LEYEZ="0.68200" LPUPILD="0.00375" LPUPILV="1" REYEX="0.04347" REYEY="-0.07132" REYEZ="0.68359" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57456" FPOGY="0.42892" FPOGS="47.10140" FPOGD="0.28648" FPOGID="112" FPOGV="1" LPOGX="0.68068" LPOGY="0.46593" LPOGV="1" RPOGX="0.47884" RPOGY="0.39443" RPOGV="1" BPOGX="0.57976" BPOGY="0.43018" BPOGV="1" LPCX="0.38882" LPCY="0.82491" LPD="20.08693" LPS="1.08753" LPV="1" RPCX="0.66619" RPCY="0.83441" RPD="17.59535" RPS="1.08753" RPV="1" LEYEX="-0.02905" LEYEY="-0.06905" LEYEZ="0.68200" LPUPILD="0.00374" LPUPILV="1" REYEX="0.04347" REYEY="-0.07132" REYEZ="0.68359" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57457" FPOGY="0.42935" FPOGS="47.10140" FPOGD="0.29324" FPOGID="112" FPOGV="1" LPOGX="0.68408" LPOGY="0.47241" LPOGV="1" RPOGX="0.46567" RPOGY="0.42389" RPOGV="1" BPOGX="0.57488" BPOGY="0.44815" BPOGV="1" LPCX="0.38883" LPCY="0.82496" LPD="20.25209" LPS="1.08753" LPV="1" RPCX="0.66635" RPCY="0.83445" RPD="17.42669" RPS="1.08753" RPV="1" LEYEX="-0.02905" LEYEY="-0.06905" LEYEZ="0.68200" LPUPILD="0.00374" LPUPILV="1" REYEX="0.04347" REYEY="-0.07132" REYEZ="0.68359" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57457" FPOGY="0.42976" FPOGS="47.10140" FPOGD="0.29977" FPOGID="112" FPOGV="1" LPOGX="0.68408" LPOGY="0.47241" LPOGV="1" RPOGX="0.46567" RPOGY="0.42389" RPOGV="1" BPOGX="0.57488" BPOGY="0.44815" BPOGV="1" LPCX="0.38879" LPCY="0.82496" LPD="20.15850" LPS="1.08753" LPV="1" RPCX="0.66622" RPCY="0.83462" RPD="17.70515" RPS="1.08753" RPV="1" LEYEX="-0.02905" LEYEY="-0.06911" LEYEZ="0.68203" LPUPILD="0.00376" LPUPILV="1" REYEX="0.04347" REYEY="-0.07142" REYEZ="0.68359" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57430" FPOGY="0.42938" FPOGS="47.10140" FPOGD="0.30651" FPOGID="112" FPOGV="1" LPOGX="0.65300" LPOGY="0.43175" LPOGV="1" RPOGX="0.47083" RPOGY="0.39178" RPOGV="1" BPOGX="0.56192" BPOGY="0.41177" BPOGV="1" LPCX="0.38875" LPCY="0.82499" LPD="20.25823" LPS="1.08753" LPV="1" RPCX="0.66623" RPCY="0.83477" RPD="17.76807" RPS="1.08753" RPV="1" LEYEX="-0.02905" LEYEY="-0.06911" LEYEZ="0.68203" LPUPILD="0.00372" LPUPILV="1" REYEX="0.04347" REYEY="-0.07142" REYEZ="0.68359" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57395" FPOGY="0.42919" FPOGS="47.10140" FPOGD="0.31309" FPOGID="112" FPOGV="1" LPOGX="0.64791" LPOGY="0.44567" LPOGV="1" RPOGX="0.46627" RPOGY="0.39539" RPOGV="1" BPOGX="0.55709" BPOGY="0.42053" BPOGV="1" LPCX="0.38873" LPCY="0.82509" LPD="20.11786" LPS="1.08753" LPV="1" RPCX="0.66627" RPCY="0.83496" RPD="17.73916" RPS="1.08753" RPV="1" LEYEX="-0.02905" LEYEY="-0.06911" LEYEZ="0.68203" LPUPILD="0.00375" LPUPILV="1" REYEX="0.04347" REYEY="-0.07142" REYEZ="0.68359" RPUPILD="0.00339" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.57328" FPOGY="0.42864" FPOGS="47.10140" FPOGD="0.31984" FPOGID="112" FPOGV="1" LPOGX="0.64791" LPOGY="0.44567" LPOGV="1" RPOGX="0.46606" RPOGY="0.40056" RPOGV="1" BPOGX="0.55698" BPOGY="0.42312" BPOGV="1" LPCX="0.38874" LPCY="0.82518" LPD="20.38329" LPS="1.08753" LPV="1" RPCX="0.66630" RPCY="0.83501" RPD="17.43572" RPS="1.07944" RPV="1" LEYEX="-0.02905" LEYEY="-0.06915" LEYEZ="0.68200" LPUPILD="0.00372" LPUPILV="1" REYEX="0.04200" REYEY="-0.06914" REYEZ="0.66132" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
