2025-07-01 13:32:41.167518
.57630" RPUPILD="0.00385" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.60162" FPOGY="0.40068" FPOGS="83.89426" FPOGD="0.21410" FPOGID="221" FPOGV="1" LPOGX="0.68980" LPOGY="0.44643" LPOGV="1" RPOGX="0.51650" RPOGY="0.42975" RPOGV="1" BPOGX="0.60315" BPOGY="0.43809" BPOGV="1" LPCX="0.52044" LPCY="0.69210" LPD="25.01420" LPS="0.77824" LPV="1" RPCX="0.83324" RPCY="0.73033" RPD="23.62212" RPS="0.77824" RPV="1" LEYEX="0.00439" LEYEY="-0.03387" LEYEZ="0.56872" LPUPILD="0.00400" LPUPILV="1" REYEX="0.07380" REYEY="-0.04102" REYEZ="0.57630" RPUPILD="0.00384" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.60168" FPOGY="0.40166" FPOGS="83.89426" FPOGD="0.22120" FPOGID="221" FPOGV="1" LPOGX="0.68985" LPOGY="0.44266" LPOGV="1" RPOGX="0.51742" RPOGY="0.42180" RPOGV="1" BPOGX="0.60364" BPOGY="0.43223" BPOGV="1" LPCX="0.52066" LPCY="0.69272" LPD="23.74238" LPS="0.78290" LPV="1" RPCX="0.83306" RPCY="0.73112" RPD="22.04333" RPS="0.78766" RPV="1" LEYEX="0.00466" LEYEY="-0.03688" LEYEZ="0.59249" LPUPILD="0.00399" LPUPILV="1" REYEX="0.07545" REYEY="-0.04380" REYEZ="0.59229" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.59824" FPOGY="0.36972" FPOGS="84.75187" FPOGD="0.27381" FPOGID="225" FPOGV="1" LPOGX="0.69147" LPOGY="0.38868" LPOGV="1" RPOGX="0.52128" RPOGY="0.44133" RPOGV="1" BPOGX="0.60638" BPOGY="0.41500" BPOGV="1" LPCX="0.47213" LPCY="0.89106" LPD="17.11388" LPS="1.15264" LPV="1" RPCX="0.73306" RPCY="0.92157" RPD="16.44627" RPS="1.16312" RPV="1" LEYEX="-0.00808" LEYEY="-0.08464" LEYEZ="0.69488" LPUPILD="0.00364" LPUPILV="1" REYEX="0.06486" REYEY="-0.09583" REYEZ="0.73177" RPUPILD="0.00343" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59838" FPOGY="0.37071" FPOGS="84.75187" FPOGD="0.28087" FPOGID="225" FPOGV="1" LPOGX="0.65946" LPOGY="0.38434" LPOGV="1" RPOGX="0.54938" RPOGY="0.43951" RPOGV="1" BPOGX="0.60442" BPOGY="0.41193" BPOGV="1" LPCX="0.47394" LPCY="0.89096" LPD="17.26096" LPS="1.17208" LPV="1" RPCX="0.73467" RPCY="0.92157" RPD="16.00721" RPS="1.18255" RPV="1" LEYEX="-0.00808" LEYEY="-0.08464" LEYEZ="0.69488" LPUPILD="0.00367" LPUPILV="1" REYEX="0.06486" REYEY="-0.09583" REYEZ="0.73177" RPUPILD="0.00342" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59854" FPOGY="0.37139" FPOGS="84.75187" FPOGD="0.28773" FPOGID="225" FPOGV="1" LPOGX="0.65911" LPOGY="0.37292" LPOGV="1" RPOGX="0.55114" RPOGY="0.42889" RPOGV="1" BPOGX="0.60513" BPOGY="0.40091" BPOGV="1" LPCX="0.47423" LPCY="0.89103" LPD="17.76071" LPS="1.19151" LPV="1" RPCX="0.73545" RPCY="0.92130" RPD="16.21791" RPS="1.20199" RPV="1" LEYEX="-0.00646" LEYEY="-0.08532" LEYEZ="0.70004" LPUPILD="0.00368" LPUPILV="1" REYEX="0.06584" REYEY="-0.09524" REYEZ="0.72560" RPUPILD="0.00324" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59872" FPOGY="0.37082" FPOGS="84.75187" FPOGD="0.29430" FPOGID="225" FPOGV="1" LPOGX="0.68413" LPOGY="0.32183" LPOGV="1" RPOGX="0.52945" RPOGY="0.36972" RPOGV="1" BPOGX="0.60679" BPOGY="0.34578" BPOGV="1" LPCX="0.47807" LPCY="0.89093" LPD="17.57802" LPS="1.20199" LPV="1" RPCX="0.73866" RPCY="0.92227" RPD="16.54720" RPS="1.20199" RPV="1" LEYEX="-0.00646" LEYEY="-0.08532" LEYEZ="0.70004" LPUPILD="0.00366" LPUPILV="1" REYEX="0.06584" REYEY="-0.09524" REYEZ="0.72560" RPUPILD="0.00355" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59884" FPOGY="0.37055" FPOGS="84.75187" FPOGD="0.30138" FPOGID="225" FPOGV="1" LPOGX="0.64641" LPOGY="0.29585" LPOGV="1" RPOGX="0.56201" RPOGY="0.42091" RPOGV="1" BPOGX="0.60421" BPOGY="0.35838" BPOGV="1" LPCX="0.47997" LPCY="0.89044" LPD="17.17233" LPS="1.20199" LPV="1" RPCX="0.74028" RPCY="0.92160" RPD="15.61400" RPS="1.20199" RPV="1" LEYEX="-0.00646" LEYEY="-0.08532" LEYEZ="0.70004" LPUPILD="0.00362" LPUPILV="1" REYEX="0.06584" REYEY="-0.09524" REYEZ="0.72560" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59893" FPOGY="0.37057" FPOGS="84.75187" FPOGD="0.30777" FPOGID="225" FPOGV="1" LPOGX="0.64688" LPOGY="0.30672" LPOGV="1" RPOGX="0.55929" RPOGY="0.43600" RPOGV="1" BPOGX="0.60309" BPOGY="0.37136" BPOGV="1" LPCX="0.48036" LPCY="0.89047" LPD="17.82305" LPS="1.18512" LPV="1" RPCX="0.74102" RPCY="0.92126" RPD="16.54742" RPS="1.17465" RPV="1" LEYEX="-0.00445" LEYEY="-0.07933" LEYEZ="0.65254" LPUPILD="0.00368" LPUPILV="1" REYEX="0.06952" REYEY="-0.09798" REYEZ="0.74825" RPUPILD="0.00320" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.59910" FPOGY="0.37045" FPOGS="84.75187" FPOGD="0.31400" FPOGID="225" FPOGV="1" LPOGX="0.67263" LPOGY="0.36514" LPOGV="1" RPOGX="0.54204" RPOGY="0.36430" RPOGV="1" BPOGX="0.60733" BPOGY="0.36472" BPOGV="1" LPCX="0.48414" LPCY="0.88988" LPD="17.70522" LPS="1.15779" LPV="1" RPCX="0.74411" RPCY="0.92133" RPD="16.72680" RPS="1.14731" RPV="1" LEYEX="-0.00445" LEYEY="-0.07933" LEYEZ="0.65254" LPUPILD="0.00362" LPUPILV="1" REYEX="0.06952" REYEY="-0.09798" REYEZ="0.74825" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
