2025-07-01 13:34:15.289606
Z="0.54328" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.58917" FPOGY="0.41001" FPOGS="178.19046" FPOGD="0.04065" FPOGID="548" FPOGV="1" LPOGX="0.67632" LPOGY="0.36388" LPOGV="1" RPOGX="0.48959" RPOGY="0.45967" RPOGV="1" BPOGX="0.58295" BPOGY="0.41177" BPOGV="1" LPCX="0.37741" LPCY="0.69646" LPD="26.68516" LPS="0.66944" LPV="1" RPCX="0.72120" RPCY="0.70994" RPD="23.91854" RPS="0.66944" RPV="1" LEYEX="-0.02581" LEYEY="-0.03339" LEYEZ="0.53130" LPUPILD="0.00413" LPUPILV="1" REYEX="0.04529" REYEY="-0.03614" REYEZ="0.54328" RPUPILD="0.00380" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.64127" FPOGY="0.24620" FPOGS="179.06645" FPOGD="0.09337" FPOGID="552" FPOGV="1" LPOGX="0.71602" LPOGY="0.23015" LPOGV="1" RPOGX="0.55221" RPOGY="0.19879" RPOGV="1" BPOGX="0.63412" BPOGY="0.21447" BPOGV="1" LPCX="0.47567" LPCY="0.83333" LPD="20.36307" LPS="0.94173" LPV="1" RPCX="0.76178" RPCY="0.86907" RPD="17.30471" RPS="0.94173" RPV="1" LEYEX="-0.00582" LEYEY="-0.06606" LEYEZ="0.63136" LPUPILD="0.00367" LPUPILV="1" REYEX="0.06445" REYEY="-0.07420" REYEZ="0.64240" RPUPILD="0.00320" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.64078" FPOGY="0.24458" FPOGS="179.06645" FPOGD="0.09993" FPOGID="552" FPOGV="1" LPOGX="0.71602" LPOGY="0.23015" LPOGV="1" RPOGX="0.55080" RPOGY="0.21026" RPOGV="1" BPOGX="0.63341" BPOGY="0.22021" BPOGV="1" LPCX="0.47542" LPCY="0.83383" LPD="20.38139" LPS="0.94173" LPV="1" RPCX="0.76119" RPCY="0.87021" RPD="17.99006" RPS="0.92951" RPV="1" LEYEX="-0.00613" LEYEY="-0.06478" LEYEZ="0.61523" LPUPILD="0.00369" LPUPILV="1" REYEX="0.06042" REYEY="-0.07046" REYEZ="0.60687" RPUPILD="0.00325" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.64128" FPOGY="0.24461" FPOGS="179.06645" FPOGD="0.10693" FPOGID="552" FPOGV="1" LPOGX="0.74584" LPOGY="0.21038" LPOGV="1" RPOGX="0.55272" RPOGY="0.28005" RPOGV="1" BPOGX="0.64928" BPOGY="0.24522" BPOGV="1" LPCX="0.47463" LPCY="0.83514" LPD="21.06454" LPS="0.92951" LPV="1" RPCX="0.76027" RPCY="0.87087" RPD="17.56679" RPS="0.91728" RPV="1" LEYEX="-0.00613" LEYEY="-0.06478" LEYEZ="0.61523" LPUPILD="0.00365" LPUPILV="1" REYEX="0.06042" REYEY="-0.07046" REYEZ="0.60687" RPUPILD="0.00320" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.64134" FPOGY="0.24380" FPOGS="179.06645" FPOGD="0.11331" FPOGID="552" FPOGV="1" LPOGX="0.70758" LPOGY="0.20376" LPOGV="1" RPOGX="0.57698" RPOGY="0.25611" RPOGV="1" BPOGX="0.64228" BPOGY="0.22993" BPOGV="1" LPCX="0.47422" LPCY="0.83564" LPD="20.40474" LPS="0.91728" LPV="1" RPCX="0.75966" RPCY="0.87161" RPD="18.01946" RPS="0.90506" RPV="1" LEYEX="-0.00613" LEYEY="-0.06478" LEYEZ="0.61523" LPUPILD="0.00366" LPUPILV="1" REYEX="0.06042" REYEY="-0.07046" REYEZ="0.60687" RPUPILD="0.00329" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.64135" FPOGY="0.24365" FPOGS="179.06645" FPOGD="0.12039" FPOGID="552" FPOGV="1" LPOGX="0.70711" LPOGY="0.22088" LPOGV="1" RPOGX="0.57615" RPOGY="0.26127" RPOGV="1" BPOGX="0.64163" BPOGY="0.24108" BPOGV="1" LPCX="0.47387" LPCY="0.83613" LPD="20.64554" LPS="0.89940" LPV="1" RPCX="0.75903" RPCY="0.87206" RPD="17.92133" RPS="0.89940" RPV="1" LEYEX="-0.00643" LEYEY="-0.06488" LEYEZ="0.61225" LPUPILD="0.00370" LPUPILV="1" REYEX="0.06306" REYEY="-0.07447" REYEZ="0.63809" RPUPILD="0.00323" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.64196" FPOGY="0.24678" FPOGS="179.06645" FPOGD="0.12682" FPOGID="552" FPOGV="1" LPOGX="0.72940" LPOGY="0.30822" LPOGV="1" RPOGX="0.57783" RPOGY="0.30431" RPOGV="1" BPOGX="0.65361" BPOGY="0.30627" BPOGV="1" LPCX="0.47296" LPCY="0.83733" LPD="20.71143" LPS="0.89375" LPV="1" RPCX="0.75808" RPCY="0.87297" RPD="18.07750" RPS="0.90597" RPV="1" LEYEX="-0.00643" LEYEY="-0.06488" LEYEZ="0.61225" LPUPILD="0.00358" LPUPILV="1" REYEX="0.06306" REYEY="-0.07447" REYEZ="0.63809" RPUPILD="0.00321" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.64042" FPOGY="0.25006" FPOGS="179.06645" FPOGD="0.13350" FPOGID="552" FPOGV="1" LPOGX="0.70005" LPOGY="0.31160" LPOGV="1" RPOGX="0.51904" RPOGY="0.31955" RPOGV="1" BPOGX="0.60954" BPOGY="0.31557" BPOGV="1" LPCX="0.47187" LPCY="0.83867" LPD="19.50600" LPS="0.90031" LPV="1" RPCX="0.75682" RPCY="0.87400" RPD="17.32167" RPS="0.91253" RPV="1" LEYEX="-0.00643" LEYEY="-0.06488" LEYEZ="0.61225" LPUPILD="0.00346" LPUPILV="1" REYEX="0.06306" REYEY="-0.07447" REYEZ="0.63809" RPUPILD="0.00325" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
<REC FPOGX="0.63903" FPOGY="0.25279" FPOGS="179.06645" FPOGD="0.13979" FPOGID="552" FPOGV="1" LPOGX="0.70018" LPOGY="0.30599" LPOGV="1" RPOGX="0.51960" RPOGY="0.31403" RPOGV="1" BPOGX="0.60989" BPOGY="0.31001" BPOGV="1" LPCX="0.47113" LPCY="0.83967" LPD="19.39303" LPS="0.90687" LPV="1" RPCX="0.75593" RPCY="0.87472" RPD="17.04048" RPS="0.91910" RPV="1" LEYEX="-0.00693" LEYEY="-0.06514" LEYEZ="0.60825" LPUPILD="0.00360" LPUPILV="1" REYEX="0.06222" REYEY="-0.07500" REYEZ="0.63734" RPUPILD="0.00317" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="7" />
