2025-07-01 13:35:52.244344
Z="0.60080" RPUPILD="0.00284" RPUPILV="1" BKID="44" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="274.59985" FPOGD="0.36151" FPOGID="839" FPOGV="0" LPOGX="0.59469" LPOGY="0.87017" LPOGV="0" RPOGX="0.48819" RPOGY="0.48194" RPOGV="0" BPOGX="0.59469" BPOGY="0.87017" BPOGV="0" LPCX="0.33208" LPCY="0.73668" LPD="6.65001" LPS="0.82882" LPV="0" RPCX="0.64553" RPCY="0.75206" RPD="14.78651" RPS="0.82882" RPV="0" LEYEX="-0.03857" LEYEY="-0.04409" LEYEZ="0.60174" LPUPILD="0.00146" LPUPILV="1" REYEX="0.03347" REYEY="-0.04736" REYEZ="0.60080" RPUPILD="0.00284" RPUPILV="1" BKID="44" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.64586" FPOGY="0.37979" FPOGS="276.05295" FPOGD="0.06046" FPOGID="842" FPOGV="1" LPOGX="0.68882" LPOGY="0.34725" LPOGV="1" RPOGX="0.50906" RPOGY="0.37600" RPOGV="1" BPOGX="0.59894" BPOGY="0.36162" BPOGV="1" LPCX="0.33922" LPCY="0.73618" LPD="20.46880" LPS="0.84047" LPV="1" RPCX="0.64916" RPCY="0.75760" RPD="18.28026" RPS="0.84047" RPV="1" LEYEX="-0.03579" LEYEY="-0.04353" LEYEZ="0.57927" LPUPILD="0.00332" LPUPILV="1" REYEX="0.03517" REYEY="-0.05001" REYEZ="0.61567" RPUPILD="0.00310" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.64171" FPOGY="0.37793" FPOGS="276.05295" FPOGD="0.06723" FPOGID="842" FPOGV="1" LPOGX="0.69109" LPOGY="0.35182" LPOGV="1" RPOGX="0.50931" RPOGY="0.36677" RPOGV="1" BPOGX="0.60020" BPOGY="0.35930" BPOGV="1" LPCX="0.33924" LPCY="0.73669" LPD="20.75624" LPS="0.83581" LPV="1" RPCX="0.64924" RPCY="0.75761" RPD="18.28641" RPS="0.83581" RPV="1" LEYEX="-0.03579" LEYEY="-0.04353" LEYEZ="0.57927" LPUPILD="0.00337" LPUPILV="1" REYEX="0.03517" REYEY="-0.05001" REYEZ="0.61567" RPUPILD="0.00313" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.63825" FPOGY="0.37638" FPOGS="276.05295" FPOGD="0.07422" FPOGID="842" FPOGV="1" LPOGX="0.69109" LPOGY="0.35182" LPOGV="1" RPOGX="0.50931" RPOGY="0.36677" RPOGV="1" BPOGX="0.60020" BPOGY="0.35930" BPOGV="1" LPCX="0.33919" LPCY="0.73646" LPD="20.62874" LPS="0.83581" LPV="1" RPCX="0.64921" RPCY="0.75768" RPD="18.25843" RPS="0.83581" RPV="1" LEYEX="-0.03642" LEYEY="-0.04436" LEYEZ="0.59030" LPUPILD="0.00331" LPUPILV="1" REYEX="0.03468" REYEY="-0.04935" REYEZ="0.60703" RPUPILD="0.00312" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.63461" FPOGY="0.37542" FPOGS="276.05295" FPOGD="0.08066" FPOGID="842" FPOGV="1" LPOGX="0.67212" LPOGY="0.34919" LPOGV="1" RPOGX="0.50987" RPOGY="0.37862" RPOGV="1" BPOGX="0.59100" BPOGY="0.36390" BPOGV="1" LPCX="0.33925" LPCY="0.73652" LPD="20.54873" LPS="0.84047" LPV="1" RPCX="0.64917" RPCY="0.75750" RPD="18.52868" RPS="0.84047" RPV="1" LEYEX="-0.03642" LEYEY="-0.04436" LEYEZ="0.59030" LPUPILD="0.00334" LPUPILV="1" REYEX="0.03468" REYEY="-0.04935" REYEZ="0.60703" RPUPILD="0.00311" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.63197" FPOGY="0.37529" FPOGS="276.05295" FPOGD="0.08734" FPOGID="842" FPOGV="1" LPOGX="0.67676" LPOGY="0.36970" LPOGV="1" RPOGX="0.51854" RPOGY="0.37761" RPOGV="1" BPOGX="0.59765" BPOGY="0.37365" BPOGV="1" LPCX="0.33953" LPCY="0.73663" LPD="20.12729" LPS="0.84512" LPV="1" RPCX="0.64921" RPCY="0.75751" RPD="18.45710" RPS="0.84512" RPV="1" LEYEX="-0.03642" LEYEY="-0.04436" LEYEZ="0.59030" LPUPILD="0.00328" LPUPILV="1" REYEX="0.03468" REYEY="-0.04935" REYEZ="0.60703" RPUPILD="0.00309" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.62968" FPOGY="0.37507" FPOGS="276.05295" FPOGD="0.09439" FPOGID="842" FPOGV="1" LPOGX="0.67673" LPOGY="0.36581" LPOGV="1" RPOGX="0.51848" RPOGY="0.37810" RPOGV="1" BPOGX="0.59761" BPOGY="0.37195" BPOGV="1" LPCX="0.33949" LPCY="0.73685" LPD="19.86166" LPS="0.84977" LPV="1" RPCX="0.64908" RPCY="0.75760" RPD="18.56267" RPS="0.84453" RPV="1" LEYEX="-0.03642" LEYEY="-0.04436" LEYEZ="0.59030" LPUPILD="0.00339" LPUPILV="1" REYEX="0.03383" REYEY="-0.04812" REYEZ="0.59131" RPUPILD="0.00307" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.62730" FPOGY="0.37697" FPOGS="276.05295" FPOGD="0.10077" FPOGID="842" FPOGV="1" LPOGX="0.68071" LPOGY="0.38393" LPOGV="1" RPOGX="0.50259" RPOGY="0.42693" RPOGV="1" BPOGX="0.59165" BPOGY="0.40543" BPOGV="1" LPCX="0.33951" LPCY="0.73703" LPD="19.78512" LPS="0.84453" LPV="1" RPCX="0.64938" RPCY="0.75748" RPD="18.32820" RPS="0.83930" RPV="1" LEYEX="-0.03642" LEYEY="-0.04436" LEYEZ="0.59030" LPUPILD="0.00340" LPUPILV="1" REYEX="0.03383" REYEY="-0.04812" REYEZ="0.59131" RPUPILD="0.00315" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
<REC FPOGX="0.59998" FPOGY="0.37122" FPOGS="276.05295" FPOGD="0.10077" FPOGID="842" FPOGV="0" LPOGX="0.69515" LPOGY="0.37487" LPOGV="1" RPOGX="0.46210" RPOGY="0.41126" RPOGV="1" BPOGX="0.57862" BPOGY="0.39306" BPOGV="1" LPCX="0.33956" LPCY="0.73703" LPD="19.78144" LPS="0.83930" LPV="1" RPCX="0.64929" RPCY="0.75746" RPD="18.40294" RPS="0.83406" RPV="1" LEYEX="-0.03642" LEYEY="-0.04436" LEYEZ="0.59030" LPUPILD="0.00339" LPUPILV="1" REYEX="0.03383" REYEY="-0.04812" REYEZ="0.59131" RPUPILD="0.00308" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="13" />
