2025-07-01 13:37:26.355652
YEZ="0.59825" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.62436" FPOGY="0.42364" FPOGS="369.12878" FPOGD="0.17419" FPOGID="1152" FPOGV="1" LPOGX="0.69919" LPOGY="0.42649" LPOGV="1" RPOGX="0.53881" RPOGY="0.46213" RPOGV="1" BPOGX="0.61900" BPOGY="0.44431" BPOGV="1" LPCX="0.34990" LPCY="0.68973" LPD="22.09762" LPS="0.80596" LPV="1" RPCX="0.66476" RPCY="0.71842" RPD="21.02658" RPS="0.80596" RPV="1" LEYEX="-0.03401" LEYEY="-0.03556" LEYEZ="0.58603" LPUPILD="0.00361" LPUPILV="1" REYEX="0.03745" REYEY="-0.04132" REYEZ="0.59825" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.62418" FPOGY="0.42426" FPOGS="369.12878" FPOGD="0.18021" FPOGID="1152" FPOGV="1" LPOGX="0.69928" LPOGY="0.42305" LPOGV="1" RPOGX="0.53933" RPOGY="0.45884" RPOGV="1" BPOGX="0.61930" BPOGY="0.44094" BPOGV="1" LPCX="0.34993" LPCY="0.68981" LPD="22.03643" LPS="0.81020" LPV="1" RPCX="0.66472" RPCY="0.71846" RPD="20.87190" RPS="0.81020" RPV="1" LEYEX="-0.03344" LEYEY="-0.03501" LEYEZ="0.57630" LPUPILD="0.00363" LPUPILV="1" REYEX="0.03692" REYEY="-0.04078" REYEZ="0.58978" RPUPILD="0.00351" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.58858" FPOGY="0.42335" FPOGS="369.71164" FPOGD="0.50830" FPOGID="1153" FPOGV="1" LPOGX="0.65935" LPOGY="0.38906" LPOGV="1" RPOGX="0.50316" RPOGY="0.46562" RPOGV="1" BPOGX="0.58126" BPOGY="0.42734" BPOGV="1" LPCX="0.34649" LPCY="0.69778" LPD="22.45249" LPS="0.79592" LPV="1" RPCX="0.65953" RPCY="0.72677" RPD="21.12604" RPS="0.80068" RPV="1" LEYEX="-0.03428" LEYEY="-0.03669" LEYEZ="0.58175" LPUPILD="0.00363" LPUPILV="1" REYEX="0.03606" REYEY="-0.04233" REYEZ="0.59159" RPUPILD="0.00367" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.58853" FPOGY="0.42374" FPOGS="369.71164" FPOGD="0.51511" FPOGID="1153" FPOGV="1" LPOGX="0.65495" LPOGY="0.39841" LPOGV="1" RPOGX="0.50141" RPOGY="0.46531" RPOGV="1" BPOGX="0.57818" BPOGY="0.43186" BPOGV="1" LPCX="0.34649" LPCY="0.69796" LPD="22.14754" LPS="0.80068" LPV="1" RPCX="0.65948" RPCY="0.72685" RPD="21.23209" RPS="0.80544" RPV="1" LEYEX="-0.03428" LEYEY="-0.03669" LEYEZ="0.58175" LPUPILD="0.00362" LPUPILV="1" REYEX="0.03606" REYEY="-0.04233" REYEZ="0.59159" RPUPILD="0.00367" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.58849" FPOGY="0.42384" FPOGS="369.71164" FPOGD="0.52194" FPOGID="1153" FPOGV="1" LPOGX="0.65480" LPOGY="0.39440" LPOGV="1" RPOGX="0.50218" RPOGY="0.45757" RPOGV="1" BPOGX="0.57849" BPOGY="0.42599" BPOGV="1" LPCX="0.34646" LPCY="0.69785" LPD="21.68271" LPS="0.80544" LPV="1" RPCX="0.65937" RPCY="0.72693" RPD="21.40344" RPS="0.81544" RPV="1" LEYEX="-0.03400" LEYEY="-0.03644" LEYEZ="0.57701" LPUPILD="0.00364" LPUPILV="1" REYEX="0.03704" REYEY="-0.04354" REYEZ="0.60847" RPUPILD="0.00366" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.58848" FPOGY="0.42380" FPOGS="369.71164" FPOGD="0.52994" FPOGID="1153" FPOGV="1" LPOGX="0.65322" LPOGY="0.40258" LPOGV="1" RPOGX="0.49021" RPOGY="0.46256" RPOGV="1" BPOGX="0.57172" BPOGY="0.43257" BPOGV="1" LPCX="0.34642" LPCY="0.69787" LPD="21.98968" LPS="0.81544" LPV="1" RPCX="0.65932" RPCY="0.72668" RPD="21.09091" RPS="0.82068" RPV="1" LEYEX="-0.03400" LEYEY="-0.03644" LEYEZ="0.57701" LPUPILD="0.00363" LPUPILV="1" REYEX="0.03704" REYEY="-0.04354" REYEZ="0.60847" RPUPILD="0.00376" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.58822" FPOGY="0.42343" FPOGS="369.71164" FPOGD="0.53571" FPOGID="1153" FPOGV="1" LPOGX="0.64798" LPOGY="0.39933" LPOGV="1" RPOGX="0.49070" RPOGY="0.41606" RPOGV="1" BPOGX="0.56934" BPOGY="0.40769" BPOGV="1" LPCX="0.34655" LPCY="0.69787" LPD="21.85099" LPS="0.82068" LPV="1" RPCX="0.65937" RPCY="0.72673" RPD="21.24283" RPS="0.82592" RPV="1" LEYEX="-0.03400" LEYEY="-0.03644" LEYEZ="0.57701" LPUPILD="0.00364" LPUPILV="1" REYEX="0.03704" REYEY="-0.04354" REYEZ="0.60847" RPUPILD="0.00376" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.58796" FPOGY="0.42289" FPOGS="369.71164" FPOGD="0.54245" FPOGID="1153" FPOGV="1" LPOGX="0.64777" LPOGY="0.39504" LPOGV="1" RPOGX="0.49103" RPOGY="0.41179" RPOGV="1" BPOGX="0.56940" BPOGY="0.40342" BPOGV="1" LPCX="0.34650" LPCY="0.69788" LPD="21.94368" LPS="0.82592" LPV="1" RPCX="0.65935" RPCY="0.72677" RPD="21.26267" RPS="0.83116" RPV="1" LEYEX="-0.03400" LEYEY="-0.03644" LEYEZ="0.57701" LPUPILD="0.00363" LPUPILV="1" REYEX="0.03692" REYEY="-0.04344" REYEZ="0.60645" RPUPILD="0.00375" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.58760" FPOGY="0.42256" FPOGS="369.71164" FPOGD="0.54913" FPOGID="1153" FPOGV="1" LPOGX="0.64578" LPOGY="0.39082" LPOGV="1" RPOGX="0.48859" RPOGY="0.40926" RPOGV="1" BPOGX="0.56718" BPOGY="0.40004" BPOGV="1" LPCX="0.34640" LPCY="0.69798" LPD="22.08163" LPS="0.83116" LPV="1" RPCX="0.65928" RPCY="0.72721" RPD="20.94925" RPS="0.83116" RPV="1" LEYEX="-0.03400" LEYEY="-0.03644" LEYEZ="0.57701" LPUPILD="0.00364" LPUPILV="1" REYEX="0.03692" REYEY="-0.04344" REYEZ="0.60645" RPUPILD="0.00388" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
