2025-06-09 09:32:33.200883
EZ="0.65444" RPUPILD="0.00664" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53779" FPOGY="0.44789" FPOGS="186.62231" FPOGD="0.04033" FPOGID="535" FPOGV="1" LPOGX="0.52476" LPOGY="0.46075" LPOGV="1" RPOGX="0.57077" RPOGY="0.43875" RPOGV="1" BPOGX="0.54776" BPOGY="0.44975" BPOGV="1" LPCX="0.36322" LPCY="0.56460" LPD="33.05628" LPS="1.05533" LPV="1" RPCX="0.62125" RPCY="0.55567" RPD="34.27869" RPS="1.06342" RPV="1" LEYEX="-0.03565" LEYEY="-0.01463" LEYEZ="0.68699" LPUPILD="0.00687" LPUPILV="1" REYEX="0.03122" REYEY="-0.01261" REYEZ="0.67809" RPUPILD="0.00665" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.67091" LPOGY="1.87997" LPOGV="0" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.57617" BPOGY="1.72137" BPOGV="0" LPCX="0.36171" LPCY="0.57899" LPD="13.04460" LPS="1.08768" LPV="0" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="83" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.67091" LPOGY="1.87997" LPOGV="0" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.57617" BPOGY="1.72137" BPOGV="0" LPCX="0.36171" LPCY="0.57899" LPD="13.04460" LPS="1.08768" LPV="0" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="83" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.67091" LPOGY="1.87997" LPOGV="0" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.57617" BPOGY="1.72137" BPOGV="0" LPCX="0.36171" LPCY="0.57899" LPD="13.04460" LPS="1.08768" LPV="0" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="83" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.67091" LPOGY="1.87997" LPOGV="0" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.57617" BPOGY="1.72137" BPOGV="0" LPCX="0.36171" LPCY="0.57899" LPD="13.04460" LPS="1.08768" LPV="0" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="83" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.67091" LPOGY="1.87997" LPOGV="0" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.57617" BPOGY="1.72137" BPOGV="0" LPCX="0.36171" LPCY="0.57899" LPD="13.04460" LPS="1.08768" LPV="0" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="83" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.67091" LPOGY="1.87997" LPOGV="0" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.57617" BPOGY="1.72137" BPOGV="0" LPCX="0.36171" LPCY="0.57899" LPD="13.04460" LPS="1.08768" LPV="0" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="83" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.67091" LPOGY="1.87997" LPOGV="0" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.57617" BPOGY="1.72137" BPOGV="0" LPCX="0.36171" LPCY="0.57899" LPD="13.04460" LPS="1.08768" LPV="0" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00384" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="83" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.80419" FPOGY="0.72150" FPOGS="186.62231" FPOGD="0.83098" FPOGID="535" FPOGV="0" LPOGX="0.80419" LPOGY="0.72150" LPOGV="1" RPOGX="0.48143" RPOGY="1.56277" RPOGV="0" BPOGX="0.80419" BPOGY="0.72150" BPOGV="1" LPCX="0.61781" LPCY="0.55764" LPD="31.60212" LPS="1.08768" LPV="1" RPCX="0.61757" RPCY="0.56380" RPD="17.40025" RPS="1.08768" RPV="0" LEYEX="-0.03595" LEYEY="-0.01544" LEYEZ="0.67716" LPUPILD="0.00678" LPUPILV="1" REYEX="0.03057" REYEY="-0.01274" REYEZ="0.67942" RPUPILD="0.00549" RPUPILV="1" BKID="0" BKDUR="0.09861" BKPMIN="34" />
