2025-05-22 12:01:24.359865
-0.00530" LEYEZ="0.70723" LPUPILD="0.00599" LPUPILV="1" REYEX="0.05252" REYEY="-0.00628" REYEZ="0.68674" RPUPILD="0.00655" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="47" />
<REC FPOGX="0.66695" FPOGY="0.39558" FPOGS="3341.40967" FPOGD="0.10156" FPOGID="7040" FPOGV="1" LPOGX="0.70696" LPOGY="0.37182" LPOGV="1" RPOGX="0.63580" RPOGY="0.34781" RPOGV="1" BPOGX="0.67138" BPOGY="0.35981" BPOGV="1" LPCX="0.45186" LPCY="0.51890" LPD="29.56652" LPS="1.11554" LPV="1" RPCX="0.70123" RPCY="0.52466" RPD="31.19294" RPS="1.12471" RPV="1" LEYEX="-0.01274" LEYEY="-0.00509" LEYEZ="0.68515" LPUPILD="0.00598" LPUPILV="1" REYEX="0.05395" REYEY="-0.00646" REYEZ="0.70608" RPUPILD="0.00649" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="47" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52879" FPOGY="0.46335" FPOGS="3343.35254" FPOGD="1.07104" FPOGID="7047" FPOGV="1" LPOGX="0.51169" LPOGY="0.53817" LPOGV="1" RPOGX="0.52039" RPOGY="0.49696" RPOGV="1" BPOGX="0.51604" BPOGY="0.51756" BPOGV="1" LPCX="0.45091" LPCY="0.51595" LPD="32.92393" LPS="1.08868" LPV="1" RPCX="0.70074" RPCY="0.52216" RPD="34.68770" RPS="1.09785" RPV="1" LEYEX="-0.01252" LEYEY="-0.00424" LEYEZ="0.68975" LPUPILD="0.00682" LPUPILV="1" REYEX="0.05358" REYEY="-0.00571" REYEZ="0.69853" RPUPILD="0.00702" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.52849" FPOGY="0.46426" FPOGS="3343.35254" FPOGD="1.07837" FPOGID="7047" FPOGV="1" LPOGX="0.50916" LPOGY="0.53827" LPOGV="1" RPOGX="0.52984" RPOGY="0.44878" RPOGV="1" BPOGX="0.51950" BPOGY="0.49352" BPOGV="1" LPCX="0.45093" LPCY="0.51608" LPD="32.89285" LPS="1.09785" LPV="1" RPCX="0.70089" RPCY="0.52229" RPD="34.88174" RPS="1.10701" RPV="1" LEYEX="-0.01252" LEYEY="-0.00424" LEYEZ="0.68975" LPUPILD="0.00685" LPUPILV="1" REYEX="0.05358" REYEY="-0.00571" REYEZ="0.69853" RPUPILD="0.00702" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.52852" FPOGY="0.46367" FPOGS="3343.35254" FPOGD="1.08496" FPOGID="7047" FPOGV="1" LPOGX="0.51321" LPOGY="0.47074" LPOGV="1" RPOGX="0.53161" RPOGY="0.44450" RPOGV="1" BPOGX="0.52241" BPOGY="0.45762" BPOGV="1" LPCX="0.45094" LPCY="0.51612" LPD="32.92573" LPS="1.10701" LPV="1" RPCX="0.70090" RPCY="0.52233" RPD="34.81939" RPS="1.11618" RPV="1" LEYEX="-0.01252" LEYEY="-0.00424" LEYEZ="0.68975" LPUPILD="0.00685" LPUPILV="1" REYEX="0.05358" REYEY="-0.00571" REYEZ="0.69853" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.52855" FPOGY="0.46307" FPOGS="3343.35254" FPOGD="1.09155" FPOGID="7047" FPOGV="1" LPOGX="0.51186" LPOGY="0.46592" LPOGV="1" RPOGX="0.53235" RPOGY="0.43923" RPOGV="1" BPOGX="0.52211" BPOGY="0.45257" BPOGV="1" LPCX="0.45095" LPCY="0.51611" LPD="32.94975" LPS="1.11618" LPV="1" RPCX="0.70092" RPCY="0.52234" RPD="34.81664" RPS="1.12535" RPV="1" LEYEX="-0.01252" LEYEY="-0.00429" LEYEZ="0.68975" LPUPILD="0.00685" LPUPILV="1" REYEX="0.05312" REYEY="-0.00570" REYEZ="0.69113" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.52840" FPOGY="0.46168" FPOGS="3343.35254" FPOGD="1.09839" FPOGID="7047" FPOGV="1" LPOGX="0.51899" LPOGY="0.46783" LPOGV="1" RPOGX="0.54119" RPOGY="0.36793" RPOGV="1" BPOGX="0.53009" BPOGY="0.41788" BPOGV="1" LPCX="0.45101" LPCY="0.51621" LPD="32.97046" LPS="1.12535" LPV="1" RPCX="0.70097" RPCY="0.52235" RPD="34.84349" RPS="1.12535" RPV="1" LEYEX="-0.01252" LEYEY="-0.00429" LEYEZ="0.68975" LPUPILD="0.00687" LPUPILV="1" REYEX="0.05312" REYEY="-0.00570" REYEZ="0.69113" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.52827" FPOGY="0.46099" FPOGS="3343.35254" FPOGD="1.10547" FPOGID="7047" FPOGV="1" LPOGX="0.52474" LPOGY="0.46874" LPOGV="1" RPOGX="0.54415" RPOGY="0.43214" RPOGV="1" BPOGX="0.53444" BPOGY="0.45044" BPOGV="1" LPCX="0.45105" LPCY="0.51621" LPD="33.04679" LPS="1.12535" LPV="1" RPCX="0.70100" RPCY="0.52235" RPD="34.86188" RPS="1.12535" RPV="1" LEYEX="-0.01252" LEYEY="-0.00429" LEYEZ="0.68975" LPUPILD="0.00684" LPUPILV="1" REYEX="0.05312" REYEY="-0.00570" REYEZ="0.69113" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.52814" FPOGY="0.46035" FPOGS="3343.35254" FPOGD="1.11133" FPOGID="7047" FPOGV="1" LPOGX="0.52474" LPOGY="0.46874" LPOGV="1" RPOGX="0.54415" RPOGY="0.43214" RPOGV="1" BPOGX="0.53444" BPOGY="0.45044" BPOGV="1" LPCX="0.45105" LPCY="0.51621" LPD="33.04679" LPS="1.12535" LPV="1" RPCX="0.70102" RPCY="0.52230" RPD="34.96626" RPS="1.12535" RPV="1" LEYEX="-0.01252" LEYEY="-0.00424" LEYEZ="0.68975" LPUPILD="0.00684" LPUPILV="1" REYEX="0.05312" REYEY="-0.00570" REYEZ="0.69113" RPUPILD="0.00704" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.52847" FPOGY="0.45992" FPOGS="3343.35254" FPOGD="1.11792" FPOGID="7047" FPOGV="1" LPOGX="0.53393" LPOGY="0.47359" LPOGV="1" RPOGX="0.55401" RPOGY="0.43669" RPOGV="1" BPOGX="0.54397" BPOGY="0.45514" BPOGV="1" LPCX="0.45122" LPCY="0.51606" LPD="33.18967" LPS="1.12535" LPV="1" RPCX="0.70113" RPCY="0.52231" RPD="34.94082" RPS="1.12535" RPV="1" LEYEX="-0.01252" LEYEY="-0.00424" LEYEZ="0.68975" LPUPILD="0.00680" LPUPILV="1" REYEX="0.05312" REYEY="-0.00570" REYEZ="0.69113" RPUPILD="0.00708" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
