2025-05-26 10:28:10.864341
EZ="0.66053" RPUPILD="0.00782" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.99889" FPOGY="0.66309" FPOGS="518.47211" FPOGD="0.20776" FPOGID="1267" FPOGV="1" LPOGX="0.95741" LPOGY="0.61124" LPOGV="1" RPOGX="1.01546" RPOGY="0.68984" RPOGV="1" BPOGX="0.98644" BPOGY="0.65054" BPOGV="1" LPCX="0.52707" LPCY="0.68760" LPD="35.86083" LPS="1.01739" LPV="1" RPCX="0.78301" RPCY="0.70213" RPD="36.63899" RPS="1.02458" RPV="1" LEYEX="0.00595" LEYEY="-0.03804" LEYEZ="0.64536" LPUPILD="0.00758" LPUPILV="1" REYEX="0.07018" REYEY="-0.04156" REYEZ="0.66053" RPUPILD="0.00781" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.99843" FPOGY="0.66275" FPOGS="518.47211" FPOGD="0.21399" FPOGID="1267" FPOGV="1" LPOGX="0.95722" LPOGY="0.61159" LPOGV="1" RPOGX="1.01111" RPOGY="0.69279" RPOGV="1" BPOGX="0.98416" BPOGY="0.65219" BPOGV="1" LPCX="0.52705" LPCY="0.68764" LPD="35.81081" LPS="1.01667" LPV="1" RPCX="0.78298" RPCY="0.70215" RPD="36.62405" RPS="1.01667" RPV="1" LEYEX="0.00593" LEYEY="-0.03851" LEYEZ="0.65325" LPUPILD="0.00757" LPUPILV="1" REYEX="0.06722" REYEY="-0.03984" REYEZ="0.63319" RPUPILD="0.00779" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54791" FPOGY="0.55269" FPOGS="520.53552" FPOGD="1.06506" FPOGID="1272" FPOGV="1" LPOGX="0.51227" LPOGY="0.45636" LPOGV="1" RPOGX="0.57931" RPOGY="0.59811" RPOGV="1" BPOGX="0.54579" BPOGY="0.52724" BPOGV="1" LPCX="0.51652" LPCY="0.68524" LPD="35.57424" LPS="1.08783" LPV="1" RPCX="0.77247" RPCY="0.69964" RPD="38.32146" RPS="1.08783" RPV="1" LEYEX="0.00473" LEYEY="-0.03917" LEYEZ="0.67126" LPUPILD="0.00747" LPUPILV="1" REYEX="0.07074" REYEY="-0.04225" REYEZ="0.67874" RPUPILD="0.00750" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
<REC FPOGX="0.54751" FPOGY="0.55240" FPOGS="520.53552" FPOGD="1.07159" FPOGID="1272" FPOGV="1" LPOGX="0.50757" LPOGY="0.45465" LPOGV="1" RPOGX="0.57278" RPOGY="0.59575" RPOGV="1" BPOGX="0.54017" BPOGY="0.52520" BPOGV="1" LPCX="0.51650" LPCY="0.68524" LPD="35.55018" LPS="1.08783" LPV="1" RPCX="0.77244" RPCY="0.69960" RPD="38.21107" RPS="1.08783" RPV="1" LEYEX="0.00473" LEYEY="-0.03917" LEYEZ="0.67126" LPUPILD="0.00748" LPUPILV="1" REYEX="0.07074" REYEY="-0.04225" REYEZ="0.67874" RPUPILD="0.00750" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
<REC FPOGX="0.54714" FPOGY="0.55194" FPOGS="520.53552" FPOGD="1.07953" FPOGID="1272" FPOGV="1" LPOGX="0.51246" LPOGY="0.45753" LPOGV="1" RPOGX="0.57119" RPOGY="0.59028" RPOGV="1" BPOGX="0.54182" BPOGY="0.52391" BPOGV="1" LPCX="0.51649" LPCY="0.68524" LPD="35.59670" LPS="1.08783" LPV="1" RPCX="0.77241" RPCY="0.69954" RPD="38.35779" RPS="1.08783" RPV="1" LEYEX="0.00473" LEYEY="-0.03917" LEYEZ="0.67126" LPUPILD="0.00747" LPUPILV="1" REYEX="0.07074" REYEY="-0.04225" REYEZ="0.67874" RPUPILD="0.00749" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
<REC FPOGX="0.54676" FPOGY="0.55148" FPOGS="520.53552" FPOGD="1.08539" FPOGID="1272" FPOGV="1" LPOGX="0.51246" LPOGY="0.45753" LPOGV="1" RPOGX="0.57119" RPOGY="0.59028" RPOGV="1" BPOGX="0.54182" BPOGY="0.52391" BPOGV="1" LPCX="0.51649" LPCY="0.68524" LPD="35.59670" LPS="1.08783" LPV="1" RPCX="0.77240" RPCY="0.69955" RPD="38.35054" RPS="1.08783" RPV="1" LEYEX="0.00473" LEYEY="-0.03917" LEYEZ="0.67126" LPUPILD="0.00747" LPUPILV="1" REYEX="0.07074" REYEY="-0.04225" REYEZ="0.67874" RPUPILD="0.00750" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
<REC FPOGX="0.54627" FPOGY="0.55083" FPOGS="520.53552" FPOGD="1.09174" FPOGID="1272" FPOGV="1" LPOGX="0.50109" LPOGY="0.44732" LPOGV="1" RPOGX="0.56574" RPOGY="0.58022" RPOGV="1" BPOGX="0.53341" BPOGY="0.51377" BPOGV="1" LPCX="0.51642" LPCY="0.68522" LPD="35.66821" LPS="1.08783" LPV="1" RPCX="0.77235" RPCY="0.69945" RPD="38.29069" RPS="1.08783" RPV="1" LEYEX="0.00473" LEYEY="-0.03917" LEYEZ="0.67126" LPUPILD="0.00747" LPUPILV="1" REYEX="0.07074" REYEY="-0.04225" REYEZ="0.67874" RPUPILD="0.00752" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
<REC FPOGX="0.54572" FPOGY="0.55019" FPOGS="520.53552" FPOGD="1.09784" FPOGID="1272" FPOGV="1" LPOGX="0.49958" LPOGY="0.44536" LPOGV="1" RPOGX="0.56271" RPOGY="0.57998" RPOGV="1" BPOGX="0.53115" BPOGY="0.51267" BPOGV="1" LPCX="0.51642" LPCY="0.68522" LPD="35.66821" LPS="1.08783" LPV="1" RPCX="0.77235" RPCY="0.69941" RPD="38.28779" RPS="1.08783" RPV="1" LEYEX="0.00473" LEYEY="-0.03917" LEYEZ="0.67126" LPUPILD="0.00747" LPUPILV="1" REYEX="0.07074" REYEY="-0.04225" REYEZ="0.67874" RPUPILD="0.00752" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
<REC FPOGX="0.54518" FPOGY="0.54962" FPOGS="520.53552" FPOGD="1.10492" FPOGID="1272" FPOGV="1" LPOGX="0.49958" LPOGY="0.44536" LPOGV="1" RPOGX="0.56271" RPOGY="0.57998" RPOGV="1" BPOGX="0.53115" BPOGY="0.51267" BPOGV="1" LPCX="0.51642" LPCY="0.68522" LPD="35.67918" LPS="1.08783" LPV="1" RPCX="0.77235" RPCY="0.69941" RPD="38.28779" RPS="1.08783" RPV="1" LEYEX="0.00473" LEYEY="-0.03917" LEYEZ="0.67126" LPUPILD="0.00747" LPUPILV="1" REYEX="0.07074" REYEY="-0.04225" REYEZ="0.67874" RPUPILD="0.00752" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="43" />
