2025-05-26 10:28:46.692145
EYEZ="0.65311" RPUPILD="0.00771" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="50" />
<REC FPOGX="0.99804" FPOGY="0.70918" FPOGS="554.38971" FPOGD="0.11450" FPOGID="1394" FPOGV="1" LPOGX="0.94815" LPOGY="0.69399" LPOGV="1" RPOGX="1.02201" RPOGY="0.72267" RPOGV="1" BPOGX="0.98508" BPOGY="0.70833" BPOGV="1" LPCX="0.49127" LPCY="0.69404" LPD="34.86419" LPS="1.05549" LPV="1" RPCX="0.74529" RPCY="0.69579" RPD="35.66379" RPS="1.05549" RPV="1" LEYEX="-0.00314" LEYEY="-0.04108" LEYEZ="0.67622" LPUPILD="0.00727" LPUPILV="1" REYEX="0.05999" REYEY="-0.03987" REYEZ="0.65311" RPUPILD="0.00769" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="50" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54605" FPOGY="0.58235" FPOGS="556.19788" FPOGD="1.22546" FPOGID="1400" FPOGV="1" LPOGX="0.51282" LPOGY="0.53945" LPOGV="1" RPOGX="0.56171" RPOGY="0.64602" RPOGV="1" BPOGX="0.53727" BPOGY="0.59274" BPOGV="1" LPCX="0.47670" LPCY="0.69285" LPD="34.98992" LPS="1.08784" LPV="1" RPCX="0.73054" RPCY="0.69406" RPD="36.86215" RPS="1.08784" RPV="1" LEYEX="-0.00561" LEYEY="-0.04115" LEYEZ="0.68074" LPUPILD="0.00741" LPUPILV="1" REYEX="0.05945" REYEY="-0.04083" REYEZ="0.67538" RPUPILD="0.00736" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
<REC FPOGX="0.54574" FPOGY="0.58257" FPOGS="556.19788" FPOGD="1.23218" FPOGID="1400" FPOGV="1" LPOGX="0.51282" LPOGY="0.53945" LPOGV="1" RPOGX="0.56171" RPOGY="0.64602" RPOGV="1" BPOGX="0.53727" BPOGY="0.59274" BPOGV="1" LPCX="0.47672" LPCY="0.69290" LPD="35.04632" LPS="1.08784" LPV="1" RPCX="0.73053" RPCY="0.69404" RPD="36.88615" RPS="1.08784" RPV="1" LEYEX="-0.00561" LEYEY="-0.04115" LEYEZ="0.68074" LPUPILD="0.00740" LPUPILV="1" REYEX="0.05945" REYEY="-0.04093" REYEZ="0.67538" RPUPILD="0.00738" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
<REC FPOGX="0.54598" FPOGY="0.58304" FPOGS="556.19788" FPOGD="1.23926" FPOGID="1400" FPOGV="1" LPOGX="0.51460" LPOGY="0.55678" LPOGV="1" RPOGX="0.59764" RPOGY="0.65243" RPOGV="1" BPOGX="0.55612" BPOGY="0.60460" BPOGV="1" LPCX="0.47672" LPCY="0.69290" LPD="35.04632" LPS="1.08784" LPV="1" RPCX="0.73056" RPCY="0.69412" RPD="36.83393" RPS="1.08784" RPV="1" LEYEX="-0.00561" LEYEY="-0.04115" LEYEZ="0.68074" LPUPILD="0.00740" LPUPILV="1" REYEX="0.05945" REYEY="-0.04093" REYEZ="0.67538" RPUPILD="0.00739" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
<REC FPOGX="0.54628" FPOGY="0.58376" FPOGS="556.19788" FPOGD="1.24561" FPOGID="1400" FPOGV="1" LPOGX="0.51316" LPOGY="0.56250" LPOGV="1" RPOGX="0.60129" RPOGY="0.65940" RPOGV="1" BPOGX="0.55723" BPOGY="0.61095" BPOGV="1" LPCX="0.47672" LPCY="0.69292" LPD="35.06470" LPS="1.08784" LPV="1" RPCX="0.73056" RPCY="0.69412" RPD="36.83393" RPS="1.08784" RPV="1" LEYEX="-0.00561" LEYEY="-0.04115" LEYEZ="0.68074" LPUPILD="0.00739" LPUPILV="1" REYEX="0.05945" REYEY="-0.04093" REYEZ="0.67538" RPUPILD="0.00739" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
<REC FPOGX="0.54658" FPOGY="0.58440" FPOGS="556.19788" FPOGD="1.25433" FPOGID="1400" FPOGV="1" LPOGX="0.51316" LPOGY="0.56250" LPOGV="1" RPOGX="0.60129" RPOGY="0.65940" RPOGV="1" BPOGX="0.55723" BPOGY="0.61095" BPOGV="1" LPCX="0.47674" LPCY="0.69295" LPD="35.10380" LPS="1.08784" LPV="1" RPCX="0.73056" RPCY="0.69412" RPD="36.83393" RPS="1.08784" RPV="1" LEYEX="-0.00558" LEYEY="-0.04092" LEYEZ="0.67605" LPUPILD="0.00740" LPUPILV="1" REYEX="0.05945" REYEY="-0.04093" REYEZ="0.67538" RPUPILD="0.00739" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
<REC FPOGX="0.54629" FPOGY="0.58431" FPOGS="556.19788" FPOGD="1.25964" FPOGID="1400" FPOGV="1" LPOGX="0.51302" LPOGY="0.50241" LPOGV="1" RPOGX="0.56540" RPOGY="0.65952" RPOGV="1" BPOGX="0.53921" BPOGY="0.58097" BPOGV="1" LPCX="0.47675" LPCY="0.69297" LPD="35.08026" LPS="1.08784" LPV="1" RPCX="0.73056" RPCY="0.69414" RPD="36.82447" RPS="1.08784" RPV="1" LEYEX="-0.00558" LEYEY="-0.04092" LEYEZ="0.67605" LPUPILD="0.00740" LPUPILV="1" REYEX="0.05945" REYEY="-0.04093" REYEZ="0.67538" RPUPILD="0.00740" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
<REC FPOGX="0.54606" FPOGY="0.58406" FPOGS="556.19788" FPOGD="1.26569" FPOGID="1400" FPOGV="1" LPOGX="0.51553" LPOGY="0.50220" LPOGV="1" RPOGX="0.56764" RPOGY="0.65780" RPOGV="1" BPOGX="0.54158" BPOGY="0.58000" BPOGV="1" LPCX="0.47676" LPCY="0.69298" LPD="35.03206" LPS="1.08784" LPV="1" RPCX="0.73056" RPCY="0.69416" RPD="36.85426" RPS="1.08784" RPV="1" LEYEX="-0.00558" LEYEY="-0.04092" LEYEZ="0.67605" LPUPILD="0.00741" LPUPILV="1" REYEX="0.05945" REYEY="-0.04093" REYEZ="0.67538" RPUPILD="0.00737" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
<REC FPOGX="0.54582" FPOGY="0.58372" FPOGS="556.19788" FPOGD="1.27240" FPOGID="1400" FPOGV="1" LPOGX="0.51553" LPOGY="0.50220" LPOGV="1" RPOGX="0.56764" RPOGY="0.65780" RPOGV="1" BPOGX="0.54158" BPOGY="0.58000" BPOGV="1" LPCX="0.47674" LPCY="0.69297" LPD="35.07697" LPS="1.08784" LPV="1" RPCX="0.73058" RPCY="0.69414" RPD="36.80188" RPS="1.08784" RPV="1" LEYEX="-0.00561" LEYEY="-0.04125" LEYEZ="0.68074" LPUPILD="0.00740" LPUPILV="1" REYEX="0.05956" REYEY="-0.04105" REYEZ="0.67658" RPUPILD="0.00737" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="49" />
