2025-05-27 10:11:48.148013
0.68795" RPUPILD="0.00710" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.53461" FPOGY="0.55361" FPOGS="27.22592" FPOGD="0.07959" FPOGID="57" FPOGV="1" LPOGX="0.49541" LPOGY="0.55262" LPOGV="1" RPOGX="0.55887" RPOGY="0.62166" RPOGV="1" BPOGX="0.52714" BPOGY="0.58714" BPOGV="1" LPCX="0.35037" LPCY="0.68134" LPD="33.18854" LPS="1.09647" LPV="1" RPCX="0.59298" RPCY="0.66119" RPD="33.81683" RPS="1.10564" RPV="1" LEYEX="-0.04002" LEYEY="-0.04008" LEYEZ="0.70502" LPUPILD="0.00721" LPUPILV="1" REYEX="0.02483" REYEY="-0.03554" REYEZ="0.70316" RPUPILD="0.00711" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53663" FPOGY="0.52051" FPOGS="28.12933" FPOGD="0.09977" FPOGID="59" FPOGV="1" LPOGX="0.48575" LPOGY="0.47499" LPOGV="1" RPOGX="0.56472" RPOGY="0.56302" RPOGV="1" BPOGX="0.52524" BPOGY="0.51900" BPOGV="1" LPCX="0.34892" LPCY="0.68044" LPD="33.40965" LPS="1.20192" LPV="1" RPCX="0.59186" RPCY="0.66011" RPD="34.49652" RPS="1.20192" RPV="1" LEYEX="-0.04048" LEYEY="-0.03990" LEYEZ="0.70562" LPUPILD="0.00729" LPUPILV="1" REYEX="0.02548" REYEY="-0.03679" REYEZ="0.73219" RPUPILD="0.00723" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53569" FPOGY="0.52109" FPOGS="28.12933" FPOGD="0.10650" FPOGID="59" FPOGV="1" LPOGX="0.48388" LPOGY="0.48457" LPOGV="1" RPOGX="0.55733" RPOGY="0.57608" RPOGV="1" BPOGX="0.52060" BPOGY="0.53032" BPOGV="1" LPCX="0.34893" LPCY="0.68052" LPD="33.52056" LPS="1.20192" LPV="1" RPCX="0.59178" RPCY="0.66019" RPD="34.42250" RPS="1.20192" RPV="1" LEYEX="-0.04048" LEYEY="-0.03990" LEYEZ="0.70562" LPUPILD="0.00730" LPUPILV="1" REYEX="0.02548" REYEY="-0.03679" REYEZ="0.73219" RPUPILD="0.00723" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53497" FPOGY="0.52192" FPOGS="28.12933" FPOGD="0.11316" FPOGID="59" FPOGV="1" LPOGX="0.48435" LPOGY="0.49116" LPOGV="1" RPOGX="0.56097" RPOGY="0.58082" RPOGV="1" BPOGX="0.52266" BPOGY="0.53599" BPOGV="1" LPCX="0.34890" LPCY="0.68052" LPD="33.44704" LPS="1.20192" LPV="1" RPCX="0.59177" RPCY="0.66018" RPD="34.46332" RPS="1.20192" RPV="1" LEYEX="-0.04048" LEYEY="-0.03990" LEYEZ="0.70562" LPUPILD="0.00731" LPUPILV="1" REYEX="0.02548" REYEY="-0.03679" REYEZ="0.73219" RPUPILD="0.00723" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53430" FPOGY="0.52242" FPOGS="28.12933" FPOGD="0.12061" FPOGID="59" FPOGV="1" LPOGX="0.48273" LPOGY="0.48639" LPOGV="1" RPOGX="0.56199" RPOGY="0.57652" RPOGV="1" BPOGX="0.52236" BPOGY="0.53146" BPOGV="1" LPCX="0.34888" LPCY="0.68055" LPD="33.55680" LPS="1.21215" LPV="1" RPCX="0.59180" RPCY="0.66021" RPD="34.57615" RPS="1.21215" RPV="1" LEYEX="-0.04048" LEYEY="-0.03990" LEYEZ="0.70562" LPUPILD="0.00730" LPUPILV="1" REYEX="0.02548" REYEY="-0.03679" REYEZ="0.73219" RPUPILD="0.00723" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53356" FPOGY="0.52148" FPOGS="28.12933" FPOGD="0.12656" FPOGID="59" FPOGV="1" LPOGX="0.48106" LPOGY="0.49457" LPOGV="1" RPOGX="0.55782" RPOGY="0.51287" RPOGV="1" BPOGX="0.51944" BPOGY="0.50372" BPOGV="1" LPCX="0.34888" LPCY="0.68059" LPD="33.61843" LPS="1.22239" LPV="1" RPCX="0.59175" RPCY="0.66023" RPD="34.52790" RPS="1.22239" RPV="1" LEYEX="-0.04048" LEYEY="-0.03990" LEYEZ="0.70562" LPUPILD="0.00731" LPUPILV="1" REYEX="0.02548" REYEY="-0.03679" REYEZ="0.73219" RPUPILD="0.00723" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53286" FPOGY="0.52038" FPOGS="28.12933" FPOGD="0.13355" FPOGID="59" FPOGV="1" LPOGX="0.47882" LPOGY="0.48435" LPOGV="1" RPOGX="0.55885" RPOGY="0.51221" RPOGV="1" BPOGX="0.51884" BPOGY="0.49828" BPOGV="1" LPCX="0.34889" LPCY="0.68064" LPD="33.63890" LPS="1.23263" LPV="1" RPCX="0.59172" RPCY="0.66030" RPD="34.50143" RPS="1.23263" RPV="1" LEYEX="-0.04048" LEYEY="-0.03990" LEYEZ="0.70562" LPUPILD="0.00728" LPUPILV="1" REYEX="0.02548" REYEY="-0.03679" REYEZ="0.73219" RPUPILD="0.00725" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53222" FPOGY="0.51937" FPOGS="28.12933" FPOGD="0.14039" FPOGID="59" FPOGV="1" LPOGX="0.47882" LPOGY="0.48435" LPOGV="1" RPOGX="0.55885" RPOGY="0.51221" RPOGV="1" BPOGX="0.51884" BPOGY="0.49828" BPOGV="1" LPCX="0.34889" LPCY="0.68064" LPD="33.63890" LPS="1.23263" LPV="1" RPCX="0.59172" RPCY="0.66030" RPD="34.50143" RPS="1.23263" RPV="1" LEYEX="-0.04048" LEYEY="-0.04001" LEYEZ="0.70562" LPUPILD="0.00728" LPUPILV="1" REYEX="0.02548" REYEY="-0.03685" REYEZ="0.73219" RPUPILD="0.00725" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.53177" FPOGY="0.51892" FPOGS="28.12933" FPOGD="0.14712" FPOGID="59" FPOGV="1" LPOGX="0.48478" LPOGY="0.49575" LPOGV="1" RPOGX="0.55906" RPOGY="0.52228" RPOGV="1" BPOGX="0.52192" BPOGY="0.50902" BPOGV="1" LPCX="0.34895" LPCY="0.68071" LPD="33.60777" LPS="1.22239" LPV="1" RPCX="0.59175" RPCY="0.66037" RPD="34.57870" RPS="1.22239" RPV="1" LEYEX="-0.04048" LEYEY="-0.04001" LEYEZ="0.70562" LPUPILD="0.00730" LPUPILV="1" REYEX="0.02548" REYEY="-0.03685" REYEZ="0.73219" RPUPILD="0.00725" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
