2025-05-27 10:22:25.457626
EYEZ="0.68842" RPUPILD="0.00728" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<REC FPOGX="0.54866" FPOGY="0.55252" FPOGS="664.41077" FPOGD="0.20349" FPOGID="1722" FPOGV="1" LPOGX="0.48955" LPOGY="0.54359" LPOGV="1" RPOGX="0.56912" RPOGY="0.53730" RPOGV="1" BPOGX="0.52934" BPOGY="0.54044" BPOGV="1" LPCX="0.26252" LPCY="0.75074" LPD="34.66767" LPS="1.12680" LPV="1" RPCX="0.50880" RPCY="0.72260" RPD="35.73277" RPS="1.11632" RPV="1" LEYEX="-0.06560" LEYEY="-0.05665" LEYEZ="0.72423" LPUPILD="0.00732" LPUPILV="1" REYEX="0.00197" REYEY="-0.04938" REYEZ="0.71095" RPUPILD="0.00727" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="46" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54454" FPOGY="0.53096" FPOGS="664.41077" FPOGD="1.13251" FPOGID="1722" FPOGV="1" LPOGX="0.47700" LPOGY="0.48961" LPOGV="1" RPOGX="0.58670" RPOGY="0.51469" RPOGV="1" BPOGX="0.53185" BPOGY="0.50215" BPOGV="1" LPCX="0.25850" LPCY="0.75232" LPD="35.30604" LPS="1.18528" LPV="1" RPCX="0.50416" RPCY="0.72415" RPD="37.01153" RPS="1.16564" RPV="1" LEYEX="-0.06213" LEYEY="-0.05322" LEYEZ="0.67584" LPUPILD="0.00749" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00756" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.54447" FPOGY="0.52990" FPOGS="664.41077" FPOGD="1.13904" FPOGID="1722" FPOGV="1" LPOGX="0.47356" LPOGY="0.49689" LPOGV="1" RPOGX="0.60190" RPOGY="0.51897" RPOGV="1" BPOGX="0.53773" BPOGY="0.50793" BPOGV="1" LPCX="0.25845" LPCY="0.75225" LPD="35.46926" LPS="1.14644" LPV="1" RPCX="0.50394" RPCY="0.72402" RPD="37.11690" RPS="1.12680" RPV="1" LEYEX="-0.06213" LEYEY="-0.05322" LEYEZ="0.67584" LPUPILD="0.00747" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00755" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.54448" FPOGY="0.52920" FPOGS="664.41077" FPOGD="1.14600" FPOGID="1722" FPOGV="1" LPOGX="0.47701" LPOGY="0.50637" LPOGV="1" RPOGX="0.60190" RPOGY="0.51897" RPOGV="1" BPOGX="0.53945" BPOGY="0.51267" BPOGV="1" LPCX="0.25842" LPCY="0.75228" LPD="35.42291" LPS="1.12680" LPV="1" RPCX="0.50392" RPCY="0.72400" RPD="37.17670" RPS="1.12680" RPV="1" LEYEX="-0.06679" LEYEY="-0.05712" LEYEZ="0.72539" LPUPILD="0.00749" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00755" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.54476" FPOGY="0.53038" FPOGS="664.41077" FPOGD="1.15253" FPOGID="1722" FPOGV="1" LPOGX="0.48987" LPOGY="0.55419" LPOGV="1" RPOGX="0.58406" RPOGY="0.55434" RPOGV="1" BPOGX="0.53696" BPOGY="0.55427" BPOGV="1" LPCX="0.25815" LPCY="0.75218" LPD="35.29393" LPS="1.14599" LPV="1" RPCX="0.50379" RPCY="0.72390" RPD="37.23518" RPS="1.16564" RPV="1" LEYEX="-0.06679" LEYEY="-0.05712" LEYEZ="0.72539" LPUPILD="0.00750" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00755" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.54459" FPOGY="0.53043" FPOGS="664.41077" FPOGD="1.15912" FPOGID="1722" FPOGV="1" LPOGX="0.47689" LPOGY="0.53146" LPOGV="1" RPOGX="0.58592" RPOGY="0.53877" RPOGV="1" BPOGX="0.53140" BPOGY="0.53511" BPOGV="1" LPCX="0.25810" LPCY="0.75213" LPD="35.43637" LPS="1.18483" LPV="1" RPCX="0.50375" RPCY="0.72388" RPD="37.17944" RPS="1.20448" RPV="1" LEYEX="-0.06679" LEYEY="-0.05712" LEYEZ="0.72539" LPUPILD="0.00751" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00755" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.54437" FPOGY="0.53048" FPOGS="664.41077" FPOGD="1.16614" FPOGID="1722" FPOGV="1" LPOGX="0.47361" LPOGY="0.52283" LPOGV="1" RPOGX="0.58592" RPOGY="0.53877" RPOGV="1" BPOGX="0.52976" BPOGY="0.53080" BPOGV="1" LPCX="0.25806" LPCY="0.75211" LPD="35.35557" LPS="1.20448" LPV="1" RPCX="0.50368" RPCY="0.72383" RPD="37.10217" RPS="1.20448" RPV="1" LEYEX="-0.06301" LEYEY="-0.05370" LEYEZ="0.68320" LPUPILD="0.00751" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00754" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.54422" FPOGY="0.53057" FPOGS="664.41077" FPOGD="1.17291" FPOGID="1722" FPOGV="1" LPOGX="0.49674" LPOGY="0.52771" LPOGV="1" RPOGX="0.60074" RPOGY="0.55125" RPOGV="1" BPOGX="0.54874" BPOGY="0.53948" BPOGV="1" LPCX="0.25797" LPCY="0.75212" LPD="35.42488" LPS="1.18528" LPV="1" RPCX="0.50354" RPCY="0.72382" RPD="37.11890" RPS="1.16564" RPV="1" LEYEX="-0.06301" LEYEY="-0.05370" LEYEZ="0.68320" LPUPILD="0.00752" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00757" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
<REC FPOGX="0.54399" FPOGY="0.53130" FPOGS="664.41077" FPOGD="1.17926" FPOGID="1722" FPOGV="1" LPOGX="0.49748" LPOGY="0.55196" LPOGV="1" RPOGX="0.59538" RPOGY="0.55473" RPOGV="1" BPOGX="0.54643" BPOGY="0.55334" BPOGV="1" LPCX="0.25794" LPCY="0.75210" LPD="35.31305" LPS="1.14644" LPV="1" RPCX="0.50354" RPCY="0.72384" RPD="37.08804" RPS="1.12680" RPV="1" LEYEX="-0.06301" LEYEY="-0.05370" LEYEZ="0.68320" LPUPILD="0.00751" LPUPILV="1" REYEX="0.00072" REYEY="-0.04816" REYEZ="0.68754" RPUPILD="0.00758" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="45" />
