2025-05-22 12:05:48.606778
EZ="0.72099" RPUPILD="0.00433" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.54934" FPOGY="0.09348" FPOGS="3605.65601" FPOGD="0.09326" FPOGID="7722" FPOGV="1" LPOGX="0.58077" LPOGY="0.20343" LPOGV="1" RPOGX="0.58813" RPOGY="0.10159" RPOGV="1" BPOGX="0.58445" BPOGY="0.15251" BPOGV="1" LPCX="0.54069" LPCY="0.41776" LPD="18.97706" LPS="1.26769" LPV="1" RPCX="0.79371" RPCY="0.42471" RPD="20.98841" RPS="1.26769" RPV="1" LEYEX="0.01214" LEYEY="0.01762" LEYEZ="0.75289" LPUPILD="0.00434" LPUPILV="1" REYEX="0.08088" REYEY="0.01519" REYEZ="0.72099" RPUPILD="0.00430" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.50245" FPOGY="0.32472" FPOGS="3608.58936" FPOGD="0.07349" FPOGID="7732" FPOGV="1" LPOGX="0.49684" LPOGY="0.37638" LPOGV="1" RPOGX="0.50667" RPOGY="0.19729" RPOGV="1" BPOGX="0.50175" BPOGY="0.28683" BPOGV="1" LPCX="0.53772" LPCY="0.42098" LPD="23.96935" LPS="1.34645" LPV="1" RPCX="0.79035" RPCY="0.42648" RPD="25.45581" RPS="1.34645" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00504" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50256" FPOGY="0.32388" FPOGS="3608.58936" FPOGD="0.08008" FPOGID="7732" FPOGV="1" LPOGX="0.50205" LPOGY="0.42692" LPOGV="1" RPOGX="0.50552" RPOGY="0.20070" RPOGV="1" BPOGX="0.50378" BPOGY="0.31381" BPOGV="1" LPCX="0.53780" LPCY="0.42092" LPD="24.02440" LPS="1.34645" LPV="1" RPCX="0.79040" RPCY="0.42643" RPD="25.53191" RPS="1.34645" RPV="1" LEYEX="0.01185" LEYEY="0.01796" LEYEZ="0.78258" LPUPILD="0.00502" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50272" FPOGY="0.32418" FPOGS="3608.58936" FPOGD="0.08691" FPOGID="7732" FPOGV="1" LPOGX="0.50533" LPOGY="0.43878" LPOGV="1" RPOGX="0.50428" RPOGY="0.21755" RPOGV="1" BPOGX="0.50481" BPOGY="0.32816" BPOGV="1" LPCX="0.53782" LPCY="0.42087" LPD="24.15802" LPS="1.32085" LPV="1" RPCX="0.79042" RPCY="0.42644" RPD="25.57136" RPS="1.32085" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00502" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50337" FPOGY="0.32563" FPOGS="3608.58936" FPOGD="0.09399" FPOGID="7732" FPOGV="1" LPOGX="0.50302" LPOGY="0.43663" LPOGV="1" RPOGX="0.52191" RPOGY="0.25512" RPOGV="1" BPOGX="0.51246" BPOGY="0.34587" BPOGV="1" LPCX="0.53784" LPCY="0.42085" LPD="24.16657" LPS="1.29526" LPV="1" RPCX="0.79044" RPCY="0.42651" RPD="25.55698" RPS="1.29526" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00502" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50407" FPOGY="0.32547" FPOGS="3608.58936" FPOGD="0.10059" FPOGID="7732" FPOGV="1" LPOGX="0.51329" LPOGY="0.37941" LPOGV="1" RPOGX="0.51580" RPOGY="0.26658" RPOGV="1" BPOGX="0.51454" BPOGY="0.32299" BPOGV="1" LPCX="0.53779" LPCY="0.42087" LPD="24.27033" LPS="1.26966" LPV="1" RPCX="0.79040" RPCY="0.42647" RPD="25.65930" RPS="1.26966" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00500" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50473" FPOGY="0.32620" FPOGS="3608.58936" FPOGD="0.10718" FPOGID="7732" FPOGV="1" LPOGX="0.51654" LPOGY="0.39294" LPOGV="1" RPOGX="0.51429" RPOGY="0.28311" RPOGV="1" BPOGX="0.51542" BPOGY="0.33802" BPOGV="1" LPCX="0.53780" LPCY="0.42090" LPD="24.20898" LPS="1.24407" LPV="1" RPCX="0.79036" RPCY="0.42648" RPD="25.49064" RPS="1.24407" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00499" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50547" FPOGY="0.32876" FPOGS="3608.58936" FPOGD="0.11401" FPOGID="7732" FPOGV="1" LPOGX="0.52081" LPOGY="0.46090" LPOGV="1" RPOGX="0.51532" RPOGY="0.28353" RPOGV="1" BPOGX="0.51807" BPOGY="0.37221" BPOGV="1" LPCX="0.53783" LPCY="0.42081" LPD="24.16883" LPS="1.24407" LPV="1" RPCX="0.79040" RPCY="0.42644" RPD="25.61941" RPS="1.24407" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00501" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
<REC FPOGX="0.50589" FPOGY="0.33089" FPOGS="3608.58936" FPOGD="0.12061" FPOGID="7732" FPOGV="1" LPOGX="0.51452" LPOGY="0.46808" LPOGV="1" RPOGX="0.51219" RPOGY="0.27057" RPOGV="1" BPOGX="0.51335" BPOGY="0.36933" BPOGV="1" LPCX="0.53782" LPCY="0.42084" LPD="24.13818" LPS="1.24407" LPV="1" RPCX="0.79044" RPCY="0.42649" RPD="25.47214" RPS="1.24407" RPV="1" LEYEX="0.01114" LEYEY="0.01671" LEYEZ="0.72815" LPUPILD="0.00500" LPUPILV="1" REYEX="0.08252" REYEY="0.01563" REYEZ="0.74158" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="10" />
