2025-05-22 12:16:27.657489
="0.72525" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<REC FPOGX="0.62450" FPOGY="0.39320" FPOGS="4244.67725" FPOGD="0.12012" FPOGID="9026" FPOGV="1" LPOGX="0.57875" LPOGY="0.45441" LPOGV="1" RPOGX="0.60168" RPOGY="0.30226" RPOGV="1" BPOGX="0.59021" BPOGY="0.37833" BPOGV="1" LPCX="0.50537" LPCY="0.37531" LPD="24.48754" LPS="1.24410" LPV="1" RPCX="0.76205" RPCY="0.37842" RPD="24.62549" RPS="1.24410" RPV="1" LEYEX="0.00175" LEYEY="0.02703" LEYEZ="0.72948" LPUPILD="0.00488" LPUPILV="1" REYEX="0.07266" REYEY="0.02600" REYEZ="0.72525" RPUPILD="0.00488" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="20" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52656" FPOGY="0.38588" FPOGS="4247.68555" FPOGD="0.03271" FPOGID="9032" FPOGV="1" LPOGX="0.53194" LPOGY="0.44036" LPOGV="1" RPOGX="0.54741" RPOGY="0.33090" RPOGV="1" BPOGX="0.53967" BPOGY="0.38563" BPOGV="1" LPCX="0.50760" LPCY="0.37584" LPD="26.22473" LPS="1.25591" LPV="1" RPCX="0.76490" RPCY="0.38048" RPD="26.67283" RPS="1.25591" RPV="1" LEYEX="0.00261" LEYEY="0.02680" LEYEZ="0.72625" LPUPILD="0.00530" LPUPILV="1" REYEX="0.07344" REYEY="0.02554" REYEZ="0.72441" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.52844" FPOGY="0.38584" FPOGS="4247.68555" FPOGD="0.03955" FPOGID="9032" FPOGV="1" LPOGX="0.53194" LPOGY="0.44036" LPOGV="1" RPOGX="0.54741" RPOGY="0.33090" RPOGV="1" BPOGX="0.53967" BPOGY="0.38563" BPOGV="1" LPCX="0.50754" LPCY="0.37588" LPD="26.05071" LPS="1.25591" LPV="1" RPCX="0.76489" RPCY="0.38051" RPD="26.42573" RPS="1.25591" RPV="1" LEYEX="0.00264" LEYEY="0.02769" LEYEZ="0.74887" LPUPILD="0.00527" LPUPILV="1" REYEX="0.07204" REYEY="0.02500" REYEZ="0.71062" RPUPILD="0.00524" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.52686" FPOGY="0.38497" FPOGS="4247.68555" FPOGD="0.04590" FPOGID="9032" FPOGV="1" LPOGX="0.49183" LPOGY="0.43372" LPOGV="1" RPOGX="0.53986" RPOGY="0.32402" RPOGV="1" BPOGX="0.51585" BPOGY="0.37887" BPOGV="1" LPCX="0.50756" LPCY="0.37587" LPD="26.05250" LPS="1.26773" LPV="1" RPCX="0.76481" RPCY="0.38059" RPD="26.56816" RPS="1.26773" RPV="1" LEYEX="0.00264" LEYEY="0.02769" LEYEZ="0.74887" LPUPILD="0.00526" LPUPILV="1" REYEX="0.07204" REYEY="0.02500" REYEZ="0.71062" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.52541" FPOGY="0.38327" FPOGS="4247.68555" FPOGD="0.05322" FPOGID="9032" FPOGV="1" LPOGX="0.48555" LPOGY="0.41796" LPOGV="1" RPOGX="0.54205" RPOGY="0.32137" RPOGV="1" BPOGX="0.51380" BPOGY="0.36967" BPOGV="1" LPCX="0.50751" LPCY="0.37593" LPD="26.07202" LPS="1.27954" LPV="1" RPCX="0.76490" RPCY="0.38057" RPD="26.36663" RPS="1.27954" RPV="1" LEYEX="0.00264" LEYEY="0.02769" LEYEZ="0.74887" LPUPILD="0.00524" LPUPILV="1" REYEX="0.07204" REYEY="0.02500" REYEZ="0.71062" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.52425" FPOGY="0.38191" FPOGS="4247.68555" FPOGD="0.06006" FPOGID="9032" FPOGV="1" LPOGX="0.48555" LPOGY="0.41796" LPOGV="1" RPOGX="0.54205" RPOGY="0.32137" RPOGV="1" BPOGX="0.51380" BPOGY="0.36967" BPOGV="1" LPCX="0.50752" LPCY="0.37596" LPD="26.12484" LPS="1.27954" LPV="1" RPCX="0.76486" RPCY="0.38060" RPD="26.45310" RPS="1.27954" RPV="1" LEYEX="0.00263" LEYEY="0.02698" LEYEZ="0.72958" LPUPILD="0.00525" LPUPILV="1" REYEX="0.07204" REYEY="0.02500" REYEZ="0.71062" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.52284" FPOGY="0.37872" FPOGS="4247.68555" FPOGD="0.06641" FPOGID="9032" FPOGV="1" LPOGX="0.48082" LPOGY="0.43206" LPOGV="1" RPOGX="0.53674" RPOGY="0.26148" RPOGV="1" BPOGX="0.50878" BPOGY="0.34677" BPOGV="1" LPCX="0.50749" LPCY="0.37594" LPD="26.06252" LPS="1.26773" LPV="1" RPCX="0.76481" RPCY="0.38059" RPD="26.56091" RPS="1.26773" RPV="1" LEYEX="0.00263" LEYEY="0.02698" LEYEZ="0.72958" LPUPILD="0.00526" LPUPILV="1" REYEX="0.07204" REYEY="0.02500" REYEZ="0.71062" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.52182" FPOGY="0.37750" FPOGS="4247.68555" FPOGD="0.07324" FPOGID="9032" FPOGV="1" LPOGX="0.48155" LPOGY="0.44524" LPOGV="1" RPOGX="0.53949" RPOGY="0.28289" RPOGV="1" BPOGX="0.51052" BPOGY="0.36407" BPOGV="1" LPCX="0.50746" LPCY="0.37597" LPD="26.06653" LPS="1.25591" LPV="1" RPCX="0.76483" RPCY="0.38066" RPD="26.48722" RPS="1.25591" RPV="1" LEYEX="0.00263" LEYEY="0.02698" LEYEZ="0.72958" LPUPILD="0.00525" LPUPILV="1" REYEX="0.07204" REYEY="0.02500" REYEZ="0.71062" RPUPILD="0.00528" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
<REC FPOGX="0.52098" FPOGY="0.37697" FPOGS="4247.68555" FPOGD="0.08008" FPOGID="9032" FPOGV="1" LPOGX="0.48336" LPOGY="0.45092" LPOGV="1" RPOGX="0.53857" RPOGY="0.29043" RPOGV="1" BPOGX="0.51097" BPOGY="0.37068" BPOGV="1" LPCX="0.50746" LPCY="0.37597" LPD="26.06653" LPS="1.24410" LPV="1" RPCX="0.76478" RPCY="0.38064" RPD="26.65677" RPS="1.24410" RPV="1" LEYEX="0.00261" LEYEY="0.02669" LEYEZ="0.72625" LPUPILD="0.00525" LPUPILV="1" REYEX="0.07344" REYEY="0.02543" REYEZ="0.72441" RPUPILD="0.00525" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="21" />
