2025-05-22 12:58:05.569538
10790" REYEZ="3.02247" RPUPILD="0.00496" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<REC FPOGX="0.29526" FPOGY="-0.12403" FPOGS="6742.55518" FPOGD="0.14697" FPOGID="11039" FPOGV="0" LPOGX="0.33488" LPOGY="-0.09674" LPOGV="1" RPOGX="0.25409" RPOGY="-0.14567" RPOGV="1" BPOGX="0.29449" BPOGY="-0.12120" BPOGV="1" LPCX="0.36036" LPCY="0.36396" LPD="27.00228" LPS="0.93153" LPV="1" RPCX="0.65435" RPCY="0.37311" RPD="27.11774" RPS="0.93153" RPV="1" LEYEX="-0.03177" LEYEY="0.02356" LEYEZ="0.61225" LPUPILD="0.00502" LPUPILV="1" REYEX="0.17880" REYEY="0.10790" REYEZ="3.02247" RPUPILD="0.00494" RPUPILV="0" BKID="0" BKDUR="0.00000" BKPMIN="16" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52505" FPOGY="0.38833" FPOGS="6744.55811" FPOGD="1.06396" FPOGID="11046" FPOGV="1" LPOGX="0.55296" LPOGY="0.38529" LPOGV="1" RPOGX="0.50906" RPOGY="0.37599" RPOGV="1" BPOGX="0.53101" BPOGY="0.38064" BPOGV="1" LPCX="0.36799" LPCY="0.37431" LPD="32.47104" LPS="0.94284" LPV="1" RPCX="0.66404" RPCY="0.38351" RPD="32.13833" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00567" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52524" FPOGY="0.38774" FPOGS="6744.55811" FPOGD="1.07129" FPOGID="11046" FPOGV="1" LPOGX="0.55858" LPOGY="0.38612" LPOGV="1" RPOGX="0.50793" RPOGY="0.37867" RPOGV="1" BPOGX="0.53326" BPOGY="0.38240" BPOGV="1" LPCX="0.36800" LPCY="0.37427" LPD="32.56856" LPS="0.94284" LPV="1" RPCX="0.66407" RPCY="0.38349" RPD="32.21370" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00567" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52541" FPOGY="0.38727" FPOGS="6744.55811" FPOGD="1.07764" FPOGID="11046" FPOGV="1" LPOGX="0.55627" LPOGY="0.38429" LPOGV="1" RPOGX="0.50680" RPOGY="0.37470" RPOGV="1" BPOGX="0.53154" BPOGY="0.37949" BPOGV="1" LPCX="0.36800" LPCY="0.37427" LPD="32.56856" LPS="0.94284" LPV="1" RPCX="0.66407" RPCY="0.38349" RPD="32.21184" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00567" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52559" FPOGY="0.38689" FPOGS="6744.55811" FPOGD="1.08447" FPOGID="11046" FPOGV="1" LPOGX="0.55627" LPOGY="0.38429" LPOGV="1" RPOGX="0.50680" RPOGY="0.37470" RPOGV="1" BPOGX="0.53154" BPOGY="0.37949" BPOGV="1" LPCX="0.36801" LPCY="0.37426" LPD="32.57592" LPS="0.94284" LPV="1" RPCX="0.66407" RPCY="0.38349" RPD="32.21184" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00567" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52534" FPOGY="0.38640" FPOGS="6744.55811" FPOGD="1.09131" FPOGID="11046" FPOGV="1" LPOGX="0.56117" LPOGY="0.38557" LPOGV="1" RPOGX="0.47740" RPOGY="0.36604" RPOGV="1" BPOGX="0.51928" BPOGY="0.37580" BPOGV="1" LPCX="0.36802" LPCY="0.37425" LPD="32.50944" LPS="0.94284" LPV="1" RPCX="0.66406" RPCY="0.38342" RPD="32.22780" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00568" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52521" FPOGY="0.38588" FPOGS="6744.55811" FPOGD="1.09766" FPOGID="11046" FPOGV="1" LPOGX="0.56006" LPOGY="0.38244" LPOGV="1" RPOGX="0.47961" RPOGY="0.35823" RPOGV="1" BPOGX="0.51984" BPOGY="0.37034" BPOGV="1" LPCX="0.36802" LPCY="0.37428" LPD="32.59373" LPS="0.94284" LPV="1" RPCX="0.66406" RPCY="0.38344" RPD="32.23153" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00568" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52507" FPOGY="0.38537" FPOGS="6744.55811" FPOGD="1.10449" FPOGID="11046" FPOGV="1" LPOGX="0.56006" LPOGY="0.38244" LPOGV="1" RPOGX="0.47961" RPOGY="0.35823" RPOGV="1" BPOGX="0.51984" BPOGY="0.37034" BPOGV="1" LPCX="0.36802" LPCY="0.37426" LPD="32.56641" LPS="0.94284" LPV="1" RPCX="0.66406" RPCY="0.38343" RPD="32.24650" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00568" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
<REC FPOGX="0.52495" FPOGY="0.38472" FPOGS="6744.55811" FPOGD="1.11133" FPOGID="11046" FPOGV="1" LPOGX="0.55689" LPOGY="0.37999" LPOGV="1" RPOGX="0.48144" RPOGY="0.35104" RPOGV="1" BPOGX="0.51916" BPOGY="0.36551" BPOGV="1" LPCX="0.36808" LPCY="0.37427" LPD="32.54542" LPS="0.94284" LPV="1" RPCX="0.66403" RPCY="0.38337" RPD="32.23057" RPS="0.94284" RPV="1" LEYEX="-0.03147" LEYEY="0.02306" LEYEZ="0.62739" LPUPILD="0.00571" LPUPILV="1" REYEX="0.04031" REYEY="0.02175" REYEZ="0.64153" RPUPILD="0.00555" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="14" />
