2025-05-22 13:00:15.277044
02438" LEYEZ="0.62025" LPUPILD="0.00549" LPUPILV="1" REYEX="0.04837" REYEY="0.02058" REYEZ="0.62944" RPUPILD="0.00553" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="32" />
<REC FPOGX="0.95322" FPOGY="0.44917" FPOGS="6872.39014" FPOGD="0.02637" FPOGID="11489" FPOGV="1" LPOGX="0.97011" LPOGY="0.50176" LPOGV="1" RPOGX="0.92294" RPOGY="0.38077" RPOGV="1" BPOGX="0.94653" BPOGY="0.44126" BPOGV="1" LPCX="0.40779" LPCY="0.36639" LPD="31.51404" LPS="0.91138" LPV="1" RPCX="0.70631" RPCY="0.38750" RPD="30.56400" RPS="0.91138" RPV="1" LEYEX="-0.02293" LEYEY="0.02438" LEYEZ="0.62025" LPUPILD="0.00547" LPUPILV="1" REYEX="0.04837" REYEY="0.02058" REYEZ="0.62944" RPUPILD="0.00552" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="32" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.53276" FPOGY="0.40794" FPOGS="6874.93555" FPOGD="0.39551" FPOGID="11497" FPOGV="1" LPOGX="0.55224" LPOGY="0.42176" LPOGV="1" RPOGX="0.49397" RPOGY="0.39482" RPOGV="1" BPOGX="0.52310" BPOGY="0.40829" BPOGV="1" LPCX="0.39374" LPCY="0.36624" LPD="35.24158" LPS="0.91704" LPV="1" RPCX="0.69243" RPCY="0.38632" RPD="35.17069" RPS="0.91704" RPV="1" LEYEX="-0.02526" LEYEY="0.02465" LEYEZ="0.62727" LPUPILD="0.00604" LPUPILV="1" REYEX="0.04585" REYEY="0.02053" REYEZ="0.62215" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53265" FPOGY="0.40891" FPOGS="6874.93555" FPOGD="0.40137" FPOGID="11497" FPOGV="1" LPOGX="0.55224" LPOGY="0.42176" LPOGV="1" RPOGX="0.49435" RPOGY="0.38996" RPOGV="1" BPOGX="0.52330" BPOGY="0.40586" BPOGV="1" LPCX="0.39374" LPCY="0.36624" LPD="35.24158" LPS="0.91704" LPV="1" RPCX="0.69240" RPCY="0.38636" RPD="35.31540" RPS="0.92347" RPV="1" LEYEX="-0.02526" LEYEY="0.02465" LEYEZ="0.62727" LPUPILD="0.00605" LPUPILV="1" REYEX="0.04752" REYEY="0.02130" REYEZ="0.64537" RPUPILD="0.00591" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53247" FPOGY="0.40903" FPOGS="6874.93555" FPOGD="0.40869" FPOGID="11497" FPOGV="1" LPOGX="0.54480" LPOGY="0.41959" LPOGV="1" RPOGX="0.49053" RPOGY="0.37775" RPOGV="1" BPOGX="0.51766" BPOGY="0.39867" BPOGV="1" LPCX="0.39365" LPCY="0.36618" LPD="35.32846" LPS="0.92347" LPV="1" RPCX="0.69234" RPCY="0.38631" RPD="35.28284" RPS="0.92990" RPV="1" LEYEX="-0.02526" LEYEY="0.02465" LEYEZ="0.62727" LPUPILD="0.00603" LPUPILV="1" REYEX="0.04752" REYEY="0.02130" REYEZ="0.64537" RPUPILD="0.00594" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53241" FPOGY="0.40880" FPOGS="6874.93555" FPOGD="0.41553" FPOGID="11497" FPOGV="1" LPOGX="0.54160" LPOGY="0.41731" LPOGV="1" RPOGX="0.51792" RPOGY="0.35680" RPOGV="1" BPOGX="0.52976" BPOGY="0.38706" BPOGV="1" LPCX="0.39361" LPCY="0.36623" LPD="35.13466" LPS="0.92990" LPV="1" RPCX="0.69232" RPCY="0.38630" RPD="35.35321" RPS="0.93633" RPV="1" LEYEX="-0.02526" LEYEY="0.02465" LEYEZ="0.62727" LPUPILD="0.00606" LPUPILV="1" REYEX="0.04752" REYEY="0.02130" REYEZ="0.64537" RPUPILD="0.00593" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53234" FPOGY="0.40835" FPOGS="6874.93555" FPOGD="0.42139" FPOGID="11497" FPOGV="1" LPOGX="0.54067" LPOGY="0.41290" LPOGV="1" RPOGX="0.51792" RPOGY="0.35680" RPOGV="1" BPOGX="0.52930" BPOGY="0.38485" BPOGV="1" LPCX="0.39358" LPCY="0.36622" LPD="35.15920" LPS="0.93633" LPV="1" RPCX="0.69234" RPCY="0.38628" RPD="35.42064" RPS="0.93633" RPV="1" LEYEX="-0.02526" LEYEY="0.02465" LEYEZ="0.62727" LPUPILD="0.00605" LPUPILV="1" REYEX="0.04624" REYEY="0.02075" REYEZ="0.62864" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53237" FPOGY="0.40785" FPOGS="6874.93555" FPOGD="0.42871" FPOGID="11497" FPOGV="1" LPOGX="0.53711" LPOGY="0.41127" LPOGV="1" RPOGX="0.51302" RPOGY="0.37058" RPOGV="1" BPOGX="0.52506" BPOGY="0.39092" BPOGV="1" LPCX="0.39349" LPCY="0.36622" LPD="35.22468" LPS="0.93633" LPV="1" RPCX="0.69231" RPCY="0.38628" RPD="35.39245" RPS="0.92990" RPV="1" LEYEX="-0.02526" LEYEY="0.02465" LEYEZ="0.62727" LPUPILD="0.00605" LPUPILV="1" REYEX="0.04624" REYEY="0.02075" REYEZ="0.62864" RPUPILD="0.00589" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53257" FPOGY="0.40784" FPOGS="6874.93555" FPOGD="0.43506" FPOGID="11497" FPOGV="1" LPOGX="0.56707" LPOGY="0.41580" LPOGV="1" RPOGX="0.50955" RPOGY="0.36987" RPOGV="1" BPOGX="0.53831" BPOGY="0.39283" BPOGV="1" LPCX="0.39348" LPCY="0.36627" LPD="35.10280" LPS="0.92990" LPV="1" RPCX="0.69226" RPCY="0.38628" RPD="35.16236" RPS="0.92347" RPV="1" LEYEX="-0.02526" LEYEY="0.02465" LEYEZ="0.62727" LPUPILD="0.00605" LPUPILV="1" REYEX="0.04624" REYEY="0.02075" REYEZ="0.62864" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
<REC FPOGX="0.53277" FPOGY="0.40793" FPOGS="6874.93555" FPOGD="0.44189" FPOGID="11497" FPOGV="1" LPOGX="0.56783" LPOGY="0.42025" LPOGV="1" RPOGX="0.50906" RPOGY="0.37487" RPOGV="1" BPOGX="0.53844" BPOGY="0.39756" BPOGV="1" LPCX="0.39348" LPCY="0.36627" LPD="35.10280" LPS="0.92347" LPV="1" RPCX="0.69224" RPCY="0.38629" RPD="35.20653" RPS="0.91704" RPV="1" LEYEX="-0.02564" LEYEY="0.02493" LEYEZ="0.63442" LPUPILD="0.00605" LPUPILV="1" REYEX="0.04624" REYEY="0.02075" REYEZ="0.62864" RPUPILD="0.00592" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="33" />
