2025-05-22 12:59:03.633115
" REYEZ="0.62398" RPUPILD="0.00573" RPUPILV="1" BKID="1645" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="6800.39551" FPOGD="0.28125" FPOGID="11218" FPOGV="0" LPOGX="1.14318" LPOGY="1.72735" LPOGV="0" RPOGX="0.96669" RPOGY="0.95453" RPOGV="0" BPOGX="1.14318" BPOGY="1.72735" BPOGV="0" LPCX="0.41554" LPCY="0.36531" LPD="13.46177" LPS="0.91707" LPV="0" RPCX="0.70924" RPCY="0.38567" RPD="25.99139" RPS="0.91707" RPV="0" LEYEX="-0.02170" LEYEY="0.02653" LEYEZ="0.62496" LPUPILD="0.00436" LPUPILV="1" REYEX="0.04852" REYEY="0.02176" REYEZ="0.62398" RPUPILD="0.00573" RPUPILV="1" BKID="1645" BKDUR="0.00000" BKPMIN="29" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.54363" FPOGY="0.40258" FPOGS="6803.02148" FPOGD="0.67627" FPOGID="11225" FPOGV="1" LPOGX="0.58313" LPOGY="0.41827" LPOGV="1" RPOGX="0.48301" RPOGY="0.44368" RPOGV="1" BPOGX="0.53307" BPOGY="0.43098" BPOGV="1" LPCX="0.39632" LPCY="0.35828" LPD="36.30809" LPS="0.91707" LPV="1" RPCX="0.69190" RPCY="0.38105" RPD="37.04567" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00632" LPUPILV="1" REYEX="0.04716" REYEY="0.02231" REYEZ="0.64252" RPUPILD="0.00628" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.54339" FPOGY="0.40359" FPOGS="6803.02148" FPOGD="0.68262" FPOGID="11225" FPOGV="1" LPOGX="0.58246" LPOGY="0.41140" LPOGV="1" RPOGX="0.47852" RPOGY="0.44360" RPOGV="1" BPOGX="0.53049" BPOGY="0.42750" BPOGV="1" LPCX="0.39633" LPCY="0.35825" LPD="36.25586" LPS="0.91707" LPV="1" RPCX="0.69190" RPCY="0.38100" RPD="37.11959" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00633" LPUPILV="1" REYEX="0.04716" REYEY="0.02231" REYEZ="0.64252" RPUPILD="0.00629" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.54316" FPOGY="0.40458" FPOGS="6803.02148" FPOGD="0.68945" FPOGID="11225" FPOGV="1" LPOGX="0.58059" LPOGY="0.41298" LPOGV="1" RPOGX="0.47882" RPOGY="0.43685" RPOGV="1" BPOGX="0.52970" BPOGY="0.42492" BPOGV="1" LPCX="0.39636" LPCY="0.35828" LPD="36.25318" LPS="0.91707" LPV="1" RPCX="0.69187" RPCY="0.38101" RPD="37.09376" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00635" LPUPILV="1" REYEX="0.04716" REYEY="0.02231" REYEZ="0.64252" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.54293" FPOGY="0.40552" FPOGS="6803.02148" FPOGD="0.69629" FPOGID="11225" FPOGV="1" LPOGX="0.58059" LPOGY="0.41298" LPOGV="1" RPOGX="0.47882" RPOGY="0.43685" RPOGV="1" BPOGX="0.52970" BPOGY="0.42492" BPOGV="1" LPCX="0.39636" LPCY="0.35828" LPD="36.23862" LPS="0.91707" LPV="1" RPCX="0.69188" RPCY="0.38103" RPD="37.05082" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00636" LPUPILV="1" REYEX="0.04716" REYEY="0.02231" REYEZ="0.64252" RPUPILD="0.00629" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.54270" FPOGY="0.40652" FPOGS="6803.02148" FPOGD="0.70312" FPOGID="11225" FPOGV="1" LPOGX="0.58352" LPOGY="0.41661" LPOGV="1" RPOGX="0.47678" RPOGY="0.42613" RPOGV="1" BPOGX="0.53015" BPOGY="0.42137" BPOGV="1" LPCX="0.39636" LPCY="0.35829" LPD="36.30237" LPS="0.91707" LPV="1" RPCX="0.69186" RPCY="0.38098" RPD="37.06048" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00636" LPUPILV="1" REYEX="0.04716" REYEY="0.02231" REYEZ="0.64252" RPUPILD="0.00629" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.54239" FPOGY="0.40762" FPOGS="6803.02148" FPOGD="0.70947" FPOGID="11225" FPOGV="1" LPOGX="0.57946" LPOGY="0.40900" LPOGV="1" RPOGX="0.47247" RPOGY="0.43192" RPOGV="1" BPOGX="0.52597" BPOGY="0.42046" BPOGV="1" LPCX="0.39633" LPCY="0.35825" LPD="36.22308" LPS="0.91707" LPV="1" RPCX="0.69183" RPCY="0.38093" RPD="37.03704" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00635" LPUPILV="1" REYEX="0.04716" REYEY="0.02231" REYEZ="0.64252" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.54208" FPOGY="0.40881" FPOGS="6803.02148" FPOGD="0.71680" FPOGID="11225" FPOGV="1" LPOGX="0.57946" LPOGY="0.40900" LPOGV="1" RPOGX="0.47247" RPOGY="0.43192" RPOGV="1" BPOGX="0.52597" BPOGY="0.42046" BPOGV="1" LPCX="0.39639" LPCY="0.35827" LPD="36.21341" LPS="0.91707" LPV="1" RPCX="0.69183" RPCY="0.38094" RPD="37.01634" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00638" LPUPILV="1" REYEX="0.04529" REYEY="0.02147" REYEZ="0.61701" RPUPILD="0.00630" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.54184" FPOGY="0.41010" FPOGS="6803.02148" FPOGD="0.72412" FPOGID="11225" FPOGV="1" LPOGX="0.57968" LPOGY="0.40486" LPOGV="1" RPOGX="0.47460" RPOGY="0.42751" RPOGV="1" BPOGX="0.52714" BPOGY="0.41618" BPOGV="1" LPCX="0.39634" LPCY="0.35827" LPD="36.37932" LPS="0.91707" LPV="1" RPCX="0.69181" RPCY="0.38091" RPD="37.05514" RPS="0.91707" RPV="1" LEYEX="-0.02447" LEYEY="0.02593" LEYEZ="0.62173" LPUPILD="0.00636" LPUPILV="1" REYEX="0.04529" REYEY="0.02147" REYEZ="0.61701" RPUPILD="0.00631" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
