2025-05-22 13:02:50.227103
EYEZ="0.60450" RPUPILD="0.00586" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="1.04620" FPOGY="0.50263" FPOGS="7026.48730" FPOGD="0.89111" FPOGID="12021" FPOGV="1" LPOGX="1.08274" LPOGY="0.54275" LPOGV="1" RPOGX="1.02618" RPOGY="0.46200" RPOGV="1" BPOGX="1.05446" BPOGY="0.50237" BPOGV="1" LPCX="0.41167" LPCY="0.33860" LPD="32.28556" LPS="0.88814" LPV="1" RPCX="0.70854" RPCY="0.35300" RPD="31.33659" RPS="0.88291" RPV="1" LEYEX="-0.02180" LEYEY="0.02898" LEYEZ="0.60574" LPUPILD="0.00567" LPUPILV="1" REYEX="0.04563" REYEY="0.02573" REYEZ="0.59143" RPUPILD="0.00587" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.84007" FPOGY="1.00157" FPOGS="7029.52100" FPOGD="0.76465" FPOGID="12026" FPOGV="1" LPOGX="0.88059" LPOGY="1.04205" LPOGV="1" RPOGX="0.81143" RPOGY="0.96823" RPOGV="1" BPOGX="0.84601" BPOGY="1.00514" BPOGV="1" LPCX="0.40710" LPCY="0.34874" LPD="33.04492" LPS="0.91696" LPV="1" RPCX="0.70421" RPCY="0.36434" RPD="33.57398" RPS="0.91696" RPV="1" LEYEX="-0.02287" LEYEY="0.02894" LEYEZ="0.62647" LPUPILD="0.00561" LPUPILV="1" REYEX="0.04813" REYEY="0.02598" REYEZ="0.62746" RPUPILD="0.00586" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.84036" FPOGY="1.00105" FPOGS="7029.52100" FPOGD="0.77100" FPOGID="12026" FPOGV="1" LPOGX="0.88059" LPOGY="1.04205" LPOGV="1" RPOGX="0.81404" RPOGY="0.96738" RPOGV="1" BPOGX="0.84732" BPOGY="1.00471" BPOGV="1" LPCX="0.40710" LPCY="0.34874" LPD="33.04492" LPS="0.91696" LPV="1" RPCX="0.70421" RPCY="0.36434" RPD="33.57398" RPS="0.92339" RPV="1" LEYEX="-0.02287" LEYEY="0.02894" LEYEZ="0.62647" LPUPILD="0.00561" LPUPILV="1" REYEX="0.04926" REYEY="0.02661" REYEZ="0.64285" RPUPILD="0.00586" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.84052" FPOGY="1.00087" FPOGS="7029.52100" FPOGD="0.77930" FPOGID="12026" FPOGV="1" LPOGX="0.87307" LPOGY="1.02714" LPOGV="1" RPOGX="0.81526" RPOGY="0.96877" RPOGV="1" BPOGX="0.84416" BPOGY="0.99796" BPOGV="1" LPCX="0.40709" LPCY="0.34875" LPD="33.03575" LPS="0.92339" LPV="1" RPCX="0.70420" RPCY="0.36437" RPD="33.61502" RPS="0.92982" RPV="1" LEYEX="-0.02287" LEYEY="0.02894" LEYEZ="0.62647" LPUPILD="0.00562" LPUPILV="1" REYEX="0.04926" REYEY="0.02661" REYEZ="0.64285" RPUPILD="0.00584" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.84060" FPOGY="1.00059" FPOGS="7029.52100" FPOGD="0.78418" FPOGID="12026" FPOGV="1" LPOGX="0.86399" LPOGY="1.03027" LPOGV="1" RPOGX="0.81519" RPOGY="0.95561" RPOGV="1" BPOGX="0.83959" BPOGY="0.99294" BPOGV="1" LPCX="0.40709" LPCY="0.34875" LPD="33.03575" LPS="0.92982" LPV="1" RPCX="0.70422" RPCY="0.36430" RPD="33.59534" RPS="0.93626" RPV="1" LEYEX="-0.02287" LEYEY="0.02894" LEYEZ="0.62647" LPUPILD="0.00562" LPUPILV="1" REYEX="0.04926" REYEY="0.02661" REYEZ="0.64285" RPUPILD="0.00584" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.84071" FPOGY="1.00030" FPOGS="7029.52100" FPOGD="0.79053" FPOGID="12026" FPOGV="1" LPOGX="0.86524" LPOGY="1.02992" LPOGV="1" RPOGX="0.81777" RPOGY="0.95470" RPOGV="1" BPOGX="0.84151" BPOGY="0.99231" BPOGV="1" LPCX="0.40707" LPCY="0.34870" LPD="33.12551" LPS="0.93626" LPV="1" RPCX="0.70421" RPCY="0.36431" RPD="33.60901" RPS="0.94269" RPV="1" LEYEX="-0.02287" LEYEY="0.02894" LEYEZ="0.62647" LPUPILD="0.00561" LPUPILV="1" REYEX="0.04926" REYEY="0.02661" REYEZ="0.64285" RPUPILD="0.00584" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.84122" FPOGY="0.99991" FPOGS="7029.52100" FPOGD="0.79736" FPOGID="12026" FPOGV="1" LPOGX="0.87191" LPOGY="1.02181" LPOGV="1" RPOGX="0.84683" RPOGY="0.96178" RPOGV="1" BPOGX="0.85937" BPOGY="0.99179" BPOGV="1" LPCX="0.40703" LPCY="0.34870" LPD="33.12233" LPS="0.94269" LPV="1" RPCX="0.70413" RPCY="0.36430" RPD="33.64407" RPS="0.94269" RPV="1" LEYEX="-0.02287" LEYEY="0.02894" LEYEZ="0.62647" LPUPILD="0.00561" LPUPILV="1" REYEX="0.04926" REYEY="0.02661" REYEZ="0.64285" RPUPILD="0.00585" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.84168" FPOGY="0.99954" FPOGS="7029.52100" FPOGD="0.80420" FPOGID="12026" FPOGV="1" LPOGX="0.86564" LPOGY="1.02138" LPOGV="1" RPOGX="0.84716" RPOGY="0.95894" RPOGV="1" BPOGX="0.85640" BPOGY="0.99016" BPOGV="1" LPCX="0.40703" LPCY="0.34871" LPD="33.06840" LPS="0.94269" LPV="1" RPCX="0.70414" RPCY="0.36425" RPD="33.73284" RPS="0.94269" RPV="1" LEYEX="-0.02287" LEYEY="0.02894" LEYEZ="0.62647" LPUPILD="0.00562" LPUPILV="1" REYEX="0.04926" REYEY="0.02661" REYEZ="0.64285" RPUPILD="0.00586" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
<REC FPOGX="0.84207" FPOGY="0.99919" FPOGS="7029.52100" FPOGD="0.81104" FPOGID="12026" FPOGV="1" LPOGX="0.86455" LPOGY="1.02173" LPOGV="1" RPOGX="0.84194" RPOGY="0.96060" RPOGV="1" BPOGX="0.85324" BPOGY="0.99117" BPOGV="1" LPCX="0.40699" LPCY="0.34865" LPD="33.12843" LPS="0.93703" LPV="1" RPCX="0.70410" RPCY="0.36432" RPD="33.76438" RPS="0.93060" RPV="1" LEYEX="-0.02261" LEYEY="0.02855" LEYEZ="0.61799" LPUPILD="0.00561" LPUPILV="1" REYEX="0.04775" REYEY="0.02582" REYEZ="0.62372" RPUPILD="0.00583" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="23" />
