2025-05-27 13:47:12.825123
EYEZ="0.60521" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.57739" FPOGY="0.40277" FPOGS="542.37793" FPOGD="0.86993" FPOGID="1272" FPOGV="1" LPOGX="0.59648" LPOGY="0.40338" LPOGV="1" RPOGX="0.55212" RPOGY="0.39837" RPOGV="1" BPOGX="0.57430" BPOGY="0.40088" BPOGV="1" LPCX="0.26622" LPCY="0.78045" LPD="35.09500" LPS="0.86998" LPV="1" RPCX="0.57216" RPCY="0.76744" RPD="34.86840" RPS="0.86998" RPV="1" LEYEX="-0.05403" LEYEY="-0.05332" LEYEZ="0.60454" LPUPILD="0.00593" LPUPILV="1" REYEX="0.01652" REYEY="-0.05102" REYEZ="0.60521" RPUPILD="0.00565" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56832" FPOGY="0.42228" FPOGS="544.09198" FPOGD="0.07391" FPOGID="1274" FPOGV="1" LPOGX="0.60960" LPOGY="0.39447" LPOGV="1" RPOGX="0.53492" RPOGY="0.41263" RPOGV="1" BPOGX="0.57226" BPOGY="0.40355" BPOGV="1" LPCX="0.27416" LPCY="0.77851" LPD="35.11190" LPS="0.86998" LPV="1" RPCX="0.57965" RPCY="0.76633" RPD="33.61292" RPS="0.86998" RPV="1" LEYEX="-0.05273" LEYEY="-0.05348" LEYEZ="0.61048" LPUPILD="0.00589" LPUPILV="1" REYEX="0.01842" REYEY="-0.05109" REYEZ="0.60815" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.56815" FPOGY="0.41977" FPOGS="544.09198" FPOGD="0.08026" FPOGID="1274" FPOGV="1" LPOGX="0.60104" LPOGY="0.37959" LPOGV="1" RPOGX="0.53126" RPOGY="0.39976" RPOGV="1" BPOGX="0.56615" BPOGY="0.38967" BPOGV="1" LPCX="0.27416" LPCY="0.77842" LPD="34.87745" LPS="0.86998" LPV="1" RPCX="0.57959" RPCY="0.76621" RPD="33.73052" RPS="0.86998" RPV="1" LEYEX="-0.05273" LEYEY="-0.05348" LEYEZ="0.61048" LPUPILD="0.00590" LPUPILV="1" REYEX="0.01842" REYEY="-0.05109" REYEZ="0.60815" RPUPILD="0.00569" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.56783" FPOGY="0.41770" FPOGS="544.09198" FPOGD="0.08716" FPOGID="1274" FPOGV="1" LPOGX="0.59956" LPOGY="0.37968" LPOGV="1" RPOGX="0.52783" RPOGY="0.40181" RPOGV="1" BPOGX="0.56369" BPOGY="0.39074" BPOGV="1" LPCX="0.27406" LPCY="0.77832" LPD="34.93938" LPS="0.86998" LPV="1" RPCX="0.57950" RPCY="0.76618" RPD="33.66898" RPS="0.86998" RPV="1" LEYEX="-0.05273" LEYEY="-0.05348" LEYEZ="0.61048" LPUPILD="0.00590" LPUPILV="1" REYEX="0.01842" REYEY="-0.05109" REYEZ="0.60815" RPUPILD="0.00569" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.56756" FPOGY="0.41590" FPOGS="544.09198" FPOGD="0.09326" FPOGID="1274" FPOGV="1" LPOGX="0.59956" LPOGY="0.37968" LPOGV="1" RPOGX="0.52783" RPOGY="0.40181" RPOGV="1" BPOGX="0.56369" BPOGY="0.39074" BPOGV="1" LPCX="0.27403" LPCY="0.77828" LPD="35.04042" LPS="0.86998" LPV="1" RPCX="0.57950" RPCY="0.76615" RPD="33.84027" RPS="0.86998" RPV="1" LEYEX="-0.05273" LEYEY="-0.05348" LEYEZ="0.61048" LPUPILD="0.00588" LPUPILV="1" REYEX="0.01842" REYEY="-0.05109" REYEZ="0.60815" RPUPILD="0.00567" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.56649" FPOGY="0.41316" FPOGS="544.09198" FPOGD="0.10040" FPOGID="1274" FPOGV="1" LPOGX="0.59113" LPOGY="0.36538" LPOGV="1" RPOGX="0.50994" RPOGY="0.37863" RPOGV="1" BPOGX="0.55053" BPOGY="0.37200" BPOGV="1" LPCX="0.27392" LPCY="0.77824" LPD="35.03556" LPS="0.86998" LPV="1" RPCX="0.57945" RPCY="0.76605" RPD="33.73356" RPS="0.86998" RPV="1" LEYEX="-0.05273" LEYEY="-0.05348" LEYEZ="0.61048" LPUPILD="0.00585" LPUPILV="1" REYEX="0.01842" REYEY="-0.05109" REYEZ="0.60815" RPUPILD="0.00570" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.56533" FPOGY="0.41046" FPOGS="544.09198" FPOGD="0.10706" FPOGID="1274" FPOGV="1" LPOGX="0.58660" LPOGY="0.36043" LPOGV="1" RPOGX="0.50674" RPOGY="0.37433" RPOGV="1" BPOGX="0.54667" BPOGY="0.36738" BPOGV="1" LPCX="0.27387" LPCY="0.77820" LPD="35.00226" LPS="0.86998" LPV="1" RPCX="0.57931" RPCY="0.76603" RPD="33.59471" RPS="0.86998" RPV="1" LEYEX="-0.05273" LEYEY="-0.05348" LEYEZ="0.61048" LPUPILD="0.00586" LPUPILV="1" REYEX="0.01842" REYEY="-0.05109" REYEZ="0.60815" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.56428" FPOGY="0.40793" FPOGS="544.09198" FPOGD="0.11365" FPOGID="1274" FPOGV="1" LPOGX="0.58601" LPOGY="0.35588" LPOGV="1" RPOGX="0.50677" RPOGY="0.37398" RPOGV="1" BPOGX="0.54639" BPOGY="0.36493" BPOGV="1" LPCX="0.27384" LPCY="0.77822" LPD="34.95101" LPS="0.87564" LPV="1" RPCX="0.57930" RPCY="0.76601" RPD="33.60205" RPS="0.87040" RPV="1" LEYEX="-0.05289" LEYEY="-0.05359" LEYEZ="0.61178" LPUPILD="0.00585" LPUPILV="1" REYEX="0.01799" REYEY="-0.05002" REYEZ="0.59548" RPUPILD="0.00571" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
<REC FPOGX="0.56421" FPOGY="0.40660" FPOGS="544.09198" FPOGD="0.12030" FPOGID="1274" FPOGV="1" LPOGX="0.59631" LPOGY="0.40148" LPOGV="1" RPOGX="0.52990" RPOGY="0.36360" RPOGV="1" BPOGX="0.56311" BPOGY="0.38254" BPOGV="1" LPCX="0.27369" LPCY="0.77813" LPD="34.78362" LPS="0.87606" LPV="1" RPCX="0.57921" RPCY="0.76588" RPD="33.77080" RPS="0.87082" RPV="1" LEYEX="-0.05289" LEYEY="-0.05359" LEYEZ="0.61178" LPUPILD="0.00588" LPUPILV="1" REYEX="0.01799" REYEY="-0.05002" REYEZ="0.59548" RPUPILD="0.00574" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="30" />
