2025-05-27 13:46:35.198506
EYEZ="0.62063" RPUPILD="0.00573" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="32" />
<REC FPOGX="0.56956" FPOGY="0.39783" FPOGS="505.10046" FPOGD="0.51544" FPOGID="1121" FPOGV="1" LPOGX="0.58519" LPOGY="0.41737" LPOGV="1" RPOGX="0.55418" RPOGY="0.35435" RPOGV="1" BPOGX="0.56968" BPOGY="0.38586" BPOGV="1" LPCX="0.27934" LPCY="0.76641" LPD="34.17352" LPS="0.91578" LPV="1" RPCX="0.58175" RPCY="0.75608" RPD="33.91760" RPS="0.91578" RPV="1" LEYEX="-0.05266" LEYEY="-0.05226" LEYEZ="0.62432" LPUPILD="0.00589" LPUPILV="1" REYEX="0.01922" REYEY="-0.05008" REYEZ="0.62063" RPUPILD="0.00573" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="32" />
<REC FPOGX="0.56937" FPOGY="0.39789" FPOGS="505.10046" FPOGD="0.52213" FPOGID="1121" FPOGV="1" LPOGX="0.58576" LPOGY="0.42135" LPOGV="1" RPOGX="0.55279" RPOGY="0.36347" RPOGV="1" BPOGX="0.56927" BPOGY="0.39241" BPOGV="1" LPCX="0.27933" LPCY="0.76640" LPD="34.17764" LPS="0.91012" LPV="1" RPCX="0.58171" RPCY="0.75606" RPD="33.75724" RPS="0.90433" RPV="1" LEYEX="-0.05150" LEYEY="-0.05106" LEYEZ="0.61005" LPUPILD="0.00589" LPUPILV="1" REYEX="0.01861" REYEY="-0.04858" REYEZ="0.60258" RPUPILD="0.00575" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="32" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56853" FPOGY="0.40739" FPOGS="505.10046" FPOGD="1.42664" FPOGID="1121" FPOGV="1" LPOGX="0.61852" LPOGY="0.42103" LPOGV="1" RPOGX="0.51525" RPOGY="0.43853" RPOGV="1" BPOGX="0.56689" BPOGY="0.42978" BPOGV="1" LPCX="0.27264" LPCY="0.76916" LPD="35.78969" LPS="0.89314" LPV="1" RPCX="0.57582" RPCY="0.75655" RPD="35.06432" RPS="0.89314" RPV="1" LEYEX="-0.05275" LEYEY="-0.05131" LEYEZ="0.60647" LPUPILD="0.00612" LPUPILV="1" REYEX="0.01795" REYEY="-0.05049" REYEZ="0.62512" RPUPILD="0.00599" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.56817" FPOGY="0.40842" FPOGS="505.10046" FPOGD="1.43292" FPOGID="1121" FPOGV="1" LPOGX="0.61505" LPOGY="0.42199" LPOGV="1" RPOGX="0.51548" RPOGY="0.44354" RPOGV="1" BPOGX="0.56526" BPOGY="0.43277" BPOGV="1" LPCX="0.27265" LPCY="0.76917" LPD="35.67709" LPS="0.89314" LPV="1" RPCX="0.57581" RPCY="0.75657" RPD="35.12968" RPS="0.89314" RPV="1" LEYEX="-0.05275" LEYEY="-0.05131" LEYEZ="0.60647" LPUPILD="0.00613" LPUPILV="1" REYEX="0.01795" REYEY="-0.05049" REYEZ="0.62512" RPUPILD="0.00599" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.56789" FPOGY="0.40852" FPOGS="505.10046" FPOGD="1.43976" FPOGID="1121" FPOGV="1" LPOGX="0.61140" LPOGY="0.41521" LPOGV="1" RPOGX="0.51717" RPOGY="0.39013" RPOGV="1" BPOGX="0.56429" BPOGY="0.40267" BPOGV="1" LPCX="0.27262" LPCY="0.76915" LPD="35.73750" LPS="0.89314" LPV="1" RPCX="0.57585" RPCY="0.75660" RPD="35.16457" RPS="0.89314" RPV="1" LEYEX="-0.05275" LEYEY="-0.05131" LEYEZ="0.60647" LPUPILD="0.00613" LPUPILV="1" REYEX="0.01795" REYEY="-0.05049" REYEZ="0.62512" RPUPILD="0.00596" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.56762" FPOGY="0.40844" FPOGS="505.10046" FPOGD="1.44623" FPOGID="1121" FPOGV="1" LPOGX="0.61140" LPOGY="0.41521" LPOGV="1" RPOGX="0.51668" RPOGY="0.39464" RPOGV="1" BPOGX="0.56404" BPOGY="0.40493" BPOGV="1" LPCX="0.27265" LPCY="0.76918" LPD="35.72756" LPS="0.89314" LPV="1" RPCX="0.57585" RPCY="0.75659" RPD="35.17337" RPS="0.88736" RPV="1" LEYEX="-0.05275" LEYEY="-0.05131" LEYEZ="0.60647" LPUPILD="0.00612" LPUPILV="1" REYEX="0.01742" REYEY="-0.04887" REYEZ="0.60496" RPUPILD="0.00596" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.56742" FPOGY="0.40838" FPOGS="505.10046" FPOGD="1.45322" FPOGID="1121" FPOGV="1" LPOGX="0.61098" LPOGY="0.43091" LPOGV="1" RPOGX="0.51654" RPOGY="0.39961" RPOGV="1" BPOGX="0.56376" BPOGY="0.41526" BPOGV="1" LPCX="0.27263" LPCY="0.76922" LPD="35.71117" LPS="0.88736" LPV="1" RPCX="0.57586" RPCY="0.75662" RPD="35.15736" RPS="0.88157" RPV="1" LEYEX="-0.05275" LEYEY="-0.05131" LEYEZ="0.60647" LPUPILD="0.00613" LPUPILV="1" REYEX="0.01742" REYEY="-0.04887" REYEZ="0.60496" RPUPILD="0.00595" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.56730" FPOGY="0.40842" FPOGS="505.10046" FPOGD="1.46066" FPOGID="1121" FPOGV="1" LPOGX="0.61067" LPOGY="0.43812" LPOGV="1" RPOGX="0.52164" RPOGY="0.41437" RPOGV="1" BPOGX="0.56616" BPOGY="0.42625" BPOGV="1" LPCX="0.27265" LPCY="0.76926" LPD="35.79167" LPS="0.88157" LPV="1" RPCX="0.57583" RPCY="0.75665" RPD="35.17038" RPS="0.87578" RPV="1" LEYEX="-0.05275" LEYEY="-0.05131" LEYEZ="0.60647" LPUPILD="0.00612" LPUPILV="1" REYEX="0.01742" REYEY="-0.04887" REYEZ="0.60496" RPUPILD="0.00598" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
<REC FPOGX="0.56719" FPOGY="0.40855" FPOGS="505.10046" FPOGD="1.46655" FPOGID="1121" FPOGV="1" LPOGX="0.61112" LPOGY="0.44225" LPOGV="1" RPOGX="0.52111" RPOGY="0.41882" RPOGV="1" BPOGX="0.56611" BPOGY="0.43054" BPOGV="1" LPCX="0.27263" LPCY="0.76924" LPD="35.83394" LPS="0.87578" LPV="1" RPCX="0.57585" RPCY="0.75670" RPD="35.21597" RPS="0.86999" RPV="1" LEYEX="-0.05275" LEYEY="-0.05131" LEYEZ="0.60647" LPUPILD="0.00612" LPUPILV="1" REYEX="0.01749" REYEY="-0.04911" REYEZ="0.60741" RPUPILD="0.00599" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="31" />
