2025-05-26 10:47:32.041947
-0.00722" LEYEZ="0.58378" LPUPILD="0.00539" LPUPILV="1" REYEX="0.03171" REYEY="-0.01624" REYEZ="0.59486" RPUPILD="0.00484" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<REC FPOGX="0.96228" FPOGY="0.37489" FPOGS="1679.74463" FPOGD="0.10583" FPOGID="2794" FPOGV="1" LPOGX="1.03215" LPOGY="0.47651" LPOGV="1" RPOGX="0.88881" RPOGY="0.27785" RPOGV="1" BPOGX="0.96048" BPOGY="0.37718" BPOGV="1" LPCX="0.36214" LPCY="0.53297" LPD="28.47207" LPS="0.82452" LPV="1" RPCX="0.64519" RPCY="0.58106" RPD="24.94161" RPS="0.82452" RPV="1" LEYEX="-0.03208" LEYEY="-0.00722" LEYEZ="0.58378" LPUPILD="0.00538" LPUPILV="1" REYEX="0.03171" REYEY="-0.01624" REYEZ="0.59486" RPUPILD="0.00482" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="18" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57575" FPOGY="0.25120" FPOGS="1682.18994" FPOGD="0.58777" FPOGID="2803" FPOGV="1" LPOGX="0.66083" LPOGY="0.31247" LPOGV="1" RPOGX="0.51410" RPOGY="0.20901" RPOGV="1" BPOGX="0.58746" BPOGY="0.26074" BPOGV="1" LPCX="0.34743" LPCY="0.53980" LPD="30.96294" LPS="0.85818" LPV="1" RPCX="0.63025" RPCY="0.59147" RPD="27.00788" RPS="0.85239" RPV="1" LEYEX="-0.03464" LEYEY="-0.00863" LEYEZ="0.59309" LPUPILD="0.00583" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.57623" FPOGY="0.25099" FPOGS="1682.18994" FPOGD="0.59424" FPOGID="2803" FPOGV="1" LPOGX="0.66322" LPOGY="0.30838" LPOGV="1" RPOGX="0.51392" RPOGY="0.19147" RPOGV="1" BPOGX="0.58857" BPOGY="0.24993" BPOGV="1" LPCX="0.34739" LPCY="0.53978" LPD="30.96045" LPS="0.85705" LPV="1" RPCX="0.63019" RPCY="0.59146" RPD="26.98522" RPS="0.85126" RPV="1" LEYEX="-0.03464" LEYEY="-0.00863" LEYEZ="0.59309" LPUPILD="0.00581" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.57670" FPOGY="0.25089" FPOGS="1682.18994" FPOGD="0.60132" FPOGID="2803" FPOGV="1" LPOGX="0.66333" LPOGY="0.31355" LPOGV="1" RPOGX="0.51343" RPOGY="0.19756" RPOGV="1" BPOGX="0.58838" BPOGY="0.25555" BPOGV="1" LPCX="0.34741" LPCY="0.53980" LPD="31.05103" LPS="0.85126" LPV="1" RPCX="0.63020" RPCY="0.59148" RPD="26.92476" RPS="0.84547" RPV="1" LEYEX="-0.03376" LEYEY="-0.00840" LEYEZ="0.57737" LPUPILD="0.00581" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.57708" FPOGY="0.25097" FPOGS="1682.18994" FPOGD="0.60852" FPOGID="2803" FPOGV="1" LPOGX="0.66042" LPOGY="0.31999" LPOGV="1" RPOGX="0.50992" RPOGY="0.21526" RPOGV="1" BPOGX="0.58517" BPOGY="0.26762" BPOGV="1" LPCX="0.34737" LPCY="0.53978" LPD="31.17344" LPS="0.84081" LPV="1" RPCX="0.63004" RPCY="0.59133" RPD="26.93055" RPS="0.84081" RPV="1" LEYEX="-0.03376" LEYEY="-0.00840" LEYEZ="0.57737" LPUPILD="0.00579" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.57729" FPOGY="0.25088" FPOGS="1682.18994" FPOGD="0.61511" FPOGID="2803" FPOGV="1" LPOGX="0.65511" LPOGY="0.32864" LPOGV="1" RPOGX="0.50781" RPOGY="0.21810" RPOGV="1" BPOGX="0.58146" BPOGY="0.27337" BPOGV="1" LPCX="0.34729" LPCY="0.53990" LPD="31.03229" LPS="0.83616" LPV="1" RPCX="0.62997" RPCY="0.59114" RPD="26.24310" RPS="0.83616" RPV="1" LEYEX="-0.03376" LEYEY="-0.00840" LEYEZ="0.57737" LPUPILD="0.00583" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.57748" FPOGY="0.25098" FPOGS="1682.18994" FPOGD="0.62183" FPOGID="2803" FPOGV="1" LPOGX="0.65525" LPOGY="0.33278" LPOGV="1" RPOGX="0.50743" RPOGY="0.22293" RPOGV="1" BPOGX="0.58134" BPOGY="0.27786" BPOGV="1" LPCX="0.34723" LPCY="0.53996" LPD="31.02269" LPS="0.83151" LPV="1" RPCX="0.62997" RPCY="0.59141" RPD="26.88236" RPS="0.83151" RPV="1" LEYEX="-0.03376" LEYEY="-0.00840" LEYEZ="0.57737" LPUPILD="0.00581" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.57765" FPOGY="0.25117" FPOGS="1682.18994" FPOGD="0.62854" FPOGID="2803" FPOGV="1" LPOGX="0.64439" LPOGY="0.32856" LPOGV="1" RPOGX="0.48835" RPOGY="0.22110" RPOGV="1" BPOGX="0.56637" BPOGY="0.27483" BPOGV="1" LPCX="0.34718" LPCY="0.53998" LPD="31.15209" LPS="0.83151" LPV="1" RPCX="0.62987" RPCY="0.59140" RPD="26.86265" RPS="0.83151" RPV="1" LEYEX="-0.03376" LEYEY="-0.00840" LEYEZ="0.57737" LPUPILD="0.00582" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
<REC FPOGX="0.57769" FPOGY="0.25176" FPOGS="1682.18994" FPOGD="0.63525" FPOGID="2803" FPOGV="1" LPOGX="0.63792" LPOGY="0.33356" LPOGV="1" RPOGX="0.51107" RPOGY="0.22903" RPOGV="1" BPOGX="0.57449" BPOGY="0.28129" BPOGV="1" LPCX="0.34713" LPCY="0.54002" LPD="31.21292" LPS="0.83151" LPV="1" RPCX="0.62976" RPCY="0.59121" RPD="26.25264" RPS="0.83151" RPV="1" LEYEX="-0.03376" LEYEY="-0.00840" LEYEZ="0.57737" LPUPILD="0.00580" LPUPILV="1" REYEX="0.02876" REYEY="-0.01777" REYEZ="0.57940" RPUPILD="0.00523" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="17" />
