2025-05-27 11:02:43.322903
 REYEZ="0.63420" RPUPILD="0.00515" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.05908" FPOGY="0.40333" FPOGS="3081.82837" FPOGD="0.64355" FPOGID="8934" FPOGV="1" LPOGX="1.10929" LPOGY="0.51057" LPOGV="1" RPOGX="0.95592" RPOGY="0.35656" RPOGV="1" BPOGX="1.03260" BPOGY="0.43357" BPOGV="1" LPCX="0.37990" LPCY="0.61282" LPD="27.27188" LPS="1.01153" LPV="1" RPCX="0.63795" RPCY="0.61933" RPD="24.49223" RPS="1.00434" RPV="1" LEYEX="-0.03279" LEYEY="-0.02382" LEYEZ="0.66168" LPUPILD="0.00563" LPUPILV="1" REYEX="0.03119" REYEY="-0.02445" REYEZ="0.63420" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="1.04078" FPOGY="0.42442" FPOGS="3081.82837" FPOGD="0.64355" FPOGID="8934" FPOGV="0" LPOGX="1.10351" LPOGY="0.51940" LPOGV="1" RPOGX="0.94893" RPOGY="0.36646" RPOGV="1" BPOGX="1.02622" BPOGY="0.44293" BPOGV="1" LPCX="0.38099" LPCY="0.61286" LPD="26.98907" LPS="0.99731" LPV="1" RPCX="0.63895" RPCY="0.61916" RPD="24.10972" RPS="0.99012" RPV="1" LEYEX="-0.03039" LEYEY="-0.02343" LEYEZ="0.64536" LPUPILD="0.00562" LPUPILV="1" REYEX="0.03311" REYEY="-0.02474" REYEZ="0.64187" RPUPILD="0.00516" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55184" FPOGY="0.28640" FPOGS="3083.28247" FPOGD="0.11450" FPOGID="8938" FPOGV="1" LPOGX="0.62631" LPOGY="0.32519" LPOGV="1" RPOGX="0.45523" RPOGY="0.18503" RPOGV="1" BPOGX="0.54077" BPOGY="0.25511" BPOGV="1" LPCX="0.35556" LPCY="0.67711" LPD="29.26026" LPS="0.99332" LPV="1" RPCX="0.61060" RPCY="0.63814" RPD="26.18089" RPS="1.00859" RPV="1" LEYEX="-0.03477" LEYEY="-0.03564" LEYEZ="0.63529" LPUPILD="0.00585" LPUPILV="1" REYEX="0.02948" REYEY="-0.03051" REYEZ="0.68725" RPUPILD="0.00515" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.55124" FPOGY="0.28401" FPOGS="3083.28247" FPOGD="0.11987" FPOGID="8938" FPOGV="1" LPOGX="0.62517" LPOGY="0.30908" LPOGV="1" RPOGX="0.45546" RPOGY="0.17292" RPOGV="1" BPOGX="0.54032" BPOGY="0.24100" BPOGV="1" LPCX="0.35505" LPCY="0.67732" LPD="29.47167" LPS="1.01488" LPV="1" RPCX="0.61006" RPCY="0.63851" RPD="25.89906" RPS="1.02207" RPV="1" LEYEX="-0.03554" LEYEY="-0.03603" LEYEZ="0.63890" LPUPILD="0.00579" LPUPILV="1" REYEX="0.02734" REYEY="-0.02915" REYEZ="0.65220" RPUPILD="0.00521" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.55061" FPOGY="0.28243" FPOGS="3083.28247" FPOGD="0.12695" FPOGID="8938" FPOGV="1" LPOGX="0.62699" LPOGY="0.32599" LPOGV="1" RPOGX="0.45040" RPOGY="0.17875" RPOGV="1" BPOGX="0.53870" BPOGY="0.25237" BPOGV="1" LPCX="0.35382" LPCY="0.67788" LPD="29.36161" LPS="1.02207" LPV="1" RPCX="0.60885" RPCY="0.63922" RPD="25.88887" RPS="1.01398" RPV="1" LEYEX="-0.03554" LEYEY="-0.03603" LEYEZ="0.63890" LPUPILD="0.00584" LPUPILV="1" REYEX="0.02734" REYEY="-0.02915" REYEZ="0.65220" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.54986" FPOGY="0.28205" FPOGS="3083.28247" FPOGD="0.13330" FPOGID="8938" FPOGV="1" LPOGX="0.62312" LPOGY="0.30758" LPOGV="1" RPOGX="0.44665" RPOGY="0.24118" RPOGV="1" BPOGX="0.53488" BPOGY="0.27438" BPOGV="1" LPCX="0.35323" LPCY="0.67814" LPD="29.32395" LPS="1.01398" LPV="1" RPCX="0.60821" RPCY="0.63955" RPD="26.07459" RPS="1.00589" RPV="1" LEYEX="-0.03554" LEYEY="-0.03603" LEYEZ="0.63890" LPUPILD="0.00585" LPUPILV="1" REYEX="0.02734" REYEY="-0.02915" REYEZ="0.65220" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.54919" FPOGY="0.28184" FPOGS="3083.28247" FPOGD="0.14014" FPOGID="8938" FPOGV="1" LPOGX="0.62356" LPOGY="0.31363" LPOGV="1" RPOGX="0.44665" RPOGY="0.24118" RPOGV="1" BPOGX="0.53511" BPOGY="0.27740" BPOGV="1" LPCX="0.35277" LPCY="0.67830" LPD="29.43501" LPS="1.00589" LPV="1" RPCX="0.60768" RPCY="0.63987" RPD="26.01113" RPS="1.00589" RPV="1" LEYEX="-0.03635" LEYEY="-0.03646" LEYEZ="0.64295" LPUPILD="0.00583" LPUPILV="1" REYEX="0.02614" REYEY="-0.02881" REYEZ="0.63608" RPUPILD="0.00513" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.54904" FPOGY="0.28150" FPOGS="3083.28247" FPOGD="0.14722" FPOGID="8938" FPOGV="1" LPOGX="0.63169" LPOGY="0.32872" LPOGV="1" RPOGX="0.45968" RPOGY="0.21933" RPOGV="1" BPOGX="0.54569" BPOGY="0.27403" BPOGV="1" LPCX="0.35154" LPCY="0.67877" LPD="29.23358" LPS="1.00589" LPV="1" RPCX="0.60652" RPCY="0.64049" RPD="26.00076" RPS="1.01398" RPV="1" LEYEX="-0.03635" LEYEY="-0.03646" LEYEZ="0.64295" LPUPILD="0.00582" LPUPILV="1" REYEX="0.02614" REYEY="-0.02881" REYEZ="0.63608" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.54878" FPOGY="0.28119" FPOGS="3083.28247" FPOGD="0.15356" FPOGID="8938" FPOGV="1" LPOGX="0.63306" LPOGY="0.34986" LPOGV="1" RPOGX="0.45254" RPOGY="0.19829" RPOGV="1" BPOGX="0.54280" BPOGY="0.27407" BPOGV="1" LPCX="0.35094" LPCY="0.67894" LPD="29.39830" LPS="1.01398" LPV="1" RPCX="0.60592" RPCY="0.64088" RPD="26.06748" RPS="1.02207" RPV="1" LEYEX="-0.03635" LEYEY="-0.03646" LEYEZ="0.64295" LPUPILD="0.00581" LPUPILV="1" REYEX="0.02614" REYEY="-0.02881" REYEZ="0.63608" RPUPILD="0.00518" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.54854" FPOGY="0.28065" FPOGS="3083.28247" FPOGD="0.16016" FPOGID="8938" FPOGV="1" LPOGX="0.63269" LPOGY="0.34413" LPOGV="1" RPOGX="0.45266" RPOGY="0.19122" RPOGV="1" BPOGX="0.54268" BPOGY="0.26767" BPOGV="1" LPCX="0.35054" LPCY="0.67907" LPD="29.31364" LPS="1.02207" LPV="1" RPCX="0.60540" RPCY="0.64103" RPD="25.83678" RPS="1.03016" RPV="1" LEYEX="-0.03646" LEYEY="-0.03619" LEYEZ="0.63490" LPUPILD="0.00582" LPUPILV="1" REYEX="0.02730" REYEY="-0.03097" REYEZ="0.67915" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
<REC FPOGX="0.54899" FPOGY="0.27999" FPOGS="3083.28247" FPOGD="0.16699" FPOGID="8938" FPOGV="1" LPOGX="0.65810" LPOGY="0.33679" LPOGV="1" RPOGX="0.46284" RPOGY="0.19035" RPOGV="1" BPOGX="0.56047" BPOGY="0.26357" BPOGV="1" LPCX="0.34947" LPCY="0.67949" LPD="29.36100" LPS="1.03016" LPV="1" RPCX="0.60424" RPCY="0.64148" RPD="26.10149" RPS="1.03016" RPV="1" LEYEX="-0.03646" LEYEY="-0.03619" LEYEZ="0.63490" LPUPILD="0.00583" LPUPILV="1" REYEX="0.02730" REYEY="-0.03097" REYEZ="0.67915" RPUPILD="0.00519" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="19" />
