2025-05-28 12:15:25.433661
" REYEZ="0.64530" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.53192" FPOGY="1.09190" FPOGS="1511.55566" FPOGD="0.24756" FPOGID="2740" FPOGV="1" LPOGX="0.63716" LPOGY="1.13148" LPOGV="1" RPOGX="0.44402" RPOGY="1.04558" RPOGV="1" BPOGX="0.54059" BPOGY="1.08853" BPOGV="1" LPCX="0.21941" LPCY="0.58807" LPD="24.23691" LPS="0.96691" LPV="1" RPCX="0.49158" RPCY="0.58655" RPD="22.78936" RPS="0.96691" RPV="1" LEYEX="-0.06922" LEYEY="-0.01733" LEYEZ="0.64376" LPUPILD="0.00459" LPUPILV="1" REYEX="-0.00203" REYEY="-0.01723" REYEZ="0.64530" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.51370" FPOGY="0.94618" FPOGS="1512.61450" FPOGD="0.10645" FPOGID="2744" FPOGV="1" LPOGX="0.62620" LPOGY="1.01014" LPOGV="1" RPOGX="0.39817" RPOGY="0.89672" RPOGV="1" BPOGX="0.51219" BPOGY="0.95343" BPOGV="1" LPCX="0.19409" LPCY="0.58157" LPD="24.77382" LPS="0.94176" LPV="1" RPCX="0.46548" RPCY="0.58083" RPD="22.94855" RPS="0.94176" RPV="1" LEYEX="-0.07286" LEYEY="-0.01571" LEYEZ="0.62175" LPUPILD="0.00461" LPUPILV="1" REYEX="-0.00835" REYEY="-0.01604" REYEZ="0.63273" RPUPILD="0.00427" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51413" FPOGY="0.94543" FPOGS="1512.61450" FPOGD="0.11340" FPOGID="2744" FPOGV="1" LPOGX="0.61502" LPOGY="0.96379" LPOGV="1" RPOGX="0.42781" RPOGY="0.90155" RPOGV="1" BPOGX="0.52142" BPOGY="0.93267" BPOGV="1" LPCX="0.19439" LPCY="0.58158" LPD="24.58677" LPS="0.94176" LPV="1" RPCX="0.46572" RPCY="0.58101" RPD="22.84947" RPS="0.94176" RPV="1" LEYEX="-0.07286" LEYEY="-0.01571" LEYEZ="0.62175" LPUPILD="0.00458" LPUPILV="1" REYEX="-0.00835" REYEY="-0.01604" REYEZ="0.63273" RPUPILD="0.00426" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51451" FPOGY="0.94476" FPOGS="1512.61450" FPOGD="0.12012" FPOGID="2744" FPOGV="1" LPOGX="0.61502" LPOGY="0.96379" LPOGV="1" RPOGX="0.42781" RPOGY="0.90155" RPOGV="1" BPOGX="0.52142" BPOGY="0.93267" BPOGV="1" LPCX="0.19461" LPCY="0.58160" LPD="24.66637" LPS="0.94176" LPV="1" RPCX="0.46603" RPCY="0.58089" RPD="23.01815" RPS="0.94176" RPV="1" LEYEX="-0.07308" LEYEY="-0.01585" LEYEZ="0.62521" LPUPILD="0.00462" LPUPILV="1" REYEX="-0.00819" REYEY="-0.01610" REYEZ="0.63524" RPUPILD="0.00424" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51487" FPOGY="0.94508" FPOGS="1512.61450" FPOGD="0.12708" FPOGID="2744" FPOGV="1" LPOGX="0.63082" LPOGY="0.97006" LPOGV="1" RPOGX="0.41242" RPOGY="0.93231" RPOGV="1" BPOGX="0.52162" BPOGY="0.95119" BPOGV="1" LPCX="0.19502" LPCY="0.58168" LPD="24.67943" LPS="0.94176" LPV="1" RPCX="0.46640" RPCY="0.58106" RPD="22.86417" RPS="0.94176" RPV="1" LEYEX="-0.07308" LEYEY="-0.01585" LEYEZ="0.62521" LPUPILD="0.00457" LPUPILV="1" REYEX="-0.00819" REYEY="-0.01610" REYEZ="0.63524" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51428" FPOGY="0.94575" FPOGS="1512.61450" FPOGD="0.13342" FPOGID="2744" FPOGV="1" LPOGX="0.59908" LPOGY="0.97129" LPOGV="1" RPOGX="0.40619" RPOGY="0.94715" RPOGV="1" BPOGX="0.50264" BPOGY="0.95922" BPOGV="1" LPCX="0.19528" LPCY="0.58168" LPD="24.49630" LPS="0.94176" LPV="1" RPCX="0.46655" RPCY="0.58104" RPD="22.93453" RPS="0.94176" RPV="1" LEYEX="-0.07308" LEYEY="-0.01585" LEYEZ="0.62521" LPUPILD="0.00462" LPUPILV="1" REYEX="-0.00819" REYEY="-0.01610" REYEZ="0.63524" RPUPILD="0.00428" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51374" FPOGY="0.94633" FPOGS="1512.61450" FPOGD="0.14001" FPOGID="2744" FPOGV="1" LPOGX="0.59853" LPOGY="0.97060" LPOGV="1" RPOGX="0.40599" RPOGY="0.94618" RPOGV="1" BPOGX="0.50226" BPOGY="0.95839" BPOGV="1" LPCX="0.19554" LPCY="0.58185" LPD="24.43514" LPS="0.94805" LPV="1" RPCX="0.46687" RPCY="0.58122" RPD="23.02732" RPS="0.94805" RPV="1" LEYEX="-0.07150" LEYEY="-0.01560" LEYEZ="0.61365" LPUPILD="0.00461" LPUPILV="1" REYEX="-0.00807" REYEY="-0.01624" REYEZ="0.64078" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51358" FPOGY="0.94685" FPOGS="1512.61450" FPOGD="0.14673" FPOGID="2744" FPOGV="1" LPOGX="0.59174" LPOGY="0.96781" LPOGV="1" RPOGX="0.42828" RPOGY="0.94901" RPOGV="1" BPOGX="0.51001" BPOGY="0.95841" BPOGV="1" LPCX="0.19612" LPCY="0.58178" LPD="24.59514" LPS="0.95434" LPV="1" RPCX="0.46737" RPCY="0.58126" RPD="22.68033" RPS="0.95434" RPV="1" LEYEX="-0.07150" LEYEY="-0.01560" LEYEZ="0.61365" LPUPILD="0.00457" LPUPILV="1" REYEX="-0.00807" REYEY="-0.01624" REYEZ="0.64078" RPUPILD="0.00425" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
<REC FPOGX="0.51319" FPOGY="0.94795" FPOGS="1512.61450" FPOGD="0.15356" FPOGID="2744" FPOGV="1" LPOGX="0.61655" LPOGY="0.97928" LPOGV="1" RPOGX="0.39192" RPOGY="0.96721" RPOGV="1" BPOGX="0.50423" BPOGY="0.97324" BPOGV="1" LPCX="0.19633" LPCY="0.58181" LPD="24.31957" LPS="0.96062" LPV="1" RPCX="0.46762" RPCY="0.58128" RPD="22.82480" RPS="0.96062" RPV="1" LEYEX="-0.07150" LEYEY="-0.01560" LEYEZ="0.61365" LPUPILD="0.00459" LPUPILV="1" REYEX="-0.00807" REYEY="-0.01624" REYEZ="0.64078" RPUPILD="0.00420" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="6" />
