2025-05-28 10:37:48.843953
EYEZ="0.70708" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.56202" FPOGY="0.28290" FPOGS="1467.80420" FPOGD="0.79688" FPOGID="3718" FPOGV="1" LPOGX="0.62649" LPOGY="0.34885" LPOGV="1" RPOGX="0.49621" RPOGY="0.21898" RPOGV="1" BPOGX="0.56135" BPOGY="0.28391" BPOGV="1" LPCX="0.20523" LPCY="0.35200" LPD="27.41756" LPS="1.12463" LPV="1" RPCX="0.45539" RPCY="0.36477" RPD="24.10024" RPS="1.12463" RPV="1" LEYEX="-0.07800" LEYEY="0.03022" LEYEZ="0.68887" LPUPILD="0.00570" LPUPILV="1" REYEX="-0.01235" REYEY="0.02800" REYEZ="0.70708" RPUPILD="0.00510" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<REC FPOGX="0.56227" FPOGY="0.28212" FPOGS="1467.80420" FPOGD="0.80396" FPOGID="3718" FPOGV="1" LPOGX="0.62608" LPOGY="0.34312" LPOGV="1" RPOGX="0.49665" RPOGY="0.21206" RPOGV="1" BPOGX="0.56136" BPOGY="0.27759" BPOGV="1" LPCX="0.20544" LPCY="0.35214" LPD="27.49165" LPS="1.13359" LPV="1" RPCX="0.45565" RPCY="0.36476" RPD="23.91667" RPS="1.13359" RPV="1" LEYEX="-0.08058" LEYEY="0.03122" LEYEZ="0.71405" LPUPILD="0.00575" LPUPILV="1" REYEX="-0.01202" REYEY="0.02772" REYEZ="0.69995" RPUPILD="0.00509" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="29" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.73169" LPOGY="1.31645" LPOGV="0" RPOGX="0.41238" RPOGY="0.56807" RPOGV="0" BPOGX="0.73169" BPOGY="1.31645" BPOGV="0" LPCX="0.34480" LPCY="0.40267" LPD="9.28223" LPS="1.16046" LPV="0" RPCX="0.57914" RPCY="0.38969" RPD="17.45556" RPS="1.16046" RPV="0" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00302" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00518" RPUPILV="1" BKID="365" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.73169" LPOGY="1.31645" LPOGV="0" RPOGX="0.41238" RPOGY="0.56807" RPOGV="0" BPOGX="0.73169" BPOGY="1.31645" BPOGV="0" LPCX="0.34480" LPCY="0.40267" LPD="9.28223" LPS="1.16046" LPV="0" RPCX="0.57914" RPCY="0.38969" RPD="17.45556" RPS="1.16046" RPV="0" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00302" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00518" RPUPILV="1" BKID="365" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.73169" LPOGY="1.31645" LPOGV="0" RPOGX="0.41238" RPOGY="0.56807" RPOGV="0" BPOGX="0.73169" BPOGY="1.31645" BPOGV="0" LPCX="0.34480" LPCY="0.40267" LPD="9.28223" LPS="1.16046" LPV="0" RPCX="0.57914" RPCY="0.38969" RPD="17.45556" RPS="1.16046" RPV="0" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00302" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00518" RPUPILV="1" BKID="365" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.73169" LPOGY="1.31645" LPOGV="0" RPOGX="0.41238" RPOGY="0.56807" RPOGV="0" BPOGX="0.73169" BPOGY="1.31645" BPOGV="0" LPCX="0.34480" LPCY="0.40267" LPD="9.28223" LPS="1.16046" LPV="0" RPCX="0.57914" RPCY="0.38969" RPD="17.45556" RPS="1.16046" RPV="0" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00302" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00518" RPUPILV="1" BKID="365" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.73169" LPOGY="1.31645" LPOGV="0" RPOGX="0.41238" RPOGY="0.56807" RPOGV="0" BPOGX="0.73169" BPOGY="1.31645" BPOGV="0" LPCX="0.34480" LPCY="0.40267" LPD="9.28223" LPS="1.16046" LPV="0" RPCX="0.57914" RPCY="0.38969" RPD="17.45556" RPS="1.16046" RPV="0" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00302" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00518" RPUPILV="1" BKID="365" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.73169" LPOGY="1.31645" LPOGV="0" RPOGX="0.41238" RPOGY="0.56807" RPOGV="0" BPOGX="0.73169" BPOGY="1.31645" BPOGV="0" LPCX="0.34480" LPCY="0.40267" LPD="9.28223" LPS="1.16046" LPV="0" RPCX="0.57914" RPCY="0.38969" RPD="17.45556" RPS="1.16046" RPV="0" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00302" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00518" RPUPILV="1" BKID="365" BKDUR="0.00000" BKPMIN="27" />
<REC FPOGX="0.27980" FPOGY="0.13843" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.63173" LPOGY="0.26917" LPOGV="1" RPOGX="0.48745" RPOGY="0.28453" RPOGV="1" BPOGX="0.55959" BPOGY="0.27685" BPOGV="1" LPCX="0.37894" LPCY="0.38236" LPD="25.02459" LPS="1.16046" LPV="1" RPCX="0.62025" RPCY="0.37126" RPD="23.54290" RPS="1.16046" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00573" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.11167" BKPMIN="28" />
<REC FPOGX="0.37567" FPOGY="0.18925" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.65880" LPOGY="0.30751" LPOGV="1" RPOGX="0.47604" RPOGY="0.27432" RPOGV="1" BPOGX="0.56742" BPOGY="0.29091" BPOGV="1" LPCX="0.38085" LPCY="0.38138" LPD="23.85661" LPS="1.16046" LPV="1" RPCX="0.62207" RPCY="0.37110" RPD="23.93291" RPS="1.16046" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00579" LPUPILV="1" REYEX="0.02062" REYEY="0.02280" REYEZ="0.70687" RPUPILD="0.00536" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.56474" FPOGY="0.28933" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.65897" LPOGY="0.31342" LPOGV="1" RPOGX="0.47546" RPOGY="0.28705" RPOGV="1" BPOGX="0.56721" BPOGY="0.30024" BPOGV="1" LPCX="0.38122" LPCY="0.38193" LPD="25.25984" LPS="1.15150" LPV="1" RPCX="0.62271" RPCY="0.37149" RPD="24.86805" RPS="1.14234" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00573" LPUPILV="1" REYEX="0.03197" REYEY="0.02527" REYEZ="0.67244" RPUPILD="0.00535" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.57137" FPOGY="0.27913" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.65340" LPOGY="0.34569" LPOGV="1" RPOGX="0.50260" RPOGY="0.19218" RPOGV="1" BPOGX="0.57800" BPOGY="0.26894" BPOGV="1" LPCX="0.38433" LPCY="0.38135" LPD="25.47620" LPS="1.13338" LPV="1" RPCX="0.62576" RPCY="0.37166" RPD="25.42931" RPS="1.12421" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00571" LPUPILV="1" REYEX="0.03197" REYEY="0.02527" REYEZ="0.67244" RPUPILD="0.00537" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.56664" FPOGY="0.28000" FPOGS="1469.24451" FPOGD="0.14050" FPOGID="3721" FPOGV="0" LPOGX="0.64516" LPOGY="0.31675" LPOGV="1" RPOGX="0.46918" RPOGY="0.24673" RPOGV="1" BPOGX="0.55717" BPOGY="0.28174" BPOGV="1" LPCX="0.38626" LPCY="0.38047" LPD="24.21136" LPS="1.11525" LPV="1" RPCX="0.62778" RPCY="0.37166" RPD="24.80875" RPS="1.10609" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00574" LPUPILV="1" REYEX="0.03197" REYEY="0.02527" REYEZ="0.67244" RPUPILD="0.00545" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.56431" FPOGY="0.28121" FPOGS="1469.57275" FPOGD="0.01929" FPOGID="3722" FPOGV="1" LPOGX="0.64544" LPOGY="0.32295" LPOGV="1" RPOGX="0.46918" RPOGY="0.24673" RPOGV="1" BPOGX="0.55731" BPOGY="0.28484" BPOGV="1" LPCX="0.38647" LPCY="0.38080" LPD="24.97072" LPS="1.10609" LPV="1" RPCX="0.62835" RPCY="0.37206" RPD="25.67879" RPS="1.10609" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00573" LPUPILV="1" REYEX="0.03503" REYEY="0.02621" REYEZ="0.70467" RPUPILD="0.00532" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.56314" FPOGY="0.27826" FPOGS="1469.57275" FPOGD="0.02625" FPOGID="3722" FPOGV="1" LPOGX="0.65133" LPOGY="0.32103" LPOGV="1" RPOGX="0.46557" RPOGY="0.21186" RPOGV="1" BPOGX="0.55845" BPOGY="0.26644" BPOGV="1" LPCX="0.38974" LPCY="0.38038" LPD="25.03163" LPS="1.11504" LPV="1" RPCX="0.63153" RPCY="0.37269" RPD="25.82736" RPS="1.12421" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00574" LPUPILV="1" REYEX="0.03503" REYEY="0.02621" REYEZ="0.70467" RPUPILD="0.00540" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.56400" FPOGY="0.27390" FPOGS="1469.57275" FPOGD="0.03284" FPOGID="3722" FPOGV="1" LPOGX="0.63700" LPOGY="0.31444" LPOGV="1" RPOGX="0.49967" RPOGY="0.18977" RPOGV="1" BPOGX="0.56834" BPOGY="0.25210" BPOGV="1" LPCX="0.39155" LPCY="0.37995" LPD="24.73423" LPS="1.13317" LPV="1" RPCX="0.63361" RPCY="0.37294" RPD="25.07735" RPS="1.14234" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00573" LPUPILV="1" REYEX="0.03503" REYEY="0.02621" REYEZ="0.70467" RPUPILD="0.00539" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.56469" FPOGY="0.26726" FPOGS="1469.57275" FPOGD="0.03967" FPOGID="3722" FPOGV="1" LPOGX="0.63594" LPOGY="0.29556" LPOGV="1" RPOGX="0.50168" RPOGY="0.15925" RPOGV="1" BPOGX="0.56881" BPOGY="0.22741" BPOGV="1" LPCX="0.39200" LPCY="0.38022" LPD="25.55895" LPS="1.16153" LPV="1" RPCX="0.63411" RPCY="0.37325" RPD="25.63561" RPS="1.18118" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00569" LPUPILV="1" REYEX="0.03805" REYEY="0.02706" REYEZ="0.73336" RPUPILD="0.00534" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
<REC FPOGX="0.56523" FPOGY="0.26551" FPOGS="1469.57275" FPOGD="0.04663" FPOGID="3722" FPOGV="1" LPOGX="0.63679" LPOGY="0.31243" LPOGV="1" RPOGX="0.50117" RPOGY="0.19405" RPOGV="1" BPOGX="0.56898" BPOGY="0.25324" BPOGV="1" LPCX="0.39498" LPCY="0.37975" LPD="25.20750" LPS="1.19141" LPV="1" RPCX="0.63731" RPCY="0.37392" RPD="25.91176" RPS="1.20189" RPV="1" LEYEX="-0.05745" LEYEY="0.01717" LEYEZ="0.69592" LPUPILD="0.00572" LPUPILV="1" REYEX="0.03805" REYEY="0.02706" REYEZ="0.73336" RPUPILD="0.00533" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="28" />
