2025-05-26 11:40:30.275409
" REYEZ="0.65042" RPUPILD="0.00392" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.53723" FPOGY="0.27030" FPOGS="4857.89844" FPOGD="0.19434" FPOGID="10847" FPOGV="1" LPOGX="0.57419" LPOGY="0.28370" LPOGV="1" RPOGX="0.52463" RPOGY="0.25852" RPOGV="1" BPOGX="0.54941" BPOGY="0.27111" BPOGV="1" LPCX="0.38908" LPCY="0.61664" LPD="19.79832" LPS="0.96879" LPV="1" RPCX="0.64490" RPCY="0.61475" RPD="19.52112" RPS="0.96879" RPV="1" LEYEX="-0.02669" LEYEY="-0.02421" LEYEZ="0.63791" LPUPILD="0.00397" LPUPILV="1" REYEX="0.03589" REYEY="-0.02434" REYEZ="0.65042" RPUPILD="0.00404" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56643" FPOGY="0.31232" FPOGS="4860.52490" FPOGD="0.48145" FPOGID="10856" FPOGV="1" LPOGX="0.58903" LPOGY="0.34968" LPOGV="1" RPOGX="0.55256" RPOGY="0.28222" RPOGV="1" BPOGX="0.57080" BPOGY="0.31595" BPOGV="1" LPCX="0.38143" LPCY="0.62360" LPD="21.74177" LPS="0.96879" LPV="1" RPCX="0.63864" RPCY="0.61855" RPD="20.95547" RPS="0.96879" RPV="1" LEYEX="-0.02849" LEYEY="-0.02537" LEYEZ="0.63338" LPUPILD="0.00437" LPUPILV="1" REYEX="0.03383" REYEY="-0.02478" REYEZ="0.64271" RPUPILD="0.00437" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56623" FPOGY="0.31255" FPOGS="4860.52490" FPOGD="0.48828" FPOGID="10856" FPOGV="1" LPOGX="0.57450" LPOGY="0.35874" LPOGV="1" RPOGX="0.54611" RPOGY="0.29625" RPOGV="1" BPOGX="0.56031" BPOGY="0.32749" BPOGV="1" LPCX="0.38141" LPCY="0.62392" LPD="21.66428" LPS="0.96879" LPV="1" RPCX="0.63862" RPCY="0.61854" RPD="20.93820" RPS="0.96879" RPV="1" LEYEX="-0.02849" LEYEY="-0.02537" LEYEZ="0.63338" LPUPILD="0.00438" LPUPILV="1" REYEX="0.03383" REYEY="-0.02478" REYEZ="0.64271" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56602" FPOGY="0.31299" FPOGS="4860.52490" FPOGD="0.49609" FPOGID="10856" FPOGV="1" LPOGX="0.57517" LPOGY="0.36328" LPOGV="1" RPOGX="0.54475" RPOGY="0.30659" RPOGV="1" BPOGX="0.55996" BPOGY="0.33494" BPOGV="1" LPCX="0.38130" LPCY="0.62403" LPD="21.64606" LPS="0.96251" LPV="1" RPCX="0.63850" RPCY="0.61863" RPD="21.00977" RPS="0.95607" RPV="1" LEYEX="-0.02829" LEYEY="-0.02519" LEYEZ="0.62786" LPUPILD="0.00441" LPUPILV="1" REYEX="0.03254" REYEY="-0.02387" REYEZ="0.61916" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56593" FPOGY="0.31273" FPOGS="4860.52490" FPOGD="0.50195" FPOGID="10856" FPOGV="1" LPOGX="0.56162" LPOGY="0.33225" LPOGV="1" RPOGX="0.56111" RPOGY="0.32332" RPOGV="1" BPOGX="0.56136" BPOGY="0.32779" BPOGV="1" LPCX="0.38110" LPCY="0.62413" LPD="21.95285" LPS="0.94979" LPV="1" RPCX="0.63839" RPCY="0.61881" RPD="21.29890" RPS="0.94335" RPV="1" LEYEX="-0.02829" LEYEY="-0.02519" LEYEZ="0.62786" LPUPILD="0.00438" LPUPILV="1" REYEX="0.03254" REYEY="-0.02387" REYEZ="0.61916" RPUPILD="0.00438" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56580" FPOGY="0.31309" FPOGS="4860.52490" FPOGD="0.50830" FPOGID="10856" FPOGV="1" LPOGX="0.58924" LPOGY="0.35294" LPOGV="1" RPOGX="0.54841" RPOGY="0.32300" RPOGV="1" BPOGX="0.56883" BPOGY="0.33797" BPOGV="1" LPCX="0.38106" LPCY="0.62412" LPD="22.07928" LPS="0.93707" LPV="1" RPCX="0.63838" RPCY="0.61882" RPD="21.23759" RPS="0.93064" RPV="1" LEYEX="-0.02829" LEYEY="-0.02519" LEYEZ="0.62786" LPUPILD="0.00438" LPUPILV="1" REYEX="0.03254" REYEY="-0.02387" REYEZ="0.61916" RPUPILD="0.00440" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56566" FPOGY="0.31359" FPOGS="4860.52490" FPOGD="0.51465" FPOGID="10856" FPOGV="1" LPOGX="0.58984" LPOGY="0.35780" LPOGV="1" RPOGX="0.54768" RPOGY="0.32826" RPOGV="1" BPOGX="0.56876" BPOGY="0.34303" BPOGV="1" LPCX="0.38102" LPCY="0.62413" LPD="21.83549" LPS="0.93064" LPV="1" RPCX="0.63820" RPCY="0.61879" RPD="21.07743" RPS="0.92420" RPV="1" LEYEX="-0.02875" LEYEY="-0.02551" LEYEZ="0.63698" LPUPILD="0.00440" LPUPILV="1" REYEX="0.03281" REYEY="-0.02413" REYEZ="0.62600" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56561" FPOGY="0.31430" FPOGS="4860.52490" FPOGD="0.52148" FPOGID="10856" FPOGV="1" LPOGX="0.56120" LPOGY="0.37442" LPOGV="1" RPOGX="0.55700" RPOGY="0.30412" RPOGV="1" BPOGX="0.55910" BPOGY="0.33927" BPOGV="1" LPCX="0.38075" LPCY="0.62392" LPD="21.76495" LPS="0.93049" LPV="1" RPCX="0.63796" RPCY="0.61867" RPD="21.07519" RPS="0.93049" RPV="1" LEYEX="-0.02875" LEYEY="-0.02551" LEYEZ="0.63698" LPUPILD="0.00442" LPUPILV="1" REYEX="0.03281" REYEY="-0.02413" REYEZ="0.62600" RPUPILD="0.00439" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
<REC FPOGX="0.56548" FPOGY="0.31461" FPOGS="4860.52490" FPOGD="0.52832" FPOGID="10856" FPOGV="1" LPOGX="0.58176" LPOGY="0.36250" LPOGV="1" RPOGX="0.54431" RPOGY="0.26964" RPOGV="1" BPOGX="0.56304" BPOGY="0.31607" BPOGV="1" LPCX="0.38069" LPCY="0.62367" LPD="21.85137" LPS="0.93678" LPV="1" RPCX="0.63779" RPCY="0.61839" RPD="20.94375" RPS="0.93678" RPV="1" LEYEX="-0.02875" LEYEY="-0.02551" LEYEZ="0.63698" LPUPILD="0.00438" LPUPILV="1" REYEX="0.03281" REYEY="-0.02413" REYEZ="0.62600" RPUPILD="0.00436" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="3" />
