2025-05-27 11:59:38.253212
" REYEZ="0.65720" RPUPILD="0.00335" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.57324" FPOGY="0.18254" FPOGS="6497.36328" FPOGD="0.04736" FPOGID="17988" FPOGV="1" LPOGX="0.60751" LPOGY="0.25849" LPOGV="1" RPOGX="0.57299" RPOGY="0.10658" RPOGV="1" BPOGX="0.59025" BPOGY="0.18253" BPOGV="1" LPCX="0.34530" LPCY="0.73547" LPD="15.36251" LPS="1.08423" LPV="1" RPCX="0.58459" RPCY="0.72669" RPD="14.45144" RPS="1.07614" RPV="1" LEYEX="-0.04009" LEYEY="-0.05048" LEYEZ="0.67855" LPUPILD="0.00324" LPUPILV="1" REYEX="0.02104" REYEY="-0.04722" REYEZ="0.65720" RPUPILD="0.00332" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.58617" FPOGY="0.20337" FPOGS="6497.73828" FPOGD="0.58984" FPOGID="17989" FPOGV="1" LPOGX="0.57592" LPOGY="0.24894" LPOGV="1" RPOGX="0.56394" RPOGY="0.21391" RPOGV="1" BPOGX="0.56993" BPOGY="0.23143" BPOGV="1" LPCX="0.34190" LPCY="0.73531" LPD="16.82841" LPS="1.07777" LPV="1" RPCX="0.58211" RPCY="0.72556" RPD="16.51754" RPS="1.06860" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00372" LPUPILV="1" REYEX="0.02119" REYEY="-0.04885" REYEZ="0.68277" RPUPILD="0.00341" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.58564" FPOGY="0.20258" FPOGS="6497.73828" FPOGD="0.59619" FPOGID="17989" FPOGV="1" LPOGX="0.57664" LPOGY="0.23460" LPOGV="1" RPOGX="0.56075" RPOGY="0.13193" RPOGV="1" BPOGX="0.56869" BPOGY="0.18327" BPOGV="1" LPCX="0.34190" LPCY="0.73531" LPD="16.82841" LPS="1.07651" LPV="1" RPCX="0.58208" RPCY="0.72553" RPD="16.17510" RPS="1.07651" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00372" LPUPILV="1" REYEX="0.02119" REYEY="-0.04885" REYEZ="0.68277" RPUPILD="0.00346" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.58537" FPOGY="0.20268" FPOGS="6497.73828" FPOGD="0.60303" FPOGID="17989" FPOGV="1" LPOGX="0.57553" LPOGY="0.24644" LPOGV="1" RPOGX="0.56094" RPOGY="0.17665" RPOGV="1" BPOGX="0.56823" BPOGY="0.21154" BPOGV="1" LPCX="0.34187" LPCY="0.73526" LPD="16.89938" LPS="1.08441" LPV="1" RPCX="0.58211" RPCY="0.72555" RPD="15.98881" RPS="1.08441" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00375" LPUPILV="1" REYEX="0.02119" REYEY="-0.04885" REYEZ="0.68277" RPUPILD="0.00346" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.58510" FPOGY="0.20264" FPOGS="6497.73828" FPOGD="0.60938" FPOGID="17989" FPOGV="1" LPOGX="0.57480" LPOGY="0.24054" LPOGV="1" RPOGX="0.56179" RPOGY="0.17005" RPOGV="1" BPOGX="0.56829" BPOGY="0.20529" BPOGV="1" LPCX="0.34187" LPCY="0.73526" LPD="16.89938" LPS="1.09232" LPV="1" RPCX="0.58205" RPCY="0.72556" RPD="15.84810" RPS="1.09232" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00375" LPUPILV="1" REYEX="0.02119" REYEY="-0.04885" REYEZ="0.68277" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.58518" FPOGY="0.20254" FPOGS="6497.73828" FPOGD="0.61621" FPOGID="17989" FPOGV="1" LPOGX="0.58284" LPOGY="0.24883" LPOGV="1" RPOGX="0.57245" RPOGY="0.11380" RPOGV="1" BPOGX="0.57764" BPOGY="0.18131" BPOGV="1" LPCX="0.34190" LPCY="0.73533" LPD="16.90507" LPS="1.09232" LPV="1" RPCX="0.58205" RPCY="0.72556" RPD="15.84810" RPS="1.09232" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00371" LPUPILV="1" REYEX="0.02119" REYEY="-0.04885" REYEZ="0.68277" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.58488" FPOGY="0.20208" FPOGS="6497.73828" FPOGD="0.62305" FPOGID="17989" FPOGV="1" LPOGX="0.57859" LPOGY="0.24510" LPOGV="1" RPOGX="0.57730" RPOGY="0.11929" RPOGV="1" BPOGX="0.57794" BPOGY="0.18219" BPOGV="1" LPCX="0.34190" LPCY="0.73533" LPD="16.90507" LPS="1.09232" LPV="1" RPCX="0.58203" RPCY="0.72558" RPD="15.84956" RPS="1.09232" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00371" LPUPILV="1" REYEX="0.02119" REYEY="-0.04885" REYEZ="0.68277" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.58457" FPOGY="0.20170" FPOGS="6497.73828" FPOGD="0.62988" FPOGID="17989" FPOGV="1" LPOGX="0.57859" LPOGY="0.24510" LPOGV="1" RPOGX="0.57730" RPOGY="0.11929" RPOGV="1" BPOGX="0.57794" BPOGY="0.18219" BPOGV="1" LPCX="0.34190" LPCY="0.73533" LPD="16.90507" LPS="1.09232" LPV="1" RPCX="0.58211" RPCY="0.72558" RPD="15.96590" RPS="1.09232" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00371" LPUPILV="1" REYEX="0.02087" REYEY="-0.04816" REYEZ="0.67235" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.58404" FPOGY="0.20121" FPOGS="6497.73828" FPOGD="0.63721" FPOGID="17989" FPOGV="1" LPOGX="0.58320" LPOGY="0.24996" LPOGV="1" RPOGX="0.54092" RPOGY="0.07786" RPOGV="1" BPOGX="0.56206" BPOGY="0.16391" BPOGV="1" LPCX="0.34190" LPCY="0.73533" LPD="16.97536" LPS="1.09232" LPV="1" RPCX="0.58218" RPCY="0.72562" RPD="16.21469" RPS="1.09232" RPV="1" LEYEX="-0.04113" LEYEY="-0.05076" LEYEZ="0.68231" LPUPILD="0.00371" LPUPILV="1" REYEX="0.02087" REYEY="-0.04816" REYEZ="0.67235" RPUPILD="0.00347" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
