2025-07-15 11:38:27.431031
EYEZ="0.59118" RPUPILD="0.00498" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55998" FPOGY="0.35565" FPOGS="116.04082" FPOGD="0.78880" FPOGID="347" FPOGV="1" LPOGX="0.59983" LPOGY="0.37128" LPOGV="1" RPOGX="0.52235" RPOGY="0.33119" RPOGV="1" BPOGX="0.56109" BPOGY="0.35124" BPOGV="1" LPCX="0.19117" LPCY="0.67732" LPD="22.48658" LPS="0.84905" LPV="1" RPCX="0.45453" RPCY="0.65285" RPD="22.72172" RPS="0.84905" RPV="1" LEYEX="-0.07086" LEYEY="-0.03413" LEYEZ="0.60197" LPUPILD="0.00474" LPUPILV="1" REYEX="-0.01059" REYEY="-0.02909" REYEZ="0.59118" RPUPILD="0.00517" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.55989" FPOGY="0.35562" FPOGS="116.04082" FPOGD="0.79554" FPOGID="347" FPOGV="1" LPOGX="0.60030" LPOGY="0.37546" LPOGV="1" RPOGX="0.52185" RPOGY="0.33574" RPOGV="1" BPOGX="0.56108" BPOGY="0.35560" BPOGV="1" LPCX="0.19113" LPCY="0.67729" LPD="23.14805" LPS="0.84393" LPV="1" RPCX="0.45405" RPCY="0.65295" RPD="22.81885" RPS="0.84393" RPV="1" LEYEX="-0.07007" LEYEY="-0.03364" LEYEZ="0.59336" LPUPILD="0.00473" LPUPILV="1" REYEX="-0.01003" REYEY="-0.02683" REYEZ="0.54621" RPUPILD="0.00507" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="117.15121" FPOGD="0.40154" FPOGID="348" FPOGV="0" LPOGX="0.56244" LPOGY="0.73702" LPOGV="0" RPOGX="0.52479" RPOGY="0.64361" RPOGV="0" BPOGX="0.56244" BPOGY="0.73702" BPOGV="0" LPCX="0.18844" LPCY="0.67992" LPD="13.85251" LPS="0.82857" LPV="0" RPCX="0.45132" RPCY="0.65420" RPD="16.95651" RPS="0.82857" RPV="0" LEYEX="-0.07008" LEYEY="-0.03340" LEYEZ="0.58899" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.01146" REYEY="-0.02873" REYEZ="0.59022" RPUPILD="0.00464" RPUPILV="1" BKID="24" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="117.15121" FPOGD="0.40154" FPOGID="348" FPOGV="0" LPOGX="0.56244" LPOGY="0.73702" LPOGV="0" RPOGX="0.52479" RPOGY="0.64361" RPOGV="0" BPOGX="0.56244" BPOGY="0.73702" BPOGV="0" LPCX="0.18844" LPCY="0.67992" LPD="13.85251" LPS="0.82857" LPV="0" RPCX="0.45132" RPCY="0.65420" RPD="16.95651" RPS="0.82857" RPV="0" LEYEX="-0.07008" LEYEY="-0.03340" LEYEZ="0.58899" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.01146" REYEY="-0.02873" REYEZ="0.59022" RPUPILD="0.00464" RPUPILV="1" BKID="24" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="117.15121" FPOGD="0.40154" FPOGID="348" FPOGV="0" LPOGX="0.56244" LPOGY="0.73702" LPOGV="0" RPOGX="0.52479" RPOGY="0.64361" RPOGV="0" BPOGX="0.56244" BPOGY="0.73702" BPOGV="0" LPCX="0.18844" LPCY="0.67992" LPD="13.85251" LPS="0.82857" LPV="0" RPCX="0.45132" RPCY="0.65420" RPD="16.95651" RPS="0.82857" RPV="0" LEYEX="-0.07008" LEYEY="-0.03340" LEYEZ="0.58899" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.01146" REYEY="-0.02873" REYEZ="0.59022" RPUPILD="0.00464" RPUPILV="1" BKID="24" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="117.15121" FPOGD="0.40154" FPOGID="348" FPOGV="0" LPOGX="0.56244" LPOGY="0.73702" LPOGV="0" RPOGX="0.52479" RPOGY="0.64361" RPOGV="0" BPOGX="0.56244" BPOGY="0.73702" BPOGV="0" LPCX="0.18844" LPCY="0.67992" LPD="13.85251" LPS="0.82857" LPV="0" RPCX="0.45132" RPCY="0.65420" RPD="16.95651" RPS="0.82857" RPV="0" LEYEX="-0.07008" LEYEY="-0.03340" LEYEZ="0.58899" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.01146" REYEY="-0.02873" REYEZ="0.59022" RPUPILD="0.00464" RPUPILV="1" BKID="24" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="117.15121" FPOGD="0.40154" FPOGID="348" FPOGV="0" LPOGX="0.56244" LPOGY="0.73702" LPOGV="0" RPOGX="0.52479" RPOGY="0.64361" RPOGV="0" BPOGX="0.56244" BPOGY="0.73702" BPOGV="0" LPCX="0.18844" LPCY="0.67992" LPD="13.85251" LPS="0.82857" LPV="0" RPCX="0.45132" RPCY="0.65420" RPD="16.95651" RPS="0.82857" RPV="0" LEYEX="-0.07008" LEYEY="-0.03340" LEYEZ="0.58899" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.01146" REYEY="-0.02873" REYEZ="0.59022" RPUPILD="0.00464" RPUPILV="1" BKID="24" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="117.15121" FPOGD="0.40154" FPOGID="348" FPOGV="0" LPOGX="0.56244" LPOGY="0.73702" LPOGV="0" RPOGX="0.52479" RPOGY="0.64361" RPOGV="0" BPOGX="0.56244" BPOGY="0.73702" BPOGV="0" LPCX="0.18844" LPCY="0.67992" LPD="13.85251" LPS="0.82857" LPV="0" RPCX="0.45132" RPCY="0.65420" RPD="16.95651" RPS="0.82857" RPV="0" LEYEX="-0.07008" LEYEY="-0.03340" LEYEZ="0.58899" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.01146" REYEY="-0.02873" REYEZ="0.59022" RPUPILD="0.00464" RPUPILV="1" BKID="24" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.00000" FPOGY="0.00000" FPOGS="117.15121" FPOGD="0.40154" FPOGID="348" FPOGV="0" LPOGX="0.56244" LPOGY="0.73702" LPOGV="0" RPOGX="0.52479" RPOGY="0.64361" RPOGV="0" BPOGX="0.56244" BPOGY="0.73702" BPOGV="0" LPCX="0.18844" LPCY="0.67992" LPD="13.85251" LPS="0.82857" LPV="0" RPCX="0.45132" RPCY="0.65420" RPD="16.95651" RPS="0.82857" RPV="0" LEYEX="-0.07008" LEYEY="-0.03340" LEYEZ="0.58899" LPUPILD="0.00412" LPUPILV="1" REYEX="-0.01146" REYEY="-0.02873" REYEZ="0.59022" RPUPILD="0.00464" RPUPILV="1" BKID="24" BKDUR="0.00000" BKPMIN="11" />
