2025-07-15 11:39:28.387185
EZ="0.59928" RPUPILD="0.00551" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.54328" FPOGY="0.34648" FPOGS="177.16913" FPOGD="0.62302" FPOGID="556" FPOGV="1" LPOGX="0.56965" LPOGY="0.37071" LPOGV="1" RPOGX="0.50885" RPOGY="0.36426" RPOGV="1" BPOGX="0.53925" BPOGY="0.36749" BPOGV="1" LPCX="0.25649" LPCY="0.62093" LPD="23.33072" LPS="0.82857" LPV="1" RPCX="0.50962" RPCY="0.67685" RPD="25.90270" RPS="0.82857" RPV="1" LEYEX="-0.05544" LEYEY="-0.02353" LEYEZ="0.59200" LPUPILD="0.00493" LPUPILV="1" REYEX="0.00157" REYEY="-0.03389" REYEZ="0.59928" RPUPILD="0.00541" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.56542" FPOGY="0.35011" FPOGS="178.60588" FPOGD="0.09772" FPOGID="557" FPOGV="1" LPOGX="0.56861" LPOGY="0.33292" LPOGV="1" RPOGX="0.51951" RPOGY="0.33053" RPOGV="1" BPOGX="0.54406" BPOGY="0.33172" BPOGV="1" LPCX="0.20794" LPCY="0.62686" LPD="23.29513" LPS="0.85952" LPV="1" RPCX="0.46436" RPCY="0.65102" RPD="23.42108" RPS="0.85428" RPV="1" LEYEX="-0.06751" LEYEY="-0.02498" LEYEZ="0.61005" LPUPILD="0.00485" LPUPILV="1" REYEX="-0.00805" REYEY="-0.02941" REYEZ="0.59951" RPUPILD="0.00512" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.56418" FPOGY="0.34916" FPOGS="178.60588" FPOGD="0.10336" FPOGID="557" FPOGV="1" LPOGX="0.56927" LPOGY="0.33733" LPOGV="1" RPOGX="0.51951" RPOGY="0.33053" RPOGV="1" BPOGX="0.54439" BPOGY="0.33393" BPOGV="1" LPCX="0.20773" LPCY="0.62644" LPD="22.42856" LPS="0.85428" LPV="1" RPCX="0.46409" RPCY="0.65125" RPD="24.03410" RPS="0.85428" RPV="1" LEYEX="-0.06837" LEYEY="-0.02527" LEYEZ="0.61039" LPUPILD="0.00482" LPUPILV="1" REYEX="-0.00891" REYEY="-0.02985" REYEZ="0.61223" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.56314" FPOGY="0.34707" FPOGS="178.60588" FPOGD="0.11107" FPOGID="557" FPOGV="1" LPOGX="0.56410" LPOGY="0.32843" LPOGV="1" RPOGX="0.52666" RPOGY="0.29474" RPOGV="1" BPOGX="0.54538" BPOGY="0.31158" BPOGV="1" LPCX="0.20576" LPCY="0.62789" LPD="22.64379" LPS="0.85428" LPV="1" RPCX="0.46245" RPCY="0.65107" RPD="24.15557" RPS="0.85952" RPV="1" LEYEX="-0.06837" LEYEY="-0.02527" LEYEZ="0.61039" LPUPILD="0.00487" LPUPILV="1" REYEX="-0.00891" REYEY="-0.02985" REYEZ="0.61223" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.56342" FPOGY="0.34521" FPOGS="178.60588" FPOGD="0.11765" FPOGID="557" FPOGV="1" LPOGX="0.59865" LPOGY="0.34625" LPOGV="1" RPOGX="0.53823" RPOGY="0.27718" RPOGV="1" BPOGX="0.56844" BPOGY="0.31171" BPOGV="1" LPCX="0.20479" LPCY="0.62885" LPD="23.04925" LPS="0.85952" LPV="1" RPCX="0.46143" RPCY="0.65130" RPD="24.58990" RPS="0.86476" RPV="1" LEYEX="-0.06837" LEYEY="-0.02527" LEYEZ="0.61039" LPUPILD="0.00483" LPUPILV="1" REYEX="-0.00891" REYEY="-0.02985" REYEZ="0.61223" RPUPILD="0.00522" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.56367" FPOGY="0.34330" FPOGS="178.60588" FPOGD="0.12407" FPOGID="557" FPOGV="1" LPOGX="0.59817" LPOGY="0.34188" LPOGV="1" RPOGX="0.53881" RPOGY="0.27229" RPOGV="1" BPOGX="0.56849" BPOGY="0.30708" BPOGV="1" LPCX="0.20467" LPCY="0.62854" LPD="22.39321" LPS="0.86476" LPV="1" RPCX="0.46121" RPCY="0.65111" RPD="24.17808" RPS="0.87000" RPV="1" LEYEX="-0.06886" LEYEY="-0.02555" LEYEZ="0.60824" LPUPILD="0.00485" LPUPILV="1" REYEX="-0.00953" REYEY="-0.02951" REYEZ="0.60531" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.56298" FPOGY="0.34193" FPOGS="178.60588" FPOGD="0.13022" FPOGID="557" FPOGV="1" LPOGX="0.57111" LPOGY="0.35229" LPOGV="1" RPOGX="0.52733" RPOGY="0.27657" RPOGV="1" BPOGX="0.54922" BPOGY="0.31443" BPOGV="1" LPCX="0.20221" LPCY="0.63015" LPD="22.31585" LPS="0.87000" LPV="1" RPCX="0.45931" RPCY="0.65111" RPD="24.26025" RPS="0.87000" RPV="1" LEYEX="-0.06886" LEYEY="-0.02555" LEYEZ="0.60824" LPUPILD="0.00493" LPUPILV="1" REYEX="-0.00953" REYEY="-0.02951" REYEZ="0.60531" RPUPILD="0.00513" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.56277" FPOGY="0.34053" FPOGS="178.60588" FPOGD="0.13777" FPOGID="557" FPOGV="1" LPOGX="0.58162" LPOGY="0.33816" LPOGV="1" RPOGX="0.53477" RPOGY="0.28428" RPOGV="1" BPOGX="0.55819" BPOGY="0.31122" BPOGV="1" LPCX="0.20140" LPCY="0.63101" LPD="22.71918" LPS="0.87000" LPV="1" RPCX="0.45832" RPCY="0.65132" RPD="24.66028" RPS="0.87000" RPV="1" LEYEX="-0.06886" LEYEY="-0.02555" LEYEZ="0.60824" LPUPILD="0.00490" LPUPILV="1" REYEX="-0.00953" REYEY="-0.02951" REYEZ="0.60531" RPUPILD="0.00520" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
<REC FPOGX="0.56257" FPOGY="0.33945" FPOGS="178.60588" FPOGD="0.14426" FPOGID="557" FPOGV="1" LPOGX="0.58218" LPOGY="0.34241" LPOGV="1" RPOGX="0.53422" RPOGY="0.28899" RPOGV="1" BPOGX="0.55820" BPOGY="0.31570" BPOGV="1" LPCX="0.20130" LPCY="0.63104" LPD="22.86721" LPS="0.86488" LPV="1" RPCX="0.45808" RPCY="0.65113" RPD="24.25365" RPS="0.86488" RPV="1" LEYEX="-0.06816" LEYEY="-0.02550" LEYEZ="0.59537" LPUPILD="0.00479" LPUPILV="1" REYEX="-0.01028" REYEY="-0.02958" REYEZ="0.60678" RPUPILD="0.00514" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="11" />
