2025-07-08 12:48:34.604562
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.60576" FPOGY="0.21524" FPOGS="79.63467" FPOGD="0.05986" FPOGID="68" FPOGV="1" LPOGX="0.56968" LPOGY="0.20490" LPOGV="1" RPOGX="0.62902" RPOGY="0.19459" RPOGV="1" BPOGX="0.59935" BPOGY="0.19975" BPOGV="1" LPCX="0.29145" LPCY="0.45983" LPD="29.80886" LPS="0.78666" LPV="1" RPCX="0.58866" RPCY="0.46816" RPD="28.66957" RPS="0.78666" RPV="1" LEYEX="-0.19455" LEYEY="0.02425" LEYEZ="2.48671" LPUPILD="0.00508" LPUPILV="0" REYEX="0.01875" REYEY="0.00409" REYEZ="0.57375" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60525" FPOGY="0.21316" FPOGS="79.63467" FPOGD="0.06656" FPOGID="68" FPOGV="1" LPOGX="0.56911" LPOGY="0.20032" LPOGV="1" RPOGX="0.63109" RPOGY="0.18450" RPOGV="1" BPOGX="0.60010" BPOGY="0.19241" BPOGV="1" LPCX="0.29181" LPCY="0.45998" LPD="29.66918" LPS="0.79091" LPV="1" RPCX="0.58904" RPCY="0.46834" RPD="28.97601" RPS="0.79567" RPV="1" LEYEX="-0.19366" LEYEY="0.02357" LEYEZ="2.49436" LPUPILD="0.00511" LPUPILV="0" REYEX="0.01962" REYEY="0.00403" REYEZ="0.59084" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60522" FPOGY="0.21278" FPOGS="79.63467" FPOGD="0.07349" FPOGID="68" FPOGV="1" LPOGX="0.57520" LPOGY="0.22258" LPOGV="1" RPOGX="0.63460" RPOGY="0.19463" RPOGV="1" BPOGX="0.60490" BPOGY="0.20861" BPOGV="1" LPCX="0.29250" LPCY="0.46016" LPD="29.72543" LPS="0.79567" LPV="1" RPCX="0.58956" RPCY="0.46886" RPD="28.71284" RPS="0.80044" RPV="1" LEYEX="-0.19366" LEYEY="0.02357" LEYEZ="2.49436" LPUPILD="0.00513" LPUPILV="0" REYEX="0.01962" REYEY="0.00403" REYEZ="0.59084" RPUPILD="0.00502" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60435" FPOGY="0.21243" FPOGS="79.63467" FPOGD="0.07999" FPOGID="68" FPOGV="1" LPOGX="0.57823" LPOGY="0.23662" LPOGV="1" RPOGX="0.60953" RPOGY="0.17972" RPOGV="1" BPOGX="0.59388" BPOGY="0.20817" BPOGV="1" LPCX="0.29283" LPCY="0.46032" LPD="29.76113" LPS="0.80044" LPV="1" RPCX="0.58995" RPCY="0.46905" RPD="28.57867" RPS="0.80520" RPV="1" LEYEX="-0.19366" LEYEY="0.02357" LEYEZ="2.49436" LPUPILD="0.00509" LPUPILV="0" REYEX="0.01962" REYEY="0.00403" REYEZ="0.59084" RPUPILD="0.00500" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60361" FPOGY="0.21176" FPOGS="79.63467" FPOGD="0.08668" FPOGID="68" FPOGV="1" LPOGX="0.57765" LPOGY="0.23174" LPOGV="1" RPOGX="0.61049" RPOGY="0.17441" RPOGV="1" BPOGX="0.59407" BPOGY="0.20308" BPOGV="1" LPCX="0.29319" LPCY="0.46056" LPD="29.71156" LPS="0.80520" LPV="1" RPCX="0.59020" RPCY="0.46943" RPD="29.06994" RPS="0.80996" RPV="1" LEYEX="-0.19146" LEYEY="0.02344" LEYEZ="2.48062" LPUPILD="0.00511" LPUPILV="0" REYEX="0.02006" REYEY="0.00389" REYEZ="0.59602" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60323" FPOGY="0.20958" FPOGS="79.63467" FPOGD="0.09373" FPOGID="68" FPOGV="1" LPOGX="0.58576" LPOGY="0.17049" LPOGV="1" RPOGX="0.60996" RPOGY="0.18758" RPOGV="1" BPOGX="0.59786" BPOGY="0.17904" BPOGV="1" LPCX="0.29379" LPCY="0.46080" LPD="29.80886" LPS="0.80996" LPV="1" RPCX="0.59076" RPCY="0.46994" RPD="28.95158" RPS="0.80996" RPV="1" LEYEX="-0.19146" LEYEY="0.02344" LEYEZ="2.48062" LPUPILD="0.00509" LPUPILV="0" REYEX="0.02006" REYEY="0.00389" REYEZ="0.59602" RPUPILD="0.00503" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60344" FPOGY="0.20771" FPOGS="79.63467" FPOGD="0.10005" FPOGID="68" FPOGV="1" LPOGX="0.58056" LPOGY="0.18899" LPOGV="1" RPOGX="0.63265" RPOGY="0.17026" RPOGV="1" BPOGX="0.60660" BPOGY="0.17963" BPOGV="1" LPCX="0.29405" LPCY="0.46099" LPD="29.76699" LPS="0.80996" LPV="1" RPCX="0.59101" RPCY="0.47019" RPD="28.69746" RPS="0.80996" RPV="1" LEYEX="-0.19146" LEYEY="0.02344" LEYEZ="2.48062" LPUPILD="0.00513" LPUPILV="0" REYEX="0.02006" REYEY="0.00389" REYEZ="0.59602" RPUPILD="0.00499" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60359" FPOGY="0.20621" FPOGS="79.63467" FPOGD="0.10675" FPOGID="68" FPOGV="1" LPOGX="0.58056" LPOGY="0.18899" LPOGV="1" RPOGX="0.63157" RPOGY="0.17558" RPOGV="1" BPOGX="0.60607" BPOGY="0.18229" BPOGV="1" LPCX="0.29444" LPCY="0.46119" LPD="29.76713" LPS="0.80996" LPV="1" RPCX="0.59133" RPCY="0.47044" RPD="28.86109" RPS="0.80520" RPV="1" LEYEX="-0.19057" LEYEY="0.02272" LEYEZ="2.48347" LPUPILD="0.00513" LPUPILV="0" REYEX="0.01961" REYEY="0.00354" REYEZ="0.57605" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60382" FPOGY="0.20662" FPOGS="79.63467" FPOGD="0.11346" FPOGID="68" FPOGV="1" LPOGX="0.58550" LPOGY="0.23471" LPOGV="1" RPOGX="0.62972" RPOGY="0.19255" RPOGV="1" BPOGX="0.60761" BPOGY="0.21363" BPOGV="1" LPCX="0.29494" LPCY="0.46151" LPD="29.83624" LPS="0.80520" LPV="1" RPCX="0.59185" RPCY="0.47086" RPD="29.01805" RPS="0.80044" RPV="1" LEYEX="-0.19057" LEYEY="0.02272" LEYEZ="2.48347" LPUPILD="0.00513" LPUPILV="0" REYEX="0.01961" REYEY="0.00354" REYEZ="0.57605" RPUPILD="0.00501" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60376" FPOGY="0.20768" FPOGS="79.63467" FPOGD="0.12014" FPOGID="68" FPOGV="1" LPOGX="0.58235" LPOGY="0.25956" LPOGV="1" RPOGX="0.62310" RPOGY="0.19372" RPOGV="1" BPOGX="0.60272" BPOGY="0.22664" BPOGV="1" LPCX="0.29522" LPCY="0.46170" LPD="29.84048" LPS="0.80044" LPV="1" RPCX="0.59209" RPCY="0.47116" RPD="28.61452" RPS="0.79567" RPV="1" LEYEX="-0.19057" LEYEY="0.02272" LEYEZ="2.48347" LPUPILD="0.00513" LPUPILV="0" REYEX="0.01961" REYEY="0.00354" REYEZ="0.57605" RPUPILD="0.00505" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
<REC FPOGX="0.60370" FPOGY="0.20888" FPOGS="79.63467" FPOGD="0.12688" FPOGID="68" FPOGV="1" LPOGX="0.58291" LPOGY="0.26431" LPOGV="1" RPOGX="0.62205" RPOGY="0.19901" RPOGV="1" BPOGX="0.60248" BPOGY="0.23166" BPOGV="1" LPCX="0.29555" LPCY="0.46185" LPD="29.83527" LPS="0.79567" LPV="1" RPCX="0.59240" RPCY="0.47145" RPD="28.75576" RPS="0.79091" RPV="1" LEYEX="-0.19066" LEYEY="0.02212" LEYEZ="2.49898" LPUPILD="0.00514" LPUPILV="0" REYEX="0.01987" REYEY="0.00341" REYEZ="0.57621" RPUPILD="0.00504" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="9" />
