2025-07-14 10:25:33.182976
Z="0.60187" RPUPILD="0.00338" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.51806" FPOGY="0.42034" FPOGS="451.66840" FPOGD="0.60947" FPOGID="980" FPOGV="1" LPOGX="0.49982" LPOGY="0.48542" LPOGV="1" RPOGX="0.52624" RPOGY="0.38679" RPOGV="1" BPOGX="0.51303" BPOGY="0.43611" BPOGV="1" LPCX="0.32559" LPCY="0.77550" LPD="16.22722" LPS="0.86998" LPV="1" RPCX="0.57814" RPCY="0.75878" RPD="15.10316" RPS="0.86998" RPV="1" LEYEX="-0.04074" LEYEY="-0.05353" LEYEZ="0.61745" LPUPILD="0.00352" LPUPILV="1" REYEX="0.01778" REYEY="-0.04911" REYEZ="0.60187" RPUPILD="0.00343" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.52397" FPOGY="0.40137" FPOGS="452.98874" FPOGD="0.19986" FPOGID="982" FPOGV="1" LPOGX="0.51148" LPOGY="0.48758" LPOGV="1" RPOGX="0.53396" RPOGY="0.33336" RPOGV="1" BPOGX="0.52272" BPOGY="0.41047" BPOGV="1" LPCX="0.32254" LPCY="0.77538" LPD="16.19052" LPS="0.84998" LPV="1" RPCX="0.57495" RPCY="0.75843" RPD="15.71293" RPS="0.85998" RPV="1" LEYEX="-0.18037" LEYEY="-0.23762" LEYEZ="2.73603" LPUPILD="0.00365" LPUPILV="0" REYEX="0.01733" REYEY="-0.04984" REYEZ="0.61132" RPUPILD="0.00346" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.52392" FPOGY="0.40141" FPOGS="452.98874" FPOGD="0.20605" FPOGID="982" FPOGV="1" LPOGX="0.50955" LPOGY="0.48091" LPOGV="1" RPOGX="0.53504" RPOGY="0.32461" RPOGV="1" BPOGX="0.52229" BPOGY="0.40276" BPOGV="1" LPCX="0.32268" LPCY="0.77535" LPD="16.08824" LPS="0.85998" LPV="1" RPCX="0.57524" RPCY="0.75857" RPD="15.53383" RPS="0.86998" RPV="1" LEYEX="-0.17837" LEYEY="-0.23536" LEYEZ="2.71228" LPUPILD="0.00365" LPUPILV="0" REYEX="0.01733" REYEY="-0.04984" REYEZ="0.61132" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.52425" FPOGY="0.40104" FPOGS="452.98874" FPOGD="0.21320" FPOGID="982" FPOGV="1" LPOGX="0.52261" LPOGY="0.42959" LPOGV="1" RPOGX="0.54696" RPOGY="0.34831" RPOGV="1" BPOGX="0.53479" BPOGY="0.38895" BPOGV="1" LPCX="0.32291" LPCY="0.77542" LPD="16.42407" LPS="0.86998" LPV="1" RPCX="0.57556" RPCY="0.75853" RPD="15.93777" RPS="0.86998" RPV="1" LEYEX="-0.17837" LEYEY="-0.23536" LEYEZ="2.71228" LPUPILD="0.00366" LPUPILV="0" REYEX="0.01733" REYEY="-0.04984" REYEZ="0.61132" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="5" />
<REC FPOGX="0.52409" FPOGY="0.40038" FPOGS="452.98874" FPOGD="0.21988" FPOGID="982" FPOGV="1" LPOGX="0.49193" LPOGY="0.42026" LPOGV="1" RPOGX="0.54567" RPOGY="0.33691" RPOGV="1" BPOGX="0.51880" BPOGY="0.37858" BPOGV="1" LPCX="0.32308" LPCY="0.77546" LPD="16.55877" LPS="0.86998" LPV="1" RPCX="0.57571" RPCY="0.75850" RPD="15.93075" RPS="0.86998" RPV="1" LEYEX="-0.17837" LEYEY="-0.23536" LEYEZ="2.71228" LPUPILD="0.00358" LPUPILV="0" REYEX="0.01733" REYEY="-0.04984" REYEZ="0.61132" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52394" FPOGY="0.39975" FPOGS="452.98874" FPOGD="0.22641" FPOGID="982" FPOGV="1" LPOGX="0.49193" LPOGY="0.42026" LPOGV="1" RPOGX="0.54567" RPOGY="0.33691" RPOGV="1" BPOGX="0.51880" BPOGY="0.37858" BPOGV="1" LPCX="0.32300" LPCY="0.77531" LPD="16.04137" LPS="0.86998" LPV="1" RPCX="0.57564" RPCY="0.75834" RPD="15.40688" RPS="0.86998" RPV="1" LEYEX="-0.18027" LEYEY="-0.23814" LEYEZ="2.74677" LPUPILD="0.00365" LPUPILV="0" REYEX="0.01755" REYEY="-0.05001" REYEZ="0.61291" RPUPILD="0.00355" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52385" FPOGY="0.39966" FPOGS="452.98874" FPOGD="0.23318" FPOGID="982" FPOGV="1" LPOGX="0.52849" LPOGY="0.41375" LPOGV="1" RPOGX="0.51307" RPOGY="0.37899" RPOGV="1" BPOGX="0.52078" BPOGY="0.39637" BPOGV="1" LPCX="0.32325" LPCY="0.77539" LPD="15.78675" LPS="0.86998" LPV="1" RPCX="0.57592" RPCY="0.75839" RPD="16.14923" RPS="0.86998" RPV="1" LEYEX="-0.18027" LEYEY="-0.23814" LEYEZ="2.74677" LPUPILD="0.00376" LPUPILV="0" REYEX="0.01755" REYEY="-0.05001" REYEZ="0.61291" RPUPILD="0.00360" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52412" FPOGY="0.40084" FPOGS="452.98874" FPOGD="0.23990" FPOGID="982" FPOGV="1" LPOGX="0.54573" LPOGY="0.48550" LPOGV="1" RPOGX="0.52171" RPOGY="0.40108" RPOGV="1" BPOGX="0.53372" BPOGY="0.44329" BPOGV="1" LPCX="0.32330" LPCY="0.77537" LPD="15.96228" LPS="0.86998" LPV="1" RPCX="0.57593" RPCY="0.75869" RPD="16.19473" RPS="0.86998" RPV="1" LEYEX="-0.18027" LEYEY="-0.23814" LEYEZ="2.74677" LPUPILD="0.00370" LPUPILV="0" REYEX="0.01755" REYEY="-0.05001" REYEZ="0.61291" RPUPILD="0.00345" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
<REC FPOGX="0.52437" FPOGY="0.40196" FPOGS="452.98874" FPOGD="0.24658" FPOGID="982" FPOGV="1" LPOGX="0.54573" LPOGY="0.48550" LPOGV="1" RPOGX="0.52171" RPOGY="0.40108" RPOGV="1" BPOGX="0.53372" BPOGY="0.44329" BPOGV="1" LPCX="0.32360" LPCY="0.77532" LPD="16.29112" LPS="0.86998" LPV="1" RPCX="0.57602" RPCY="0.75871" RPD="15.69943" RPS="0.86998" RPV="1" LEYEX="-0.17696" LEYEY="-0.23418" LEYEZ="2.70342" LPUPILD="0.00362" LPUPILV="0" REYEX="0.01755" REYEY="-0.05001" REYEZ="0.61291" RPUPILD="0.00346" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="4" />
