2025-07-08 13:33:23.682661
="0.60738" RPUPILD="0.00358" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57798" FPOGY="0.35401" FPOGS="87.25286" FPOGD="0.37489" FPOGID="227" FPOGV="1" LPOGX="0.66704" LPOGY="0.31794" LPOGV="1" RPOGX="0.50276" RPOGY="0.41452" RPOGV="1" BPOGX="0.58490" BPOGY="0.36623" BPOGV="1" LPCX="0.31878" LPCY="0.62570" LPD="19.84611" LPS="0.85464" LPV="1" RPCX="0.62539" RPCY="0.63342" RPD="20.43665" RPS="0.85464" RPV="1" LEYEX="-0.17752" LEYEY="-0.10724" LEYEZ="2.60929" LPUPILD="0.00341" LPUPILV="0" REYEX="0.02924" REYEY="-0.02624" REYEZ="0.60738" RPUPILD="0.00359" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.57564" FPOGY="0.35491" FPOGS="88.15623" FPOGD="0.39573" FPOGID="228" FPOGV="1" LPOGX="0.66402" LPOGY="0.34836" LPOGV="1" RPOGX="0.51012" RPOGY="0.38694" RPOGV="1" BPOGX="0.58707" BPOGY="0.36765" BPOGV="1" LPCX="0.32023" LPCY="0.62605" LPD="19.54327" LPS="0.87645" LPV="1" RPCX="0.62625" RPCY="0.63443" RPD="20.41984" RPS="0.87066" RPV="1" LEYEX="-0.18551" LEYEY="-0.11258" LEYEZ="2.73915" LPUPILD="0.00350" LPUPILV="0" REYEX="0.02924" REYEY="-0.02625" REYEZ="0.60550" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57594" FPOGY="0.35534" FPOGS="88.15623" FPOGD="0.40280" FPOGID="228" FPOGV="1" LPOGX="0.66413" LPOGY="0.35315" LPOGV="1" RPOGX="0.51012" RPOGY="0.38694" RPOGV="1" BPOGX="0.58712" BPOGY="0.37005" BPOGV="1" LPCX="0.32020" LPCY="0.62595" LPD="19.08709" LPS="0.87066" LPV="1" RPCX="0.62629" RPCY="0.63439" RPD="20.50142" RPS="0.87066" RPV="1" LEYEX="-0.04106" LEYEY="-0.02444" LEYEZ="0.59462" LPUPILD="0.00354" LPUPILV="1" REYEX="0.02990" REYEY="-0.02680" REYEZ="0.61827" RPUPILD="0.00349" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57590" FPOGY="0.35594" FPOGS="88.15623" FPOGD="0.40989" FPOGID="228" FPOGV="1" LPOGX="0.67238" LPOGY="0.37118" LPOGV="1" RPOGX="0.48550" RPOGY="0.39323" RPOGV="1" BPOGX="0.57894" BPOGY="0.38220" BPOGV="1" LPCX="0.32021" LPCY="0.62610" LPD="19.23570" LPS="0.86554" LPV="1" RPCX="0.62628" RPCY="0.63438" RPD="20.44771" RPS="0.87133" RPV="1" LEYEX="-0.04106" LEYEY="-0.02444" LEYEZ="0.59462" LPUPILD="0.00358" LPUPILV="1" REYEX="0.02990" REYEY="-0.02680" REYEZ="0.61827" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57547" FPOGY="0.35638" FPOGS="88.15623" FPOGD="0.41605" FPOGID="228" FPOGV="1" LPOGX="0.67354" LPOGY="0.36994" LPOGV="1" RPOGX="0.45748" RPOGY="0.40063" RPOGV="1" BPOGX="0.56551" BPOGY="0.38528" BPOGV="1" LPCX="0.32025" LPCY="0.62611" LPD="19.20493" LPS="0.86622" LPV="1" RPCX="0.62629" RPCY="0.63443" RPD="20.27718" RPS="0.87200" RPV="1" LEYEX="-0.04106" LEYEY="-0.02444" LEYEZ="0.59462" LPUPILD="0.00356" LPUPILV="1" REYEX="0.02990" REYEY="-0.02680" REYEZ="0.61827" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57504" FPOGY="0.35676" FPOGS="88.15623" FPOGD="0.42299" FPOGID="228" FPOGV="1" LPOGX="0.67349" LPOGY="0.36522" LPOGV="1" RPOGX="0.45748" RPOGY="0.40063" RPOGV="1" BPOGX="0.56548" BPOGY="0.38293" BPOGV="1" LPCX="0.32022" LPCY="0.62606" LPD="19.07498" LPS="0.87200" LPV="1" RPCX="0.62628" RPCY="0.63438" RPD="20.34051" RPS="0.87200" RPV="1" LEYEX="-0.18627" LEYEY="-0.11348" LEYEZ="2.75605" LPUPILD="0.00357" LPUPILV="0" REYEX="0.02945" REYEY="-0.02645" REYEZ="0.60813" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57481" FPOGY="0.35666" FPOGS="88.15623" FPOGD="0.42979" FPOGID="228" FPOGV="1" LPOGX="0.68523" LPOGY="0.32112" LPOGV="1" RPOGX="0.46077" RPOGY="0.41468" RPOGV="1" BPOGX="0.57300" BPOGY="0.36790" BPOGV="1" LPCX="0.32029" LPCY="0.62626" LPD="19.47054" LPS="0.87712" LPV="1" RPCX="0.62628" RPCY="0.63444" RPD="20.24987" RPS="0.87133" RPV="1" LEYEX="-0.18627" LEYEY="-0.11348" LEYEZ="2.75605" LPUPILD="0.00354" LPUPILV="0" REYEX="0.02945" REYEY="-0.02645" REYEZ="0.60813" RPUPILD="0.00348" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57454" FPOGY="0.35671" FPOGS="88.15623" FPOGD="0.43619" FPOGID="228" FPOGV="1" LPOGX="0.68500" LPOGY="0.32127" LPOGV="1" RPOGX="0.46245" RPOGY="0.41342" RPOGV="1" BPOGX="0.57373" BPOGY="0.36735" BPOGV="1" LPCX="0.32033" LPCY="0.62628" LPD="19.39764" LPS="0.87645" LPV="1" RPCX="0.62631" RPCY="0.63446" RPD="20.26702" RPS="0.87066" RPV="1" LEYEX="-0.18627" LEYEY="-0.11348" LEYEZ="2.75605" LPUPILD="0.00353" LPUPILV="0" REYEX="0.02945" REYEY="-0.02645" REYEZ="0.60813" RPUPILD="0.00350" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
<REC FPOGX="0.57427" FPOGY="0.35691" FPOGS="88.15623" FPOGD="0.44313" FPOGID="228" FPOGV="1" LPOGX="0.68500" LPOGY="0.32185" LPOGV="1" RPOGX="0.46243" RPOGY="0.41394" RPOGV="1" BPOGX="0.57372" BPOGY="0.36790" BPOGV="1" LPCX="0.32039" LPCY="0.62614" LPD="19.43932" LPS="0.87578" LPV="1" RPCX="0.62634" RPCY="0.63447" RPD="20.22173" RPS="0.86999" RPV="1" LEYEX="-0.18627" LEYEY="-0.11348" LEYEZ="2.75605" LPUPILD="0.00350" LPUPILV="0" REYEX="0.02945" REYEY="-0.02645" REYEZ="0.60813" RPUPILD="0.00352" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="15" />
