2025-07-10 11:25:33.173469
="0.67190" RPUPILD="0.00617" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="25" />
<REC FPOGX="0.55572" FPOGY="0.42263" FPOGS="42.49722" FPOGD="0.17411" FPOGID="133" FPOGV="1" LPOGX="0.55637" LPOGY="0.38293" LPOGV="1" RPOGX="0.54917" RPOGY="0.44631" RPOGV="1" BPOGX="0.55277" BPOGY="0.41462" BPOGV="1" LPCX="0.39550" LPCY="0.62074" LPD="30.29239" LPS="1.08752" LPV="1" RPCX="0.65068" RPCY="0.61149" RPD="31.01150" RPS="1.08752" RPV="1" LEYEX="-0.02719" LEYEY="-0.02642" LEYEZ="0.68411" LPUPILD="0.00624" LPUPILV="1" REYEX="0.03859" REYEY="-0.02399" REYEZ="0.67190" RPUPILD="0.00617" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="25" />
<ACK ID="ENABLE_SEND_DATA" STATE="0" />
<ACK ID="ENABLE_SEND_DATA" STATE="1" />
<REC FPOGX="0.55600" FPOGY="0.43456" FPOGS="42.99245" FPOGD="0.59752" FPOGID="134" FPOGV="1" LPOGX="0.53566" LPOGY="0.46730" LPOGV="1" RPOGX="0.54198" RPOGY="0.43384" RPOGV="1" BPOGX="0.53882" BPOGY="0.45057" BPOGV="1" LPCX="0.39758" LPCY="0.61835" LPD="30.95865" LPS="1.04745" LPV="1" RPCX="0.65300" RPCY="0.61077" RPD="31.48409" RPS="1.05553" RPV="1" LEYEX="-0.02683" LEYEY="-0.02611" LEYEZ="0.69069" LPUPILD="0.00633" LPUPILV="1" REYEX="0.04036" REYEY="-0.02465" REYEZ="0.69191" RPUPILD="0.00636" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.55569" FPOGY="0.43424" FPOGS="42.99245" FPOGD="0.60336" FPOGID="134" FPOGV="1" LPOGX="0.53115" LPOGY="0.45679" LPOGV="1" RPOGX="0.54718" RPOGY="0.37031" RPOGV="1" BPOGX="0.53917" BPOGY="0.41355" BPOGV="1" LPCX="0.39761" LPCY="0.61837" LPD="30.99306" LPS="1.06344" LPV="1" RPCX="0.65303" RPCY="0.61081" RPD="31.49985" RPS="1.07153" RPV="1" LEYEX="-0.02683" LEYEY="-0.02611" LEYEZ="0.69069" LPUPILD="0.00633" LPUPILV="1" REYEX="0.04036" REYEY="-0.02465" REYEZ="0.69191" RPUPILD="0.00637" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.55539" FPOGY="0.43381" FPOGS="42.99245" FPOGD="0.60978" FPOGID="134" FPOGV="1" LPOGX="0.53005" LPOGY="0.45223" LPOGV="1" RPOGX="0.54798" RPOGY="0.36492" RPOGV="1" BPOGX="0.53901" BPOGY="0.40858" BPOGV="1" LPCX="0.39762" LPCY="0.61833" LPD="30.97098" LPS="1.07153" LPV="1" RPCX="0.65303" RPCY="0.61081" RPD="31.49985" RPS="1.07962" RPV="1" LEYEX="-0.02581" LEYEY="-0.02517" LEYEZ="0.66593" LPUPILD="0.00635" LPUPILV="1" REYEX="0.04036" REYEY="-0.02470" REYEZ="0.69191" RPUPILD="0.00637" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.55530" FPOGY="0.43246" FPOGS="42.99245" FPOGD="0.61630" FPOGID="134" FPOGV="1" LPOGX="0.53847" LPOGY="0.47345" LPOGV="1" RPOGX="0.54996" RPOGY="0.37392" RPOGV="1" BPOGX="0.54421" BPOGY="0.42369" BPOGV="1" LPCX="0.39767" LPCY="0.61844" LPD="31.00148" LPS="1.07171" LPV="1" RPCX="0.65308" RPCY="0.61090" RPD="31.54206" RPS="1.07171" RPV="1" LEYEX="-0.02581" LEYEY="-0.02517" LEYEZ="0.66593" LPUPILD="0.00634" LPUPILV="1" REYEX="0.04036" REYEY="-0.02470" REYEZ="0.69191" RPUPILD="0.00639" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.55568" FPOGY="0.43254" FPOGS="42.99245" FPOGD="0.62336" FPOGID="134" FPOGV="1" LPOGX="0.59062" LPOGY="0.48044" LPOGV="1" RPOGX="0.56305" RPOGY="0.42865" RPOGV="1" BPOGX="0.57683" BPOGY="0.45455" BPOGV="1" LPCX="0.39750" LPCY="0.61839" LPD="30.99482" LPS="1.06381" LPV="1" RPCX="0.65298" RPCY="0.61082" RPD="31.42764" RPS="1.06381" RPV="1" LEYEX="-0.02581" LEYEY="-0.02517" LEYEZ="0.66593" LPUPILD="0.00632" LPUPILV="1" REYEX="0.04036" REYEY="-0.02470" REYEZ="0.69191" RPUPILD="0.00635" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.55605" FPOGY="0.43278" FPOGS="42.99245" FPOGD="0.63040" FPOGID="134" FPOGV="1" LPOGX="0.59062" LPOGY="0.48044" LPOGV="1" RPOGX="0.56305" RPOGY="0.42865" RPOGV="1" BPOGX="0.57683" BPOGY="0.45455" BPOGV="1" LPCX="0.39738" LPCY="0.61837" LPD="30.86721" LPS="1.06381" LPV="1" RPCX="0.65281" RPCY="0.61072" RPD="31.34350" RPS="1.06381" RPV="1" LEYEX="-0.02675" LEYEY="-0.02594" LEYEZ="0.68612" LPUPILD="0.00631" LPUPILV="1" REYEX="0.03911" REYEY="-0.02384" REYEZ="0.67215" RPUPILD="0.00640" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.55428" FPOGY="0.43107" FPOGS="42.99245" FPOGD="0.63708" FPOGID="134" FPOGV="1" LPOGX="0.47120" LPOGY="0.37954" LPOGV="1" RPOGX="0.48491" RPOGY="0.37836" RPOGV="1" BPOGX="0.47806" BPOGY="0.37895" BPOGV="1" LPCX="0.39614" LPCY="0.61778" LPD="31.23665" LPS="1.07171" LPV="1" RPCX="0.65139" RPCY="0.61012" RPD="31.80180" RPS="1.07171" RPV="1" LEYEX="-0.02675" LEYEY="-0.02594" LEYEZ="0.68612" LPUPILD="0.00634" LPUPILV="1" REYEX="0.03911" REYEY="-0.02384" REYEZ="0.67215" RPUPILD="0.00639" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
<REC FPOGX="0.55291" FPOGY="0.42837" FPOGS="42.99245" FPOGD="0.64455" FPOGID="134" FPOGV="1" LPOGX="0.50998" LPOGY="0.32940" LPOGV="1" RPOGX="0.47487" RPOGY="0.30907" RPOGV="1" BPOGX="0.49242" BPOGY="0.31924" BPOGV="1" LPCX="0.39585" LPCY="0.61738" LPD="30.99397" LPS="1.07962" LPV="1" RPCX="0.65084" RPCY="0.60963" RPD="31.72616" RPS="1.07962" RPV="1" LEYEX="-0.02675" LEYEY="-0.02594" LEYEZ="0.68612" LPUPILD="0.00631" LPUPILV="1" REYEX="0.03911" REYEY="-0.02384" REYEZ="0.67215" RPUPILD="0.00639" RPUPILV="1" BKID="0" BKDUR="0.00000" BKPMIN="26" />
