FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.60253,0.43100,393.31485,0.01968,831,1,0.59220,0.47592,1,0.60657,0.39076,1,0.59938,0.43334,1,0.36145,0.72639,17.39689,0.82856,1,0.61903,0.72194,16.53545,0.82380,1,-0.03101,-0.04219,0.58836,0.00340,1,0.02223,-0.03488,0.49583,0.00366,1,0,0.00000,15
0.59804,0.39764,393.31485,0.93765,831,1,0.59841,0.45471,1,0.60275,0.36775,1,0.60058,0.41123,1,0.36289,0.72513,17.93112,0.85469,1,0.62095,0.72123,16.53691,0.85469,1,-0.03165,-0.04344,0.60836,0.00354,1,0.02691,-0.04152,0.59143,0.00375,1,0,0.00000,15
0.59818,0.39843,393.31485,0.94440,831,1,0.59894,0.45875,1,0.60170,0.37247,1,0.60032,0.41561,1,0.36278,0.72519,17.84748,0.84904,1,0.62101,0.72116,16.90809,0.84904,1,-0.03201,-0.04397,0.61513,0.00359,1,0.02691,-0.04152,0.59143,0.00349,1,0,0.00000,15
0.59872,0.39885,393.31485,0.95090,831,1,0.59354,0.45475,1,0.61521,0.35870,1,0.60438,0.40672,1,0.36293,0.72523,18.08301,0.84904,1,0.62096,0.72125,17.05757,0.84904,1,-0.03201,-0.04397,0.61513,0.00350,1,0.02691,-0.04152,0.59143,0.00365,1,0,0.00000,15
0.59900,0.39944,393.31485,0.95731,831,1,0.58911,0.46002,1,0.61085,0.34313,1,0.59998,0.40158,1,0.36280,0.72537,18.01898,0.84904,1,0.62062,0.72110,16.34191,0.84904,1,-0.03201,-0.04397,0.61513,0.00353,1,0.02691,-0.04152,0.59143,0.00365,1,0,0.00000,15
0.59928,0.39994,393.31485,0.96423,831,1,0.58965,0.46366,1,0.60986,0.34758,1,0.59975,0.40562,1,0.36256,0.72525,17.99714,0.84392,1,0.62054,0.72122,16.91774,0.84392,1,-0.03078,-0.04218,0.59080,0.00364,1,0.02691,-0.04152,0.59143,0.00367,1,0,0.00000,15
0.59929,0.40052,393.31485,0.97128,831,1,0.58682,0.44524,1,0.59848,0.37535,1,0.59265,0.41029,1,0.36269,0.72531,18.05981,0.83880,1,0.62050,0.72108,16.55231,0.83880,1,-0.03078,-0.04218,0.59080,0.00366,1,0.02691,-0.04152,0.59143,0.00368,1,0,0.00000,15
0.59913,0.40096,393.31485,0.97791,831,1,0.58651,0.45488,1,0.59979,0.35041,1,0.59315,0.40264,1,0.36250,0.72541,18.11298,0.83368,1,0.62057,0.72114,16.60660,0.83368,1,-0.03078,-0.04218,0.59080,0.00361,1,0.02691,-0.04152,0.59143,0.00368,1,0,0.00000,15
0.59899,0.40136,393.31485,0.98517,831,1,0.58708,0.45862,1,0.59981,0.35030,1,0.59344,0.40446,1,0.36253,0.72534,18.57555,0.82856,1,0.62056,0.72116,16.55403,0.83380,1,-0.03078,-0.04218,0.59080,0.00359,1,0.02775,-0.04287,0.61075,0.00368,1,0,0.00000,15
0.59894,0.40122,393.31485,0.99078,831,1,0.59159,0.45292,1,0.60202,0.35167,1,0.59680,0.40229,1,0.36254,0.72517,17.93394,0.83380,1,0.62058,0.72109,16.36301,0.83904,1,-0.03078,-0.04218,0.59080,0.00365,1,0.02775,-0.04287,0.61075,0.00363,1,0,0.00000,15
