FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.54728,0.42838,421.90186,0.31537,1250,1,0.60693,0.45587,1,0.46430,0.40961,1,0.53561,0.43274,1,0.37335,0.57318,25.01665,1.03990,1,0.64321,0.55444,24.16297,1.04799,1,-0.03190,-0.01583,0.65960,0.00489,1,0.03675,-0.01225,0.66957,0.00473,1,0,0.00000,10
0.54706,0.42893,421.90186,0.32108,1250,1,0.60637,0.45113,1,0.46430,0.40961,1,0.53533,0.43037,1,0.37342,0.57318,25.00552,1.04799,1,0.64321,0.55444,24.16297,1.04799,1,-0.03190,-0.01583,0.65960,0.00489,1,0.03586,-0.01189,0.65242,0.00473,1,0,0.00000,10
0.54690,0.42924,421.90186,0.32819,1250,1,0.61688,0.44509,1,0.47353,0.40704,1,0.54520,0.42607,1,0.37349,0.57314,24.87788,1.04799,1,0.64325,0.55442,24.17713,1.03990,1,-0.03190,-0.01583,0.65960,0.00492,1,0.03586,-0.01189,0.65242,0.00471,1,0,0.00000,10
0.54690,0.42904,421.90186,0.33463,1250,1,0.62718,0.45091,1,0.47561,0.40875,1,0.55139,0.42983,1,0.37356,0.57311,24.90353,1.03990,1,0.64331,0.55433,24.21646,1.03181,1,-0.03190,-0.01583,0.65960,0.00491,1,0.03586,-0.01189,0.65242,0.00470,1,0,0.00000,10
0.54690,0.42885,421.90186,0.34137,1250,1,0.62719,0.45102,1,0.47560,0.40887,1,0.55140,0.42995,1,0.37355,0.57308,25.02050,1.03971,1,0.64332,0.55431,24.10331,1.03163,1,-0.03275,-0.01628,0.67820,0.00490,1,0.03586,-0.01189,0.65242,0.00471,1,0,0.00000,10
0.54709,0.42851,421.90186,0.34827,1250,1,0.63094,0.44865,1,0.48827,0.40164,1,0.55961,0.42515,1,0.37368,0.57302,24.89899,1.03953,1,0.64350,0.55431,24.26907,1.03953,1,-0.03275,-0.01628,0.67820,0.00489,1,0.03586,-0.01189,0.65242,0.00473,1,0,0.00000,10
0.54754,0.42821,421.90186,0.35495,1250,1,0.63793,0.43882,1,0.49771,0.39826,1,0.56782,0.41854,1,0.37379,0.57296,24.82175,1.04743,1,0.64356,0.55429,24.28344,1.04743,1,-0.03275,-0.01628,0.67820,0.00490,1,0.03586,-0.01189,0.65242,0.00473,1,0,0.00000,10
0.54798,0.42792,421.90186,0.36169,1250,1,0.63793,0.43882,1,0.49771,0.39826,1,0.56782,0.41854,1,0.37379,0.57296,24.82175,1.04743,1,0.64357,0.55428,24.30040,1.04743,1,-0.03169,-0.01577,0.65721,0.00490,1,0.03635,-0.01207,0.65956,0.00473,1,0,0.00000,10
0.54756,0.42726,421.90186,0.36838,1250,1,0.61659,0.41322,1,0.43222,0.40090,1,0.52440,0.40706,1,0.37389,0.57294,24.82075,1.03953,1,0.64363,0.55425,24.27401,1.03953,1,-0.03169,-0.01577,0.65721,0.00492,1,0.03635,-0.01207,0.65956,0.00473,1,0,0.00000,10
0.54724,0.42747,421.90186,0.37463,1250,1,0.62789,0.41706,1,0.43423,0.46963,1,0.53106,0.44335,1,0.37398,0.57281,25.01869,1.03163,1,0.64369,0.55428,24.28049,1.03163,1,-0.03169,-0.01577,0.65721,0.00490,1,0.03635,-0.01207,0.65956,0.00471,1,0,0.00000,10
0.54692,0.42769,421.90186,0.38138,1250,1,0.62789,0.41706,1,0.43421,0.46475,1,0.53105,0.44090,1,0.37400,0.57287,24.93752,1.03163,1,0.64371,0.55433,24.17031,1.03971,1,-0.03430,-0.01710,0.71253,0.00490,1,0.03721,-0.01229,0.67428,0.00471,1,0,0.00000,10
0.54652,0.42766,421.90186,0.38797,1250,1,0.59926,0.40273,1,0.44843,0.45349,1,0.52385,0.42811,1,0.37408,0.57281,24.80170,1.04762,1,0.64378,0.55433,24.08721,1.05571,1,-0.03430,-0.01710,0.71253,0.00493,1,0.03721,-0.01229,0.67428,0.00473,1,0,0.00000,10
0.54599,0.42749,421.90186,0.39478,1250,1,0.60409,0.38715,1,0.46188,0.44660,1,0.53298,0.41688,1,0.37411,0.57271,24.73957,1.06361,1,0.64395,0.55438,24.04900,1.07170,1,-0.03430,-0.01710,0.71253,0.00491,1,0.03721,-0.01229,0.67428,0.00470,1,0,0.00000,10
0.54546,0.42733,421.90186,0.40158,1250,1,0.60353,0.38200,1,0.46206,0.44174,1,0.53279,0.41187,1,0.37411,0.57271,24.73957,1.07170,1,0.64393,0.55441,24.08555,1.07979,1,-0.03183,-0.01589,0.66228,0.00491,1,0.03747,-0.01232,0.67894,0.00471,1,0,0.00000,10
0.54497,0.42707,421.90186,0.40829,1250,1,0.61368,0.37389,1,0.46570,0.44331,1,0.53969,0.40860,1,0.37425,0.57260,25.16918,1.07188,1,0.64400,0.55431,23.89454,1.07188,1,-0.03183,-0.01589,0.66228,0.00487,1,0.03747,-0.01232,0.67894,0.00472,1,0,0.00000,10
0.54468,0.42747,421.90186,0.41544,1250,1,0.62098,0.42989,1,0.46885,0.45268,1,0.54491,0.44128,1,0.37429,0.57260,25.14637,1.06398,1,0.64406,0.55428,24.07419,1.06398,1,-0.03183,-0.01589,0.66228,0.00489,1,0.03747,-0.01232,0.67894,0.00471,1,0,0.00000,10
0.54439,0.42788,421.90186,0.42194,1250,1,0.62098,0.42989,1,0.46862,0.45753,1,0.54480,0.44371,1,0.37431,0.57261,25.19140,1.06398,1,0.64407,0.55428,24.07420,1.05589,1,-0.03244,-0.01617,0.67605,0.00490,1,0.03608,-0.01190,0.65292,0.00471,1,0,0.00000,10
0.54437,0.42857,421.90186,0.42871,1250,1,0.62554,0.43185,1,0.47658,0.44533,1,0.55106,0.43859,1,0.37438,0.57262,24.84578,1.06379,1,0.64407,0.55428,24.07420,1.05571,1,-0.03244,-0.01617,0.67605,0.00491,1,0.03608,-0.01190,0.65292,0.00471,1,0,0.00000,10
0.54432,0.42913,421.90186,0.43500,1250,1,0.62849,0.43008,1,0.47527,0.44899,1,0.55188,0.43953,1,0.37440,0.57262,24.83279,1.06361,1,0.64407,0.55428,24.07420,1.05552,1,-0.03244,-0.01617,0.67605,0.00492,1,0.03608,-0.01190,0.65292,0.00471,1,0,0.00000,10
0.54427,0.42969,421.90186,0.44165,1250,1,0.62850,0.43019,1,0.47526,0.44910,1,0.55188,0.43964,1,0.37441,0.57260,24.82713,1.06343,1,0.64408,0.55424,24.21253,1.05534,1,-0.03257,-0.01619,0.67879,0.00491,1,0.03608,-0.01190,0.65292,0.00470,1,0,0.00000,10
0.54456,0.43035,421.90186,0.44846,1250,1,0.62738,0.42883,1,0.47434,0.45859,1,0.55086,0.44371,1,0.37443,0.57250,25.04547,1.05534,1,0.64410,0.55427,24.17832,1.05534,1,-0.03257,-0.01619,0.67879,0.00492,1,0.03608,-0.01190,0.65292,0.00472,1,0,0.00000,10
0.54419,0.43090,421.90186,0.45609,1250,1,0.62690,0.43428,1,0.47456,0.44797,1,0.55073,0.44112,1,0.37444,0.57255,24.88730,1.05534,1,0.64409,0.55423,24.22415,1.05534,1,-0.03257,-0.01619,0.67879,0.00491,1,0.03608,-0.01190,0.65292,0.00471,1,0,0.00000,10
0.54381,0.43146,421.90186,0.46326,1250,1,0.62690,0.43428,1,0.47456,0.44797,1,0.55073,0.44112,1,0.37440,0.57249,25.03043,1.05534,1,0.64407,0.55427,24.03444,1.05534,1,-0.03244,-0.01617,0.67605,0.00493,1,0.03608,-0.01190,0.65292,0.00472,1,0,0.00000,10
0.54357,0.43165,421.90186,0.46881,1250,1,0.61976,0.43064,1,0.47657,0.44555,1,0.54817,0.43810,1,0.37433,0.57257,24.99276,1.05534,1,0.64407,0.55430,24.11827,1.05534,1,-0.03244,-0.01617,0.67605,0.00491,1,0.03608,-0.01190,0.65292,0.00471,1,0,0.00000,10
0.54326,0.43195,421.90186,0.47525,1250,1,0.61805,0.43713,1,0.46611,0.45435,1,0.54208,0.44574,1,0.37430,0.57260,25.01494,1.05534,1,0.64404,0.55433,23.92960,1.05534,1,-0.03244,-0.01617,0.67605,0.00489,1,0.03608,-0.01190,0.65292,0.00472,1,0,0.00000,10
0.54296,0.43224,421.90186,0.48206,1250,1,0.61851,0.44185,1,0.46590,0.45912,1,0.54220,0.45048,1,0.37430,0.57260,25.01494,1.04743,1,0.64406,0.55427,24.03769,1.04743,1,-0.03176,-0.01581,0.66080,0.00489,1,0.03608,-0.01190,0.65292,0.00472,1,0,0.00000,10
0.54267,0.43231,421.90186,0.48859,1250,1,0.61268,0.43262,1,0.45937,0.45602,1,0.53603,0.44432,1,0.37417,0.57256,24.98943,1.03953,1,0.64402,0.55421,24.09512,1.03953,1,-0.03176,-0.01581,0.66080,0.00489,1,0.03608,-0.01190,0.65292,0.00471,1,0,0.00000,10
0.54238,0.43179,421.90186,0.49521,1250,1,0.60490,0.38455,1,0.46129,0.45939,1,0.53310,0.42197,1,0.37414,0.57257,24.93735,1.03163,1,0.64399,0.55424,24.01743,1.03163,1,-0.03176,-0.01581,0.66080,0.00491,1,0.03608,-0.01190,0.65292,0.00470,1,0,0.00000,10
0.54210,0.43133,421.90186,0.50266,1250,1,0.60547,0.38976,1,0.46129,0.45928,1,0.53338,0.42452,1,0.37414,0.57257,24.93735,1.02372,1,0.64395,0.55431,23.96301,1.03181,1,-0.03176,-0.01581,0.66080,0.00491,1,0.03747,-0.01232,0.67894,0.00470,1,0,0.00000,10
0.54156,0.43077,421.90186,0.50870,1250,1,0.59202,0.39097,1,0.44070,0.44998,1,0.51636,0.42047,1,0.37405,0.57260,25.05710,1.03181,1,0.64379,0.55425,24.13363,1.03990,1,-0.03176,-0.01581,0.66080,0.00491,1,0.03747,-0.01232,0.67894,0.00475,1,0,0.00000,10
0.54180,0.43033,421.90186,0.51566,1250,1,0.65581,0.39845,1,0.43753,0.44896,1,0.54667,0.42370,1,0.37395,0.57266,25.11978,1.03990,1,0.64370,0.55424,24.16577,1.04799,1,-0.03176,-0.01581,0.66080,0.00488,1,0.03747,-0.01232,0.67894,0.00471,1,0,0.00000,10
0.54203,0.42979,421.90186,0.52188,1250,1,0.65562,0.39321,1,0.43753,0.44896,1,0.54658,0.42108,1,0.37391,0.57268,25.06222,1.04799,1,0.64370,0.55424,24.16577,1.04799,1,-0.03169,-0.01577,0.65721,0.00488,1,0.03637,-0.01198,0.66002,0.00471,1,0,0.00000,10
0.54193,0.42945,421.90186,0.52863,1250,1,0.63935,0.39939,1,0.42841,0.45036,1,0.53388,0.42487,1,0.37384,0.57269,24.93283,1.04799,1,0.64361,0.55423,24.25824,1.03990,1,-0.03169,-0.01577,0.65721,0.00492,1,0.03637,-0.01198,0.66002,0.00472,1,0,0.00000,10
0.54220,0.42904,421.90186,0.53708,1250,1,0.64028,0.40124,1,0.48557,0.45658,1,0.56293,0.42891,1,0.37374,0.57272,24.99540,1.03990,1,0.64358,0.55421,24.29242,1.03181,1,-0.03169,-0.01577,0.65721,0.00490,1,0.03637,-0.01198,0.66002,0.00470,1,0,0.00000,10
