FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,LPOGX,LPOGY,LPOGV,RPOGX,RPOGY,RPOGV,BPOGX,BPOGY,BPOGV,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,LEYEX,LEYEY,LEYEZ,LPUPILD,LPUPILV,REYEX,REYEY,REYEZ,RPUPILD,RPUPILV,BKID,BKDUR,BKPMIN
0.54719,0.24570,2801.14502,1.37280,8247,1,0.57252,0.22241,1,0.47728,0.27622,1,0.52490,0.24932,1,0.33131,0.76857,23.70249,1.06532,1,0.60506,0.81759,19.38069,1.07341,1,-0.04305,-0.05648,0.66767,0.00449,1,0.02734,-0.06801,0.68281,0.00368,1,0,0.00000,13
0.54624,0.24521,2801.14502,1.37939,8247,1,0.57521,0.21682,1,0.47828,0.22553,1,0.52675,0.22118,1,0.33127,0.76862,23.76478,1.07341,1,0.60504,0.81760,19.20080,1.08149,1,-0.04305,-0.05648,0.66767,0.00446,1,0.02734,-0.06801,0.68281,0.00369,1,0,0.00000,13
0.54479,0.20612,2802.59155,0.85742,8248,1,0.59976,0.19978,1,0.49044,0.23176,1,0.54510,0.21577,1,0.33155,0.76845,23.88966,1.06587,1,0.60537,0.81875,18.28785,1.06587,1,-0.04240,-0.05582,0.65987,0.00441,1,0.02741,-0.06834,0.68201,0.00357,1,0,0.00000,13
0.54500,0.20593,2802.59155,0.86377,8248,1,0.59976,0.19978,1,0.49005,0.23826,1,0.54491,0.21902,1,0.33152,0.76848,23.91383,1.06587,1,0.60543,0.81887,18.46609,1.05778,1,-0.04334,-0.05699,0.67362,0.00441,1,0.02674,-0.06685,0.66667,0.00359,1,0,0.00000,13
0.54496,0.20579,2802.59155,0.87061,8248,1,0.59344,0.21159,1,0.49663,0.24881,1,0.54503,0.23020,1,0.33146,0.76851,23.86379,1.06569,1,0.60530,0.81904,18.59790,1.05760,1,-0.04334,-0.05699,0.67362,0.00443,1,0.02674,-0.06685,0.66667,0.00356,1,0,0.00000,13
0.54537,0.20603,2802.59155,0.87744,8248,1,0.58096,0.21219,1,0.53527,0.24287,1,0.55811,0.22753,1,0.33146,0.76851,23.86379,1.06550,1,0.60525,0.81909,18.45457,1.05741,1,-0.04334,-0.05699,0.67362,0.00443,1,0.02674,-0.06685,0.66667,0.00355,1,0,0.00000,13
0.54578,0.20653,2802.59155,0.88403,8248,1,0.58168,0.21860,1,0.53455,0.24931,1,0.55812,0.23395,1,0.33141,0.76855,23.81231,1.05741,1,0.60523,0.81912,18.47264,1.04933,1,-0.04280,-0.05621,0.66446,0.00447,1,0.02604,-0.06513,0.64906,0.00355,1,0,0.00000,13
0.54602,0.20752,2802.59155,0.89087,8248,1,0.58014,0.24046,1,0.51958,0.26053,1,0.54986,0.25050,1,0.33135,0.76863,23.97232,1.04142,1,0.60524,0.81910,18.41362,1.04142,1,-0.04280,-0.05621,0.66446,0.00443,1,0.02604,-0.06513,0.64906,0.00355,1,0,0.00000,13
0.54599,0.20831,2802.59155,0.89722,8248,1,0.57438,0.25456,1,0.50798,0.24823,1,0.54118,0.25140,1,0.33124,0.76866,23.77424,1.03352,1,0.60522,0.81904,18.21029,1.03352,1,-0.04280,-0.05621,0.66446,0.00444,1,0.02604,-0.06513,0.64906,0.00356,1,0,0.00000,13
0.54597,0.20903,2802.59155,0.90503,8248,1,0.57438,0.25456,1,0.50850,0.24167,1,0.54144,0.24812,1,0.33123,0.76867,23.80529,1.03352,1,0.60518,0.81894,18.09409,1.04161,1,-0.04305,-0.05648,0.66767,0.00442,1,0.02707,-0.06785,0.67611,0.00355,1,0,0.00000,13
